Fips,Naics,Establishments,Employees,Payroll
05099,1133,6,28,1782
05099,2382,4,10,242
05099,4471,5,219,4719
05099,4523,4,18,396
05099,4841,4,32,1521
05099,5242,5,11,576
05099,5311,4,15,174
05099,5411,3,4,96
05099,6211,3,13,786
05099,7225,6,61,816
05099,8111,6,17,736
05099,8131,7,26,381
05021,1151,7,39,2925
05021,2361,6,8,282
05021,2362,5,12,494
05021,2382,5,17,440
05021,2389,12,26,2257
05021,4238,5,70,4673
05021,4249,6,132,4117
05021,4411,3,37,1828
05021,4413,3,16,583
05021,4442,6,40,1398
05021,4451,4,114,2028
05021,4461,7,50,2391
05021,4471,7,85,1328
05021,4523,5,22,465
05021,4841,5,27,1243
05021,4842,7,20,711
05021,5173,5,7,691
05021,5111,3,52,1558
05021,5221,5,53,2203
05021,5242,6,18,452
05021,5311,4,16,159
05021,5411,5,20,591
05021,5412,3,6,220
05021,5416,3,9,624
05021,5617,4,10,197
05021,6212,4,22,1044
05021,6213,8,20,659
05021,6231,4,277,7874
05021,6241,3,28,426
05021,6244,4,51,1192
05021,7225,14,167,2324
05021,7211,3,11,81
05021,8111,7,14,512
05021,8113,3,15,552
05021,8122,6,17,660
05021,8131,22,61,834
05037,1151,8,29,2092
05037,2382,9,57,2412
05037,2389,4,11,288
05037,4238,4,68,6638
05037,4249,6,51,2872
05037,4413,6,34,745
05037,4411,3,84,4114
05141,1133,4,1,293
05141,2361,9,33,1143
05141,2382,7,21,610
05141,2389,4,5,178
05141,2383,4,8,288
05141,4244,3,21,1352
05141,4411,3,31,2128
05141,4413,6,28,669
05141,4441,5,39,1485
05141,4442,3,14,406
05141,4451,3,81,1016
05141,4461,3,27,873
05141,4471,8,69,1025
05141,4481,3,20,218
05141,4539,3,13,296
05141,4523,6,224,6252
05141,4841,10,14,449
05037,4441,4,33,1098
05037,4451,4,104,2156
05037,4453,3,16,229
05037,4461,4,46,2182
05037,4481,4,11,108
05037,4471,11,102,1640
05037,4482,3,10,179
05037,4523,6,218,5900
05037,4543,5,24,922
05037,4841,12,31,1056
05037,4842,7,10,372
05037,5173,3,15,711
05037,5221,13,169,8511
05037,5222,3,16,1521
05037,5242,12,23,594
05037,5311,12,43,512
05037,5322,3,18,965
05037,5411,11,20,340
05037,5412,8,70,1217
05037,5416,3,2,217
05037,5419,4,11,746
05037,5511,6,98,4827
05037,5617,4,16,487
05037,6213,13,104,3643
05037,6212,5,40,1268
05037,6214,8,75,2858
05037,6241,5,187,2914
05037,6244,6,95,1323
05037,7139,5,12,210
05037,7225,27,321,4779
05037,8111,7,39,1415
05037,8121,4,6,103
05037,8131,27,108,1833
05141,4842,10,180,8191
05141,5221,10,58,2485
05141,5239,5,7,485
05141,5242,9,39,2260
05141,5312,5,4,88
05141,5313,3,2,43
05141,5411,6,19,885
05141,5413,3,35,2127
05141,5416,5,6,173
05141,5617,4,29,583
05141,6211,6,35,1275
05141,6212,3,12,885
05141,6213,6,24,573
05141,6214,3,25,1675
05141,6241,6,126,2841
05141,6242,3,13,83
05141,7139,3,15,236
05141,7211,4,51,1233
05141,7225,16,316,4659
05141,8111,8,23,767
05141,8131,21,76,1212
05141,8139,3,92,2735
05039,1133,20,113,4651
05039,2362,3,25,1685
05039,2382,4,10,332
05039,3211,3,228,10446
05039,4411,3,19,837
05039,4413,3,19,447
05039,4471,14,87,1762
05043,1133,18,160,7288
05043,1151,4,9,880
05043,1153,10,45,2179
05043,2213,4,7,66
05043,2361,4,9,175
05043,2362,3,16,664
05043,2382,9,39,1200
05043,3211,6,196,10348
05043,3219,3,169,4776
05043,3261,3,157,10503
05043,4413,6,42,1032
05039,4523,4,84,2370
05039,4842,8,48,1763
05039,5221,5,46,2652
05039,5311,3,6,113
05039,5412,4,8,119
05039,6211,4,9,425
05039,7225,8,105,1607
05039,8131,12,44,604
05043,4441,8,41,1821
05043,4442,3,13,560
05043,4461,8,59,1967
05043,4471,15,103,2292
05043,4481,7,37,361
05043,4482,3,14,147
05043,4523,6,304,8232
05043,4531,3,8,118
05043,4539,4,18,349
05043,4841,3,24,1135
05043,4842,5,14,1546
05043,5173,7,25,1764
05043,5221,13,108,7128
05043,5239,3,6,537
05043,5242,8,27,953
05043,5311,9,14,215
05043,5313,7,20,942
05043,5322,3,19,872
05043,5412,6,23,865
05043,5411,7,21,757
05043,5416,3,7,180
05043,5617,10,39,2284
05027,1133,6,28,1353
05027,1153,5,10,286
05027,2111,6,47,4864
05027,2131,12,144,8003
05027,2213,4,12,239
05027,2371,3,28,1087
05027,2361,3,11,397
05027,2381,3,8,64
05027,2382,9,52,1932
05027,2389,5,25,662
05027,3211,4,209,12087
05043,6213,4,38,1643
05043,6211,10,24,1480
05043,6214,3,43,767
05043,6216,7,249,4322
05043,6241,5,188,4097
05043,6244,6,73,1946
05043,7211,6,74,1052
05043,7225,29,497,6804
05043,8111,12,27,1165
05043,8131,16,99,2254
05043,8139,4,14,737
05027,3261,3,103,5409
05027,3323,3,103,6901
05027,3364,3,428,16199
05027,4233,3,238,7768
05027,4236,3,16,651
05027,4238,9,189,9751
05027,4239,4,34,1791
05027,4411,5,55,1781
05027,4413,9,41,1120
05027,4431,3,24,523
05027,4441,5,50,1931
05027,4451,4,79,2097
05027,4453,3,3,72
05027,4461,4,38,1380
05027,4471,17,140,2558
05027,4481,8,61,696
05027,4523,10,342,8028
05027,4532,4,7,162
05027,4539,3,13,237
05027,4841,17,81,2852
05027,4842,11,121,7017
05027,5173,5,20,825
05045,2131,17,267,18194
05045,2362,19,543,24933
05041,1151,8,13,519
05041,2211,3,20,2335
05041,2382,3,40,1917
05041,2389,3,15,324
05041,4238,5,89,6095
05041,4245,4,29,2173
05041,4247,3,19,890
05041,4249,6,56,3106
05041,4413,8,34,986
05023,2381,6,12,273
05023,2382,18,57,2748
05023,2383,4,6,218
05023,2389,7,28,1511
05023,3273,3,19,733
05023,3391,5,296,9894
05023,4235,3,7,206
05023,4238,8,33,2203
05023,4411,5,137,9672
05023,4413,10,55,1567
05023,4441,6,106,3542
05023,4442,5,46,1279
05023,4451,5,97,2404
05023,4471,16,123,2180
05045,2213,3,17,350
05045,2361,74,166,6714
05025,1133,7,76,3416
05025,2213,3,8,251
05023,2361,18,46,1490
05023,2371,6,115,5864
05023,4461,7,30,1225
05025,4471,5,21,237
05025,4841,3,35,1368
05025,4842,3,20,453
05025,7225,3,14,179
05025,8131,4,15,146
05027,5221,15,210,10967
05027,5239,11,25,1632
05027,5311,8,15,317
05027,5242,9,25,1079
05027,5312,5,8,297
05027,5313,3,5,121
05027,5322,5,19,659
05027,5411,9,389,11672
05027,5412,9,36,1030
05027,5413,5,73,3897
05027,5416,6,6,171
05027,5617,11,115,2702
05027,6211,12,57,3289
05027,6212,5,27,1393
05027,6214,4,26,1228
05027,6213,10,28,1088
05027,6216,3,6,237
05027,6232,3,112,2023
05027,6241,5,34,1116
05027,6242,3,59,811
05027,6244,11,87,1543
05027,7139,3,31,533
05121,2362,5,26,763
05121,2371,3,3,156
05121,2382,5,21,630
05121,2383,3,7,213
05121,2389,4,10,290
05027,7211,7,67,898
05027,7225,34,624,10165
05027,8111,10,38,1240
05027,8121,6,10,273
05027,8134,3,13,169
05027,8131,27,139,2918
05027,8139,4,15,139
05121,3219,4,58,1142
05121,3327,3,31,923
05121,4238,3,43,1573
05121,4411,3,9,219
05121,4413,3,22,660
05121,4421,3,14,402
05121,4441,6,34,1054
05121,4442,6,35,1619
05121,4461,6,39,2144
05121,4451,5,90,1799
05121,4471,9,56,1075
05121,4523,7,258,7242
05121,4539,4,14,284
05121,4841,9,64,2128
05121,4881,3,4,470
05121,4884,3,15,496
05121,5173,5,16,836
05121,5221,10,126,4528
05121,5242,8,22,803
05121,5311,9,20,372
05121,5322,4,12,418
05121,5411,5,10,377
05125,1133,4,23,1182
05125,2211,3,48,3581
05125,2361,58,141,6049
05125,2362,13,81,4655
05125,2371,9,95,4791
05125,2372,3,2,228
05125,2373,5,86,5292
05125,2381,30,216,11404
05125,2382,118,1294,64550
05121,5412,5,17,510
05121,5416,5,9,563
05125,2383,36,140,6383
05121,5613,3,647,15528
05121,5617,4,3,371
05121,6211,3,110,7064
05121,6212,4,36,1155
05121,6213,9,20,919
05121,6214,3,31,1490
05121,6241,8,277,6177
05121,6244,8,83,1464
05121,7223,3,23,218
05121,7225,19,331,4079
05121,8111,5,15,416
05121,8131,8,24,432
05125,2389,33,186,7506
05125,3219,3,31,1103
05125,3273,4,17,722
05125,3231,6,31,1034
05125,3323,5,111,4511
05125,3327,12,87,3383
05125,3339,3,80,4553
05125,3366,5,74,3322
05125,3371,3,47,1862
05125,3391,6,15,477
05125,4231,7,149,5775
05125,4234,12,61,3238
05125,4235,5,32,1407
05125,4236,5,18,1478
05125,4237,5,26,1271
05125,4238,15,90,5431
05125,4239,8,296,14922
05125,4251,12,23,981
05125,4244,3,41,3993
05125,4249,3,24,855
05009,2213,5,13,514
05125,4411,23,613,28506
05009,2361,6,7,305
05009,2362,7,64,3315
05009,2381,12,179,7675
05009,2382,16,112,4305
05125,4412,5,37,2041
05125,4413,17,146,4006
05125,4421,5,136,6298
05125,4422,10,48,1432
05125,4431,5,54,1932
05125,4441,23,478,15247
05125,4442,6,45,1589
05125,4451,15,589,13897
05125,4453,8,38,908
05125,4461,30,361,12178
05125,4471,44,356,7551
05125,4481,20,195,2342
05125,4482,5,34,672
05009,2383,4,45,2553
05009,2389,7,35,1863
05009,3219,3,260,9278
05009,3261,4,58,2395
05009,3273,3,21,944
05009,3315,3,479,20037
05009,3327,5,23,710
05009,3391,3,9,318
05009,4231,3,15,447
05009,4236,3,9,443
05009,4238,7,65,3927
05009,4239,4,43,935
05009,4244,7,59,3160
05009,4411,17,241,11004
05009,4412,8,38,1260
05009,4413,12,96,3002
05009,4421,4,19,421
05009,4441,7,223,5699
05009,4442,5,68,2261
05009,4451,6,212,4770
05009,4453,6,33,823
05009,4461,9,96,3416
05009,4471,11,84,1760
05065,2361,3,3,203
05065,2371,4,16,734
05065,2381,3,6,297
05065,2382,4,6,206
05065,2389,3,16,648
05065,4441,6,26,638
05065,4411,3,32,1203
05065,4413,4,14,330
05065,4451,3,84,1421
05125,4483,4,19,507
05065,4461,6,59,2152
05125,4511,7,124,2778
05125,4523,34,1049,26679
05125,4532,4,34,1031
05125,4533,9,81,1291
05125,4539,25,146,5732
05125,4541,9,18,994
05125,4542,3,4,49
05125,4543,7,8,307
05125,4841,33,130,5795
05125,4842,17,78,3113
05125,4884,5,30,1047
05125,4885,11,22,1642
05125,4931,3,27,1293
05125,5111,3,26,659
05125,5121,5,38,293
05065,4471,7,60,1131
05125,5173,12,119,7344
05065,4523,5,23,502
05065,4543,3,27,975
05065,4841,3,48,2047
05065,4842,4,5,127
05065,5173,3,7,359
05065,5221,9,62,3631
05065,5242,8,18,503
05065,5312,3,5,163
05065,5411,5,20,679
05065,5617,6,28,637
05065,6212,4,11,345
05065,6213,5,25,1061
05065,6214,3,51,1981
05065,6216,3,87,1628
05065,6231,3,183,5205
05065,6241,4,111,3002
05065,7139,3,10,221
05065,7223,3,13,112
05065,7225,9,108,1476
05065,8111,3,10,469
05065,8131,16,23,339
05125,5221,41,277,15038
05125,5222,7,15,1397
05125,5239,11,48,4266
05125,5242,65,176,8817
05125,5311,35,122,3573
05125,5312,39,62,1946
05125,5313,17,45,1828
05125,5321,5,12,419
05125,5324,3,21,1189
05125,5322,5,15,1813
05125,5411,31,135,5708
05125,5412,33,136,3508
05125,5413,39,225,16527
05009,4481,9,81,818
05009,4482,4,19,314
05009,4511,4,34,761
05009,4523,15,522,13573
05009,4531,3,14,207
05009,4532,3,26,560
