Naics,Establishments,Employees,Payroll
115111,3,280,3060
115113,3,52,3110
115115,18,452,11067
115116,11,117,6186
114111,3,2,392
113310,10,67,3596
115114,16,388,16108
115112,23,213,15583
115210,86,274,8468
115310,15,129,6619
212321,60,775,52197
212230,12,4287,311125
211120,3,2,96
212313,6,107,8651
212312,4,22,1524
212311,6,83,4049
213111,5,50,7381
212221,3,13,472
211130,4,9,1084
212319,3,56,3044
213114,7,86,18066
213115,5,329,35176
213112,10,105,5744
221122,29,3778,425572
221112,43,2471,310896
221111,4,60,4560
221210,21,811,72166
221320,10,132,12556
221114,12,412,51263
221330,3,12,2476
221310,117,1547,117294
221115,3,9,734
238990,723,6768,366958
236220,751,15510,1276617
238310,433,9485,449241
238210,1536,24821,1433406
238350,549,4756,264581
238330,338,1794,93290
238130,219,3923,202582
238150,162,1819,92678
237310,158,8334,613302
236210,41,1200,93188
237210,96,586,54683
238140,303,5220,260484
236117,227,4691,630070
236116,57,428,45630
236115,904,4477,307025
237120,12,915,88112
238290,102,2152,171501
238390,143,1148,59338
238190,115,1183,66029
237990,41,960,67392
238320,654,5005,226388
238220,2375,29714,1935245
238110,412,8336,509868
237130,131,4024,303558
236118,2049,9558,470852
238160,463,6169,345693
238170,25,165,9423
238910,575,10141,610592
238120,99,2754,138516
238340,245,1638,85697
237110,201,4561,306685
316998,5,8,361
314999,25,310,15017
315990,3,19,483
312112,6,189,14329
312120,45,979,37148
311920,9,42,1891
311812,26,2178,86398
311352,4,48,1018
311821,3,91,5708
314120,18,148,5294
315210,14,180,6594
311511,6,1473,97548
311421,6,295,11688
311520,3,119,7418
311941,4,26,967
311612,6,88,5314
315220,3,7,338
311340,8,90,3612
311119,10,117,8498
315280,4,75,3127
311919,5,1009,44719
311991,13,3303,134758
311811,93,913,19639
312111,7,1346,98220
313310,7,45,1797
314910,8,126,8121
312230,3,56,2346
311830,15,561,21305
312130,33,317,10053
315240,3,12,143
325520,3,37,2827
325199,6,163,19235
322299,5,451,27107
325998,13,422,38222
327999,8,178,10369
321999,27,552,25376
326199,78,4209,221585
326299,7,120,6900
324121,22,397,31228
324122,5,53,5518
323117,3,28,1545
327310,3,152,10001
327120,3,89,6797
323111,267,3904,228794
323113,80,621,24853
327331,18,713,34664
327332,3,131,7942
322211,8,544,39443
321912,4,39,2354
327991,29,441,24361
327215,8,242,13096
327420,4,77,5603
325413,3,1369,193201
325120,5,195,11999
326130,4,445,32671
321991,5,1120,55877
325411,18,705,34981
325180,3,48,6647
327390,20,922,50839
321918,23,190,6791
327212,3,19,508
325510,13,194,10432
322220,7,427,19732
324191,3,82,8363
325412,28,1961,120191
325992,4,39,1956
326111,4,24,1519
326160,7,184,10778
325211,11,293,16764
326112,6,192,10847
326122,5,214,16838
325612,4,49,2114
326140,5,235,8249
327110,8,153,7685
321992,9,529,21198
327320,112,1837,122064
326220,3,40,2263
325611,10,78,4558
322230,4,500,24007
323120,13,160,8814
326212,4,89,2954
325620,17,387,19507
321214,14,1181,53134
326121,6,254,18011
326150,9,119,5615
321920,34,737,24306
321911,25,604,34043
333415,18,1811,80814
336412,18,2728,286261
336411,11,4620,395883
335999,9,398,32618
332999,55,930,57422
333999,14,541,38808
339999,40,385,15817
336999,9,105,8125
331524,3,307,13515
332993,3,283,22732
334516,8,275,24410
334310,8,138,9252
334512,3,32,1962
334412,4,176,8978
337920,5,128,3774
336612,5,72,3198
332722,10,334,19884
334416,4,73,2576
335991,3,23,1801
335122,5,101,5242
334118,8,43,2507
333120,6,321,16013
333922,3,58,5215
335931,4,164,9285
337212,39,657,30449
333515,10,129,6911
339114,3,15,590
339116,107,857,42296
339930,6,50,1856
334510,18,916,63344
334111,3,142,9065
334417,5,160,10301
332813,25,511,21158
332996,6,83,4615
332312,70,2122,117943
333111,6,40,3652
339993,3,18,551
332912,7,1851,171827
336414,3,8030,1049386
332510,7,54,2121
333414,5,179,17258
337125,3,32,1607
333413,4,35,1814
333511,15,926,45923
333924,6,266,11680
332911,3,86,6626
337127,3,25,985
334515,17,343,21978
334513,13,301,18913
331210,3,131,19625
339910,34,99,4193
332710,308,3517,194515
333517,19,357,17633
335220,5,533,23937
337910,11,868,41714
333914,4,100,6040
332431,4,582,45595
332812,42,677,31505
332119,10,398,26722
332811,8,136,7135
337124,4,64,3701
332321,36,1628,89931
336992,3,199,14168
333131,6,411,28060
336211,11,142,7857
336320,5,98,5250
336310,15,163,9738
336360,5,345,20854
336350,3,41,2248
336991,6,39,1702
339992,6,11,354
337122,40,1268,43781
337214,3,10,448
339940,5,30,1161
339115,5,171,12079
333314,6,95,6928
332323,78,1554,67657
336413,29,1865,137661
331318,6,733,49939
333318,19,489,39269
334290,9,630,41175
334419,22,1031,73122
332618,7,130,8357
333249,22,531,36057
335129,3,8,224
334519,13,210,14076
332919,4,39,1351
336390,20,1211,59200
331529,3,101,5604
333923,4,112,10288
333316,5,45,3856
332313,15,197,10176
332913,3,19,1378
332721,48,972,54412
332311,5,56,2258
334418,14,208,11494
333244,5,113,8556
334220,5,2839,292050
335314,4,102,8875
333519,3,297,20424
332216,10,151,6538
334511,16,4058,393668
331492,8,95,7505
334413,40,6933,671231
333242,12,651,40781
332322,78,1698,92157
337215,4,245,14437
339950,104,994,55951
332992,6,86,4701
332994,17,1867,1061259
335210,4,94,7095
334614,5,33,1178
333514,14,189,11029
339920,26,1660,141473
332613,4,197,10993
331512,3,124,6256
339112,21,1196,96616
339113,29,1259,115530
335313,4,45,1739
336214,8,146,7894
336212,4,145,5993
337121,18,209,10943
333992,6,30,1664
337110,88,2277,103633
337211,6,42,2027
423110,130,2309,199499
424810,15,1897,127937
424920,13,35,1479
423320,89,1297,78142
425110,4,7,660
423520,4,27,1488
423430,154,3749,472802
424450,34,735,35922
423810,104,2991,294516
424430,21,377,22120
424210,173,3580,285580
423610,208,2725,211395
423820,70,975,68499
424910,106,1189,102879
424460,9,116,6363
424930,53,1049,36964
424340,7,14,690
424480,151,1978,96860
423210,100,1150,81496
424410,42,3321,260897
424510,7,61,4527
423710,88,1358,76176
423220,125,1429,86329
423620,35,655,104311
424130,59,990,73952
423830,356,5158,506892
423840,113,1076,70808
423940,78,264,14948
424520,13,28,788
423310,115,2647,167532
424470,25,494,32056
423450,207,2440,258982
424320,20,403,20362
423510,142,1499,109687
423140,22,559,28534
423120,223,3273,174947
423420,158,1971,122312
423460,18,367,21722
424690,159,1476,102648
423440,60,541,31930
423390,59,734,38065
423690,217,6375,931812
424590,10,34,4291
424490,246,4715,248347
423990,123,1392,101318
424990,165,983,56779
423490,34,155,16927
424420,15,265,17141
424950,24,149,8139
424720,25,187,10732
424710,28,646,51509
423410,5,65,4009
424310,22,82,4162
424610,36,252,16843
423720,164,1749,114178
424440,6,75,4421
424110,9,91,9821
423930,90,1257,63918
423740,21,275,21604
423330,52,581,45123
423850,72,595,36160
423910,113,872,67280
424120,43,621,30136
423130,32,544,34960
424940,20,465,28806
423920,31,301,15021
423860,58,630,49633
423730,137,1851,146521
425120,594,4649,303430
424820,29,1518,107987
424330,37,355,18061
446199,156,926,51501
442299,212,3553,71895
445299,126,716,14137
441310,720,7284,246547
445291,34,263,5914
445310,214,1468,41737
441222,34,228,13115
448130,57,512,8082
448150,137,812,20796
445292,56,345,5783
445120,363,1837,42608
446120,326,3171,85131
443142,285,3450,152323
448140,540,13268,258624
445220,5,4,243
442210,172,1354,65750
446191,218,936,25344
445230,15,150,3507
442110,449,5439,281414
447110,1496,17901,424387
444130,216,3518,107055
444110,96,15070,365148
443141,117,1167,56456
448310,334,1890,88819
448320,13,63,3731
445210,88,844,20590
448110,89,461,16718
441228,157,2058,121525
441110,311,23676,2098612
444220,185,2473,87836
446130,214,1574,45651
444190,438,4261,249022
448190,196,1948,52812
447190,100,2715,81470
444210,13,118,5333
444120,112,676,27956
446110,552,12469,492253
441210,84,2040,163654
448210,311,3017,66320
445110,774,54772,1568243
441320,434,4853,210840
441120,415,9267,674333
442291,65,296,14865
448120,404,3171,68908
452319,618,8670,152319
453998,489,3571,142738
453920,113,333,12782
451211,104,852,18884
452210,74,6239,132671
454110,1385,24512,1223568
453110,116,625,17323
454310,83,663,30554
453220,310,2116,50753
451120,149,2135,46368
453930,45,229,20133
451140,58,422,13746
451212,4,9,213
453210,76,946,22296
454390,609,2470,131797
453910,197,2801,86233
451130,55,820,12893
451110,420,4889,134882
453991,289,1240,37147
453310,427,6703,171153
454210,67,648,30984
452311,194,47528,1537097
488999,11,43,3248
485999,48,661,28117
485113,5,960,54096
485510,13,338,16089
488510,358,3806,272632
484110,484,4046,172961
484122,134,4132,270167
484121,746,14270,759347
485210,8,616,36591
485320,46,272,8947
488320,4,798,105103
488410,173,1639,77502
481211,31,424,42083
488119,40,1263,44369
481219,15,78,7348
488190,137,3094,185645
488490,48,1124,41033
488991,19,82,3096
486210,22,179,19125
488310,3,30,2868
487110,18,528,17460
487990,16,212,11886
487210,4,32,1135
481112,3,40,2754
481111,27,13357,1071760
485410,10,1011,54768
485991,79,1649,45389
484220,386,4340,246984
484230,196,2991,152066
488210,11,144,6960
485310,37,786,132513
484210,181,2052,76212
492110,237,16799,670055
493130,3,10,307
493110,241,22138,1087230
492210,106,2363,65530
493190,42,782,53303
493120,21,1429,66976
519190,11,116,8203
511199,11,40,1891
517919,45,1374,139330
511130,42,723,115124
515210,3,49,7006
518210,307,10138,1007171
511140,5,40,3132
519130,160,1586,163490
519120,10,68,1862
512120,4,25,462
512110,182,445,23364
512131,70,1824,41583
512230,6,10,1029
519110,8,129,11068
511110,81,1700,83598
512199,3,4,221
512290,9,18,556
511120,73,454,31903
515111,15,174,12229
515112,63,1245,109566
512250,9,20,1852
517410,5,302,60583
511210,285,8260,1169130
512240,22,24,921
517911,49,2044,99379
512191,26,325,13122
515120,32,1110,93006
517311,436,8236,692781
517312,520,7324,361234
524298,69,448,36155
522298,295,1273,66576
524291,76,319,19573
522110,1204,34442,2905516
523140,6,19,946
523130,5,4,1869
522291,111,2930,193206
522210,26,1377,90612
522130,294,4806,327518
524114,135,11269,1069911
524113,136,3704,318466
524126,319,21166,1587171
524127,181,2464,251866
522320,116,8073,740360
524210,2867,13379,1019488
523930,620,2529,237908
523110,29,94,25759
523999,23,23,2562
523910,210,566,62491
522310,436,5368,678551
525910,6,38,9962
522390,271,7026,861947
524128,9,93,6746
525990,19,26,4428
523920,801,5087,641918
522292,524,20376,2362453
524130,7,34,3687
522220,91,3063,200773
522120,59,1030,109920
522294,3,16,1189
523120,445,7494,918634
524292,240,13745,820101
523991,68,993,84456
532289,83,698,22388
532411,12,35,1011
532412,78,1005,77425
532210,83,386,16046
532281,4,9,160
532310,33,370,17059
532283,34,815,48183
531130,533,1246,59322
533110,50,846,81145
531120,605,3190,235851
531190,307,2345,86761
531110,1143,9355,377992
531312,322,2705,206963
532420,20,89,7602
531210,6188,11934,1496216
531320,375,825,55387
531390,620,1829,202150
532490,206,1842,123507
532112,7,22,3754
532111,164,1370,51964
532284,58,269,10263
531311,1083,11285,591742
532120,125,1588,77380
532282,3,3,13
541611,2264,10173,930016
541810,363,1963,141600
541870,39,140,10264
541199,166,664,42188
541990,430,2491,191946
541310,517,3242,289184
541350,211,416,18972
541922,87,217,8359
