Naics,Establishments,Employees,Payroll
1141,114,257,13585
1142,7,40,726
1133,208,1444,108211
1152,510,2159,81456
1151,992,25488,1134385
1153,62,661,33398
1131,4,175,14101
2122,3,3,586
2123,206,4827,417894
2111,122,4277,611452
2131,227,5064,323175
2211,570,41302,6339536
2212,162,9203,1037731
2213,491,4996,490653
2382,20678,247298,18192679
2383,14241,137435,7565442
2381,8968,124071,7587279
2373,735,25241,2487419
2372,588,2759,232809
2362,4605,86676,7945407
2379,314,7062,811903
2389,5906,68496,4708338
2361,23107,113967,7083263
2371,1402,45496,4250541
3111,111,2940,192741
3116,190,22725,940969
3159,110,994,44419
3151,22,446,19067
3118,1798,40873,1532229
3121,2334,59277,3450692
3152,1893,19723,662011
3115,219,17911,1220242
3132,77,1316,51914
3131,8,22,675
3162,27,224,9604
3114,328,23149,1308080
3112,76,3920,249954
3161,13,21,634
3119,687,37547,2082679
3169,76,1940,74716
3149,396,4130,162867
3117,23,1034,45222
3113,173,9865,435843
3133,124,2905,109058
3141,140,3448,163024
3122,8,33,1898
3251,161,5916,682154
3273,549,17280,1087489
3271,96,1498,67418
3222,332,18720,1199808
3272,197,5671,311335
3274,9,145,10825
3259,224,4006,290477
3279,202,5185,274673
3219,841,17243,797720
3255,189,4380,302635
3253,81,1510,112198
3241,152,11706,1256152
3254,461,49435,6374587
3261,1026,46116,2564270
3231,2885,35265,1628032
3221,13,640,75557
3252,103,3693,216858
3262,140,7382,457548
3211,41,2349,135135
3256,371,9608,602280
3212,57,2127,109941
3364,318,61869,6536719
3331,157,4180,267625
3313,28,1982,104417
3323,1366,30097,1709439
3343,97,1808,163380
3324,92,3842,280263
3328,727,16140,851161
3333,310,8181,715852
3342,253,23156,2749532
3341,214,7680,867037
3322,134,2035,108933
3351,218,5772,344731
3353,173,8623,635916
3336,55,8274,753112
3321,199,8357,435487
3315,114,4942,257610
3325,67,2706,142155
3371,1166,17981,787771
3352,46,765,44204
3332,333,10253,1402097
3311,23,1366,107644
3327,2815,46448,2695888
3346,75,1497,122973
3391,1426,54628,5736958
3335,520,10089,645353
3362,142,6481,296601
3361,51,24282,4953365
3363,471,14453,1049586
3345,931,69536,8109370
3314,61,2147,158692
3372,399,9366,469804
3359,300,15780,1743329
3329,549,15984,1097872
3379,107,3877,203457
3339,581,17417,1295804
3399,1779,25367,1275123
3369,145,3265,235024
3365,4,271,13838
3344,931,53413,4678521
3366,68,8981,613497
3326,87,1996,102474
3312,31,1602,103211
3334,145,4419,284336
4243,4802,47563,2737558
4248,739,23764,1805142
4246,1242,14494,1173441
4242,1994,41096,6814209
4245,327,3661,248551
4232,2203,28560,1880596
4244,5912,117865,7069966
4237,2127,28935,2184846
4236,4703,98035,15665403
4233,1652,23988,1575169
4238,5568,65753,4829144
4235,1045,13963,919885
4239,5302,46986,3304891
4249,4382,48774,3168378
4231,3021,47091,3268142
4241,1259,15722,1106761
4247,477,7237,584789
4234,4987,103890,13129788
4251,4299,29939,1845612
4411,3428,130831,8146871
4413,5552,53767,1886933
4453,4158,16513,439320
4441,5147,113436,4210480
4481,10665,183332,3411730
4431,2618,33731,1176189
4421,2229,19276,789590
4471,7616,68194,1827638
4451,10711,324180,11152853
4461,10426,109975,4345075
4422,2655,28513,825069
4483,2655,13748,548253
4442,1190,11527,454031
4412,1020,11905,648501
4482,2591,28005,533809
4452,2791,21101,496347
4512,664,7640,114583
4522,335,56693,914604
4543,2554,17005,777352
4541,8362,90668,6387167
4531,1058,4306,88430
4523,3209,207431,6633974
4532,2638,21024,431249
4539,5307,34792,1222269
4511,3650,41017,976958
4533,1792,21227,438678
4542,218,2352,107955
4855,158,2202,47671
4831,71,4606,414584
4885,3311,40653,2460460
4841,11448,98928,5150844
4832,14,136,3730
4852,59,1865,56420
4812,233,3940,394787
4869,19,597,67412
4889,262,2193,117586
4859,740,10454,346598
4861,18,336,45467
4862,6,33,4703
4871,96,1039,20669
4879,14,109,2694
4872,203,2641,119563
4811,284,54642,4426621
4854,135,11430,338986
4842,4316,43953,2504760
4881,604,25837,913042
4882,89,3879,226184
4884,2512,19057,722322
4883,167,5592,481912
4853,752,10002,1705811
4851,101,8543,365890
4921,1219,98451,4515609
4922,823,21179,840293
4931,2234,158207,8285760
5152,211,9148,1242382
5182,2480,97247,18194915
5121,9199,105444,10538489
5111,1497,23270,1970729
5191,2358,158690,57598840
5179,618,6726,741200
5151,664,29441,2798428
