Naics,Establishments,Employees,Payroll
1131,3,25,3032
1133,35,100,5046
1141,5,1,233
1142,6,4,202
1151,105,1043,43820
1152,161,431,12271
1153,25,187,15018
2111,323,6652,1236516
2121,9,1217,111269
2122,31,1641,138413
2123,98,1244,93928
2131,686,14490,1325958
2211,218,8027,834498
2213,134,650,34553
2212,67,924,139028
2361,4521,17621,1263504
2362,846,17350,1491863
2371,516,20137,1463702
2372,103,372,39975
2373,225,9549,800614
2379,71,939,70137
2381,3128,25349,1395978
2382,4602,48432,2990047
2383,3632,18483,931285
2389,1828,16734,1062202
3111,49,1092,80907
3112,15,382,23740
3113,56,1431,58905
3114,42,723,26057
3115,29,2353,153142
3116,76,8175,363998
3118,202,5585,218593
3119,118,2957,153570
3121,412,8363,437451
3132,8,141,4991
3133,7,89,2834
3141,24,97,3867
3149,85,1122,45102
3152,38,206,6243
3159,10,66,1906
3162,3,11,306
3169,15,101,3368
3211,34,330,17068
3212,31,993,52585
3219,165,2658,133093
3222,26,1025,66444
3231,455,5731,270562
3241,20,828,100554
3251,28,577,47484
3252,8,78,3848
3253,19,168,10533
3255,16,319,21346
3254,139,3376,246934
3256,46,1161,51793
3259,34,1787,171951
3261,153,4140,205036
3262,16,235,10631
3271,31,1390,87596
3272,30,826,58814
3273,166,4233,241327
3274,4,150,11101
3279,67,1277,58247
3311,5,1133,99658
3312,6,311,18604
3313,4,385,23847
3314,5,73,4415
3315,12,151,6253
3321,12,122,8143
3322,12,223,10651
3323,252,5150,274765
3324,20,1050,91600
3325,9,516,29343
3326,18,357,19770
3327,324,4225,221243
3328,70,774,34903
3329,82,917,71063
3331,49,1166,70306
3332,51,1192,80264
3334,25,1038,59845
3333,49,2143,132601
3335,57,870,46637
3336,13,3107,164169
3339,90,3469,280285
3341,21,682,63340
3342,24,1079,115657
3343,19,94,5905
3344,86,3706,327257
3345,120,6584,617089
3346,10,48,2347
3351,16,918,36395
3353,33,830,64143
3359,26,634,44736
3361,3,44,2929
3362,31,661,35619
3363,54,2446,157929
3364,24,6253,887069
3366,4,107,9754
3369,33,249,11352
3371,173,1646,72317
3372,70,1102,52524
3379,16,1325,79692
3391,212,3493,200274
3399,352,3978,191953
4231,352,5391,334858
4232,254,3358,225124
4233,400,5889,402376
4234,701,14760,1713174
4235,175,2564,189084
4236,509,9403,1405958
4237,339,4754,331418
4238,943,13140,970050
4239,511,4952,312832
4241,157,2764,185486
4242,247,3175,219269
4243,174,2119,162348
4244,587,13419,801224
4245,112,721,44367
4246,202,2136,152905
4247,101,1807,132437
4248,97,4013,245711
4249,497,5101,303483
4811,42,17971,1666627
4251,812,4407,250834
4411,696,23113,1373732
4412,232,3054,157291
4413,1032,10271,370814
4421,328,4351,208940
4422,552,5634,160822
4431,477,6021,227234
4441,1012,22889,749403
4442,307,3208,120894
4451,1024,45660,1428872
4452,365,2599,55815
4453,1315,6930,174872
4461,1224,14067,510069
4471,1552,13907,335725
4481,1642,21472,414023
4482,348,3063,58384
4483,326,1710,66608
4511,1125,14006,299571
4512,121,1222,21251
4522,70,6153,130741
4523,545,38071,1101779
4531,175,1042,21148
4532,601,4289,122506
4533,430,5622,117510
4539,1281,11242,358956
4541,1066,6917,335737
4542,46,375,14146
4543,730,3612,153883
4812,55,838,68395
4831,3,2,137
4841,1228,11632,636545
4842,1111,9147,480971
4851,9,1135,56465
4852,6,71,2795
4853,105,1095,130107
4854,19,1345,46429
