Fips,Naics,Establishments,Employees,Payroll
09001,1152,19,141,7137
09001,2123,6,40,3057
09001,2211,20,466,73932
09001,2212,5,98,10831
09001,2213,8,444,43206
09001,2361,601,1949,164095
09001,2362,84,1449,158738
09001,2371,29,231,30930
09001,2372,7,15,1318
09001,2373,14,480,62738
09001,2379,5,14,1717
09001,2381,258,1341,88680
09001,2382,653,4665,338724
09001,2383,357,1859,101779
09001,2389,222,1574,133600
09001,3111,4,42,2709
09001,3113,7,67,4741
09001,3115,3,7,112
09001,3118,53,918,35918
09001,3119,13,403,36734
09001,3121,28,332,18683
09001,3133,3,26,2339
09001,3141,7,31,1792
09001,3149,6,155,8286
09001,3169,3,165,16984
09001,3152,4,11,290
09001,3219,15,169,11696
09001,3222,7,266,18196
09001,3231,74,1308,60359
09001,3241,8,58,4943
09001,3251,8,589,75728
09001,3252,3,25,1839
09001,3253,6,37,3613
09001,3256,12,364,47189
09001,3259,5,166,15719
09001,3261,25,1047,68154
09001,3262,3,198,22997
09001,3272,5,43,2087
09001,3273,9,136,10273
09001,3279,20,231,12587
09001,3314,5,446,31587
09001,3321,11,313,18791
09001,3322,5,130,7211
09001,3323,30,371,20557
09001,3325,4,39,3564
09001,3327,46,749,48106
09001,3328,23,497,33912
09001,3329,11,427,29241
09001,3332,8,1645,193379
09001,3333,7,968,83492
09001,3335,14,178,12007
09001,3336,3,177,8113
09001,3339,11,288,18027
09001,3342,6,231,44366
09001,3344,17,699,58483
09001,3345,30,5608,640521
09001,3351,5,22,1701
09001,3353,8,334,18356
09001,3359,12,632,65383
09001,3363,8,208,11761
09001,3364,9,11142,1075362
09001,3371,33,198,9607
09001,3372,17,78,4412
09001,3391,33,913,56989
09001,3399,44,384,20342
09001,4232,48,466,46750
09001,4233,61,531,39103
09001,4234,126,2074,239928
09001,4231,43,585,39294
09001,4235,33,493,63195
09001,4236,64,1166,110282
09001,4237,64,849,75337
09001,4238,102,1189,102325
09001,4239,94,1685,170745
09001,4241,42,671,79070
09001,4242,41,1305,295166
09001,4244,107,2386,368707
09001,4245,4,2,1818
09001,4246,45,1237,196394
09001,4247,17,298,80402
09001,4248,20,768,107198
09001,4249,83,877,83117
09001,4251,110,2512,191615
09001,4411,106,3246,288278
09001,4412,33,272,17994
09001,4413,103,1071,42645
09001,4421,76,575,60554
09001,4441,211,3503,189379
09001,4442,46,419,19066
09001,4451,297,11594,376150
09001,4452,85,602,17017
09001,4243,53,852,81827
09001,4422,115,1273,39639
09001,4431,80,1062,57311
09001,4453,218,899,29155
09001,4461,278,3122,117027
09001,4471,251,1374,42938
09001,4481,339,4373,137764
09001,4482,61,574,11854
09001,4483,77,440,25066
09001,4511,150,1269,37410
09001,4512,20,169,3251
09001,4522,10,911,21996
09001,4523,54,3578,104788
09001,4532,67,648,12886
09001,4531,44,256,6560
09001,4533,48,597,16116
09001,4539,139,682,32256
09001,4541,141,1629,130071
09001,4543,108,1752,139758
09001,4542,5,60,2879
09001,4812,8,733,66594
09001,4831,14,266,52051
09001,4841,77,695,41848
09001,4842,59,512,30602
09001,4851,3,172,12279
09001,4853,46,234,17760
09001,4854,22,1307,46462
09001,4855,4,73,3387
09001,4859,16,345,12529
09001,4862,3,71,13083
09001,4872,4,13,486
09001,4881,16,118,6741
09001,4883,7,61,5171
09001,4884,17,109,5742
09001,4885,62,512,86809
09001,4889,3,93,6406
09001,4921,36,2592,109149
09001,4922,13,325,10638
09001,4931,31,601,35542
09001,5111,78,1223,101064
09001,5112,68,918,153159
09001,5122,12,21,882
09001,5121,89,674,94254
09001,5151,34,2315,220232
09001,5152,14,1931,284873
09001,5179,8,27,2146
09001,5182,62,1475,173004
09001,5191,72,2877,324368
09001,5173,149,2837,842219
09001,5221,452,6636,908047
09001,5222,105,2085,506785
09001,5223,85,455,60545
09001,5231,246,3907,1613798
09001,5239,735,9636,4216664
09001,5241,103,3486,785746
09001,5242,423,3025,475902
09001,5259,10,29,12945
09001,5311,414,1479,110917
09001,5313,295,2738,235420
09001,5321,38,186,7102
09001,5322,41,253,22643
09001,5324,30,718,130872
09001,5331,10,34,11288
09001,5312,330,1365,122461
09001,5411,647,3372,381693
09001,5412,422,3978,435710
09001,5413,341,3133,284593
09001,5414,189,525,41372
09001,5415,510,12904,1628825
09001,5416,769,5858,800941
09001,5417,86,6349,1166919
09001,5418,215,3506,394498
09001,5419,246,3973,361926
09001,5612,34,214,12194
09001,5613,230,5373,468203
09001,5511,272,19052,2641642
09001,5611,109,2447,287348
09001,5614,96,1153,78969
09001,5615,47,955,219095
09001,5616,76,2959,105723
09001,5617,1141,8979,432240
09001,5619,61,901,121742
09001,5621,65,1014,61684
09001,5629,51,467,26919
09001,5622,5,80,9245
09001,6111,103,4607,309595
09001,6113,7,6640,220957
09001,6114,42,515,87180
09001,6115,20,150,5577
09001,6116,352,2090,57902
09001,6117,34,321,17146
09001,6211,959,11243,1309654
09001,6212,502,3640,221640
09001,6213,511,3073,160015
09001,6214,121,2523,163956
09001,6215,93,1588,207565
09001,6216,81,4279,182285
09001,6219,28,1221,97403
09001,6221,19,14542,1116024
09001,6222,3,775,63273
09001,6231,41,5649,244696
09001,6232,177,2403,96145
09001,6233,59,4356,130076
09001,6239,9,277,12710
09001,6241,295,8456,272681
09001,6242,48,778,43899
09001,6243,26,884,38004
09001,6244,295,4535,140973
09001,7111,30,175,9012
09001,7112,5,11,741
09001,7113,25,114,7374
09001,7114,23,270,35627
09001,7115,102,134,21283
09001,7139,393,6611,262638
09001,7211,84,1760,68428
09001,7121,42,658,29835
09001,7131,8,36,714
09001,7223,287,2870,91186
09001,7225,2066,25416,736461
09001,7224,45,253,9711
09001,8111,419,2273,115929
09001,8113,31,183,10017
09001,8114,59,154,6938
09001,8121,734,4038,113350
09001,8112,23,134,7524
09001,8122,64,343,19561
09001,8123,171,845,26327
09001,8129,212,1227,36161
09001,8131,418,3217,95341
09001,8132,128,642,59295
09001,8133,55,548,45970
09001,8134,76,580,27437
09001,8139,210,1087,88382
09003,1152,9,22,721
09003,2123,9,111,13574
09003,2211,19,2260,342061
09003,2212,9,362,34204
09003,2361,333,1289,83268
09003,2213,10,119,9314
09003,2362,96,1403,146981
09003,2371,48,1424,148919
09003,2372,4,9,1138
09003,2373,31,422,59549
09003,2379,5,20,1495
09003,2381,234,1792,153254
09003,2382,565,6855,551903
09003,2383,285,2431,145005
09003,3116,6,102,4096
09003,2389,181,1603,138810
09003,3115,4,439,29014
09003,3118,55,1079,48670
09003,3119,9,162,7942
09003,3121,32,752,38987
09003,3132,3,51,5781
09003,3133,3,84,5733
09003,3141,5,54,1850
09003,3149,9,100,4354
09003,3219,17,180,9268
09003,3222,11,365,25174
09003,3231,65,1793,112540
09003,3241,3,23,2079
09003,3251,9,167,18786
09003,3252,10,201,14251
09003,3253,3,75,6356
09003,3254,9,138,7503
09003,3255,6,85,8822
09003,3256,3,22,1240
09003,3259,5,663,68245
09003,3261,19,409,28228
09003,3262,4,67,3806
09003,3272,4,288,29354
09003,3273,14,246,20708
09003,3279,11,80,4124
09003,3314,3,50,4194
09003,3315,7,181,9462
09003,3321,19,979,57518
09003,3322,13,640,43799
09003,3323,46,1138,83900
09003,3325,9,373,24799
09003,3326,20,668,47040
09003,3327,189,3877,266304
09003,3328,62,1439,82462
09003,3329,30,1775,133785
09003,3332,11,101,6635
09003,3333,4,126,9018
09003,3334,6,181,18059
09003,3335,58,2044,158472
09003,3336,13,1454,111640
09003,3339,32,1475,136960
09003,3341,4,192,11860
09003,3344,10,324,19420
09003,3345,28,1191,94839
09003,3351,3,17,1068
09003,3353,9,187,12492
09003,3359,12,1332,109923
09003,3363,8,370,19950
09003,3364,46,17217,2062970
09003,3369,3,13,412
09003,3371,26,280,13345
09003,3372,20,500,33278
09003,3379,3,327,14694
09003,3391,31,1217,85158
09003,3399,41,316,17769
09003,4231,60,1604,97822
09003,4232,31,398,29303
09003,4233,60,1233,90262
09003,4234,110,1859,185877
09003,4235,32,1003,77216
09003,4236,70,1046,120553
09003,4237,65,881,69553
09003,4238,193,3149,275017
09003,4239,55,1509,130205
09003,4241,31,352,27990
09003,4242,34,874,55076
09003,4243,14,479,23588
09003,4244,64,3290,203729
09003,4246,36,513,48150
09003,4248,17,383,31940
09003,4249,47,589,36615
09003,4251,98,768,61591
09003,4411,155,3518,235033
09003,4413,165,1631,61071
09003,4247,18,229,18122
09003,4412,28,346,20444
09003,4421,62,601,34024
09003,4431,62,805,34541
09003,4441,161,3559,135170
09003,4442,37,364,17821
09003,4422,61,819,22067
09003,4451,333,9811,267520
09003,4452,47,436,11298
09003,4453,234,948,24999
09003,4461,276,3770,137153
09003,4471,244,1238,36231
09003,4481,217,3672,77162
09003,4482,49,523,12320
09003,4483,63,366,16387
09003,4511,128,1494,38848
09003,4512,22,178,3652
09003,4522,11,1154,23730
09003,4532,61,601,11466
09003,4533,38,616,12942
09003,4539,145,753,24959
09003,4541,89,3273,141032
09003,4543,105,814,47542
09003,4523,113,5924,159770
09003,4531,29,121,2991
09003,4811,5,402,19330
09003,4812,3,69,10164
09003,4841,200,2814,163540
09003,4842,96,740,43387
09003,4852,3,125,4889
09003,4853,12,51,2775
09003,4854,35,2845,82229
09003,4855,3,161,8956
09003,4859,15,283,9910
09003,4881,21,688,40012
09003,4884,23,255,18025
09003,4885,53,404,30169
09003,4889,5,53,2427
09003,4921,33,3382,144596
09003,4922,26,647,24465
09003,5111,35,536,28001
09003,5112,42,948,77176
09003,5121,72,306,29842
09003,5151,21,592,47080
09003,5152,48,4108,617524
09003,4931,46,5590,225167
09003,5173,134,1478,122336
09003,5179,9,42,4130
09003,5191,30,480,57524
09003,5221,382,5928,515178
09003,5223,73,808,101905
09003,5231,110,808,233954
09003,5239,290,2858,543872
09003,5182,59,2682,327887
09003,5222,102,1358,172568
09003,5241,206,38969,5177241
09003,5259,3,4,172
09003,5311,296,1179,60307
09003,5312,185,713,61976
09003,5313,216,2324,137510
09003,5322,32,144,8391
09003,5242,473,5426,542736
09003,5321,54,509,26986
09003,5323,5,14,806
09003,5324,27,234,20533
09003,5331,5,24,2946
09003,5411,558,4309,410646
09003,5412,370,3851,330446
09003,5413,274,5696,513042
09003,5414,36,81,5180
09003,5415,301,5876,511179
09003,5416,328,4125,400972
09003,5418,95,1587,120900
09003,5419,147,1630,152462
09003,5611,55,950,83787
09003,5612,39,543,38711
09003,5614,95,1458,52315
09003,5615,40,648,48986
09003,5616,67,3252,122340
09003,5417,51,935,114726
09003,5511,216,7342,943622
09003,5613,185,8110,353681
09003,5617,697,6666,282139
09003,5619,44,479,30707
09003,5621,33,1297,109090
09003,5622,8,182,15747
09003,5629,47,508,33596
09003,6111,46,4041,208829
09003,6112,3,229,11567
09003,6113,7,4762,190197
09003,6114,22,97,6115
09003,6115,25,420,21624
09003,6116,167,1052,22893
09003,6117,26,99,4929
09003,6211,851,14771,1627064
09003,6213,504,2958,148757
09003,6212,445,3485,213743
09003,6214,142,3963,233739
09003,6215,107,1257,90784
09003,6216,72,3769,206488
09003,6219,35,1501,74672
09003,6221,12,17236,1194801
09003,6223,3,1791,112472
09003,6231,70,8390,340336
09003,6232,196,3990,139449
09003,6233,54,3173,107305
09003,6239,28,706,24557
09003,6241,342,11740,347383
09003,6242,66,652,25292
09003,6243,37,1011,32869
09003,6244,193,3143,86288
09003,7111,23,140,5909
09003,7112,6,49,3772
09003,7113,14,148,8568
09003,7115,20,23,1302
09003,7121,34,454,18606
09003,7131,12,179,9836
09003,7132,5,63,2098
09003,7139,263,3827,87570
09003,7211,108,1583,51163
09003,7223,193,2259,69989
09003,7224,55,278,8221
09003,7225,1815,25539,614831
09003,8111,444,2587,121558
09003,8112,28,199,10234
09003,8113,56,688,41273
09003,8114,34,111,5069
09003,8121,585,2437,65737
09003,8122,72,465,25575
09003,8123,97,893,36930
09003,8129,240,1409,56058
09003,8131,409,3005,80071
09003,8132,84,510,36100
09003,8133,66,416,24255
09003,8134,80,582,22688
09003,8139,222,2144,137047
09005,1133,3,1,31
09005,1152,10,41,1038
09005,2123,13,118,8278
09005,2211,4,134,18580
09005,2361,124,319,19475
09005,2362,16,345,32913
09005,2371,20,186,18480
09005,2373,8,81,12576
09005,2379,6,184,10390
09005,2381,77,406,31842
09005,2382,233,1213,76929
09005,2383,77,321,18042
09005,2389,101,623,70136
09005,3118,14,46,1023
09005,3121,14,238,5887
09005,3149,6,406,27741
09005,3219,8,47,2314
09005,3231,17,197,7206
09005,3252,3,175,10794
09005,3255,3,224,19857
09005,3261,14,559,34648
09005,3256,4,68,5379
09005,3273,6,116,7296
09005,3321,12,468,32022
09005,3323,9,97,6527
09005,3327,55,928,54737
09005,3328,7,248,12909
09005,3329,14,368,26422
09005,3335,11,52,2665
09005,3339,10,126,9614
09005,3344,5,288,15806
09005,3345,5,85,5289
09005,3359,4,422,32116
09005,3353,3,438,23435
09005,3363,9,639,37380
09005,3371,13,58,2505
09005,3372,4,53,3446
09005,3399,7,82,4683
09005,4231,9,49,1983
09005,4232,3,49,2811
09005,4233,6,17,921
09005,4234,13,69,22045
09005,4235,5,15,884
09005,4236,14,46,2703
09005,4237,6,24,1665
09005,4238,37,267,16871
09005,4239,9,49,2843
09005,4242,5,20,1281
09005,4244,8,118,5489
09005,4246,5,12,456
09005,4248,5,31,2307
09005,4249,7,59,3418
09005,4251,10,25,2034
09005,4411,42,971,64024
09005,4412,4,16,954
09005,4413,27,332,12920
09005,4421,9,59,3710
09005,4422,20,127,3229
09005,4441,43,823,30751
09005,4431,6,32,1518
09005,4442,28,178,6907
09005,4451,52,2609,70284
09005,4452,10,58,1738
09005,4453,53,226,6219
09005,4461,39,523,17974
09005,4471,80,378,11120
09005,4481,17,295,8001
09005,4483,4,8,381
09005,4511,21,123,4015
09005,4512,4,15,742
09005,4523,22,817,21544
09005,4531,11,39,1351
09005,4532,12,89,1740
09005,4533,19,142,3850
09005,4539,37,124,5788
09005,4541,25,275,15089
09005,4543,32,188,13485
09005,4841,13,74,4222
09005,4842,24,114,6924
09005,4853,4,22,690
09005,4854,12,295,8403
09005,4859,3,13,215
09005,4884,4,8,250
09005,4931,3,76,4253
09005,5111,6,35,4128
09005,5112,3,102,10377
09005,5121,14,42,2978
09005,5151,3,11,369
09005,5173,18,105,8684
09005,5182,6,50,11865
09005,5191,22,151,5057
