Naics,Establishments,Employees,Payroll
113110,29,106,4174
113210,15,107,3688
114112,50,81,2957
113310,167,1643,89386
114111,92,113,3876
114119,47,75,3589
114210,26,91,3240
115310,61,356,15382
115111,3,77,1075
115112,75,410,16979
115113,20,270,6935
115114,48,2878,63073
115115,29,350,7176
115116,58,449,24495
115210,375,1068,38254
211120,16,95,6393
211130,3,32,4128
212322,10,67,3542
212312,41,1492,109371
212319,3,35,1865
212321,47,500,26570
212392,6,956,88601
212399,11,134,10644
213115,5,39,2427
213111,12,18,871
213112,32,82,4844
221330,4,143,13353
221112,47,1993,203105
221113,12,760,77579
221114,9,42,2032
221115,11,125,13491
221118,5,9,1196
221122,400,20238,2441332
221210,46,1227,92498
221310,242,2347,120082
221320,42,616,33677
313210,7,19,1384
236115,4024,15557,803783
236116,267,3935,357539
236117,654,11777,1100303
236118,7874,24201,984763
236210,280,3756,291842
236220,2607,35177,2540454
237110,710,13175,744572
237120,58,1147,68124
237130,379,10478,651893
237210,426,2397,167994
237310,470,19461,1130592
237990,449,7266,419107
238110,1536,17837,835959
238120,230,4271,202186
238130,786,4454,167682
238140,1320,9782,349444
238150,549,5068,241087
238160,1687,23104,1051866
238170,486,1988,76355
238190,558,3080,135426
238210,5646,62390,3217082
238220,8252,80187,4018528
238290,510,7146,519699
238310,1718,14123,642184
238320,4036,17053,603869
238330,1756,5766,248229
238340,1639,6180,233301
238350,3720,13570,520328
238390,661,4145,174869
238910,1607,23362,1199665
238990,3670,21393,966704
311111,14,59,2847
311119,28,420,20081
311211,6,368,12258
311221,3,26,2315
311224,4,46,1536
311314,11,1762,129916
311340,19,337,7005
311351,14,180,5688
311352,38,723,19447
311411,14,940,52462
311412,17,579,21296
311421,33,2738,160355
311423,7,225,10019
311511,10,1480,66460
311513,6,15,401
311514,4,47,2778
311520,47,648,22738
311611,18,269,10246
311612,36,1192,51843
311615,4,1571,55842
311710,25,1946,87532
311811,345,3153,74846
311812,166,5669,220749
311813,13,500,21247
311821,14,130,3867
311824,15,91,2853
311830,7,350,16389
311911,4,99,4195
311919,15,737,32018
311920,33,475,27753
311930,9,622,49455
311941,13,347,16057
311942,19,383,20972
311991,39,2084,67413
311999,32,259,8963
312111,34,5447,310756
312112,19,909,46706
312113,28,302,13166
312120,183,2954,118445
312130,39,387,11387
312140,29,549,29168
312230,8,729,82998
313110,4,9,316
313220,12,130,3971
313230,4,93,5670
313240,5,61,2298
313310,24,374,7786
313320,5,12,220
314120,115,930,29864
314110,11,22,624
315220,22,2042,42500
314910,134,1287,49946
314994,6,66,2901
314999,151,1079,39531
315210,70,410,11686
315990,35,566,18415
315240,40,281,11386
315280,39,245,6521
316110,6,35,1318
316210,6,40,1159
316992,4,7,192
316998,38,652,22243
321113,49,2291,106752
321114,19,436,20856
321211,12,202,8724
321214,59,3684,157746
321219,4,156,9332
321999,140,1583,77546
321911,67,1025,44330
321912,12,162,6160
321918,70,622,26893
321920,58,1034,38508
321991,13,1549,54098
321992,18,398,19263
322121,11,1860,116541
322110,3,777,74655
322130,4,1759,160612
322220,15,447,51110
322211,29,1422,98898
322212,18,1144,74886
322219,7,370,20401
322230,10,365,17630
322291,3,103,4763
322299,14,318,14868
323111,1058,12249,603881
323113,376,5914,248025
323117,23,317,15404
323120,62,535,21366
324121,34,1064,59312
324122,10,318,22773
324191,12,131,9006
325120,11,215,14779
325180,17,213,14936
325199,24,856,79323
325211,35,2010,190378
325212,6,335,19729
325220,7,318,9555
325320,13,94,5110
