Fips,Naics,Establishments,Employees,Payroll
15001,1152,4,7,190
15001,1153,3,31,1191
15001,2211,6,433,51755
15001,2213,11,60,5139
15001,2361,115,649,35648
15001,2362,20,172,10378
15001,2371,8,37,1209
15001,2372,3,110,7903
15001,2373,4,29,1355
15001,2381,44,220,8183
15001,2382,103,711,43661
15001,2383,66,387,20664
15001,2389,50,507,36530
15001,3114,4,19,589
15001,3116,4,47,1658
15001,3118,13,109,2460
15001,3119,15,349,11728
15001,3121,12,120,5315
15001,3219,3,3,113
15001,3231,9,40,705
15001,3254,3,109,8075
15001,3261,3,22,1023
15001,3273,6,189,12597
15001,3371,8,36,1762
15001,3399,7,11,386
15001,4233,9,22,1331
15001,4234,5,10,373
15001,4236,9,21,1397
15001,4237,8,40,3051
15001,4238,23,218,12693
15001,4239,10,74,2687
15001,4241,8,43,2963
15001,4242,3,10,373
15001,4244,49,884,37908
15001,4247,5,48,2652
15001,4248,6,139,7280
15001,4249,26,212,8198
15001,4251,4,3,252
15001,4411,23,596,33905
15001,4412,7,40,1596
15001,4413,33,444,15473
15001,4421,13,87,2648
15001,4422,16,114,3629
15001,4431,12,32,1046
15001,4441,42,1060,36645
15001,4442,18,103,3939
15001,4451,60,2338,61898
15001,4452,9,55,1311
15001,4453,5,20,528
15001,4461,57,584,21210
15001,4471,55,816,20184
15001,4481,72,793,12614
15001,4482,10,53,1090
15001,4483,29,131,5454
15001,4511,21,179,4370
15001,4522,3,271,5878
15001,4523,12,1484,56930
15001,4531,6,34,712
15001,4532,44,377,10360
15001,4533,11,87,2250
15001,4539,37,225,4922
15001,4541,10,15,611
15001,4542,3,7,110
15001,4543,19,81,4169
15001,4811,10,666,27170
15001,4831,3,31,3307
15001,4832,3,7,156
15001,4841,23,343,15148
15001,4842,20,186,6990
15001,4853,12,89,1903
15001,4859,6,88,2105
15001,4871,17,456,12000
15001,4872,41,360,12946
15001,4879,7,249,12256
15001,4881,9,216,4869
15001,4883,3,54,3792
15001,4884,9,57,1402
15001,4885,5,34,1304
15001,4921,7,167,8541
15001,4922,5,20,437
15001,4931,4,16,879
15001,5111,7,70,2903
15001,5112,3,4,1204
15001,5121,8,89,1807
15001,5122,3,7,199
15001,5151,7,61,1979
15001,5173,30,414,25420
15001,5182,4,11,399
15001,5191,3,4,163
15001,5221,65,697,34271
15001,5222,23,76,3938
15001,5223,15,53,2730
15001,5231,5,20,1757
15001,5239,14,30,2294
15001,5241,14,102,6856
15001,5242,46,170,7675
15001,5311,81,231,10755
15001,5312,81,574,28038
15001,5313,60,295,11386
15001,5321,34,363,14583
15001,5322,17,55,2046
15001,5324,9,29,1643
15001,5411,55,184,9457
15001,5412,74,238,9030
15001,5413,58,223,14484
15001,5414,13,31,1707
15001,5415,25,45,2492
15001,5416,48,195,7910
15001,5417,9,288,32003
15001,5418,8,69,1506
15001,5419,29,172,6645
15001,5511,16,519,22185
15001,5611,4,15,482
15001,5612,5,9,404
15001,5613,15,2336,64343
15001,5614,7,29,1032
15001,5615,42,455,16535
15001,5616,20,713,18243
15001,5617,154,939,29913
15001,5619,8,94,688
15001,5621,9,93,3287
15001,5629,9,77,3078
15001,6111,27,1102,37373
15001,6114,4,10,518
15001,6116,19,150,4580
15001,6117,4,17,370
15001,6211,133,715,38247
15001,6212,68,464,21739
15001,6213,83,259,10277
15001,6214,32,935,55440
15001,6215,14,212,15095
15001,6216,15,571,15169
15001,6219,10,126,4815
15001,6221,6,1963,190806
15001,6231,6,817,32724
15001,6232,6,155,5006
15001,6233,4,94,2861
15001,6241,45,1035,25748
15001,6242,12,167,5316
15001,6243,9,165,3321
15001,6244,42,352,7600
15001,7111,5,94,1393
15001,7113,3,22,1003
15001,7115,9,17,563
15001,7121,8,151,4117
15001,7131,4,16,511
15001,7139,43,934,34843
15001,7211,69,6713,273647
15001,7223,23,220,4781
15001,7224,18,166,2620
15001,7225,378,6897,147885
15001,8111,72,328,12546
15001,8113,7,33,1644
15001,8114,10,30,465
15001,8121,45,247,5694
15001,8122,4,19,1229
15001,8123,13,251,6982
15001,8129,19,97,2479
15001,8131,86,359,6339
15001,8132,10,46,1961
15001,8133,22,100,3348
15001,8134,8,31,846
15001,8139,88,392,14299
15003,1141,13,28,834
15003,1152,6,9,200
15003,2211,13,2249,253412
15003,2212,4,207,21058
15003,2213,6,53,4063
15003,2361,406,2112,134369
15003,2362,166,4410,393220
15003,2371,39,565,46202
15003,2372,16,69,5069
15003,2373,32,1032,94210
15003,2379,11,483,51351
15003,2381,201,2906,178141
15003,2382,495,6657,520173
15003,2383,299,3566,232921
15003,2389,78,1290,104370
15003,3112,3,39,909
15003,3113,12,410,15052
15003,3114,9,145,4179
15003,3115,3,234,19333
15003,3116,8,212,7996
15003,3118,86,2057,53052
15003,3119,39,962,31339
15003,3121,17,706,34734
15003,3141,5,47,1464
15003,3149,6,30,1341
15003,3152,33,313,8647
15003,3212,3,36,742
15003,3219,13,86,8110
15003,3222,3,21,602
15003,3231,66,770,29321
15003,3241,3,369,47982
15003,3253,3,83,4109
15003,3256,5,93,3340
15003,3261,10,158,6476
15003,3273,16,554,41353
15003,3279,4,82,4701
15003,3323,15,426,20880
15003,3327,6,46,2883
15003,3334,4,19,1215
15003,3345,4,51,4981
15003,3363,3,11,324
15003,3366,14,640,44959
15003,3371,19,205,9082
15003,3379,4,122,4814
15003,3391,23,204,7227
15003,3399,46,446,14417
15003,4231,38,628,34402
15003,4232,39,421,24235
15003,4233,47,493,32742
15003,4234,91,724,51064
15003,4235,16,183,13427
15003,4236,65,620,54495
15003,4237,53,613,47342
15003,4238,75,644,42543
15003,4239,117,953,43294
15003,4241,47,553,24575
15003,4242,48,714,26585
15003,4243,77,542,23502
15003,4244,176,5003,224413
15003,4246,23,104,5728
15003,4247,7,163,11102
15003,4248,13,921,58694
15003,4249,107,768,36185
15003,4251,87,473,35395
15003,4411,77,3588,201365
15003,4412,19,422,14749
15003,4413,110,1106,38217
15003,4421,35,383,14978
15003,4422,53,522,13884
15003,4431,69,1081,38346
15003,4441,97,2635,83483
15003,4442,18,62,2117
15003,4451,279,7251,197845
15003,4452,115,1245,27061
15003,4453,50,163,4670
15003,4461,261,2896,103735
15003,4471,139,1566,38618
15003,4481,528,8479,190897
15003,4482,93,1330,22522
15003,4483,175,1241,59372
15003,4511,120,972,21522
15003,4512,13,135,2859
15003,4522,10,1790,50753
15003,4523,35,6118,211866
15003,4531,47,315,7128
15003,4532,203,1971,55300
15003,4533,33,472,11636
15003,4539,96,610,18880
15003,4541,70,465,28572
15003,4542,8,34,1520
15003,4543,78,232,8531
15003,4811,23,8669,685371
15003,4812,8,115,5854
15003,4831,8,1680,94919
15003,4841,57,1028,55998
15003,4842,67,1573,69383
15003,4851,6,1507,97852
15003,4853,49,336,10930
15003,4854,4,1087,22340
15003,4859,27,908,36428
15003,4871,24,1607,50679
15003,4872,39,913,28325
15003,4879,7,170,7806
15003,4881,28,1255,32757
15003,4883,24,1012,97594
15003,4884,31,143,4915
15003,4885,44,576,25611
15003,4921,16,1160,47522
15003,4922,10,490,10046
15003,4931,43,903,36998
15003,5111,40,697,39316
15003,5112,20,123,14088
15003,5121,58,929,17343
15003,5122,6,18,787
15003,5151,29,725,50859
15003,5173,141,3582,266815
15003,5174,4,23,1873
15003,5179,9,24,1208
15003,5182,45,630,43744
15003,5191,15,42,2987
15003,5221,288,7676,559821
15003,5222,98,530,45691
15003,5223,64,289,18572
15003,5231,27,257,39952
15003,5239,154,571,73006
15003,5241,117,5967,417924
15003,5242,312,3119,214311
15003,5311,459,2962,160669
15003,5312,326,1740,136025
15003,5313,315,2336,155385
15003,5321,86,1010,44333
15003,5322,66,581,15833
15003,5324,52,417,26272
15003,5331,4,63,6473
15003,5411,499,2740,232053
15003,5412,486,2667,137184
15003,5413,438,4749,423401
15003,5414,67,176,7751
15003,5415,302,2477,204367
15003,5416,350,2939,173567
15003,5417,54,609,43481
15003,5418,78,652,22115
15003,5419,179,1670,71768
15003,5511,213,6419,503394
15003,5611,54,1007,38806
15003,5612,26,1087,51217
15003,5613,88,3679,162997
15003,5614,67,592,22965
15003,5615,246,2577,96308
15003,5616,85,5417,158657
15003,5617,427,7321,205799
15003,5619,44,333,11251
15003,5621,19,500,33640
15003,5622,7,107,9271
15003,5629,47,679,36862
15003,6111,58,7766,381677
15003,6112,5,139,4857
15003,6113,27,5222,136104
15003,6114,20,109,5535
15003,6115,31,201,7942
15003,6116,210,1883,29863
15003,6117,22,198,6778
15003,6211,831,4637,421302
15003,6212,454,2921,146000
15003,6213,418,2049,79508
15003,6214,144,5536,458003
15003,6215,32,1436,76682
15003,6216,59,2900,105101
15003,6219,28,677,33619
15003,6221,11,14316,1093712
15003,6223,4,2492,188339
15003,6231,40,3338,126498
15003,6232,39,932,29517
15003,6233,52,2019,68541
15003,6239,10,151,4469
15003,6241,205,5605,126767
15003,6242,56,834,27987
15003,6243,33,851,23761
15003,6244,173,2343,58844
15003,7111,31,1314,26051
15003,7113,11,35,2266
15003,7114,7,20,2562
15003,7115,35,96,6677
15003,7121,22,1560,48330
15003,7131,14,403,9837
15003,7139,133,3901,92338
15003,7211,119,18053,868859
15003,7212,4,7,173
15003,7223,150,3236,82426
15003,7224,153,1416,29330
15003,7225,2140,43782,923997
15003,8111,326,2347,92058
15003,8112,18,107,7391
15003,8113,52,193,10525
15003,8114,49,193,6279
15003,8121,444,2410,58239
15003,8122,23,396,12394
15003,8123,44,1263,40946
15003,8129,255,2658,61727
15003,8131,366,3748,98125
15003,8132,55,629,30978
15003,8133,67,589,31723
15003,8134,59,1519,28730
15003,8139,742,4762,184575
15009,2211,4,382,44889
15009,2213,11,95,6010
15009,2361,133,528,28637
15009,2362,23,340,27820
15009,2371,5,55,2809
15009,2372,7,59,4380
15009,2373,6,153,13693
15009,2381,60,577,32389
15009,2382,120,1429,104755
15009,2383,93,423,24993
