Naics,Establishments,Employees,Payroll
113310,15,60,1485
115112,3,6,236
115210,106,815,32472
212111,53,699,40857
212112,46,1596,92829
211120,26,127,6246
212312,16,517,30300
213111,3,6,351
211130,7,80,3558
213113,17,321,21513
213112,14,92,4884
221122,122,0,0
221112,28,0,0
221111,3,0,0
221210,9,0,0
221310,8,0,0
238990,276,1494,73532
236220,430,5483,310869
238310,143,1642,80867
238210,765,9629,501307
238350,185,907,37193
238330,108,637,26828
238130,57,213,8137
238150,30,421,22445
237310,69,1950,129101
236210,12,80,4677
237210,22,41,2369
238140,169,1139,50332
236117,145,1219,80509
236116,9,65,5274
236115,347,1180,53677
237120,4,222,16354
238290,71,1549,103133
238390,53,1055,23137
238190,11,110,4586
237990,16,40,3123
238320,231,1213,49337
238220,1185,12958,668221
238110,215,1646,82776
237130,38,440,19906
236118,641,2205,80995
238160,139,1324,61900
238170,48,152,5796
238910,445,4462,242294
238120,17,476,24321
238340,50,318,13807
237110,62,504,25761
311999,6,0,0
314999,10,205,4973
315990,3,0,0
312120,12,123,4008
311920,3,0,0
311352,3,0,0
314120,5,297,8348
312140,22,1606,122393
311421,3,0,0
311612,6,156,5447
311119,6,87,3918
311991,4,65,2090
311811,31,327,7056
311942,3,0,0
314910,7,20,708
312130,11,63,897
325199,12,1069,90714
325998,3,48,5105
321999,4,0,0
326199,46,3261,119439
324121,3,0,0
327120,3,178,13070
323111,162,3729,178339
323113,39,631,19947
327331,3,63,3413
322211,7,731,54496
327991,17,196,8507
327215,6,127,6231
325120,10,373,35845
325180,5,0,0
327390,9,34,1543
321918,18,1041,30440
325510,13,284,17895
322220,7,350,17856
325211,12,946,72819
326112,4,137,8074
327110,3,61,2194
325910,3,95,7270
327320,49,577,28410
321113,74,1444,43844
322230,3,286,13560
323120,6,88,2943
325620,3,5,63
326150,4,414,16726
321920,40,1146,43452
333415,5,210,10325
332999,15,256,14770
333999,10,570,27056
339999,18,54,2162
333922,10,742,49369
337212,14,349,19405
332114,3,185,8883
339116,39,282,11530
332813,4,384,9337
333921,3,0,0
332312,12,181,8523
333111,3,0,0
333413,4,399,14724
333511,4,75,4330
333924,3,87,4016
337127,4,175,11109
332111,7,811,37797
331110,3,0,0
331210,3,0,0
339910,3,0,0
332710,162,2292,120644
335220,3,0,0
332812,9,261,11270
332119,4,0,0
332420,9,186,10030
332321,6,49,1523
333131,3,105,6961
336211,6,292,13869
336310,3,6,275
336370,4,436,23631
336360,7,2285,103578
336330,3,1639,85484
336350,3,482,23706
337122,4,16,394
339115,4,0,0
332323,18,566,13393
331318,3,0,0
333318,5,452,28168
333249,9,173,10251
332439,4,201,9470
336390,20,1262,75383
333993,4,455,30459
332313,6,289,16345
332721,10,112,4188
335314,3,275,17054
333243,3,83,4290
332322,24,826,37814
339950,42,355,14960
333514,12,179,9094
339920,8,86,3647
332613,3,0,0
339112,3,0,0
339113,10,197,10937
337121,3,18,749
333992,5,666,29364
337110,25,303,9850
423110,41,447,22523
424810,10,328,19548
424920,10,12,598
423320,19,295,13333
423430,95,292,26143
424450,8,29,2296
423810,95,2217,123619
424430,7,234,11846
424210,71,1424,114319
423610,95,920,61876
423820,78,827,38535
424910,87,718,37580
424460,5,0,0
424930,15,206,7841
424480,18,738,28960
423210,26,371,18242
424410,11,570,35740
424510,21,77,3836
423710,24,323,16406
423220,34,386,20136
423620,4,106,9088
424130,21,189,11112
423830,296,3931,277757
423840,104,1322,76605
423940,13,56,2182
424520,6,17,617
423310,53,567,28664
424470,6,102,4330
423450,62,620,42928
424320,11,51,1673
423510,66,880,44844
423140,3,0,0
423120,116,3480,179375
423420,89,923,47688
423460,5,190,13642
424690,75,589,33135
423440,20,298,27973
423390,20,771,36419
423690,54,1204,85643
424590,11,19,615
424490,95,3445,141276
423990,36,304,17556
424990,41,233,9427
423490,10,25,1439
424420,6,0,0
424950,11,53,2869
424720,9,88,6896
424710,48,612,39058
424610,17,308,23309
423720,24,211,10962
424110,3,31,1922
423930,91,961,45417
423740,3,0,0
423330,39,441,28007
423850,37,573,30312
423910,12,98,6478
424120,25,111,5980
423130,19,289,15631
424940,8,109,3553
423860,4,55,2610
423730,92,1186,78086
425120,327,1759,101113
424820,8,787,64195
424330,15,4,303
446199,145,818,35369
442299,116,1448,21940
445299,20,84,1271
441310,638,5747,131122
445291,10,28,480
445310,471,2410,44240
441222,23,195,7865
448130,79,854,11200
448150,53,399,5672
445292,10,67,816
445120,162,413,6190
446120,142,1457,23669
443142,219,2126,55514
448140,245,5452,73461
442210,101,586,24828
446191,64,289,5766
445230,6,9,287
442110,276,2294,71926
447110,1813,13958,249254
444130,173,1311,37789
444110,29,807,19138
443141,56,471,12897
448310,169,1135,32692
448320,4,53,358
445210,15,112,2433
448110,60,477,9374
441228,71,776,29452
441110,273,13031,624023
444220,223,1694,44578
446130,83,878,18931
444190,407,4220,178596
448190,82,1308,35188
447190,95,638,11942
444210,26,160,5094
444120,77,331,11250
446110,777,10332,394367
441210,17,190,8568
448210,279,2727,38954
445110,720,23834,500343
441320,253,2175,77513
441120,391,2387,96353
442291,3,11,244
448120,385,3672,40275
452319,955,7195,117633
453998,235,1090,30239
453920,18,57,1319
451211,74,940,13329
452210,43,4378,82546
454110,285,7364,311280
453110,111,589,12762
454310,17,128,5795
453220,217,1531,23464
451120,66,1199,18494
453930,22,106,4049
451140,33,217,5448
453210,35,450,6956
454390,210,776,25200
453910,71,825,14566
451130,22,152,2210
451110,216,2471,52772
453991,168,822,13979
453310,267,2055,34054
454210,31,443,13650
452311,67,11407,285981
485510,3,0,0
488510,245,7891,438598
484110,231,1843,76540
484122,75,3361,202754
484121,453,6954,339946
483211,12,2186,160697
485320,3,103,1941
488410,54,436,17347
481211,8,21,2664
488119,20,663,15296
488190,20,517,18815
488490,14,223,3998
488390,4,0,0
488991,8,262,8524
486210,12,0,0
481111,16,271,12368
485991,17,360,11317
484220,472,2838,125159
484230,81,2213,133073
488210,21,1064,54188
485310,3,0,0
484210,48,763,21486
492110,143,2788,116103
493110,174,13176,520701
492210,33,249,9188
493190,15,227,11819
493120,4,84,3621
519190,3,16,1086
517919,7,51,4098
511130,14,425,20750
518210,134,5155,247662
511140,7,0,0
519130,37,268,17505
512110,52,227,10886
512131,11,447,5586
511110,44,1050,32676
511120,38,172,7598
515112,61,780,27637
511210,39,1318,123394
512240,7,9,207
517911,33,206,13040
512191,9,19,1008
515120,12,1078,67142
517311,368,5172,302560
517312,210,1376,81845
524298,18,353,18340
522298,109,1060,71787
524291,29,137,6935
522110,1709,21979,1157354
522291,298,1450,61730
522130,164,1679,76393
524114,94,13895,1185844
524113,54,601,49950
524126,73,1378,105469
524127,7,66,4280
522320,20,706,39837
524210,1736,7884,450527
523930,129,301,24274
523110,6,7,476
523999,4,0,0
523910,24,52,4464
522310,34,240,16922
522390,366,958,44568
524128,3,0,0
523920,350,1064,137940
522292,114,759,63086
522220,23,98,8972
522120,20,88,4258
523120,188,1369,209953
524292,45,3298,268349
523991,7,112,10856
532289,15,302,7316
532412,20,190,19547
532210,94,356,10709
532281,9,152,5895
532310,34,212,8487
532283,42,223,9297
531130,150,372,9840
531120,280,1537,82766
531190,46,164,5318
531110,667,2919,88157
531312,94,619,34829
531210,961,1989,91871
531320,126,234,9750
531390,41,80,3653
532490,75,825,42331
532112,3,0,0
532111,82,785,22876
531311,296,1980,71598
532120,54,420,19536
541611,483,2205,150839
541810,110,1642,108165
541199,7,62,1764
541990,63,88,7369
541310,105,830,58196
541350,25,159,8064
541922,11,21,538
541513,51,113,6334
541512,376,3140,208951
541511,337,3287,259084
541860,23,561,15866
541340,6,0,0
541330,497,8408,614250
541620,48,338,17131
541430,91,329,15645
541612,49,1002,74924
541410,80,255,10743
541320,19,65,3613
541613,177,658,30743
541910,29,307,16992
541211,578,5059,271100
541110,1977,10289,573739
541219,324,1872,68778
541519,35,359,27925
541618,18,309,13206
541690,117,675,47307
541890,66,649,22955
541850,17,81,6854
541214,37,1333,67928
541921,60,169,3543
541614,54,295,11017
541820,33,102,6534
541714,16,83,6309
541713,13,93,6203
541715,46,572,47040
541720,3,0,0
541370,53,164,5387
541213,324,1727,15455
541380,58,577,28541
541191,56,328,18548
541930,9,57,1565
541940,462,4567,182382
551114,549,34556,2931785
551112,36,354,27000
561499,30,132,8541
561990,100,1308,48062
561599,30,426,11005
561613,9,255,8563
561740,50,291,9880
561440,28,1630,71178
561920,19,375,10735
561492,19,74,3005
561410,11,42,1907
561311,31,618,20476
561312,14,36,2448
561710,102,849,31624
561210,48,890,33034
562211,8,51,2246
561611,17,27,665
561720,571,9492,172309
561730,991,6203,204503
561622,15,100,3743
562920,5,148,5346
561110,252,2407,153662
561439,38,155,5539
561790,48,257,10435
561910,5,152,4554
561431,25,142,2583
561330,5,154,8762
562910,22,275,19873
561491,9,46,1628
561612,60,4200,100207
561621,48,612,27600
562991,15,113,3687
562111,88,1314,73602
561422,20,849,42874
561320,405,29334,771246
561520,8,153,3139
561510,47,118,4782
611699,25,129,4446
611513,6,57,1085
611692,3,14,306
611310,26,5183,151348
611511,16,91,3127
611710,52,630,32905
611110,168,5774,181929
611691,43,262,5132
611610,90,498,7111
611210,3,227,6205
611630,3,5,151
611519,28,319,11609
611430,34,210,13319
611620,103,743,9744
621999,38,205,11678
621498,200,3026,201657
621910,26,386,15208
623312,90,2415,51148
621991,9,332,16732
624110,133,1102,33757
624410,845,10934,181334
624210,25,179,6901
623311,23,1569,46609
621512,23,260,14069
624230,5,178,6381
621410,11,68,2938
621493,71,1579,66796
622110,31,33657,1980393
621610,290,8021,317600
621492,83,590,27124
621511,82,1131,70484
623110,210,18177,550118
621399,247,1028,48094
621310,435,1605,50908
621210,1509,10474,484238
621330,227,862,32951
621320,224,1478,52679
621340,451,6354,260384
621111,2681,33129,2882273
621112,89,299,14557
621391,36,211,10003
624229,41,348,11083
624190,460,3273,95435
623990,38,1121,37294
621420,182,2947,108253
622210,7,0,0
623210,380,1914,52750
623220,47,791,20610
624120,764,8650,171366
622310,12,437,22045
624221,31,1152,35695
624310,44,1154,20880
711410,5,7,256
713990,117,927,15206
713120,60,302,2979
713950,15,243,3523
713940,311,5352,65755
713910,103,1884,54631
712120,8,57,2110
711510,83,119,6331
713930,15,69,2665
712110,27,500,15670
711130,13,200,5554
713290,4,0,0
711219,116,1107,45325
711310,12,296,6772
711320,15,107,5625
711212,8,572,24853
711110,11,455,9456
721199,3,3,85
721191,6,6,170
722514,44,611,8619
722320,64,1209,26801
722410,288,2321,34192
722310,211,6070,126712
722511,2788,68689,1089029
721110,668,13469,265182
722513,3327,75482,972946
722330,15,61,1296
721211,8,52,1111
721214,6,19,905
721310,10,56,671
722515,422,5429,75495
811198,4,0,0
812990,78,185,4941
811412,15,70,2675
811121,350,2280,92756
811112,6,23,576
811122,62,292,10769
811191,70,476,8163
811113,27,94,3766
812111,18,72,1868
812112,697,4021,86112
813910,154,856,58318
811192,144,1475,28935
812220,39,378,13318
813410,240,2476,50133
812310,46,237,5201
811310,277,2381,128514
811213,9,5,202
811212,30,278,14416
811211,12,19,536
812191,15,121,1535
812320,147,1034,21893
813312,36,274,9384
812210,281,1717,55341
811111,829,3537,131493
813211,89,253,16101
811411,4,12,233
813311,21,268,6223
812332,14,647,25923
813930,171,1756,38246
812113,40,96,1997
811118,22,116,4439
811219,12,69,3686
813219,20,434,16020
811490,46,112,2834
812199,209,1109,20569
813990,39,321,12447
813319,47,309,12807
812930,52,876,14482
812910,159,1033,20944
813940,12,67,5036
813920,61,392,20453
813110,3319,24569,510449
811420,17,88,2270
813212,48,467,24355
