Naics,Establishments,Employees,Payroll
1141,451,681,54316
1133,397,2144,93814
1152,10,25,370
1151,15,2,109
1153,23,81,5048
1131,3,5,297
2123,5,12,1371
2211,90,1577,132405
2212,3,0,0
2213,6,0,0
2382,1242,6821,352397
2383,743,3244,136457
2381,561,2879,131020
2373,59,470,30247
2372,3,5,224
2362,158,1492,82932
2379,30,121,5012
2389,716,3996,252508
2361,1383,4174,168753
2371,104,1671,123630
3116,8,73,1822
3159,3,4,85
3118,80,1464,47973
3121,86,1564,84978
3115,4,0,0
3132,6,93,3637
3162,6,46,502
3114,12,204,9301
3119,12,310,13144
3169,3,0,0
3149,45,327,14001
3117,17,306,8439
3113,9,82,1395
3273,31,538,28296
3271,6,6,80
3222,4,567,29638
3279,6,49,1916
3219,98,1434,53701
3241,4,100,9198
3254,9,461,31718
3261,27,1472,67935
3231,113,1641,64922
3221,6,810,76250
3262,3,48,3526
3211,55,1558,69081
3256,4,14,542
3212,5,482,27928
3364,3,0,0
3323,62,768,37473
3328,9,82,3896
3333,4,63,5087
3315,3,0,0
3371,48,490,26345
3332,4,10,355
3327,107,2014,111592
3391,28,309,10636
3335,9,36,1852
3362,3,0,0
3363,5,0,0
3345,15,886,60404
3372,22,304,12038
3329,19,235,13133
3339,14,519,29120
3399,114,1021,42696
3344,6,953,79910
3366,73,1088,50391
4243,14,58,3344
4248,20,684,33004
4246,27,185,12956
4242,18,442,43603
4232,31,90,7339
4244,297,3580,168768
4237,82,993,55072
4236,64,515,31407
4233,58,672,41159
4238,194,2184,131960
4235,16,77,3740
4239,126,708,31683
4249,84,440,20165
4231,94,1570,55811
4241,27,404,27170
4247,26,263,16580
4234,86,1683,155550
4251,118,699,32143
4411,331,6875,353767
4413,319,3034,86611
4453,52,279,6164
4441,441,6948,231022
4481,384,4334,68923
4431,123,1168,37798
4421,87,611,23593
4471,794,7554,146539
4451,575,17423,406226
4461,336,3556,133267
4422,184,1314,34547
4483,89,484,14911
4442,135,1175,34321
4412,147,1065,49282
4482,82,700,11728
4452,133,566,19317
4512,29,156,2244
4522,13,1103,18604
4543,380,3204,133436
4541,180,1849,65588
4531,75,291,4754
4523,274,9505,226961
4532,248,1070,20376
4539,314,1347,40122
4511,267,2751,56625
4533,138,802,13755
4542,5,0,0
4831,6,8,246
4885,45,169,8134
4841,293,3996,193877
4812,3,0,0
4859,9,97,2533
4871,12,21,1504
4872,42,91,6199
4811,8,192,5044
4854,20,42,687
4842,427,2354,95087
4881,13,420,18545
4884,54,560,16434
4883,25,138,7430
4853,44,313,6007
4921,41,1394,65754
4922,3,50,1165
4931,55,3926,189972
5152,3,13,313
5182,53,1435,88661
5121,85,716,13080
5111,123,1595,71895
5191,129,559,15832
5179,14,62,2928
5151,38,848,39495
5112,20,129,22455
5122,7,11,921
5173,254,4172,248618
5223,49,1242,124095
5242,492,3618,236957
5221,724,11123,660116
5241,115,7145,545497
5222,93,908,64364
5239,252,1163,129294
5231,72,335,74738
5313,411,2616,97924
5321,48,543,24450
5324,37,214,11439
5322,115,642,20691
5323,15,59,2446
5311,565,1957,67966
5312,583,1057,56660
5412,521,3299,157128
5418,124,820,48232
5413,618,4613,339879
5415,390,2839,194452
5411,722,3999,271379
5416,580,2227,150327
5419,335,2376,95777
5417,55,477,42083
5414,125,262,9831
5511,199,9489,852381
5614,119,2339,69395
5613,140,5701,168388
5612,12,70,1877
5616,74,1003,31933
5611,97,1205,60628
5619,137,1213,50469
5629,113,788,38605
5617,1287,6971,206674
5615,73,677,25846
5621,91,863,36929
5622,9,66,4710
6114,29,83,5488
6113,18,5972,211517
6117,44,904,49672
6111,114,4418,157606
6116,242,1343,25806
6115,17,220,7536
6244,634,4588,93389
6242,74,717,21200
6233,183,4631,111174
6221,23,16446,1135557
6216,109,4797,162515
6241,575,11797,293567
6215,30,171,8313
6231,90,8655,213807
6212,456,3725,206248
6213,874,4574,174863
6211,617,9819,746263
6219,63,1260,34011
6239,62,831,19904
6214,316,7221,403796
6232,580,8756,245666
6243,28,521,12593
7131,15,65,5264
7132,3,0,0
7115,73,115,7673
7121,116,671,22395
7139,552,5749,121381
7111,37,222,5231
7113,33,208,5971
7112,7,146,4297
7224,110,953,20660
7212,250,1106,69581
7225,2959,41210,818903
7213,4,6,85
7223,193,2159,44707
7211,723,8949,268887
8111,1013,4131,147152
8139,303,1380,55502
8134,218,1370,25287
8113,103,493,23554
8122,121,525,18062
8123,101,814,22803
8112,34,95,3776
8132,115,793,38698
8129,197,808,17085
8114,147,780,32095
8121,439,2135,47998
8131,747,4010,77641
8133,207,1202,54145
