Fips,Naics,Establishments,Employees,Payroll
23001,113310,10,47,2463
23001,115210,5,4,103
23001,221111,8,48,5550
23001,236115,17,64,3425
23001,236118,64,154,5503
23001,236220,13,104,6608
23001,237110,8,121,8268
23001,237120,3,27,1965
23001,237130,3,87,6922
23001,237310,4,46,5840
23001,237990,3,3,322
23001,238110,6,17,1058
23001,238130,10,25,965
23001,238140,8,54,2307
23001,238160,19,245,13804
23001,238210,41,367,25191
23001,238170,8,12,579
23001,238220,73,556,30664
23001,238290,3,42,2246
23001,238320,16,48,1655
23001,238310,14,162,8539
23001,238330,12,34,1156
23001,238350,19,73,2905
23001,238390,5,23,1777
23001,238910,44,249,15857
23001,238990,15,71,6377
23001,311812,4,567,31132
23001,313210,5,93,4670
23001,316998,3,18,776
23001,321113,4,17,828
23001,321920,4,322,12068
23001,321999,3,54,3354
23001,323111,5,460,22046
23001,323113,8,40,1294
23001,326199,3,87,2021
23001,332322,3,168,9156
23001,332710,8,49,2581
23001,332999,3,49,2095
23001,337122,3,84,5271
23001,337212,3,7,362
23001,339999,3,52,3757
23001,423110,3,20,784
23001,423120,6,69,2266
23001,423130,3,74,3735
23001,423330,3,31,2186
23001,423420,6,31,1638
23001,423510,3,10,303
23001,423720,3,27,1424
23001,423830,11,327,22207
23001,423840,6,135,7898
23001,423850,4,20,793
23001,423930,7,101,5810
23001,423990,5,26,1479
23001,424210,4,9,163
23001,424450,3,24,1208
23001,424490,12,140,6432
23001,424910,4,46,3465
23001,424920,3,17,786
23001,441110,9,404,30194
23001,441120,33,124,5539
23001,441228,3,12,450
23001,441310,16,145,4324
23001,441320,10,95,4213
23001,442110,6,77,2952
23001,442210,5,27,1294
23001,442299,6,48,1017
23001,443142,7,35,1297
23001,444120,3,11,533
23001,444110,3,333,8818
23001,444130,14,111,3408
23001,444190,17,122,5923
23001,444210,6,71,3864
23001,444220,9,51,1920
23001,445110,23,1121,29215
23001,445120,18,89,2093
23001,445220,3,9,197
23001,445310,9,63,1895
23001,446110,19,219,8941
23001,446120,3,32,491
23001,446130,3,18,457
23001,446191,3,38,1248
23001,446199,6,79,3364
23001,447110,41,488,11725
23001,447190,4,24,1219
23001,448120,3,18,197
23001,448210,4,28,616
23001,448310,5,51,1730
23001,451110,13,55,1061
23001,451130,3,30,533
23001,452319,15,244,4907
23001,453110,4,28,523
23001,453220,5,26,449
23001,453310,7,65,1885
23001,453910,4,37,942
23001,453930,3,10,346
23001,453991,4,17,582
23001,453998,28,150,7787
23001,454110,10,24,1166
23001,454210,3,34,1616
23001,454310,14,182,8253
23001,454390,6,19,664
23001,484110,15,112,6059
23001,484121,11,453,28740
23001,484122,4,108,8335
23001,484210,4,18,409
23001,484220,17,99,6112
23001,484230,4,21,1348
23001,488210,4,22,854
23001,488410,6,35,1699
23001,492110,8,453,19803
23001,493110,8,837,51176
23001,511110,4,94,2654
23001,517311,7,77,5305
23001,517312,5,39,2213
23001,518210,8,398,28374
23001,522110,18,1756,91773
23001,522120,12,253,29019
23001,522130,19,248,12483
23001,522292,9,51,6441
23001,522298,3,40,1252
23001,523120,5,12,1626
23001,523920,4,13,1120
23001,523930,6,8,766
23001,524126,12,325,21275
23001,524210,35,149,8781
23001,531110,29,100,3465
23001,531120,9,24,1107
23001,531130,3,7,123
23001,531190,5,18,383
23001,531210,41,56,3156
23001,531311,13,80,3321
23001,531320,9,25,2028
23001,532120,3,46,1986
23001,532210,4,19,1099
23001,532490,7,29,2028
23001,541110,43,291,29437
23001,541191,3,3,242
23001,541214,4,232,11780
23001,541219,14,71,2894
23001,541310,6,85,9227
23001,541330,8,44,4325
23001,541350,4,8,301
23001,541370,3,21,1355
23001,541511,5,11,464
23001,541512,7,45,3692
23001,541611,9,19,1780
23001,541613,6,32,2607
23001,541620,4,11,519
23001,541690,6,21,1508
23001,541890,9,241,15060
23001,541940,8,124,5135
23001,551114,12,643,46722
23001,541211,14,101,6877
23001,541213,8,40,725
23001,561110,8,162,10588
23001,561210,11,201,6300
23001,561320,13,699,18168
23001,561410,4,4,127
23001,561720,31,305,7063
23001,561730,48,128,5546
23001,561790,4,5,183
23001,561990,8,59,1898
23001,562111,6,39,1369
23001,562910,4,59,3099
23001,562920,3,70,3953
23001,562991,4,19,764
23001,611110,8,228,9035
23001,611610,5,28,310
23001,611620,4,16,183
23001,621111,24,325,39495
23001,621310,15,57,2536
23001,621210,29,285,19243
23001,621320,6,52,3098
23001,621330,10,143,5223
23001,621340,23,128,5027
23001,621391,3,5,279
23001,621399,7,15,666
23001,621420,8,184,8333
23001,621492,4,33,2398
23001,621498,7,242,14234
23001,621610,7,496,24662
23001,621910,4,154,5550
23001,623110,6,577,20289
23001,623210,60,836,32814
23001,623220,11,208,7667
23001,623312,5,172,6019
23001,623990,5,134,4138
23001,624110,8,75,3113
23001,624190,25,269,11084
23001,624221,4,81,2478
23001,624229,3,19,662
23001,624310,4,43,1281
23001,624410,64,357,9967
23001,711510,7,15,992
23001,712110,3,6,187
23001,713910,8,32,2111
23001,713940,9,151,2363
23001,713990,8,37,474
23001,721110,14,204,6316
23001,721211,5,7,268
23001,721214,5,24,2646
23001,722310,14,194,6146
23001,722330,3,0,41
23001,722513,91,1430,27373
23001,623311,4,193,6583
23001,624120,30,775,22225
23001,722410,9,23,704
23001,722511,69,1060,27257
23001,722515,35,537,10488
23001,811111,54,172,7432
23001,811118,3,6,261
23001,811121,15,128,6323
23001,811191,5,32,1062
23001,811310,12,64,3919
23001,811490,4,4,112
23001,812112,26,210,5971
23001,812199,3,36,853
23001,812220,6,14,893
23001,812210,11,75,2531
23001,812310,4,13,242
23001,812910,9,28,650
23001,813110,41,189,4352
23001,813311,3,6,402
23001,813312,4,31,1155
23001,813410,24,155,2647
23001,813930,4,8,501
23003,113310,133,521,22736
23003,115310,4,39,2302
23003,236115,14,37,1718
23003,236118,32,45,1508
23003,236220,11,58,3042
23003,237110,5,14,619
23003,237310,7,32,2975
23003,238110,3,8,316
23003,238140,4,9,214
23003,238160,3,8,476
23003,238210,15,124,6593
23003,238220,27,108,5743
23003,238310,4,9,325
23003,238350,4,24,1010
23003,238910,33,146,9147
23003,238990,7,25,2442
23003,321113,12,239,11263
23003,321219,3,356,27130
23003,323113,4,29,628
23003,332322,3,6,198
23003,332710,5,22,685
23003,423110,3,33,1587
23003,423810,5,54,3767
23003,423840,3,8,585
23003,423990,4,14,502
23003,424480,11,90,6994
23003,424490,5,45,2318
23003,424910,5,26,1730
23003,441110,8,239,11946
23003,441120,10,63,2197
23003,441228,10,69,2886
23003,441310,17,169,5575
23003,441320,10,56,2547
23003,442110,4,27,1097
23003,443142,3,17,640
23003,444110,3,181,5717
23003,444130,3,31,1160
23003,444190,13,124,5468
23003,444220,10,78,2153
23003,445120,6,24,665
23003,445110,31,905,20305
23003,446110,13,115,4305
23003,447110,44,434,8534
23003,447190,18,126,4739
23003,448310,3,15,220
23003,448140,5,59,681
23003,451110,3,11,210
23003,452319,19,304,4917
23003,453110,4,18,248
23003,453220,3,6,131
23003,453991,4,11,588
23003,453998,6,15,530
23003,454110,9,26,1443
23003,454310,13,113,5828
23003,454390,10,20,605
23003,484110,17,74,3262
23003,484121,38,303,13498
23003,484122,4,118,4645
23003,484220,51,159,5374
23003,484230,18,90,4977
23003,485310,3,18,386
23003,488510,6,39,2151
23003,492110,6,123,5042
23003,515112,3,27,482
23003,517311,14,92,6032
23003,519120,3,6,45
23003,522110,20,187,10983
23003,522120,6,55,3104
23003,522130,15,249,11787
23003,523920,3,9,726
23003,524210,28,151,6978
