Fips,Naics,Establishments,Employees,Payroll
26033,4442,3,0,0
26033,4451,14,237,4629
26033,4452,3,12,217
26033,8132,4,6,221
26033,8134,7,48,205
26033,8139,8,25,151
26033,4461,6,66,2492
26033,4471,21,156,3239
26033,4481,6,102,1203
26033,4482,5,15,283
26033,4511,6,43,614
26033,4523,8,447,12309
26033,4532,15,75,1608
26033,4533,3,0,0
26033,4543,6,15,647
26033,4841,12,123,5338
26033,4842,6,18,812
26033,4872,3,9,678
26033,4883,6,5,563
26033,5173,9,46,2464
26033,5221,25,206,7662
26033,5223,3,5,171
26033,5239,5,0,0
26033,5242,14,52,2185
26033,5311,9,43,1187
26033,5312,6,17,387
26033,5313,3,0,0
26033,5322,5,15,350
26033,5411,12,26,1112
26033,5412,9,108,2293
26033,5413,7,26,1323
26033,5415,3,0,0
26033,5416,4,0,0
26033,5419,7,45,1184
26033,5612,3,0,0
26033,5617,10,37,736
26033,6111,5,162,5665
26033,6211,25,241,17722
26033,6212,9,49,3058
26033,6213,11,133,6910
26033,6214,6,24,2106
26033,1133,5,9,520
26033,6232,7,79,2230
26033,6233,4,121,2145
26033,6241,8,400,9061
26033,6244,4,12,184
26033,7121,3,0,0
26033,2211,3,0,0
26033,2361,25,50,2955
26033,2362,3,15,1234
26033,2381,12,26,2054
26033,7139,11,49,1168
26033,7211,22,1114,25152
26033,2382,20,95,6050
26033,2383,7,8,325
26033,2389,13,18,1071
26033,7212,5,5,99
26033,7224,12,60,790
26033,7225,63,741,12341
26033,3399,3,49,1453
26033,4231,6,0,0
26033,4236,3,10,403
26033,4239,3,7,301
26033,4244,4,31,1689
26033,8111,22,113,2880
26033,4411,5,117,4931
26033,4412,4,19,539
26033,4413,6,44,1069
26033,4421,3,35,1216
26033,4431,5,18,339
26033,4441,11,100,3572
26033,8113,3,9,278
26033,8121,14,47,741
26033,8122,6,18,421
26033,8131,24,108,1568
26115,3334,3,0,0
26115,3335,12,387,24959
26115,3339,4,127,7597
26115,3363,3,0,0
26115,3371,5,0,0
26115,3399,4,7,144
26115,5242,52,208,10909
26115,5311,35,144,3284
26115,7225,199,3651,50687
26115,4231,9,79,3901
26115,4233,6,41,2361
26115,4234,3,17,862
26115,4235,7,247,11122
26115,4236,4,91,3165
26115,4237,7,25,1411
26115,4238,14,104,6089
26115,5312,15,27,1149
26115,5313,10,30,950
26115,5321,5,47,1975
26115,5322,5,25,565
26115,8111,66,248,8932
26115,4239,9,66,3420
26115,4244,5,244,16121
26115,4245,4,29,1480
26115,4249,7,77,3200
26115,4251,8,377,13181
26115,5411,26,78,3208
26115,5412,27,148,3389
26115,8112,5,22,891
26115,8113,8,32,1812
26115,8114,7,5,174
