Naics,Establishments,Employees,Payroll
1141,16,20,696
1142,5,19,454
2371,731,19015,1092428
3117,13,240,10124
3118,255,8326,323358
1151,102,1073,40364
2381,2945,24186,1060801
2361,5981,22180,1176263
2382,6207,64920,3141609
3111,41,1132,56994
2211,720,18619,1916956
3112,28,1061,60601
1152,128,518,13991
3113,35,644,19310
3119,74,4844,221197
1153,76,386,15544
2372,221,1191,68497
2111,5,0,0
2362,1215,14956,978678
3114,42,3792,191883
3121,271,5381,225163
2123,158,2857,146488
2212,52,0,0
2373,348,11300,631097
2389,2101,19982,928788
2213,85,718,31170
3115,23,1347,57922
3116,109,33096,1122141
1131,15,130,8614
1132,11,70,2845
2379,136,1279,56274
2383,3272,17494,736154
1133,478,2837,117647
2131,29,116,5050
3132,125,10918,454552
3133,108,6226,264259
3161,7,167,4153
3169,18,293,8966
3221,20,4126,322622
3222,145,12292,689471
3252,67,4428,222663
3369,29,232,9104
3211,171,4935,219954
3253,30,1357,107235
3274,4,300,16949
3279,102,2473,116823
3324,43,2957,192639
3331,50,4901,238688
3359,68,5995,358247
3371,489,26340,973599
3399,386,6547,278649
4232,521,6633,365633
4237,717,8638,581508
3254,76,19015,1580368
3141,105,3718,122226
3325,18,1238,59852
3332,129,3660,221657
3212,83,5402,240066
3231,771,12403,528425
3311,8,869,65668
3312,16,867,37041
3326,34,1508,65511
3341,19,543,34021
3361,6,0,0
3362,61,4571,232917
3149,158,3311,119538
3255,54,3169,187656
3262,75,8413,474068
3313,6,381,20842
3314,24,3226,230344
3327,594,7246,333909
3342,24,921,64912
3315,28,2057,117261
3333,29,1410,92610
3343,8,158,7198
3344,68,8188,703224
4233,709,10326,565220
4239,706,6655,318651
3219,364,10802,416671
3256,81,7430,384955
3334,65,5410,298684
3363,146,19078,969714
4238,1715,23655,1603155
3321,50,2315,108166
3372,179,5202,206213
4235,266,4012,251512
3151,77,5985,170334
3271,59,1485,63505
3345,88,3657,228612
3241,49,1034,59190
3259,76,2623,142190
3322,21,655,31007
3328,109,2113,85002
3335,107,2315,118204
4231,686,11204,527293
4236,827,20126,2175590
3272,50,4348,286895
3323,373,10623,533975
3379,31,1307,52838
3152,74,1537,34158
3251,53,4296,387570
3273,329,5170,241960
3329,128,7707,440996
3346,10,860,40419
3364,29,6362,419174
3122,26,6318,341342
3336,29,5399,302984
3351,27,938,54105
3365,4,0,0
3366,66,1807,89950
3391,306,7045,379373
4234,1012,20185,1876369
3131,77,9740,350420
3159,20,616,12992
3261,333,25207,1174136
3339,155,11531,770076
3352,5,1563,70348
3353,52,5940,322218
4241,287,4002,211688
4531,392,1582,30363
4541,1180,8933,370701
4841,2261,30469,1483118
4931,476,28057,1082302
4248,126,5789,290468
4511,1192,12434,237408
4854,36,795,14665
4883,39,963,38939
4421,1006,8034,284397
4453,615,3995,84744
4532,940,6775,113290
4855,34,898,24850
4884,371,3073,109071
5121,394,5800,124217
4442,609,5104,126473
4481,2887,37844,544844
4542,158,1379,47382
4859,113,1897,42800
4242,233,7802,979835
