Naics,Establishments,Employees,Payroll
1133,75,384,19136
1152,24,58,1100
1153,12,95,10046
2123,28,191,16414
2211,82,2113,247519
2212,4,431,48533
2213,17,226,16085
2382,1382,9461,653353
2383,719,5435,378904
2381,509,3734,249289
2373,67,1170,135851
2372,8,36,2725
2362,132,2166,189539
2379,16,90,6240
2389,637,3393,254134
2361,1134,4001,253449
2371,113,1798,174596
3118,50,720,28229
3121,78,1349,85184
3152,7,129,6060
3115,3,482,43196
3132,5,237,18756
3119,16,193,8030
3169,3,22,967
3149,31,153,6841
3113,13,834,62639
3251,3,169,11918
3273,32,544,32123
3222,11,377,31063
3272,3,16,706
3274,3,183,15623
3259,6,24,1190
3279,20,464,39548
3219,62,942,53713
3255,10,466,29592
3241,4,14,996
3254,7,1853,194405
3261,63,3285,208859
3231,108,1468,84723
3252,8,200,14987
3262,4,522,30113
3211,35,698,41020
3212,3,60,13867
3364,3,428,33659
3323,81,1800,111156
3343,4,132,10100
3328,20,575,28735
3333,26,2144,150157
3342,8,94,7943
3341,3,713,87363
3353,8,167,20004
3321,3,80,2427
3315,8,826,46217
3325,3,10,271
3371,18,278,12690
3332,16,824,63049
3327,187,3259,207871
3346,3,8,299
3391,51,3444,255804
3335,36,884,60509
3363,9,251,10613
3345,56,4871,451361
3372,18,391,22418
3359,32,2886,179958
3329,38,4038,318233
3339,25,1266,119189
3399,70,1873,115715
3344,80,4286,333814
3334,3,176,14932
4243,34,1276,141660
4248,12,774,54865
4246,51,439,34406
4242,27,331,26260
4232,38,245,24148
4244,120,2929,167846
4237,108,1297,100374
4236,178,2199,286497
4233,97,1278,136419
4238,227,2900,242151
4235,30,371,38909
4239,120,1272,85136
4249,85,1157,67834
4231,112,1235,75130
4241,26,278,21205
4247,22,395,26922
4234,171,2998,366395
4251,151,779,71065
4411,342,7753,674682
4413,320,2839,108305
4453,95,826,20786
4441,410,9689,393986
4481,397,5128,97268
4431,129,1373,60703
4421,121,1029,57341
4471,570,4626,122415
4451,459,20030,513630
4461,376,3756,132922
4422,157,1685,48282
4483,116,649,25331
4442,136,1216,50596
4412,128,1515,106253
4482,99,934,22864
4452,100,753,19473
4512,40,316,6186
4522,22,2099,40088
4543,251,2783,170880
4541,241,3457,196662
4531,74,364,7695
4523,221,11148,316467
4532,161,1127,26057
4539,316,2051,80778
4511,271,2787,77458
4533,114,962,22363
4542,12,45,3768
4885,30,525,28173
4841,214,2963,172709
4852,4,50,2675
4812,18,427,40302
4859,16,227,5191
4872,9,43,2193
4811,3,118,4847
4854,33,1807,48998
4842,186,1042,55610
4881,24,415,28495
4884,59,387,16728
4883,3,24,2656
4853,31,292,9732
4921,64,4446,186747
4922,24,787,25224
4931,55,1867,106634
5182,65,3100,266909
5121,70,561,36323
5111,73,1385,98426
5191,56,429,44012
5179,14,113,9027
5151,31,430,28177
5112,95,3958,574258
5122,6,37,1752
5173,262,3503,357885
5223,55,537,63277
5242,495,4264,363217
5221,548,6815,545632
5241,158,7312,807508
5222,161,1319,190247
5239,386,3749,797224
5231,112,2306,348905
5313,383,3058,162765
5321,65,890,84611
5324,45,460,37105
5322,80,437,26095
5323,4,72,7426
5331,3,2,157
5311,557,1969,86908
5312,351,963,61969
5412,532,3633,247172
5418,122,1080,61590
5413,574,9969,1065261
5415,610,5420,837442
5411,622,3672,375918
5416,626,3749,377385
5419,323,3068,174172
5417,92,1958,221434
5414,85,333,21373
5511,200,7841,834972
5614,112,2006,102827
5613,231,8009,412221
5612,25,448,20612
5616,80,1894,73178
5611,155,1433,140503
5619,67,708,43392
5629,95,835,51549
5617,1520,7981,375358
5615,69,372,19627
5621,102,1376,86191
5622,12,51,3928
6114,38,256,42082
6113,20,12819,671948
6117,38,376,21389
6111,154,7488,329590
6116,343,2176,48938
6115,34,206,10507
6244,442,4789,131637
6242,109,997,31948
6233,113,4726,164206
6221,24,24613,1717458
6216,96,4272,189754
6241,343,8081,236654
6215,62,370,20407
6231,96,5980,244830
6212,598,5056,375017
6213,662,4065,194773
6211,710,9380,1078596
6219,34,661,31267
6239,22,359,13351
6214,218,10921,939867
6232,96,3269,127767
6243,36,516,16152
7114,3,6,735
7131,42,362,23190
7132,8,410,11835
7115,41,56,30741
7121,66,399,14444
7139,550,9170,218890
7111,41,154,6602
7113,42,259,11773
7112,13,33,2497
7224,25,387,12680
7212,153,506,40508
7225,2888,42702,1102622
7213,4,16,107
7223,326,2294,65695
7211,444,6427,196613
8111,1030,4652,228189
8139,279,1695,110469
8134,174,1102,25401
8113,84,497,34015
8122,78,331,17618
8123,116,1540,59135
8112,61,384,27904
8132,69,341,20099
8129,259,1231,33491
8114,112,376,16024
8121,735,3569,107792
8131,655,3443,84304
8133,123,1140,62629
