Fips,Naics,Establishments,Employees,Payroll
56005,2111,19,279,35199
56005,2121,11,3569,352879
56005,2131,89,1177,88152
56005,2211,11,350,35953
56005,2212,4,22,2002
56005,2213,3,12,884
56005,2361,20,43,2691
56005,2362,13,214,14592
56005,2371,21,345,27285
56005,2373,6,195,15693
56005,2381,25,144,6753
56005,2382,46,389,29025
56005,2383,11,63,1868
56005,2389,30,416,27082
56005,3121,4,5,285
56005,3231,5,13,613
56005,3273,3,33,2766
56005,3323,3,57,4427
56005,3327,6,236,20583
56005,3331,4,60,4095
56005,3399,3,13,430
56005,4231,3,172,12659
56005,4234,3,2,324
56005,4236,8,52,4416
56005,4238,41,610,49442
56005,4239,3,22,1676
56005,4244,6,94,3497
56005,4246,9,151,9397
56005,4247,4,91,5978
56005,4411,11,236,12660
56005,4412,8,53,1979
56005,4413,15,236,12988
56005,4421,4,29,1154
56005,4422,5,26,998
56005,4431,5,27,849
56005,4441,11,328,10919
56005,4442,3,11,287
56005,4451,6,275,7649
56005,4453,8,69,1601
56005,4461,8,69,2796
56005,4471,19,180,5257
56005,4481,8,51,751
56005,4511,11,92,1817
56005,4523,6,534,15521
56005,4531,5,16,255
56005,4532,5,39,819
56005,4533,3,23,355
56005,4539,9,39,1208
56005,4543,11,36,1346
56005,4812,3,33,2663
56005,4841,26,84,3898
56005,4842,30,322,23390
56005,4861,6,57,6463
56005,4862,4,17,1799
56005,4882,3,147,7251
56005,4921,3,78,2913
56005,4931,5,191,24351
56005,5173,10,190,9537
56005,5221,13,222,13066
56005,5222,5,18,1037
56005,5223,5,23,714
56005,5231,3,5,1250
56005,5239,6,12,1260
56005,5242,15,80,5205
56005,5311,23,57,1617
56005,5312,29,37,1663
56005,5313,11,71,1482
56005,5321,4,20,406
56005,5322,3,18,590
56005,5324,8,137,13157
56005,5411,27,101,5299
56005,5412,26,141,4832
56005,5413,27,179,11722
56005,5415,8,61,3256
56005,5416,27,52,2435
56005,5419,13,105,4790
56005,5511,8,250,31071
56005,5611,5,8,620
56005,5613,5,125,5380
56005,5614,3,41,1297
56005,5616,6,137,4043
56005,5617,38,206,6159
56005,5619,3,12,660
56005,5629,5,61,2886
56005,6116,8,28,420
56005,6211,27,127,13469
56005,6212,17,123,7344
56005,6213,34,166,7770
56005,6214,6,32,1360
56005,6219,3,11,831
56005,6233,3,37,1007
56005,6241,16,79,1919
56005,6244,12,84,1276
56005,7139,16,116,1937
56005,7211,27,401,7478
56005,7223,5,10,156
56005,7224,9,83,1127
56005,7225,73,1630,34155
56005,8111,43,200,8529
56005,8113,35,264,22428
56005,8121,15,29,594
56005,8123,5,37,726
56005,8131,25,131,3121
56005,8134,9,28,616
56005,8139,7,22,557
56023,1142,3,1,38
56023,2131,8,77,5777
56023,2211,3,177,16640
56023,2361,59,191,8673
56023,2371,5,19,1197
56023,2373,3,12,967
56023,2381,20,80,3796
56023,2382,30,90,4883
56023,2383,28,86,3013
56023,2389,31,112,6651
56023,3399,3,1,31
56023,4251,4,5,84
56023,4411,4,68,3225
56023,4412,3,8,275
56023,4441,7,94,3279
56023,4442,4,20,385
56023,4451,5,240,5280
56023,4461,5,22,935
56023,4471,15,135,3224
56023,4481,3,20,216
56023,4511,3,7,64
56023,4523,6,75,945
56023,4539,3,3,92
56023,4541,4,5,158
56023,4543,25,18,1562
56023,4841,6,9,712
56023,4842,13,155,10189
56023,4862,3,20,1962
56023,4881,3,39,2284
56023,5173,7,77,5973
56023,5221,9,77,4451
56023,5239,5,7,424
56023,5242,8,26,799
56023,5311,13,24,634
56023,5312,15,8,525
56023,5313,4,7,401
56023,5411,13,32,1228
56023,5412,18,38,1126
56023,5413,9,41,1513
56023,5414,3,5,123
56023,5415,6,10,206
56023,5416,34,35,2110
56023,5419,10,35,901
56023,5611,6,34,1822
56023,5616,3,24,891
56023,5617,26,82,2227
56023,5621,3,22,841
56023,5629,3,12,571
56023,6212,9,58,1674
56023,6213,13,47,1632
56023,6214,3,24,992
56023,6241,12,150,3492
56023,6244,6,23,216
56023,7139,14,51,1454
56023,7211,15,110,2497
56023,7223,3,17,257
56023,7224,6,39,326
56023,7225,38,346,4114
56023,8111,19,72,2486
56023,8113,4,5,256
56023,8121,6,12,404
56023,8129,4,12,237
56023,8131,3,5,134
56023,8139,4,16,565
56019,2111,3,2,116
56019,2131,8,24,677
56019,2211,3,12,1102
56019,2361,19,29,1165
56019,2362,3,17,820
56019,2371,6,51,3000
56019,2381,10,34,1250
56019,2382,15,39,1994
56019,2383,4,6,195
56019,2389,14,49,3249
56019,4238,5,16,834
56019,4413,6,74,3198
56019,4441,4,41,1281
56019,4451,4,77,1562
56019,4453,4,22,361
56019,4471,5,44,952
56019,4532,3,21,260
56019,4539,3,1,45
56019,4541,5,7,163
56019,4543,5,13,664
56019,4841,5,20,969
56019,4842,7,42,2105
56019,4884,4,10,184
56019,5111,5,19,872
56019,5191,3,14,1234
56019,5221,4,126,8084
56019,5222,4,4,320
56019,5239,7,10,599
56019,5241,4,7,156
56019,5242,8,34,1244
56019,5311,4,3,85
56019,5312,8,8,322
56019,5313,4,5,221
56019,5411,9,24,1149
56019,5412,14,61,1083
56019,5413,10,65,4000
56019,5415,15,23,1442
56019,5416,24,78,5287
56019,5419,8,40,1187
56019,5611,3,4,221
56019,5614,4,121,1527
56019,5617,10,21,1007
56019,6212,5,31,1274
56019,6213,8,20,758
56019,6233,4,26,765
56019,6241,5,32,897
56019,6244,8,33,588
56019,7115,4,0,244
56019,7139,9,54,723
56019,7211,14,83,1945
56019,7212,7,25,1789
56019,7223,3,0,8
56019,7224,4,22,270
56019,7225,23,218,3393
56019,8111,8,47,2156
56019,8113,3,4,177
56019,8121,3,21,359
56019,8129,3,6,235
56019,8131,9,27,572
56019,8139,4,16,215
56025,2111,25,140,14020
56025,2123,4,62,4450
56025,2131,101,1658,166982
56025,2211,8,95,9911
56025,2212,5,131,14893
56025,2213,3,15,909
56025,2361,76,162,6681
56025,2362,19,171,11330
56025,2371,13,372,37938
56021,1151,3,10,295
56021,2111,8,40,5635
56001,2131,3,9,210
56001,2211,5,24,2119
56001,2212,3,18,1529
56001,2361,43,114,4515
56001,2362,8,97,5987
56007,2111,4,58,4916
56007,2131,5,23,943
56007,2211,6,48,3282
56007,2212,5,15,1120
56007,2361,13,47,2021
56007,2362,6,44,1829
56007,2371,6,77,4558
56007,2381,3,10,534
56007,2382,8,8,382
56007,2383,4,5,149
56007,2389,8,43,2683
56007,3116,3,2,207
56007,4411,3,21,1023
56007,4413,3,22,761
56007,4441,7,62,2567
56007,4451,4,129,3701
56007,4453,5,13,224
56007,4461,3,7,288
56007,4471,25,262,7694
56007,4481,3,2,49
56031,1152,3,5,34
56031,2211,3,400,42500
56031,2212,3,3,209
56031,2361,5,10,348
56031,2371,6,14,831
56031,2381,5,32,1837
56031,2382,6,21,860
56031,2389,7,8,275
56031,3273,4,42,1298
56031,4413,5,44,1307
56031,4441,5,56,1058
56031,4451,3,80,1716
56031,4461,3,19,506
56031,4471,9,100,2538
56025,2381,54,184,8139
56025,2382,81,1033,67988
56025,2383,39,158,5632
56025,2389,42,284,17833
56025,3118,3,7,679
56025,3121,4,15,536
56025,3149,4,17,489
56025,3219,5,41,1051
56025,3259,3,33,2026
56025,3261,3,92,4453
56025,3273,3,85,7451
56025,3323,5,76,3990
56025,3324,3,58,4692
56025,3327,10,72,3735
56021,2131,14,326,25269
56021,2211,10,188,16716
56021,2361,91,249,9924
56021,2362,21,232,13609
56021,2371,16,130,6918
56021,2373,4,311,21973
56021,2381,58,373,18591
56021,2382,65,634,36109
56021,2383,53,239,9100
56031,4841,5,29,1638
56031,4842,8,42,2067
56031,4862,3,14,1398
56031,5173,4,9,272
56031,5221,11,99,5774
56031,5242,7,17,472
56031,5311,6,9,161
56031,5411,5,10,459
56031,5412,5,9,128
56031,5419,4,26,1008
56031,5617,6,10,245
56031,6213,4,20,811
56031,6241,3,34,720
56031,6244,5,71,1928
56031,7139,4,11,172
56031,7211,8,130,2349
56031,7224,3,17,255
56031,7225,21,213,2606
56031,8131,15,37,498
56025,3329,7,107,6497
56025,3331,11,525,35681
56025,3363,3,27,1016
56025,3371,4,10,333
56025,3391,4,16,1015
56025,3399,5,31,780
56025,4231,15,199,10871
56025,4233,11,70,3232
56025,4234,11,65,4626
56025,4235,7,73,5034
56025,4236,10,108,8228
56025,4237,10,71,4270
56025,4238,80,1391,113962
56025,4239,9,91,4442
56025,4241,3,16,805
56025,4244,7,110,3898
56025,4246,12,95,7693
56025,4247,8,113,7334
56021,2389,43,270,15300
56021,3121,4,36,805
56021,3241,4,333,32558
56021,3251,4,31,1506
56021,3273,4,48,4014
56021,3323,5,96,5772
56021,3329,5,189,9841
56021,3344,3,62,2232
56021,3399,5,52,1917
56021,4231,7,131,6784
56021,4232,3,4,333
56021,4233,5,33,2893
56021,4234,10,29,1945
56021,4235,4,17,570
56021,4236,5,14,907
56021,4237,7,28,1512
56021,4238,16,159,11864
56021,4239,11,46,1301
56021,4241,3,9,425
56021,4242,4,7,809
56021,4244,10,174,7428
56021,4245,4,21,983
56021,4246,8,88,5589
56021,4247,5,91,3243
56021,4248,4,102,6666
56021,4249,4,9,569
56009,2111,5,115,14756
56009,2131,28,471,39486
56009,2211,10,240,22605
56009,2212,3,15,1439
56009,2361,6,13,554
56009,2362,3,35,1410
56009,2371,11,524,47685
56009,2381,5,17,533
56009,2382,10,80,4923
56009,2383,3,5,44
56009,2389,9,23,1411
56009,4235,3,15,3236
56009,4413,6,27,1226
56009,4441,4,32,1150
56009,4442,3,15,504
56009,4451,5,91,2760
56009,4453,5,34,572
56009,4471,7,116,2613
56027,2361,4,8,249
56027,2371,3,8,475
56027,2389,3,2,63
56027,4471,3,56,846
56027,4842,3,16,1430
56027,5617,3,3,42
56027,7211,5,22,426
56027,7225,4,27,319
56027,8113,3,8,408
56029,2111,7,77,7072
56029,2131,13,91,6185
56029,2212,3,24,1879
56029,2361,58,136,5391
56039,1151,4,19,806
56039,1152,3,5,182
56039,2361,125,633,40902
56039,2362,14,67,4007
56039,2371,3,97,8872
56039,2381,31,363,23685
56033,2111,3,7,423
56033,2131,8,32,2514
56033,2361,44,220,9518
56033,2362,8,57,3892
56033,2371,7,68,6267
56033,2373,3,10,405
56033,2381,22,145,7301
56033,2382,39,240,12808
56033,2383,15,63,1993
56033,2389,27,120,7151
56033,3121,5,38,1164
56033,3149,3,67,3346
56033,3273,4,10,562
56003,2123,4,164,10230
56003,2361,14,49,1576
56003,2371,3,38,3406
56003,2373,5,134,11493
56003,2381,7,43,2682
56003,2382,11,17,662
56003,2389,12,31,1905
56003,3116,3,8,244
56011,1133,7,28,906
56011,2123,5,146,10604
56011,2131,6,79,5389
56011,2361,13,50,2021
56011,2362,3,14,682
56011,2381,6,20,749
56011,2382,9,22,1302
56011,2383,3,31,1297
56011,2389,11,55,3376
56011,4238,3,22,1388
56011,4451,5,39,875
56011,4471,6,89,1704
56011,4841,4,16,545
56011,4842,5,6,277
56011,5242,3,17,722
56011,5311,3,3,173
56011,5312,3,4,71
56011,5412,9,11,329
56011,5617,7,11,267
56011,6212,3,3,357
56011,6213,4,14,894
56011,6241,3,13,350
56011,7139,6,24,1341
56011,7211,11,27,556
56011,7212,3,6,474
56011,7224,5,18,336
56011,7225,15,98,1392
56011,8111,7,18,795
56011,8113,3,4,161
56011,8131,5,9,155
56001,2381,18,118,6366
56001,2382,24,174,7986
56001,2383,17,59,2078
56001,2389,16,72,3549
56001,3345,3,120,8381
