fips,Naics,Establishments,Employees,Payroll
1,1141,12,16,781
1,1133,496,3714,160633
1,1152,25,139,3093
1,1151,12,170,9005
1,1153,80,572,22906
1,1131,22,69,2893
1,2121,23,2076,200925
1,2123,53,1169,81871
1,2111,12,157,17996
1,2131,39,731,48499
1,2211,212,13093,1445436
1,2212,11,727,65950
1,2213,52,544,23959
1,2382,2363,28743,1439869
1,2383,911,6622,300383
1,2381,852,8508,454741
1,2373,134,4458,219859
1,2372,55,244,12074
1,2362,652,12651,917626
1,2379,53,700,36959
1,2389,782,8988,449754
1,2361,1389,6292,335922
1,2371,225,5999,300006
1,3111,9,248,12103
1,3116,36,15296,469493
1,3151,15,1208,29388
1,3118,57,1264,57293
1,3121,37,1144,101013
1,3112,3,362,24100
1,3119,14,1756,65387
1,3169,4,32,877
1,3149,33,563,20729
1,3117,15,378,11628
1,3113,5,23,372
1,3141,9,41,1356
1,3251,36,3784,386268
1,3273,134,3046,160562
1,3271,9,571,34530
1,3222,18,1472,80617
1,3272,3,620,35039
1,3274,6,443,33117
1,3259,15,253,8310
1,3279,46,739,46325
1,3219,153,6813,261140
1,3255,7,121,9755
1,3253,7,454,42042
1,3241,19,1830,162209
1,3254,8,790,51003
1,3261,94,9583,448409
1,3231,314,3046,117032
1,3252,11,2478,206821
1,3262,20,2703,152710
1,3211,69,4104,199704
1,3212,15,1396,68906
1,3364,31,4050,282923
1,3313,4,134,2767
1,3323,316,9196,453786
1,3324,4,187,10631
1,3328,45,1102,58219
1,3333,7,167,14461
1,3342,6,1502,128481
1,3353,11,645,42977
1,3336,4,32,2605
1,3321,15,1030,48655
1,3315,24,4293,324023
1,3371,191,6684,248052
1,3332,7,169,8703
1,3311,11,2463,233131
1,3327,307,5388,285909
1,3391,84,2161,103904
1,3335,37,847,36178
1,3362,26,3002,113784
1,3363,103,23535,1125058
1,3345,14,1525,119074
1,3314,7,650,34333
1,3372,16,1571,64052
1,3359,6,324,14418
1,3329,61,3279,196196
1,3339,60,2713,162877
1,3399,132,2681,110958
1,3369,3,655,38477
1,3344,18,1162,50421
1,3366,32,5339,335567
1,3326,3,98,5070
1,3312,9,601,46378
1,3334,6,487,20461
1,4243,39,550,23323
1,4248,27,1992,100190
1,4246,124,1033,64010
1,4242,56,2429,237126
1,4245,19,134,6791
1,4232,76,802,48071
1,4244,310,11070,524398
1,4237,273,3764,235041
1,4236,309,3766,293494
1,4233,311,3840,226794
1,4238,874,10930,705574
1,4235,179,3089,224042
1,4239,372,4464,221845
1,4249,245,3961,172965
1,4231,364,5680,297275
1,4241,89,1530,76609
1,4247,85,1179,66430
1,4234,307,4266,265353
1,4251,536,2806,173107
1,4411,889,19041,938863
1,4413,1194,10021,288616
1,4453,324,1176,28374
1,4441,935,19265,559427
1,4481,1483,16746,243488
1,4431,364,4161,184800
1,4421,478,3470,115602
1,4471,3217,17860,324673
1,4451,980,30826,646700
1,4461,1683,17797,643130
1,4422,379,3117,79537
1,4483,215,1306,40033
1,4442,350,2719,81263
1,4412,201,2315,96937
1,4482,333,3018,45920
1,4452,176,1113,19530
1,4512,87,885,14885
1,4522,51,5709,99292
1,4543,325,1501,54231
1,4541,241,1852,72638
1,4531,169,688,12999
1,4523,1454,43998,1116347
1,4532,318,2410,41402
1,4539,568,2957,79049
1,4511,403,6333,121180
1,4533,298,3056,55514
1,4542,30,182,5277
1,4855,8,183,3297
1,4831,6,67,4417
1,4885,173,1754,111650
1,4841,1021,20214,931834
1,4832,3,2,102
1,4812,8,36,2834
1,4859,16,154,4101
1,4862,9,200,27818
1,4872,33,54,2572
1,4811,21,492,35870
1,4854,9,304,5128
1,4842,852,8382,363509
1,4881,71,4734,371557
1,4882,20,319,18373
1,4884,152,1255,39832
1,4883,44,1476,99544
1,4853,9,110,2512
1,4921,134,4841,223210
1,4922,25,561,25079
1,4931,212,12677,512838
1,5182,96,4149,286841
1,5121,78,1355,44356
1,5111,164,5463,282272
1,5191,45,536,41161
1,5179,15,390,33191
1,5151,119,2321,127745
1,5112,69,2388,210776
1,5122,9,30,2117
1,5173,1002,15198,872292
1,5223,455,1327,50327
1,5242,1841,14747,975231
1,5221,2032,30832,1948988
1,5241,586,12340,1149420
1,5222,1415,6110,316569
1,5239,544,1868,201520
1,5259,4,128,26836
1,5231,209,1532,330049
1,5313,782,6033,266696
1,5321,230,2134,78744
1,5324,194,1770,121627
1,5322,291,1827,70678
1,5323,8,50,2247
1,5331,20,122,10878
1,5311,1614,6048,234706
1,5312,1109,4624,197394
1,5412,1604,10564,499323
1,5418,283,3047,151905
1,5413,1419,28353,2642095
1,5415,1092,22205,1958092
1,5411,2518,13358,1053537
1,5416,1172,7757,485086
1,5419,763,6990,242185
1,5417,180,7387,706155
1,5414,189,458,17793
1,5511,598,18813,1866940
1,5614,281,10754,248577
1,5613,540,37661,1120963
1,5612,50,2566,131164
1,5616,285,10954,276644
1,5611,206,5741,305020
1,5619,113,2390,66601
1,5629,116,1772,81850
1,5617,2250,25933,678047
1,5615,68,1010,50555
1,5621,116,1842,103788
1,5622,25,478,20889
1,6114,42,1333,77232
1,6113,36,7845,251866
1,6117,29,131,3838
1,6111,166,8369,228827
1,6112,4,661,17306
1,6116,382,2555,36596
1,6115,76,750,45443
1,6244,903,10407,175527
1,6242,144,1578,51055
1,6233,176,7374,169415
1,6221,31,59667,3168171
1,6216,366,11999,491505
1,6241,773,13745,295842
1,6215,211,3787,225566
1,6231,171,21022,632273
1,6212,1462,11055,526277
1,6213,1720,9477,377113
1,6211,2866,35683,2917742
1,6219,144,5397,182251
1,6239,65,1109,29100
1,6214,561,14034,949292
1,6222,3,1675,122112
1,6232,405,8443,188419
1,6223,3,602,25323
1,6243,42,1438,38237
1,7131,35,1109,17084
1,7132,4,9,256
1,7115,60,175,5349
1,7121,48,1480,34204
1,7139,795,14196,223055
1,7111,48,660,15821
1,7113,50,1498,30291
1,7112,13,316,7058
1,7224,237,1782,29627
1,7212,57,427,11046
1,7225,7440,160458,2376498
1,7213,33,143,3261
1,7223,418,7460,151876
1,7211,843,18606,409482
1,8111,2066,11329,396967
1,8139,599,2784,123741
1,8134,250,1435,32997
1,8113,326,3313,191609
1,8122,324,2333,74112
1,8123,339,4685,113492
1,8112,147,3500,195537
1,8132,160,892,42448
1,8129,331,2041,78344
1,8114,201,646,18095
1,8121,1093,5421,122873
1,8131,4623,41404,799748
1,8133,163,1069,40014
