fips,Naics,Establishments,Employees,Payroll
08,115310,29,157,11976
08,213113,9,126,7094
08,213114,20,129,19902
08,213115,9,23,1852
08,211120,292,4601,768837
08,221111,6,0,0
08,221112,51,2251,244522
08,221114,4,0,0
08,221115,17,107,9602
08,221121,5,0,0
08,221122,117,6464,545780
08,211130,62,2236,335056
08,212111,3,0,0
08,212112,6,746,65406
08,221210,66,882,128439
08,212221,22,693,64913
08,212291,4,12,1129
08,212299,3,0,0
08,212311,9,133,7454
08,113110,6,50,3007
08,212312,14,111,5065
08,212313,13,262,19747
08,212319,11,172,13602
08,113310,38,105,5452
08,212321,51,507,26372
08,114210,4,2,124
08,115112,59,241,19629
08,115113,4,1,119
08,115114,23,710,24331
08,115115,5,11,374
08,115116,7,12,340
08,213111,99,1871,178215
08,115210,160,434,11995
08,213112,518,8011,640058
08,238210,1935,19060,1062223
08,238910,933,9918,594622
08,236210,45,446,32113
08,237990,70,1037,63264
08,236220,800,15351,1201031
08,238990,781,6090,339228
08,238220,2400,22198,1297983
08,238290,144,2297,165084
08,311111,13,535,35819
08,311119,33,546,37652
08,238110,585,7330,373184
08,238120,102,2339,145971
08,237110,294,4761,277743
08,238130,479,1719,77939
08,238310,543,7017,323275
08,311211,6,220,16416
08,311213,3,13,474
08,311225,3,0,0
08,237120,70,4380,297094
08,221320,8,70,7860
08,238140,446,3938,185065
08,238320,1016,3754,169891
08,237130,157,7106,572908
08,238150,147,1699,87607
08,238330,426,1878,93400
08,237210,116,321,31971
08,238160,778,5648,301248
08,238340,282,972,46286
08,238170,203,657,30753
08,238350,1003,3478,160215
08,236115,1361,3784,211528
08,236116,86,1093,80249
08,237310,219,9124,636881
08,238390,171,1390,66319
08,236117,416,3892,421729
08,238190,193,1091,52673
08,236118,2351,7014,351748
08,311813,3,0,0
08,311821,5,10,150
08,311824,6,205,13567
08,325411,37,700,49937
08,327331,11,555,26205
08,327332,4,143,9033
08,327390,37,1302,66876
08,311830,24,637,24368
08,321113,27,296,11548
08,321114,8,202,9225
08,325412,33,1883,127246
08,325413,5,184,10201
08,325414,6,291,21494
08,327910,4,85,6142
08,311911,7,194,7699
08,311919,7,447,24810
08,311920,30,495,26863
08,321214,26,876,45723
08,325510,11,75,3354
08,325520,4,234,16225
08,327991,39,671,27579
08,311941,8,52,2437
08,311942,11,196,9902
08,311991,29,866,38539
08,321911,29,728,40772
08,325611,8,69,2945
08,325612,10,238,15261
08,325620,21,622,24728
08,327992,8,109,5325
08,327993,3,0,0
08,327999,8,204,7265
08,331110,10,924,65690
08,311999,9,158,5773
08,321912,7,42,1972
08,321918,38,467,20406
08,321920,25,484,15653
08,325910,4,0,0
08,325991,3,0,0
08,325992,5,663,40007
08,325998,19,175,13370
08,331210,4,43,2778
08,331318,3,0,0
08,331523,6,65,2607
08,331524,3,40,1629
08,321991,3,0,0
08,321992,14,128,5775
