fips,Naics,Establishments,Employees,Payroll
12,1131,29,106,4174
12,1132,15,107,3688
12,1133,167,1643,89386
12,1141,189,269,10422
12,1142,26,91,3240
12,1151,233,4434,119733
12,1152,375,1068,38254
12,1153,61,356,15382
12,2111,19,127,10521
12,2122,3,145,7447
12,2123,120,3298,249047
12,2131,50,145,8690
12,2211,488,23190,2740354
12,2212,46,1227,92498
12,2213,288,3106,167112
12,2361,12819,55470,3246388
12,2362,2887,38933,2832296
12,2371,1147,24800,1464589
12,2372,426,2397,167994
12,2373,470,19461,1130592
12,2379,449,7266,419107
12,2381,7152,69584,3060005
12,2382,14408,149723,7755309
12,2383,13530,60837,2422780
12,2389,5277,44755,2166369
12,3111,42,479,22928
12,3112,16,464,17427
12,3113,82,3002,162056
12,3114,72,4483,244156
12,3115,68,2218,93146
12,3116,60,3251,126297
12,3117,25,1946,87532
12,3118,560,9893,339951
12,3119,164,5006,226826
12,3121,332,10548,529628
12,3122,8,729,82998
12,3131,4,9,316
12,3132,28,303,13323
12,3133,29,386,8006
12,3141,126,952,30488
12,3149,291,2432,92378
12,3152,171,2978,72093
12,3159,35,566,18415
12,3162,6,40,1159
12,3161,6,35,1318
12,3169,42,659,22435
12,3219,378,6373,266798
12,3211,68,2727,127608
12,3212,79,4551,199967
12,3221,18,4396,351808
12,3222,96,4169,282556
12,3231,1519,19015,888676
12,3241,60,1522,91673
12,3251,55,1522,123501
12,3252,48,2663,219662
12,3253,88,3541,284775
12,3254,160,6936,484454
12,3255,71,1063,70026
12,3256,147,3581,199114
12,3259,80,1462,102213
12,3261,396,12463,564679
12,3262,64,1676,74640
12,3271,30,210,8763
12,3272,122,2640,117305
12,3273,537,12657,637293
12,3274,17,561,38981
12,3279,160,3183,164501
12,3311,8,539,49443
12,3312,19,1281,80636
12,3313,29,1483,70775
12,3314,21,952,59692
12,3315,23,482,24693
12,3321,54,1468,69916
12,3322,30,401,26173
12,3323,716,17737,872267
12,3324,49,1544,85225
12,3325,30,663,26832
12,3326,35,396,21517
12,3329,244,5628,320538
12,3327,553,6114,285890
12,3328,156,1812,81700
12,3331,95,1748,103924
12,3332,102,2414,164329
12,3333,108,4906,457304
12,3334,97,3985,206418
12,3335,139,1898,91062
12,3336,35,1718,119299
12,3339,276,6830,395706
12,3341,46,1621,138096
12,3343,32,875,49042
12,3342,87,3168,250283
12,3346,29,127,7103
12,3344,154,7491,528432
12,3345,263,21165,1869099
12,3351,60,1504,69173
12,3352,16,123,7601
12,3353,81,3466,196314
12,3359,88,3940,197306
12,3361,11,1260,77601
12,3362,72,2377,98204
12,3363,147,3322,179050
12,3364,152,12248,1143957
12,3365,5,103,8092
12,3366,275,11195,568549
12,3369,40,270,12531
12,3379,85,2046,76882
12,3371,660,5056,198094
12,3372,196,3982,181751
12,3391,725,16317,1037249
12,3399,907,11358,514626
12,4231,1771,19318,1006589
12,4232,983,8429,479687
12,4233,1433,18626,1120644
12,4234,3125,35543,2943620
12,4235,490,5864,354979
12,4236,2393,27637,2318022
12,4237,1405,15031,953499
12,4238,3836,38939,2790535
12,4239,2852,18095,965694
12,4241,518,7160,425031
12,4242,939,14389,1130235
12,4243,934,8665,383151
12,4244,2807,49811,2648429
12,4245,109,781,52346
12,4246,752,6262,423845
12,4247,271,4017,358528
12,4248,277,14502,1057352
12,4249,2275,22830,1190267
12,4251,3274,16882,845230
12,4411,3147,96409,5539356
12,4412,1464,15942,747619
12,4413,4016,33436,1026084
12,4421,1799,17012,725797
12,4422,2032,19647,516294
12,4431,1853,21787,667321
12,4441,3504,82447,2405626
12,4442,756,5622,178741
12,4451,6435,205044,4489047
12,4452,1460,10425,220594
12,4453,1470,8095,200966
12,4461,7299,75915,2761354
12,4471,6322,51830,1075074
12,4481,7537,115518,2104839
12,4482,1639,17057,317221
12,4483,1969,9681,373147
12,4511,2434,22279,492544
12,4512,358,3447,58008
12,4522,257,29445,677229
12,4523,3273,146222,3825437
12,4531,589,2650,59384
12,4532,1779,15987,324109
12,4533,1325,11853,247260
12,4539,4197,23326,634769
12,4541,4043,35983,1661447
12,4542,339,1931,61416
12,4543,2185,11409,501361
12,4811,209,35705,2945124
12,4812,301,5213,393030
12,4831,225,15206,1547078
12,4832,68,383,16614
12,4841,4912,37148,1795749
12,4842,2316,19060,870827
12,4851,38,618,28819
12,4852,31,419,15489
