fips,Naics,Establishments,Employees,Payroll
15,114111,17,23,831
15,115210,8,12,370
15,115310,3,23,1498
15,221112,14,1981,212186
15,221115,3,6,651
15,221122,8,1105,125718
15,221210,5,212,22481
15,221310,15,149,11710
15,221320,19,101,8343
15,236115,261,1689,109708
15,236116,7,234,21996
15,236117,21,304,36401
15,236118,436,1519,70723
15,236210,7,39,2871
15,236220,219,4738,416215
15,237110,33,438,36698
15,237120,4,53,4684
15,237130,16,196,15384
15,237210,26,262,24499
15,237310,40,1346,118887
15,237990,14,593,59817
15,238110,49,615,42971
15,238120,21,411,28401
15,238130,23,541,35025
15,238140,66,437,22560
15,238150,42,376,23963
15,238160,91,1085,57431
15,238170,15,89,6213
15,238190,19,72,4427
15,238210,357,4161,315909
15,238220,382,4063,308673
15,238290,31,587,61586
15,238310,72,1264,87226
15,238320,155,1411,87237
15,238330,64,480,22045
15,238340,70,422,34190
15,238350,113,803,51225
15,238390,28,240,14830
15,238910,111,1589,117023
15,238990,95,832,55508
15,311340,8,79,2250
15,311351,7,29,1315
15,311352,10,555,21583
15,311421,17,122,4207
15,311520,4,136,5584
15,311611,6,75,1822
15,311612,10,237,9496
15,311710,3,34,1049
15,311824,6,55,1164
15,311811,66,921,19835
15,311812,24,860,24862
15,311821,10,381,11208
15,311919,8,70,1695
15,311920,18,258,8711
15,311941,5,65,2644
15,311942,4,9,234
15,311991,23,761,23272
15,311999,5,29,604
15,312111,8,437,22244
15,312112,7,218,10288
15,312113,4,70,3076
15,312120,8,378,12347
15,312130,5,83,2452
15,312140,7,139,5745
15,314120,6,53,1633
15,314910,6,45,2085
15,314999,9,19,398
15,315220,4,84,2168
15,315210,20,96,2161
15,315240,12,119,4495
15,321214,6,143,4383
15,321911,4,67,3425
15,321999,7,21,734
15,323111,52,646,26906
15,323113,37,285,10087
15,325199,3,21,1717
15,325314,3,70,3888
15,325611,5,55,2045
15,325412,3,4,482
15,325620,8,74,2981
15,326111,3,26,1029
15,326199,8,99,4566
15,327215,4,9,650
15,327320,14,586,48873
15,327331,3,45,2573
15,327390,8,288,15094
15,327991,6,43,1795
15,332322,7,107,7123
15,332321,6,39,1635
15,332323,5,50,4658
15,332812,3,5,134
15,332710,7,52,2804
15,333314,3,38,2444
15,336611,14,716,49974
15,337122,10,41,2697
15,337110,18,129,6384
15,337215,3,7,139
15,339116,23,156,6210
15,339910,28,211,8476
15,339920,17,48,1518
15,339950,16,89,3638
15,339992,6,71,2693
15,339999,7,100,4741
15,423120,28,445,22228
15,423110,11,163,11632
15,423130,9,106,5642
15,423210,11,162,11048
15,423220,36,288,17113
15,423310,28,211,10099
15,423320,9,47,4226
15,423330,26,294,21447
15,423390,17,129,9261
15,423420,21,364,25605
15,423410,3,10,1252
15,423430,17,81,8245
15,423440,20,133,6918
15,423450,41,262,21265
15,423460,4,24,750
15,423490,6,21,872
15,423510,18,184,13021
15,423610,41,395,30535
15,423620,8,56,3884
15,423690,31,215,24753
15,423710,20,157,9769
15,423720,31,379,25516
15,423730,21,276,25532
15,423740,4,34,3578
15,423820,15,171,9831
15,423810,20,299,18487
15,423850,16,161,9027
15,423830,43,211,14576
15,423840,16,110,8597
15,423860,6,26,1591
15,423930,23,358,18901
15,423910,29,179,6601
15,423920,11,85,2770
15,423990,33,331,15534
15,423940,52,176,4959
15,424120,19,118,5517
15,424130,34,451,23351
15,424320,34,304,15171
15,424210,66,781,38418
15,424310,10,59,2969
15,424330,36,142,4359
15,424340,8,37,1297
15,424410,16,390,18778
15,424420,42,1436,81631
15,424430,12,310,12224
15,424440,4,71,2645
15,424450,24,331,10157
15,424470,6,90,4335
15,424460,30,688,25419
15,424480,48,990,45735
15,424490,93,1937,92022
15,424610,9,57,2828
15,424690,27,234,16946
15,424720,7,155,7411
15,424710,14,482,33580
15,424820,20,617,43463
15,424810,13,802,42166
15,424910,26,314,20434
15,424920,8,28,953
15,424930,36,324,11037
15,424950,6,51,3841
15,424940,9,16,631
15,441228,19,237,10212
15,424990,73,423,16533
15,425120,98,487,38590
15,441110,74,4383,261468
15,441120,52,248,12880
15,441222,12,258,6475
15,441310,114,1121,37446
15,441320,55,699,26995
15,442110,68,517,22238
15,442210,25,257,11852
15,442291,9,41,1255
15,443142,64,981,30967
15,442299,65,585,10690
15,443141,23,118,4436
15,444190,84,649,32124
15,444110,26,3490,97213
15,444120,29,159,6940
15,444130,51,556,16485
15,444210,10,51,2621
15,445230,19,82,2161
15,444220,36,188,5477
15,445110,282,11600,338683
15,445120,147,1010,22918
15,445210,12,50,1197
15,445220,22,287,7883
15,445291,21,234,7026
15,445292,34,243,5139
15,445299,23,94,2255
15,445310,67,213,5802
15,446110,152,2445,104320
15,446120,86,1058,27489
15,446130,67,492,10236
15,446191,64,255,6569
15,446199,30,172,8208
15,447110,207,2265,54311
15,447190,39,628,19297
15,448110,52,414,9788
15,448120,206,1692,29782
15,448130,27,216,2974
15,448140,280,6363,125703
15,448150,124,1249,50139
15,448190,141,1523,35652
15,448210,121,1441,27199
15,448310,265,1525,63699
15,448320,20,310,22936
15,451110,120,870,21630
15,451120,28,267,5550
15,451130,17,98,2468
15,451140,24,118,4075
15,451211,14,153,3979
15,451212,6,28,726
15,452210,16,2352,66756
15,452311,33,9607,327336
15,452319,33,970,31523
15,453910,37,408,11229
15,453110,62,365,9538
15,453210,22,399,11003
15,453220,333,2932,87848
15,453310,70,704,18535
15,453920,83,356,12351
15,453991,23,136,3476
15,453998,61,423,14635
15,454110,122,524,28999
15,454210,13,49,1928
15,454310,19,163,9669
15,454390,97,261,8314
15,481111,47,9509,608980
15,481112,8,414,25574
15,481211,11,82,4621
15,481212,3,95,5517
15,483113,7,392,50528
15,483111,3,97,6570
15,483212,5,25,743
15,484110,82,1332,64620
15,484121,9,276,22752
15,484122,4,27,1576
15,484210,34,1072,45950
15,484220,75,888,47851
15,484230,12,170,2936
15,485113,5,1458,93528
15,485320,39,325,11013
15,485310,27,144,4237
15,485410,10,1063,26315
15,485991,18,581,31186
15,485999,28,517,10745
15,487110,48,2041,70797
15,487210,147,2416,83024
15,487990,29,767,41723
15,488111,3,21,1756
15,488119,30,1967,43729
15,488190,17,119,4891
15,488320,11,877,100754
15,488330,9,80,6193
15,488490,9,137,2304
15,488390,11,95,6045
15,488410,45,241,8333
15,492110,37,1885,69135
15,488510,56,586,30608
15,492210,20,876,14029
15,493110,39,701,31106
15,493120,4,59,3284
15,493190,13,148,6790
15,511120,40,290,15203
15,511110,11,389,22906
15,511130,10,68,3761
15,511140,5,55,3673
15,511210,35,196,24087
15,512131,23,882,13914
15,512110,57,580,15515
15,512240,6,16,601
15,512250,6,10,840
15,515111,4,79,4488
15,515112,29,385,16575
15,515120,11,348,25987
15,515210,3,24,935
15,517311,103,3190,255460
15,517312,117,1206,62653
15,517410,5,28,2195
15,517911,5,7,492
15,517919,5,25,1723
15,518210,58,642,43927
15,519130,20,53,5828
15,519190,3,3,31
15,522110,212,5455,419208
15,522120,85,1603,129683
15,522130,142,2393,133791
15,522291,32,98,6540
15,522220,3,8,661
15,522292,97,422,50576
15,522320,10,80,6149
15,522298,16,58,1911
15,522310,57,205,21947
15,522390,32,96,3008
15,523130,4,15,265
15,523120,24,248,39936
15,523930,65,129,9762
15,523910,16,70,7459
15,523920,112,426,63868
15,523991,5,44,2286
15,524127,56,668,53012
15,524113,38,451,57267
15,524114,42,4368,259073
15,524126,41,1198,106255
15,524210,379,1955,118712
15,524291,8,110,6627
15,524292,34,1268,94016
15,524298,5,28,1567
15,525990,4,5,493
15,532283,9,162,6378
15,531110,274,1744,74993
15,531120,242,1112,82163
15,531130,61,217,7039
15,531190,40,240,14260
15,531210,555,3764,244240
15,531311,262,2086,116630
15,531312,93,981,66589
15,531320,62,115,7299
15,531390,64,306,25259
15,532111,149,2099,82311
15,532120,17,155,7570
15,532210,15,73,2659
15,532281,5,62,1191
15,532282,4,8,72
15,532284,56,350,9502
15,532289,33,236,6904
15,532411,5,6,466
15,532310,5,24,1088
15,532412,11,46,4084
15,532490,79,567,31094
15,532420,4,12,518
15,533110,6,83,9177
15,541340,20,28,1352
15,541110,613,3187,262292
15,541191,9,62,5385
15,541199,7,18,999
15,541211,285,1671,109080
15,541213,136,641,9985
15,541214,15,382,34521
15,541219,233,655,25418
15,541310,149,975,84024
15,541320,25,154,13584
15,541330,313,3908,360940
15,541370,29,202,10108
15,541350,30,95,4591
15,541410,43,117,6295
15,541380,22,127,8451
15,541490,5,11,246
15,541430,63,138,5537
15,541620,64,422,29232
15,541511,137,952,75890
15,541512,225,1831,159461
15,541513,31,352,30934
15,541519,18,68,4784
15,541611,209,1947,133227
15,541612,32,167,7241
15,541613,107,385,17874
15,541614,14,42,1761
15,541618,7,63,6400
15,541690,70,411,22826
15,541713,6,15,1252
15,541714,9,258,19037
15,541715,42,641,59618
15,541820,27,89,6104
15,541720,16,173,8398
15,541810,33,174,10309
15,541840,6,10,567
15,541850,4,14,418
15,541860,3,19,642
15,541890,23,457,6732
15,541910,12,168,4724
