fips,Naics,Establishments,Employees,Payroll
16,1133,236,1002,60391
16,1152,45,138,5114
16,1151,101,1692,61059
16,1153,38,542,16311
16,2122,10,604,41718
16,2123,26,266,18089
16,2131,19,366,29254
16,2211,80,2455,289215
16,2212,4,328,26041
16,2213,54,343,16656
16,2382,1481,12678,669493
16,2383,1531,7440,294117
16,2381,1549,8858,388364
16,2373,75,1814,132156
16,2372,43,148,11128
16,2362,365,4151,260585
16,2379,18,114,5101
16,2389,1034,6247,320393
16,2361,2085,7156,313896
16,2371,159,2412,188182
16,3111,10,132,7329
16,3116,15,1651,70581
16,3118,45,1118,53942
16,3121,54,706,24156
16,3152,6,44,1509
16,3115,14,1947,106333
16,3114,26,4356,206597
16,3112,3,59,6631
16,3119,14,457,18467
16,3169,4,243,9037
16,3149,17,102,2958
16,3113,8,718,39285
16,3251,6,85,5374
16,3273,26,389,22147
16,3259,4,83,5329
16,3279,15,287,15051
16,3219,111,3470,145292
16,3253,3,53,2755
16,3254,3,16,777
16,3261,34,1528,64632
16,3231,97,939,32698
16,3252,3,42,1524
16,3262,9,50,2193
16,3211,23,1301,72865
16,3256,9,657,33987
16,3212,13,597,29056
16,3364,8,751,32803
16,3331,33,1198,58241
16,3323,93,1665,75907
16,3328,11,192,9321
16,3333,3,159,22721
16,3342,6,773,99836
16,3341,4,42,3327
16,3336,3,47,2088
16,3371,94,1025,39565
16,3332,4,194,11292
16,3327,117,1060,50249
16,3391,55,361,14597
16,3335,10,190,10787
16,3362,9,576,16377
16,3363,11,223,21532
16,3345,5,116,11346
16,3372,11,279,12226
16,3359,8,517,34217
16,3329,61,1836,90123
16,3339,16,616,33095
16,3399,97,962,40483
16,3369,10,208,7099
16,3344,11,5990,974758
16,3366,4,28,1288
16,4243,6,50,1586
16,4248,26,1295,55096
16,4246,31,161,9032
16,4242,37,1316,129773
16,4245,53,376,23335
16,4232,24,229,13714
16,4244,164,4817,244508
16,4237,112,1145,71056
16,4236,113,1356,142540
16,4233,127,1755,115750
16,4238,339,4881,350955
16,4235,22,211,9678
16,4239,116,947,40319
16,4249,210,3787,253163
16,4231,105,1883,106186
16,4241,23,218,12487
16,4247,27,292,17659
16,4234,120,3763,439368
16,4251,120,1683,52774
16,4411,303,7048,401920
16,4413,423,4107,151236
16,4453,73,330,6010
16,4441,424,7168,257353
16,4481,361,4021,64615
16,4431,141,1147,35754
16,4421,105,1085,48019
16,4471,665,7777,195921
16,4451,296,11850,336645
16,4461,331,3514,122359
16,4422,152,1481,52507
16,4483,81,442,14587
16,4442,95,1058,30371
16,4412,130,2064,118643
16,4482,72,420,7881
16,4452,123,1018,15174
16,4512,22,277,3457
16,4522,21,1652,22027
16,4543,453,1165,56545
16,4541,353,1996,99719
16,4531,39,197,3583
16,4523,193,13936,414478
16,4532,106,748,14614
16,4539,309,1756,46842
16,4511,318,3641,74843
16,4533,141,1430,24385
16,4542,5,8,130
16,4885,69,993,54269
16,4841,779,5843,284560
16,4812,16,46,2499
16,4889,3,9,125
16,4859,29,467,10430
16,4811,9,1320,64410
16,4854,8,624,9361
16,4842,538,4369,191632
16,4881,31,330,14709
16,4884,64,414,13569
16,4851,3,61,2362
16,4921,83,2289,92196
16,4922,19,175,7291
16,4931,54,1919,87824
16,5152,3,5,305
16,5182,59,2667,140215
16,5121,54,615,7197
16,5111,65,1136,54753
16,5191,73,315,18582
16,5179,8,33,2310
16,5151,38,796,35849
16,5112,44,4392,422154
16,5122,8,10,442
16,5173,326,4200,239781
16,5223,127,466,33358
16,5242,937,3783,205955
16,5221,758,10348,626398
16,5241,146,4064,289510
16,5222,352,2128,229003
16,5239,413,1027,90307
16,5259,8,5,212
16,5231,121,461,74868
16,5313,690,3018,130947
16,5321,55,572,15553
16,5324,53,331,20011
16,5322,78,376,14394
16,5323,20,151,6369
16,5331,7,29,2111
16,5311,710,1817,69941
16,5312,1510,2303,131200
16,5412,957,4382,185069
16,5418,141,1128,45731
16,5413,776,9239,708067
16,5415,536,4183,271399
16,5411,928,4253,295516
16,5416,905,4850,323977
16,5419,485,3910,147579
16,5417,57,5078,571228
16,5414,157,448,17482
16,5511,222,7742,766007
16,5614,166,4837,141858
16,5613,185,8690,278640
16,5612,17,214,8492
16,5616,117,1666,46528
16,5611,150,1536,83638
16,5619,94,1020,32541
16,5629,60,1184,32834
16,5617,1715,10580,321485
16,5615,37,231,10291
16,5621,41,553,30130
16,5622,4,38,2307
16,6114,30,95,5226
16,6113,3,93,8925
16,6117,59,235,11681
16,6111,114,2990,93008
16,6112,3,96,4837
16,6116,279,1812,26179
16,6115,40,663,37868
16,6244,421,4235,72305
16,6242,78,660,23370
16,6233,213,6360,148566
16,6221,10,15210,1035896
16,6216,154,4665,158155
16,6241,570,10866,231313
16,6215,69,861,60202
16,6231,67,4731,152895
16,6212,878,6670,274221
16,6213,1372,7624,270482
16,6211,1253,15404,1194645
16,6219,54,592,25727
16,6239,20,423,9969
16,6214,261,6083,366311
16,6222,3,474,19143
16,6232,67,2697,67837
16,6223,3,790,46396
16,6243,27,1098,19101
16,7131,16,699,18769
16,7132,3,58,1947
16,7115,87,152,4635
16,7121,29,237,5138
16,7139,554,7842,127969
16,7111,27,379,5646
16,7113,32,844,9589
16,7112,19,128,2363
16,7224,325,2350,27565
16,7212,68,259,9130
16,7225,2943,56231,847521
16,7213,11,48,451
16,7223,211,1857,37302
16,7211,388,11298,212533
16,8111,1080,5679,211046
16,8139,262,1306,53196
16,8134,82,521,10653
16,8113,139,787,45571
16,8122,47,272,9796
16,8123,67,815,22320
16,8112,38,259,16789
16,8132,73,200,10045
16,8129,248,1233,25687
16,8114,132,366,14458
16,8121,565,2774,57720
16,8131,675,6363,137779
16,8133,108,821,29850
