fips,Naics,Establishments,Employees,Payroll
16,1131,7,100,2688
16,1132,3,4,690
16,1133,246,1046,63912
16,1141,11,8,468
16,1142,3,2,133
16,1151,119,1769,64530
16,1152,63,171,6116
16,1153,51,623,21794
16,2111,3,3,183
16,2122,18,720,49476
16,2123,53,713,44377
16,2131,42,762,56825
16,2211,117,2945,341218
16,2212,17,484,39085
16,2213,79,459,20511
16,2361,2086,7157,313914
16,2362,375,4361,272194
16,2371,179,2610,199512
16,2372,56,196,12987
16,2373,88,1839,133654
16,2379,35,178,8771
16,2381,1558,8919,390731
16,2382,1489,12687,669799
16,2383,1546,7480,295587
16,2389,1038,6259,320975
16,3111,21,331,15919
16,3112,12,260,17914
16,3113,15,1916,107463
16,3114,41,7946,369609
16,3115,28,4158,216674
16,3116,40,2444,99340
16,3117,4,84,2795
16,3118,63,1221,55974
16,3119,26,544,21028
16,3121,71,1036,33833
16,3132,4,62,1762
16,3141,5,10,377
16,3149,30,237,8575
16,3152,12,68,1849
16,3159,6,42,1523
16,3161,4,14,369
16,3169,11,276,10791
16,3211,39,2335,125762
16,3212,29,996,46700
16,3219,142,3994,161686
16,3222,7,585,41227
16,3231,113,1188,42939
16,3251,11,569,50056
16,3252,4,44,1531
16,3253,14,472,33900
16,3254,8,272,15576
16,3255,3,36,1234
16,3256,14,669,34504
16,3259,9,115,7270
16,3261,48,1829,76812
16,3262,15,68,3061
16,3272,6,95,4807
16,3273,49,618,34623
16,3279,25,392,20203
16,3314,4,194,7487
16,3315,9,85,4374
16,3321,5,42,1577
16,3322,8,372,12153
16,3323,110,1927,89001
16,3324,10,379,19756
16,3325,7,201,11156
16,3326,5,44,1355
16,3327,138,1198,55725
16,3328,21,244,11022
16,3329,71,1958,97927
16,3331,46,1657,81263
16,3332,20,701,40154
16,3333,8,223,25956
16,3334,6,185,11100
16,3335,18,237,12421
16,3336,5,54,2205
16,3339,31,875,47834
16,3341,5,289,17883
16,3342,8,790,100475
16,3344,16,7747,1089179
16,3345,14,887,54303
16,3351,4,23,954
16,3352,3,19,1043
16,3353,9,471,23388
16,3359,12,587,38350
16,3362,23,1152,41138
16,3363,19,232,21802
16,3364,12,777,33880
16,3366,8,114,4934
16,3369,12,213,7235
16,3371,104,1105,42106
16,3372,22,544,23866
16,3379,3,66,2309
16,3391,66,411,16167
16,3399,121,1084,44845
16,4231,116,2072,116457
16,4232,40,344,20135
16,4233,143,1843,120134
16,4234,152,4067,470084
16,4235,28,309,14454
16,4236,138,1500,153017
16,4237,121,1183,72789
16,4238,361,5014,358297
16,4239,140,1400,66953
16,4241,36,308,17061
16,4242,50,1372,137782
16,4243,19,120,3525
16,4244,194,5225,265039
16,4245,72,521,30926
16,4246,47,381,24529
16,4247,50,461,25939
16,4248,32,1504,62288
16,4249,233,4033,267610
16,4251,141,1838,55787
16,4411,328,7782,448967
16,4412,149,2238,124515
16,4413,434,4205,154881
16,4421,126,1229,53531
16,4422,162,1515,53553
16,4431,158,1207,37097
16,4441,436,7279,260529
16,4442,124,1251,35503
16,4451,317,12902,359360
16,4452,143,1121,16829
16,4453,96,407,7458
16,4461,348,3657,127408
16,4471,672,7865,199036
16,4481,377,4097,66123
16,4482,80,441,8197
16,4483,89,465,15215
16,4511,330,3690,76033
16,4512,29,342,4250
16,4522,24,1793,23418
16,4523,226,14178,418336
16,4531,69,320,5043
16,4532,119,810,15469
16,4533,159,1483,25536
16,4539,326,1857,48852
16,4541,377,2095,102089
16,4542,14,34,877
16,4543,473,1296,61738
16,4811,17,1717,78067
16,4812,26,161,10164
16,4841,790,5882,286360
16,4842,548,4397,192726
16,4851,5,192,7187
16,4852,3,45,1193
16,4853,10,46,814
16,4854,20,1107,17393
16,4855,5,325,6034
16,4859,40,614,13059
16,4872,5,89,910
16,4881,44,435,19697
16,4882,7,33,2286
16,4884,83,476,16642
16,4885,81,1060,56197
16,4889,6,29,926
16,4921,102,2902,119546
16,4922,31,224,9363
16,4931,70,2231,102198
16,5111,98,1640,70085
16,5112,69,4562,439090
16,5121,75,852,9311
16,5122,9,12,551
16,5151,49,839,37458
16,5152,3,5,305
16,5173,370,4501,262772
16,5174,4,25,778
16,5179,16,57,3480
16,5182,96,2915,161869
16,5191,84,369,22348
16,5221,782,10477,640625
16,5222,381,2257,241622
16,5223,146,503,36076
16,5231,132,488,78336
16,5239,434,1064,94590
16,5241,204,5112,369383
16,5242,969,4034,229558
16,5259,16,12,948
16,5311,723,1901,70996
16,5312,1521,2321,131687
16,5313,706,3039,131682
16,5321,70,647,17621
16,5322,96,444,15909
16,5323,33,236,9971
16,5324,71,412,24913
16,5331,12,69,4644
16,5411,942,4288,297059
16,5412,977,4507,194190
16,5413,796,9331,717720
16,5414,171,475,17982
16,5415,592,4741,317652
16,5416,935,5031,334698
16,5417,78,5153,583047
16,5418,153,1173,47159
16,5419,515,4127,155988
16,5511,244,7893,775706
16,5611,170,1718,90901
16,5612,27,786,32331
16,5613,239,20559,636557
16,5614,188,4998,145601
16,5615,52,332,17838
16,5616,134,1743,49102
16,5617,1729,11030,331307
16,5619,115,1151,37313
16,5621,71,916,46903
16,5622,12,1634,164867
16,5629,87,1328,39227
16,6111,133,3206,100848
16,6112,5,111,5348
16,6113,19,10053,203609
16,6114,44,128,6033
16,6115,52,714,40172
16,6116,286,1832,26533
16,6117,72,258,12456
16,6211,1270,15503,1200180
16,6212,891,6803,279788
16,6213,1385,7722,273202
16,6214,278,6379,381231
16,6215,77,982,66071
16,6216,178,5356,172499
16,6219,68,935,36757
16,6221,45,26902,1700057
16,6222,6,881,43226
16,6223,5,1037,59373
16,6231,92,6381,219999
16,6232,84,2995,77206
16,6233,234,7196,167365
16,6239,29,752,19653
16,6241,589,10993,233683
16,6242,108,793,25293
16,6243,43,1560,25020
16,6244,436,4344,73369
16,7111,32,392,5794
16,7112,26,138,2578
16,7113,45,916,10436
16,7114,3,5,229
16,7115,105,181,5649
16,7121,58,332,7732
16,7131,27,829,19827
16,7132,6,373,13265
16,7139,565,7900,128678
16,7211,399,11359,212902
16,7212,90,386,12644
16,7213,14,61,857
16,7223,229,1920,38213
16,7224,345,2417,28201
16,7225,2944,56233,847528
16,8111,1086,5689,211232
16,8112,53,341,20583
16,8113,171,937,53614
16,8114,153,417,15621
16,8121,575,2835,58362
16,8122,76,379,14119
16,8123,81,1019,27146
