fips,Naics,Establishments,Employees,Payroll
17,113110,3,8,377
17,113310,23,43,1564
17,221320,17,180,9142
17,114210,7,56,2995
17,115112,60,164,10351
17,115113,7,19,800
17,115114,35,833,45250
17,115115,9,125,6270
17,115116,35,105,6850
17,115210,133,402,13216
17,221111,5,11,602
17,221112,65,2631,312095
17,115310,10,34,1577
17,221113,23,4823,696197
17,221114,9,45,4969
17,221115,25,860,108271
17,221122,241,10507,1394427
17,211120,123,546,25342
17,211130,6,61,5016
17,221210,97,4817,471833
17,212111,6,338,22316
17,212112,11,1623,108471
17,212311,3,20,1167
17,212312,98,1515,124079
17,212321,54,414,39012
17,212322,10,688,57119
17,212325,3,27,1138
17,213111,32,249,11227
17,213112,98,638,26024
17,213113,5,44,2428
17,213114,3,194,12910
17,213115,5,67,4397
17,221118,5,11,1583
17,221121,33,2179,375162
17,221310,105,1932,134378
17,236210,171,2834,153046
17,221330,4,37,5454
17,236115,1379,3638,173090
17,237210,95,232,15811
17,236116,181,1790,150842
17,236117,386,1745,126376
17,236118,5873,13719,653402
17,236220,1369,20021,1795260
17,237110,315,2786,242967
17,238140,891,4693,349975
17,237120,38,3835,338787
17,237130,198,14236,1122673
17,238170,452,1309,68757
17,238190,207,1224,85857
17,237310,379,7998,1002587
17,237990,201,3756,329866
17,238110,802,6874,516214
17,238220,4114,38039,2810224
17,238120,123,1923,180581
17,238290,326,5639,533296
17,238130,374,2491,148756
17,238310,558,6491,462357
17,238150,216,1841,133444
17,238160,903,5999,447913
17,238320,1478,6277,370823
17,238210,2692,28535,2234991
17,238330,786,3070,157573
17,238340,277,1588,85555
17,238350,1366,6085,350453
17,238390,366,3621,205532
17,311421,19,1856,166986
17,238910,1108,9197,761922
17,311422,5,190,11009
17,311423,14,1246,56303
17,311511,18,1403,105038
17,238990,1521,8097,667484
17,311111,19,849,47540
17,311119,50,1173,69849
17,311211,17,753,61355
17,312140,34,768,49579
17,311221,6,838,101511
17,311224,17,1413,80768
17,311225,9,1368,76242
17,311811,360,3922,81676
17,311230,4,840,51209
17,311340,29,4937,411641
17,311821,26,2429,174621
17,311351,12,949,61314
17,311352,53,4380,296220
17,311824,24,2839,140161
17,311411,5,298,20733
17,311412,34,4369,173618
17,311941,22,816,61868
17,311942,34,3492,275739
17,311513,16,2220,119691
17,311514,14,1243,77946
17,311520,22,599,36729
17,311999,42,2257,155981
17,311611,56,10259,534303
17,311612,77,8517,510587
17,312111,22,2691,148270
17,311613,11,243,29874
17,311615,11,1767,95488
17,311710,6,714,38712
17,311812,128,7818,350638
17,311813,10,447,22313
17,313320,3,21,1483
17,311830,14,1335,68418
17,311911,9,1047,73866
17,311919,25,1475,60525
17,311920,28,446,17868
17,311930,4,87,8162
17,311991,35,2947,112834
17,312112,9,402,19709
17,312113,9,126,5878
17,312120,142,2270,77843
17,312130,66,586,14693
17,313110,5,17,291
17,313210,5,138,4011
17,313220,3,128,5997
17,313230,4,57,2832
17,313310,18,433,18588
17,314120,52,916,31476
17,314910,41,474,18322
17,314999,78,656,24521
17,315190,4,14,512
17,315210,31,216,8127
17,315220,21,389,14554
17,315240,15,61,2225
17,315280,17,620,16564
17,315990,20,304,8970
17,316110,3,217,9856
17,316210,3,413,12180
17,321113,36,263,10805
17,321211,8,36,1111
17,321911,22,833,31998
17,321992,20,359,19215
17,321999,59,886,45683
17,322121,5,356,41361
17,322299,16,722,33908
17,322219,25,2554,118697
17,322220,44,3154,182672
17,322230,23,935,49472
17,316998,29,373,13143
17,321114,5,159,10862
17,321214,19,973,47569
17,321219,6,706,32078
17,321912,13,149,15074
17,321918,45,598,30210
17,321920,123,2784,103748
17,322211,63,4365,285588
17,322212,39,3982,261392
17,323111,859,21247,1114498
17,323117,19,662,38057
17,323120,84,1893,91870
17,324191,17,831,69820
17,324199,3,131,11854
17,325130,7,293,21817
17,325411,21,1458,112021
17,325311,5,494,72122
17,325312,3,37,2355
17,325314,15,269,14439
17,323113,187,2194,76577
17,324110,5,3141,377235
17,324121,46,400,42398
17,324122,8,254,20793
17,325120,16,255,18917
17,325180,30,1536,118487
17,325193,16,1690,115272
17,325199,36,2497,236362
17,325211,69,3429,281306
17,325212,5,133,9220
17,325220,5,166,7278
17,325320,12,343,28573
17,325412,45,14614,2317939
17,325413,6,923,111196
17,325414,11,2540,297344
17,325510,75,3237,263068
17,325520,37,2314,150774
17,325613,10,1056,103746
17,325920,3,194,8795
17,326121,22,2328,157879
17,326122,12,657,36722
17,326130,6,340,20745
17,326140,12,1103,55554
17,326191,8,516,31580
17,326199,358,20715,1136532
17,325611,40,1801,122962
17,325612,24,839,56949
17,325620,48,3487,201915
17,325910,28,1033,73148
17,325991,25,744,47365
17,325992,8,386,18549
17,325998,62,2391,174239
17,326111,29,2972,224949
17,326112,38,2136,135674
17,326113,28,1108,61486
17,326150,20,788,42834
17,326160,31,2352,134255
17,326211,10,5329,342199
17,326212,15,300,11743
17,326220,9,683,41777
17,326291,15,742,49061
17,326299,26,1309,72311
17,327110,20,176,7251
17,327120,20,440,28507
17,327420,9,155,9773
17,327211,6,592,33068
17,327212,11,156,9558
17,327213,3,844,59367
17,327215,32,654,38380
17,327310,8,256,25483
17,327320,234,2520,196898
17,327331,18,476,28059
17,327332,6,152,7834
17,327390,76,2500,165233
17,331318,11,1272,55475
17,327910,28,1873,148206
17,327991,74,804,37758
17,327992,17,279,21245
17,327993,9,246,9156
17,327999,12,407,26200
17,331110,29,6937,736749
17,331210,19,2020,188282
17,331221,20,1136,63848
17,331222,9,460,25679
17,331314,5,215,16836
17,331410,8,122,7208
17,331420,17,2293,169169
17,331492,12,359,24897
17,331511,12,1542,86493
17,331523,27,1676,79197
17,332311,20,873,49976
17,332312,108,2779,160873
17,332313,69,2077,98938
17,332410,11,84,4531
17,332439,17,1113,84348
17,331491,12,346,19649
17,332323,89,1055,59663
17,331513,12,993,50662
17,332420,26,1317,69247
17,331524,20,628,33203
17,331529,19,660,33785
17,332431,15,1677,129783
17,332111,32,1898,123339
17,332112,5,276,15741
17,332114,22,947,56022
17,332117,7,122,6077
17,332119,115,3872,219672
17,332215,5,188,8276
17,332216,64,1701,82543
17,332321,29,1788,113973
17,332322,160,4897,267697
17,332613,39,1505,81807
17,332618,60,2104,109770
17,332710,896,11520,619735
17,332813,161,3898,193080
17,332912,22,3822,240075
17,332913,4,686,46777
17,332919,18,831,62225
17,332996,33,946,49950
17,333111,51,5948,486141
17,332510,33,1206,73778
17,332721,280,9109,518242
17,332722,91,4519,252919
17,332811,46,1328,59733
17,332812,110,2701,132176
17,332911,28,1519,101159
17,332991,13,1702,86750
17,332994,13,313,20312
17,332999,181,5473,291504
17,333112,13,1418,69311
17,333120,43,6216,570947
17,333131,14,517,31583
17,333132,4,125,8905
17,333241,29,1118,79628
17,333243,13,263,15422
17,333244,29,620,43205
17,333249,94,2344,147499
17,333314,8,155,12083
17,333316,7,64,3057
17,333318,93,4585,285639
17,333413,33,2146,116344
17,333414,10,982,44030
17,333999,91,2822,159945
17,333415,37,2368,125741
17,333511,101,1941,113528
17,333514,149,2168,135189
17,333515,85,2468,127844
17,334220,30,1057,80717
17,333517,90,2049,136779
17,334290,23,1095,103041
17,333519,42,1760,122233
17,334310,21,207,11481
17,333611,7,243,15904
17,333612,27,2024,120065
17,333613,16,1799,116171
17,333618,14,618,35658
17,333912,8,1357,67031
17,333914,25,2091,141297
17,333921,16,796,41458
17,333922,50,1923,134389
17,333923,8,561,39188
17,333924,16,780,40955
17,334510,30,727,60917
17,333991,8,422,19257
17,333992,18,546,37270
17,333993,37,1248,98395
17,334514,10,669,43882
17,334515,27,1011,87994
17,333994,16,927,54301
17,333995,29,1598,105665
17,333996,11,1645,111776
17,333997,7,71,4507
17,334614,23,140,14031
17,334111,8,57,2626
17,334118,20,1302,127439
17,335110,5,74,2568
17,334210,8,276,21694
17,335311,11,371,23487
17,335312,19,518,22129
17,335314,48,1488,105601
17,334412,39,1300,53670
17,334413,11,202,14902
17,334416,23,705,28883
17,334417,8,639,31498
17,334418,41,2830,160007
17,334419,61,2651,155931
17,334511,13,3160,313455
17,334512,17,1341,117674
17,334513,29,976,69597
17,334516,16,540,30622
17,334517,12,1101,115529
17,334519,28,516,34145
17,335121,11,1399,92632
17,335122,19,1118,64448
17,335129,16,275,20330
17,335220,9,1694,129864
17,335313,31,5495,433614
17,335911,12,579,44075
17,335921,4,198,12694
17,335929,7,867,43212
17,335932,12,1112,73592
17,336111,10,6344,408730
17,336112,5,5175,400141
17,336310,23,1243,67261
17,336320,39,7829,365888
17,336360,10,2922,129165
17,336370,48,5443,309582
17,335931,27,1800,105412
17,335991,4,12,828
17,335999,48,1298,71256
17,336211,18,2791,158731
17,336212,10,1024,39443
17,336214,7,129,6341
