Naics,Establishments,Employees,Payroll
2211,116,8191,1105018
2389,991,14228,823870
2371,316,7957,504314
2212,15,1430,141870
2383,2363,19765,1046873
2213,29,267,20386
1131,3,10,632
1133,52,164,6625
1141,23,16,371
2361,3887,16262,944239
2372,86,300,28210
1142,6,53,2475
2373,158,4576,316415
3111,17,332,17517
3112,11,234,13318
1151,21,423,20091
1152,90,414,14334
3113,29,943,49936
2379,91,980,62858
3114,10,520,23417
3115,23,2466,122120
1153,9,42,1936
2382,3736,51703,3425468
3116,28,2196,81539
2121,6,140,9001
2362,914,13222,1062323
3117,15,280,18251
3118,191,4239,156915
2123,34,666,41732
2381,1650,23191,1305229
2131,16,207,30657
3119,36,3074,195476
3132,6,0,0
3133,10,166,8830
3152,26,876,25361
3251,22,1302,106300
3335,26,675,33482
3366,31,474,20616
4231,338,4840,233103
4412,199,2025,91382
4452,405,3144,65609
3121,91,1773,67853
3141,18,137,5971
3159,5,78,3036
3252,9,261,13008
3253,19,380,18471
3311,6,58,3079
3312,3,77,4258
3313,3,17,1342
3336,8,0,0
3369,5,81,6901
4441,815,19643,629653
3162,3,0,0
3169,8,27,1793
3254,40,4706,412945
3314,3,67,5193
3315,8,178,6505
3339,37,1440,95279
3371,99,1648,65589
4413,834,9195,283890
3211,19,354,14981
3212,15,816,37701
3255,16,1015,73373
3321,8,84,4492
3323,122,3336,202205
4238,592,7626,553478
4241,150,2804,183807
3219,70,2018,75524
3256,17,1467,121574
3341,14,241,17524
3372,61,1076,52834
4471,1557,13935,303201
3259,22,534,26164
3342,37,2870,301034
4232,203,2988,189712
4453,1224,5793,153297
3261,94,5636,336053
3324,10,593,31342
3343,5,37,1441
3344,42,1623,98521
3379,10,1528,55238
4251,560,4252,286843
4482,521,5505,85082
3222,32,2095,104022
3325,3,0,0
3326,9,297,18315
3327,165,2505,137321
3391,132,1792,109015
4235,110,1536,102937
4242,138,5061,585829
4245,32,251,12312
4421,435,3790,132758
4442,229,3015,96880
3345,81,11379,1212562
4246,123,1426,106345
4483,402,2516,87432
3231,386,7388,380842
3262,15,701,36242
4233,304,5160,324792
4236,419,6377,583988
4243,103,945,69923
4422,479,4658,128109
4461,1840,19318,668316
4481,1736,27900,454624
3271,19,412,18075
3328,37,382,19519
3399,201,2646,125116
3272,25,286,13829
3346,3,52,3872
3351,8,292,16573
4239,362,4376,277374
4247,61,848,62244
4411,648,27859,1504960
4451,1941,56196,1492931
3273,110,2885,165313
3329,25,793,46958
3353,14,934,73906
3359,20,455,26367
4511,564,7188,133786
3331,9,292,16374
4244,583,19426,1010662
4248,82,3037,229526
4431,550,5854,173352
3149,69,560,25105
3241,35,813,63194
3332,20,598,36848
3333,14,253,18253
3362,15,247,14201
4234,564,9753,937474
4237,379,4423,333674
3274,6,0,0
3279,32,553,26067
3334,24,1420,89478
3363,20,946,70995
3364,8,1739,218011
4249,330,3784,177097
4859,84,1688,51235
4889,26,266,9426
5231,478,4051,723613
5242,2223,15768,1119500
5312,1983,6121,429760
5414,593,2319,125122
4522,83,9344,181691
4842,730,6572,308939
4921,179,11038,548113
5221,2089,24155,1688393
5323,35,362,17003
5412,2581,20143,1237440
4531,168,1067,22572
4542,61,939,43491
5112,237,8128,1292823
5324,240,3029,214308
4532,442,3837,63628
4862,9,59,6096
4869,3,0,0
5174,14,385,33450
5313,1852,16831,1052851
4543,459,4173,199842
4871,11,234,8317
4872,26,195,7552
4922,101,942,32394
5179,112,736,42701
5239,1174,14615,2756735
5415,5487,86907,8639102
5418,555,5595,370761
4879,4,19,592
5121,272,2998,99196
4881,56,1751,93222
4931,258,14390,715224
5222,646,14066,1325675
5259,11,59,11604
5413,2473,47899,4149300
4533,347,4409,88771
5182,374,11931,1076560
5331,41,459,46417
4851,33,2016,73005
4882,14,104,5849
4539,664,4358,105863
4811,15,5310,496690
4812,18,144,19144
4852,15,568,22154
4883,58,2734,154433
5122,59,246,14229
5311,1977,13456,840062
5417,762,40684,3712648
4831,16,1239,95593
4853,133,1045,30457
5321,300,3855,183428
4832,12,84,4071
4884,269,1813,63018
5151,101,2575,207563
5191,180,2989,226568
5223,380,7856,570559
5416,4069,47191,3806925
5419,1214,12816,699385
4841,849,10452,544582
4854,349,6452,166216
5241,461,21610,2010630
5411,3265,19608,1665123
5111,241,5300,310142
5322,290,2408,96713
4512,124,1458,27070
4523,673,35196,839729
4885,208,2645,141458
5152,17,1980,185998
4541,520,9582,360440
4855,49,893,33735
5173,939,16269,1238411
5511,1325,59448,5551047
5611,666,13541,921833
5612,363,12748,674850
5619,374,7061,311492
6111,442,24559,1003489
7111,112,1839,70150
7132,25,2222,66098
8122,312,3012,114703
5616,629,26062,846319
6215,402,7234,328472
7139,1367,28666,570044
6117,220,2865,146149
6232,923,20225,542194
7212,69,1043,25224
8113,310,2735,166928
8131,3309,30928,814471
6112,7,0,0
6113,61,42581,2506386
7112,96,3053,491237
8123,735,5623,157274
6216,576,18370,602518
7213,17,61,1268
8114,487,1944,71091
8132,508,5554,411784
5614,535,10336,542475
5621,242,4469,235985
6114,186,1934,191288
7113,120,2130,67928
6242,237,3922,186843
7223,922,17164,401126
8111,2893,18699,781952
8133,351,3367,169983
5617,4080,56010,1591886
6233,516,21790,632104
8129,867,7063,191473
5622,42,913,50897
6115,142,2202,99956
6211,4491,52278,4713887
6219,129,6783,270584
6243,133,7329,207176
7114,38,68,5086
8134,483,3816,106462
6214,1055,20916,1102502
7115,218,496,26350
5629,206,3075,164172
6244,1539,19388,435296
8121,2409,17316,418965
8139,1052,14025,1115200
6116,1146,9016,176809
6221,52,98023,5841175
7121,112,1966,63222
7224,453,4761,91870
6222,10,5184,344803
6239,86,1532,47805
5615,367,1960,107379
6212,2690,17751,974394
6223,5,3015,272712
7211,736,30517,992769
5613,987,73567,3416290
6231,251,30618,1155099
7131,78,2024,32542
7225,9954,188236,3418581
8112,231,1682,110913
6213,2651,17074,740189
6241,1117,29395,827113
