fips,Naics,Establishments,Employees,Payroll
26,1132,12,25,1164
26,1131,12,46,2797
26,1133,327,1677,73242
26,1141,10,53,3407
26,1142,16,48,1461
26,1151,83,1518,64937
26,1152,113,768,28116
26,1153,54,200,9787
26,2111,68,698,59327
26,2123,127,1331,103820
26,2122,5,992,97975
26,2131,118,1351,99064
26,2211,275,20172,2509662
26,2212,71,2475,246981
26,2213,67,527,32482
26,2361,5318,19475,972652
26,2362,1281,17952,1364968
26,2371,505,12789,1063458
26,2372,79,279,15160
26,2373,248,3484,538861
26,2379,163,1082,96052
26,2381,2422,18020,1188265
26,2382,4476,52231,3479603
26,2383,2854,18172,919130
26,2389,2422,14594,1062989
26,3111,37,577,28977
26,3112,22,2014,162038
26,3113,62,2115,95504
26,3114,84,6854,358363
26,3115,49,4016,240523
26,3116,86,6650,277374
26,3117,5,14,846
26,3118,332,6601,257457
26,3119,122,5466,263818
26,3122,6,26,994
26,3121,321,7931,340650
26,3132,11,605,25754
26,3133,12,210,10184
26,3141,34,629,26270
26,3149,117,1235,46541
26,3152,48,253,9617
26,3151,3,19,523
26,3159,23,88,2277
26,3169,11,120,3063
26,3161,4,45,1712
26,3211,120,2116,88377
26,3212,44,2636,138214
26,3219,310,6065,272382
26,3221,24,3952,322610
26,3222,115,8706,425477
26,3231,785,13365,631104
26,3241,50,1328,93804
26,3251,60,3951,366359
26,3252,66,5363,388858
26,3253,17,459,32609
26,3254,54,8827,776391
26,3255,80,5407,389671
26,3256,53,2023,148078
26,3259,69,3918,260437
26,3261,530,46989,2153814
26,3262,83,6150,320732
26,3271,23,490,26006
26,3272,35,4090,178314
26,3273,266,3870,270946
26,3274,7,210,16081
26,3279,100,3341,209433
26,3312,40,2269,127782
26,3311,23,4989,424940
26,3313,30,3375,175481
26,3314,24,847,49573
26,3315,123,11253,574109
26,3323,444,9775,544377
26,3321,139,9206,428889
26,3322,71,1223,71233
26,3324,31,868,45789
26,3325,33,2147,98269
26,3326,59,2643,126380
26,3327,1348,30964,1662809
26,3328,417,13814,616231
26,3329,393,12936,680986
26,3331,60,3057,176114
26,3332,235,5869,395576
26,3333,72,2311,156882
26,3334,77,3948,222178
26,3335,1066,31747,2089875
26,3336,52,7877,571440
26,3339,428,20434,1521131
26,3341,31,426,29720
26,3342,28,1104,83403
26,3343,14,147,11188
26,3344,98,4565,238230
26,3345,168,8682,654068
26,3346,11,93,6668
26,3351,34,806,48096
26,3352,10,1854,97132
26,3353,78,2722,157655
26,3359,107,6398,354944
26,3361,34,40863,3233585
26,3362,59,4676,215199
26,3366,26,2528,112907
26,3363,673,130544,7949356
26,3364,48,5204,358166
26,3365,7,201,14209
26,3369,45,2171,153487
26,3371,235,5478,269001
26,3372,150,16646,1007119
26,3379,14,415,20204
26,3391,287,9109,642626
26,3399,704,8522,443191
26,4231,1050,34711,2725526
26,4232,279,3488,215363
26,4233,431,6955,446154
26,4234,807,11540,1043349
26,4235,323,7588,534482
26,4236,664,12186,1052402
26,4237,593,8249,574079
26,4238,1795,28131,2126458
26,4239,702,6674,378314
26,4241,203,2288,150313
26,4242,166,4248,413081
26,4243,133,3217,184577
26,4244,764,21931,1205246
26,4245,100,1154,63020
26,4246,386,5576,396443
26,4247,181,2757,191145
26,4248,102,5556,279850
26,4249,644,8392,447971
26,4251,1163,8257,494513
26,4411,1461,43244,2327084
26,4412,508,6063,291246
26,4413,1934,17028,571461
26,4421,577,5836,229763
26,4422,737,7939,184660
26,4431,872,8619,244265
26,4441,1912,38588,1192890
26,4442,616,4925,176435
26,4451,2522,60947,1356045
26,4452,878,6040,121775
26,4453,1645,6193,121567
26,4461,3550,33122,1194228
26,4471,3586,26178,556365
26,4481,2496,30219,511404
26,4482,616,5553,93336
26,4483,602,3250,111478
26,4511,1166,13942,281181
26,4512,190,1746,31469
26,4522,112,11892,220468
26,4523,2055,88409,2114089
26,4531,384,2205,39546
26,4532,723,6213,116545
26,4533,579,5973,98802
26,4539,1972,10210,315387
26,4541,941,9013,412775
26,4542,100,1339,46044
26,4543,944,5025,222807
26,4811,53,13984,1182851
26,4812,57,2456,247483
26,4831,22,534,57968
26,4832,5,2,665
26,4841,3313,35365,1836115
26,4842,1143,12758,729344
26,4851,13,271,10911
26,4852,8,293,7396
26,4853,115,761,52370
26,4854,51,4664,107099
26,4855,30,578,19115
26,4859,171,2370,61365
26,4861,25,116,11906
26,4862,37,291,33146
26,4869,11,87,7960
26,4871,13,127,2877
26,4872,29,42,5228
26,4879,4,8,160
26,4881,131,4994,221024
26,4882,32,435,20976
26,4883,25,124,13069
26,4884,380,3414,134164
26,4885,483,8203,479346
26,4889,66,993,38398
26,4921,251,15764,620583
26,4922,80,749,28297
26,4931,478,18899,924856
26,5111,372,7459,415748
26,5112,291,11218,1509943
26,5121,369,5065,108781
26,5122,66,228,10518
26,5151,193,5161,349490
26,5152,16,258,33364
26,5173,1705,21536,1413808
26,5174,12,135,7701
26,5179,214,1389,81083
26,5182,484,11189,946422
26,5191,448,3849,400200
26,5221,3700,52475,3469423
26,5222,625,25117,2440318
26,5223,794,5287,333656
26,5231,655,4316,753946
26,5239,1929,8333,1064059
26,5241,765,39105,3524731
26,5242,4245,34135,2067363
26,5259,66,190,18714
26,5311,2674,14671,573938
26,5312,2229,6406,371030
26,5313,2166,21440,1065252
26,5321,391,4210,186160
26,5322,620,3678,116166
26,5323,158,669,30895
26,5324,298,3441,251513
26,5331,75,699,55496
26,5411,4331,26392,2233611
26,5412,3569,33676,1761409
26,5413,2884,74997,7666349
26,5414,689,4344,315042
26,5415,2849,42939,3775192
26,5416,3445,38018,2682557
26,5417,369,32700,3724894
26,5418,842,11848,820152
26,5419,2625,23712,991669
26,5511,1522,124667,13310890
26,5611,860,15723,1056903
26,5612,243,9524,332632
26,5613,1750,229858,6873570
26,5614,812,15100,513712
26,5615,348,5348,237584
26,5616,561,20238,601690
26,5617,5576,52123,1773754
26,5619,575,10861,483653
26,5621,342,7551,444309
26,5622,90,1240,74397
26,5629,348,4025,208178
26,6111,501,28446,978344
26,6112,18,1114,30658
26,6113,91,25217,724001
26,6114,175,1714,120704
26,6115,212,2420,90336
26,6116,1132,9469,172093
26,6117,264,1625,63232
26,6211,6885,89373,7587787
26,6212,3977,33579,1708116
26,6213,4709,36248,1522298
26,6214,1277,29358,1566534
26,6215,337,6896,443276
26,6216,1470,41046,1347650
26,6219,377,11716,502666
26,6221,144,184300,11200687
26,6222,18,7050,480324
26,6223,21,5906,286417
26,6231,505,51444,1609788
26,6232,1945,25833,684603
26,6233,960,34968,818392
26,6239,271,4491,128380
26,6241,1940,41008,1046251
26,6242,438,6379,174564
26,6243,240,12124,268151
26,6244,1825,20660,425176
26,7111,148,2337,75935
26,7112,62,1556,662509
26,7113,236,4208,123348
26,7114,41,704,26707
26,7115,276,522,21973
26,7121,187,4349,141017
26,7131,116,2099,39386
26,7132,15,618,19993
26,7139,2417,34859,748129
26,7211,1474,49329,1350382
26,7212,313,1747,65029
26,7213,98,622,12391
26,7223,1459,25617,566759
26,7224,1316,12555,214829
26,7225,16227,311472,5255163
26,8111,5576,30784,1127178
26,8112,370,3382,191579
26,8113,817,7382,440858
26,8114,972,2751,95014
26,8121,3128,18743,412006
26,8122,655,5071,180680
26,8123,821,7833,248031
26,8129,1289,8690,183027
26,8131,5949,48712,1093377
26,8132,500,5134,328261
26,8133,477,3607,148449
26,8134,830,6566,109608
26,8139,1578,13450,617145
