Naics,Establishments,Employees,Payroll
1141,3,23,734
1133,388,2844,109162
1152,5,142,3686
1151,87,378,17019
1153,51,63,2706
2123,13,119,4773
2111,40,403,49237
2131,176,1559,86560
2211,149,704,59147
2212,7,158,10810
2213,307,1404,48516
2382,1148,10732,506754
2383,375,2275,93097
2381,361,3116,125443
2373,77,1774,90242
2372,18,36,1793
2362,283,3541,187273
2379,23,158,7091
2389,445,3439,157253
2361,606,2075,77787
2371,171,3426,216840
3111,3,79,4563
3116,24,7364,238330
3118,38,216,3480
3121,3,0,0
3119,3,0,0
3149,4,88,2754
3117,10,227,10533
3251,7,0,0
3273,53,1188,51845
3222,32,1845,87235
3259,3,0,0
3279,11,100,5528
3219,64,1647,52626
3241,3,47,2367
3254,3,153,5442
3261,71,3576,137549
3231,102,856,32413
3252,8,517,41907
3262,11,48,2054
3211,49,1662,68540
3256,7,272,12523
3331,3,51,1102
3323,77,2175,97223
3328,6,281,16631
3333,7,102,4829
3342,3,0,0
3353,10,881,53280
3371,88,14175,470718
3352,3,0,0
3332,3,64,1816
3327,82,1004,49029
3391,37,335,16114
3335,3,41,1720
3363,17,3480,211911
3345,3,42,3245
3372,19,553,16275
3329,8,26,1793
3379,4,217,6146
3339,13,536,25481
3399,54,531,21100
3344,3,398,10927
3366,11,503,25709
4243,28,547,24657
4248,5,294,15997
4246,43,246,16768
4242,35,412,25877
4245,23,196,8207
4232,48,668,36130
4244,225,4377,226777
4237,122,836,46068
4236,107,2336,129641
4233,125,1286,70455
4238,449,5195,297632
4235,25,330,14784
4239,125,1247,49350
4249,168,1428,66687
4231,151,3426,153240
4241,41,414,24473
4247,48,436,26405
4234,140,2490,161082
4251,159,860,35243
4411,526,10072,471160
4413,826,6375,171541
4453,352,1140,20554
4441,600,10606,303155
4481,1070,11337,143400
4431,221,1769,41540
4421,201,1520,51734
4471,1998,13092,225737
4451,642,15237,285124
4461,1043,9926,345477
4422,183,1365,30893
4483,97,655,17361
4442,175,1526,36529
4412,114,1171,44508
4482,240,2086,27549
4452,74,603,10047
4512,37,443,7131
4522,28,4341,51461
4543,236,1154,41403
4541,84,741,40401
4531,100,371,5583
4523,1023,27890,632623
4532,190,1257,19736
4539,401,1976,50225
4511,198,2631,50130
4533,100,709,13111
4542,3,11,340
4885,74,745,31285
4841,650,9119,428930
4832,3,559,47535
4812,9,31,1503
4869,4,0,0
4859,13,252,4574
4862,23,171,15571
4872,8,14,518
4842,616,5930,245300
4881,32,385,15915
4884,58,386,13270
4883,14,229,13435
4853,3,7,221
4921,54,123,4759
4922,6,201,5773
4931,152,6635,296366
5182,39,198,7797
5121,17,293,3583
5111,69,633,21027
5191,17,53,2272
5179,33,118,7832
5151,66,1107,48572
5112,7,156,13831
5173,495,6634,357101
5223,579,1401,43865
5242,1290,5207,264996
5221,1335,16071,936150
5241,126,3564,250534
5222,863,3828,182401
5239,274,703,62747
5231,65,289,50184
5313,327,1753,66776
5321,97,744,25378
5324,76,513,34585
5322,241,1107,33051
5323,13,53,1633
5331,8,0,0
5311,977,3060,92733
5312,434,918,38189
5412,880,6509,238701
5418,129,993,41458
5413,586,4451,280226
5415,385,3356,211912
5411,1442,6668,414334
5416,559,2235,125744
5419,371,2898,97110
5417,31,173,13612
5414,56,187,6430
5511,312,7163,451401
5614,127,2293,64821
5613,220,15168,391577
5612,4,179,3694
5616,166,4165,92545
5611,90,893,45801
5619,57,668,19442
5629,40,239,10764
5617,1116,9851,214052
5615,29,75,2658
5621,55,595,29703
5622,16,15,837
6114,18,55,1696
6113,11,3220,85589
6117,25,93,2955
6111,184,5500,141862
6116,142,833,10525
6115,34,327,16635
6244,750,8447,137309
6242,72,577,18575
6233,121,2985,58653
6221,16,28237,1883484
6216,209,6929,241213
6241,431,8012,169309
6215,90,969,53805
6231,127,10551,300870
6212,857,5710,266210
6213,1064,6749,250440
6211,1597,18839,1482002
6219,64,1486,57144
6239,3,178,4645
6214,301,5016,209973
6232,28,332,10763
6243,24,545,10596
7131,10,53,379
7115,21,41,1893
7121,39,412,10403
7139,467,5999,98927
7111,6,213,6394
7113,4,9,424
7224,71,557,7991
7212,11,35,1016
7225,4476,91029,1194623
7213,25,105,2808
7223,230,4599,93169
7211,703,27317,698819
8111,1229,6183,213363
8139,359,1772,63234
8134,140,719,17900
8113,146,1112,62218
8122,211,1091,33764
8123,148,1504,35158
8112,50,268,11244
8132,97,436,29276
8129,79,402,8115
8114,95,314,8592
8121,483,2080,45149
8131,2846,19175,346634
8133,71,386,15936
