Naics,Establishments,Employees,Payroll
1133,77,390,19751
1152,19,42,942
1153,11,87,9791
2123,29,189,15425
2211,96,2375,271876
2212,6,445,51606
2213,16,197,14021
2382,1292,9148,597649
2383,675,5233,304448
2381,514,3629,234156
2373,69,1368,148797
2372,9,40,1189
2362,139,2122,182723
2379,16,79,5092
2389,566,3234,228329
2361,1048,3794,224866
2371,111,2079,191179
3118,47,710,24726
3121,76,1503,84018
3152,5,16,1763
3115,3,484,43732
3132,7,360,23458
3119,17,231,9510
3169,3,16,757
3149,28,173,5985
3117,3,194,11339
3113,14,928,58003
3273,32,513,31579
3222,11,322,14222
3272,3,19,650
3279,19,411,27996
3219,63,1096,51944
3255,7,284,18290
3241,7,36,1976
3254,7,897,68690
3261,65,3642,210544
3231,109,1776,78758
3252,9,211,14299
3262,6,737,35448
3211,30,683,31595
3256,3,22,1046
3212,3,62,3348
3364,3,605,38254
3323,79,1427,86695
3343,4,133,9477
3328,20,437,19991
3333,29,2261,146813
3342,9,94,8205
3341,6,325,23462
3351,3,472,26736
3353,12,238,18673
3321,3,77,4196
3315,11,1210,55846
3325,3,10,369
3371,31,493,22385
3332,17,799,59135
3327,189,3557,207609
3346,4,21,948
3391,56,3483,233968
3335,34,856,55337
3363,9,252,10368
3345,61,4920,319344
3372,17,407,25986
3359,28,2998,190103
3329,39,4328,323063
3339,27,1573,103113
3399,68,1778,104213
3344,78,4239,342110
3334,3,165,12641
4243,36,1117,94842
4248,13,807,54608
4246,48,428,33817
4242,28,295,22256
4232,35,276,20043
4244,111,2901,169808
4237,107,1286,93453
4236,178,2404,291921
4233,91,1091,92752
4238,229,2956,225621
4235,27,379,28726
4239,114,1260,74006
4249,81,1194,61086
4231,111,1417,73361
4241,31,396,25529
4247,21,404,24446
4234,166,2928,365524
4251,162,787,60646
4411,334,8545,525088
4413,321,3239,102020
4453,93,821,19558
4441,411,9708,376078
4481,433,6243,87114
4431,132,1675,56044
4421,120,1021,43618
4471,564,4726,114690
4451,442,21440,500317
4461,390,4090,144938
4422,165,1820,42980
4483,118,735,20306
4442,137,1173,42539
4412,125,1468,84316
4482,122,1100,20580
4452,98,793,17932
4512,41,410,5179
4522,22,2621,36631
4543,242,2926,170718
4541,224,3432,192689
4531,65,346,6111
4523,222,10885,285999
4532,169,1324,22435
4539,307,2164,70498
4511,277,2986,65887
4533,117,1064,18324
4542,7,38,1799
4885,30,498,28113
4841,197,2430,149283
4852,5,148,3164
4812,15,427,34669
4859,24,296,5176
4872,8,36,1579
4811,3,163,5878
4854,36,2465,45954
4842,185,1016,50246
4881,23,451,27259
4884,58,486,17041
4883,3,18,2360
4853,31,479,7299
4921,60,3620,167740
4922,24,336,19699
4931,48,1718,94096
5182,73,2936,222993
5121,68,952,31966
5111,80,1629,101673
5191,61,483,53973
5179,15,119,10157
5151,28,454,27120
5112,96,3860,499879
5122,3,28,1165
5173,272,5065,432144
5223,51,795,74802
5242,506,4315,367581
5221,563,6979,526928
5241,178,8200,875826
5222,157,1165,159556
5239,385,3363,449185
5231,110,2181,251688
5313,378,3123,155271
5321,67,969,72537
5324,43,511,33409
5322,86,503,21421
5323,5,80,4628
5311,534,2119,81518
5312,354,946,54939
5412,534,3749,245718
5418,119,1504,51060
5413,568,10244,1082467
5415,623,5922,643043
5411,634,3713,354810
5416,586,3706,338935
5419,327,2948,152874
5417,90,1722,200697
5414,80,333,18491
5511,199,8626,813117
5614,127,2101,84747
5613,216,8593,375180
5612,15,395,17267
5616,83,2036,82206
5611,149,1414,113028
5619,63,798,33725
5629,86,780,48820
5617,1454,8160,327735
5615,71,555,21320
5621,94,1434,87620
5622,11,58,3863
6114,37,411,45698
6113,22,15322,700422
6117,40,270,11946
6111,154,8026,324354
6116,343,2614,45101
6115,34,234,7397
6244,458,5717,115568
6242,109,1009,30944
6233,114,4950,163349
6221,20,22910,1487299
6216,96,4788,225377
6241,342,8656,225189
6215,54,350,19553
6231,95,6469,247424
6212,599,4939,309182
6213,625,3805,169139
6211,747,9452,1037383
6219,40,939,42558
6239,21,374,12770
6214,203,9932,877070
6232,95,4158,143263
6243,38,768,20858
7131,39,410,15488
7132,9,408,10406
7115,42,96,19362
7121,66,499,14242
7139,545,10900,189854
7111,39,278,6700
7113,39,619,11842
7112,11,67,2345
7224,19,403,8345
7212,148,505,27974
7225,2888,49317,913304
7213,4,17,105
7223,326,3367,64638
7211,428,8517,174442
8111,1003,4969,216735
8139,288,1928,104202
8134,176,1353,23217
8113,82,555,34355
8122,81,361,17423
8123,127,1763,50030
8112,59,356,24474
8132,65,379,19330
8129,243,1457,26512
8114,110,331,15555
8121,736,3961,82037
8131,652,3791,86373
8133,124,1315,63760
