fips,Naics,Establishments,Employees,Payroll
33,1131,3,3,253
33,1133,79,444,20713
33,1151,3,49,1657
33,1152,27,47,1178
33,1153,18,121,10535
33,2123,30,227,17192
33,2131,5,21,2061
33,2211,99,2511,264821
33,2213,22,224,14884
33,2212,11,698,71221
33,2361,999,3517,198948
33,2362,142,1986,174233
33,2371,108,2002,181919
33,2373,71,1265,144513
33,2372,14,51,3212
33,2379,17,88,6845
33,2381,506,3547,219477
33,2382,1267,8852,579947
33,2383,688,5205,337474
33,2389,571,3215,214023
33,3111,4,58,1837
33,3113,17,988,58580
33,3114,4,38,1374
33,3115,8,587,47716
33,3116,7,168,6816
33,3117,4,202,12023
33,3118,48,686,21691
33,3119,22,257,10289
33,3121,71,1331,78610
33,3132,14,1161,75999
33,3133,4,465,31075
33,3141,5,29,1228
33,3149,32,196,8184
33,3152,9,88,3268
33,3159,3,35,522
33,3162,5,88,3200
33,3169,10,164,8214
33,3211,38,717,31894
33,3212,5,64,3878
33,3219,65,1157,57533
33,3222,14,441,21336
33,3221,4,350,28371
33,3241,16,97,8493
33,3231,118,1840,88689
33,3251,6,248,22648
33,3252,12,279,17843
33,3253,3,15,1148
33,3254,12,1142,86355
33,3255,10,272,19900
33,3256,11,158,5300
33,3259,10,103,6717
33,3261,70,3375,184490
33,3262,13,1461,74314
33,3272,13,482,44453
33,3271,4,45,1810
33,3273,37,560,32373
33,3279,22,427,20058
33,3313,3,220,10208
33,3315,16,1375,66612
33,3314,3,284,18293
33,3323,90,2130,125720
33,3321,10,201,11105
33,3324,5,601,37948
33,3325,7,149,8427
33,3327,194,3434,206362
33,3328,28,512,25039
33,3329,45,5881,337554
33,3331,6,56,5085
33,3332,24,947,67696
33,3333,28,2209,143325
33,3334,8,194,9694
33,3335,38,939,63228
33,3339,30,2884,213328
33,3336,3,559,32184
33,3341,9,1187,140652
33,3342,14,271,23110
33,3343,6,163,11538
33,3344,83,4476,313422
33,3345,67,4867,446613
33,3346,4,22,1250
33,3351,6,586,38392
33,3353,17,316,24757
33,3359,32,3067,192267
33,3363,14,1501,86978
33,3362,9,122,7236
33,3364,4,1491,111380
33,3366,7,198,12115
33,3369,5,66,5631
33,3371,32,522,23729
33,3372,22,467,27758
33,3391,60,3683,233691
33,3399,69,1764,112535
33,4231,112,1483,70644
33,4232,48,418,34655
33,4233,102,1174,88421
33,4234,205,3878,529994
33,4235,32,426,32785
33,4236,203,2557,312794
33,4237,110,1415,98785
33,4238,241,3066,232543
33,4239,120,1483,86343
33,4242,37,352,31761
33,4241,34,352,25547
33,4243,39,1501,116310
33,4244,123,2965,174814
33,4246,60,498,41992
33,4247,26,432,26728
33,4248,15,838,54987
33,4249,88,1282,65532
33,4251,194,968,67340
33,4411,334,8652,498792
33,4412,124,1477,78541
33,4413,322,3220,107849
33,4421,125,1083,46811
33,4422,174,2068,50121
33,4431,147,1898,67277
33,4441,412,9736,338435
33,4442,138,1193,40998
33,4451,439,22306,449564
33,4452,100,774,15398
33,4453,96,842,19580
33,4461,410,4197,143287
33,4471,550,4559,102269
33,4481,449,6355,102685
33,4482,126,1125,23590
33,4483,127,802,24199
33,4511,297,2964,63724
33,4512,52,407,7309
33,4523,226,10651,284361
33,4522,28,2718,53355
33,4531,71,351,6188
33,4532,192,1508,26387
33,4533,114,944,20528
33,4539,309,2253,63349
33,4541,214,3094,168943
33,4542,11,51,2611
33,4543,246,3002,174617
33,4811,6,188,7636
33,4812,17,405,34493
33,4841,191,2432,141351
33,4842,192,1082,55056
33,4852,9,220,11116
33,4851,3,95,3693
33,4853,43,591,13949
33,4854,43,2518,58539
33,4855,4,61,2366
33,4859,32,407,8607
33,4862,5,9,892
33,4871,3,67,3446
33,4872,10,52,3175
33,4881,31,494,29515
33,4883,3,17,1804
33,4884,70,611,18576
33,4889,5,16,329
33,4885,33,504,28127
33,4921,59,3374,142036
33,4922,18,220,7582
33,4931,50,1597,89810
33,5111,86,1717,108331
33,5112,110,4192,497458
33,5121,68,1017,36319
33,5122,9,36,1853
33,5151,34,516,29069
33,5152,4,12,365
33,5179,16,124,9662
33,5173,287,5159,447750
33,5174,4,8,561
33,5182,98,2930,267700
33,5191,61,427,37414
33,5221,576,7114,488510
33,5222,170,1201,129411
33,5223,53,879,85512
33,5231,114,2184,255628
33,5239,398,3455,474818
33,5242,530,4280,338626
33,5241,229,9812,979813
33,5321,69,946,69049
33,5311,544,1983,77588
33,5312,344,986,52613
33,5313,378,2929,142628
33,5322,101,528,21315
33,5323,18,139,7103
33,5324,50,534,35647
33,5331,7,18,1151
33,5411,645,3694,322384
33,5412,532,4512,264578
33,5413,592,10031,1026680
33,5414,89,322,19838
33,5418,118,1769,60270
33,5415,662,6614,656512
33,5416,579,3707,322447
33,5417,99,1747,208718
33,5419,326,2919,144827
33,5511,209,8476,842005
33,5611,147,1613,114711
33,5612,24,1076,27365
33,5613,260,39629,2082401
33,5614,122,2136,94357
33,5615,77,605,28280
33,5616,89,2043,81192
33,5617,1444,8417,313753
33,5619,72,917,41498
33,5621,97,1430,88677
33,5622,14,147,10097
33,5629,86,811,46924
33,6111,159,7866,316954
33,6113,29,15548,704542
33,6114,48,490,48781
33,6116,345,2552,49219
33,6115,44,281,9241
33,6117,41,492,29658
33,6211,717,9592,997960
33,6212,607,4963,324789
33,6213,638,3865,170171
33,6214,216,9304,789952
33,6215,61,425,26602
33,6216,104,4836,199208
33,6219,54,961,41608
33,6221,27,28479,1819979
33,6223,4,663,39477
33,6231,96,6871,257775
33,6232,95,4276,133858
33,6233,122,4905,149315
33,6239,27,466,16146
33,6241,329,8831,216759
33,6242,109,951,27223
33,6243,48,777,23222
33,6244,479,5688,126570
33,7111,44,271,7948
33,7112,15,162,7643
33,7113,46,644,22291
33,7114,3,20,1082
33,7115,47,118,27070
33,7121,70,511,15637
33,7131,46,496,28025
33,7132,17,482,10303
33,7139,568,10568,201386
33,7211,441,9059,224387
33,7212,152,531,35981
33,7213,3,10,67
33,7223,335,4052,82374
33,7224,21,419,9807
33,7225,2902,49416,1026112
33,8111,1016,4955,219530
33,8112,76,388,25386
33,8113,89,523,31846
33,8114,105,396,15975
33,8121,738,4133,101750
33,8122,86,372,17197
33,8123,127,1742,59534
33,8129,238,1399,31168
33,8131,644,3809,86342
33,8132,67,391,25289
33,8133,132,1943,78351
33,8134,181,1476,27615
33,8139,293,1826,100392
