fips,Naics,Establishments,Employees,Payroll
35,113310,9,30,751
35,115114,6,28,1944
35,115112,6,25,1438
35,115210,12,19,447
35,115310,5,7,313
35,212111,3,338,32424
35,212230,4,1165,87430
35,211120,102,2249,274480
35,213111,50,1623,121293
35,211130,31,771,72048
35,213112,419,8308,634822
35,221122,26,453,37101
35,221112,3,77,8496
35,221210,6,400,31817
35,221320,3,10,850
35,221310,78,291,9090
35,238990,213,1779,83603
35,236220,300,3541,200097
35,238310,100,1321,51904
35,238210,522,5370,280060
35,238350,96,455,17784
35,238330,55,314,14341
35,238130,44,324,9658
35,238150,18,324,14163
35,237310,51,2394,131054
35,236210,14,582,29820
35,237210,17,48,2847
35,238140,73,847,26165
35,236117,102,646,37716
35,236116,11,84,3982
35,236115,346,1124,40863
35,237120,37,1996,139132
35,238290,14,177,14431
35,238390,16,169,5578
35,238190,42,271,13433
35,237990,6,22,986
35,238320,136,1187,42327
35,238220,650,5504,262931
35,238110,119,1279,55697
35,237130,28,443,26056
35,236118,491,2171,85537
35,238160,165,1655,62713
35,238170,6,47,1668
35,238910,202,3327,191157
35,238120,9,142,5886
35,238340,60,281,7721
35,237110,81,810,36790
35,316998,3,9,253
35,314999,3,12,279
35,312120,26,506,12714
35,311351,5,37,1046
35,311812,5,179,6621
35,311352,3,39,411
35,315210,3,20,1377
35,312140,3,17,298
35,311423,6,166,5519
35,311412,3,61,1147
35,311421,3,37,1295
35,311941,3,53,3187
35,311612,6,38,666
35,311119,4,93,4607
35,311991,4,29,364
35,311811,12,105,1935
35,314910,4,22,674
35,311830,3,202,6650
35,312130,6,40,761
35,322299,3,19,714
35,327999,6,90,2874
35,321999,5,52,1331
35,326199,9,157,5519
35,324121,9,166,10963
35,327120,4,32,1130
35,323111,71,459,17498
35,323113,11,116,3518
35,327331,5,210,7834
35,322211,3,88,5113
35,327991,3,47,1918
35,321918,5,51,2040
35,325412,7,522,34866
35,327110,3,23,312
35,327320,17,250,14032
35,325620,3,64,2599
35,326150,3,158,7139
35,321911,7,143,3980
35,336411,3,61,3800
35,335999,4,12,977
35,332999,9,72,3066
35,339999,13,100,3377
35,334516,3,12,1250
35,334412,4,75,5469
35,337212,6,182,7355
35,339114,6,63,2226
35,339116,20,120,4266
35,332813,5,77,3079
35,332312,13,258,13109
35,333111,4,42,1440
35,334515,5,34,2744
35,334513,3,35,2575
35,331110,3,48,3033
35,339910,62,1067,38881
35,332710,61,438,21041
