Naics,Establishments,Employees,Payroll
2213,77,454,20310
2389,848,7860,392458
3141,15,336,8957
3335,40,638,30715
2121,8,183,10042
2123,115,1843,92931
3149,55,579,17607
3251,34,1067,73178
3274,9,687,51167
3279,31,338,13817
3336,14,1065,46884
3361,6,0,0
3362,56,3094,125220
3399,168,2590,115957
4232,92,913,45575
2372,90,172,9967
2382,2554,21739,1082163
3252,12,736,42004
3339,113,6558,380094
4235,170,2180,122447
2373,144,4996,250582
3152,16,201,7028
3159,3,0,0
3253,9,804,72755
3254,14,462,18641
3311,9,1094,59428
3328,78,1434,66883
3363,38,1156,46266
4233,196,2195,121366
1131,5,34,2378
2361,1102,3599,147199
3169,11,127,3396
3255,21,524,26932
3312,13,2141,119595
3313,3,54,3542
3314,5,662,27495
3315,23,1434,66084
3364,46,5496,363600
4236,256,3645,231480
1133,42,262,8681
3211,18,478,19186
3212,19,445,24946
3256,13,179,6405
3259,30,508,34082
3329,118,4547,273982
1151,68,302,13026
2131,1654,26093,1889580
2379,45,208,9830
3111,44,1564,91334
3219,74,973,31411
3321,20,443,19690
3341,4,0,0
3342,6,318,19443
3365,3,0,0
3366,7,493,14790
3369,7,29,1263
2362,771,6500,373466
3112,6,516,33289
3113,6,19,204
3114,7,68,2597
3322,3,0,0
3323,242,6872,353081
3344,22,1001,33951
3371,79,1093,38005
4231,260,4267,218346
1152,44,176,6618
2381,1234,9621,438831
2383,1091,6470,251671
3115,7,1062,47024
3116,61,9138,381088
3261,103,5031,228839
3345,46,1377,98048
4234,362,4955,303580
1153,5,89,1883
3221,7,2241,173192
3222,23,1320,68804
3372,27,436,17845
4237,272,4142,276650
3118,114,2346,96156
3331,111,6315,379908
3346,5,10,203
3379,9,132,6663
3231,279,3310,125838
3262,20,5174,326104
3351,6,52,2944
3352,3,0,0
3353,22,1341,71953
2111,989,13095,1522838
2211,224,6486,608279
2371,480,11017,795928
3119,22,1074,29974
3271,16,919,44544
3324,70,5162,341087
3359,7,222,9459
3391,87,970,49592
3121,53,1516,71873
3272,16,1610,94520
3332,27,3059,251761
3241,42,2623,263038
3273,183,2942,141941
3333,15,1331,82481
2212,67,2866,258873
3132,3,18,300
3133,15,44,1518
3325,3,21,796
3326,14,417,16915
3327,342,4043,213946
3334,26,4850,239533
4239,207,1820,79205
4442,345,2915,79503
4242,84,1135,73781
4244,252,5739,286807
4248,48,2090,91571
4251,540,3236,121303
4413,838,7307,213595
4421,235,2798,99172
4461,1106,10954,390338
4542,55,616,17515
4842,757,8530,472586
4862,100,1657,184212
4869,24,523,66577
5112,61,942,95495
4422,314,2194,63183
4533,264,2333,38068
4543,408,1737,72608
4922,26,138,3525
5174,5,38,3193
5179,129,609,17631
4512,73,716,9664
4881,140,3008,149741
