fips,Naics,Establishments,Employees,Payroll
41,1141,140,215,11490
41,1133,607,5150,289009
41,1152,93,213,5836
41,1151,188,4304,161828
41,1153,230,3155,209028
41,1131,7,27,2676
41,2123,78,881,54782
41,2131,8,95,6200
41,2211,167,7181,747790
41,2212,8,708,83302
41,2213,58,250,11375
41,2382,2259,28186,2036316
41,2383,2639,15885,800043
41,2381,1638,15942,891187
41,2373,181,3439,273922
41,2372,79,278,22384
41,2362,510,9732,847178
41,2379,45,493,41523
41,2389,1297,10063,627514
41,2361,4910,18003,874385
41,2371,225,5122,330071
41,3111,7,48,2268
41,3116,22,1529,71652
41,3159,6,456,18154
41,3118,223,5580,258722
41,3121,502,7116,299144
41,3152,30,487,16634
41,3115,22,1294,80606
41,3114,80,6834,337657
41,3112,8,525,24483
41,3119,129,3536,153995
41,3169,20,276,6287
41,3149,47,569,20614
41,3117,15,900,41557
41,3113,46,971,38145
41,3141,6,105,1595
41,3251,14,701,55213
41,3273,92,1370,82513
41,3271,11,213,10196
41,3222,24,1401,89345
41,3272,37,708,35051
41,3274,3,66,3372
41,3259,35,1310,75437
41,3279,15,476,25497
41,3219,192,6663,282343
41,3255,14,490,26841
41,3253,8,135,7127
41,3241,13,516,44426
41,3254,42,1191,68243
41,3261,114,6246,301210
41,3231,327,4495,178481
41,3252,13,406,34226
41,3262,21,790,36418
41,3211,85,5424,327604
41,3256,35,608,33633
41,3212,66,6722,357331
41,3364,24,2691,208484
41,3331,39,1273,75629
41,3313,3,674,27445
41,3323,222,4061,233471
41,3343,10,455,35896
41,3324,9,403,23074
41,3328,81,1530,70201
41,3333,24,1382,87718
41,3341,10,747,82826
41,3322,16,1929,135109
41,3351,7,354,15141
41,3353,13,474,33561
41,3336,8,225,9723
41,3321,25,421,17690
41,3315,27,6367,395697
41,3325,4,21,914
41,3371,217,3209,129407
41,3332,52,3903,445692
41,3327,328,4033,235939
41,3391,174,4575,297828
41,3335,55,868,39008
41,3362,42,2825,144237
41,3363,55,1020,51687
41,3345,74,5635,582662
41,3314,3,1143,89526
41,3372,51,2291,93103
41,3359,18,1194,104069
41,3329,108,1943,98620
41,3339,65,2717,195039
41,3399,278,3473,168074
41,3369,20,232,9784
41,3344,76,16581,2318239
41,3366,17,1010,74303
41,3326,9,214,13018
41,3312,3,213,15634
41,3334,18,902,52831
41,4243,75,2042,212829
41,4248,74,3055,172999
41,4246,108,1285,98098
41,4242,86,1170,66061
41,4245,64,667,44895
41,4232,112,1169,78684
41,4244,441,11797,631184
41,4237,209,2832,201844
41,4236,304,8023,1081123
41,4233,358,5522,450262
41,4238,666,9816,736232
41,4235,102,1846,129515
41,4239,311,3595,198330
41,4249,375,4943,251732
41,4231,286,5478,301237
41,4241,96,1160,71072
41,4247,62,1049,75588
41,4234,355,5127,446124
41,4251,590,2930,170848
41,4411,571,15370,879302
41,4413,734,7869,315019
41,4453,231,1592,39678
41,4441,825,15125,577333
41,4481,973,14435,232433
41,4431,345,3836,150786
41,4421,315,2459,98060
41,4471,976,12664,322962
41,4451,1632,38819,1151719
41,4461,822,8514,297439
41,4422,400,4051,118327
41,4483,226,1271,41761
41,4442,300,3418,123369
41,4412,239,3125,184510
41,4482,222,2409,46302
41,4452,345,3055,68169
41,4512,94,1136,19605
41,4522,29,3630,52115
41,4543,395,1674,66943
41,4541,862,9705,427867
41,4531,120,517,9821
41,4523,454,35759,1093378
41,4532,396,2484,45338
41,4539,1064,7953,235333
41,4511,722,7745,178044
41,4533,389,4136,80007
41,4542,13,231,9011
41,4855,4,174,3759
41,4831,3,11,1190
41,4885,265,2873,183859
41,4841,1142,14215,710395
41,4832,3,37,2498
41,4852,3,15,436
41,4812,41,1665,144626
41,4889,12,231,13286
41,4859,103,1141,26095
41,4862,4,41,4397
41,4871,5,29,222
41,4872,17,126,2853
41,4811,19,4202,279323
41,4854,27,1750,31207
41,4842,705,7165,354107
41,4881,59,2279,82464
41,4882,11,144,6860
41,4884,165,1392,49603
