Naics,Establishments,Employees,Payroll
113110,29,204,11359
113210,8,77,2630
113310,302,2470,109596
221113,12,3093,350544
221114,6,35,2564
221115,6,24,2532
221117,3,63,6983
221210,15,427,29858
114210,12,67,2578
115111,9,46,2252
115112,13,30,1230
115114,13,143,5290
115115,3,310,3142
115210,65,233,6188
115310,85,576,27553
212221,4,422,30747
236117,277,2721,225821
212312,8,98,5857
212313,27,534,30055
212321,25,243,11325
212322,5,86,5280
213111,4,19,1358
213112,9,117,9363
221111,19,97,9935
221112,21,1330,125667
221121,3,50,3791
221122,234,6275,511501
237110,186,2259,114928
221310,47,326,14591
221320,9,56,2737
237130,113,6671,452548
237210,107,595,30726
236115,832,2926,144850
236116,89,537,32291
236118,1051,3503,143331
236210,50,933,49970
236220,510,6467,423141
237120,12,746,27633
237310,141,4194,215036
237990,100,1033,59862
238110,235,2126,106720
238120,59,633,28032
238310,207,2020,91313
238130,155,453,17692
238140,222,1382,50197
238320,423,2042,75429
238330,192,868,40098
238150,84,650,29608
238160,235,2317,99511
238170,146,759,30719
238190,95,746,39087
238210,957,9923,478860
238220,1619,15036,732435
238290,135,1846,102353
311613,3,173,10032
311615,14,7570,239931
311811,45,393,6140
238340,106,501,18953
311812,27,864,32540
238350,424,1653,62728
238390,110,665,27985
238910,571,8043,413079
238990,782,4177,179380
311111,10,419,20043
311119,9,77,3594
311352,8,76,1546
311412,6,2065,79237
311421,8,512,17511
311511,5,336,15474
311611,14,1351,34747
311612,13,368,20776
311821,4,76,3426
311824,5,1072,49666
311920,6,128,7372
311941,6,312,16032
311942,5,380,15888
312111,6,458,22012
312120,38,360,10554
311991,6,269,9739
312112,5,127,3411
312113,6,80,4100
312130,6,43,718
312140,12,85,4198
312230,3,19,1034
313110,21,3091,117151
313210,29,4273,164988
313220,11,748,21840
313230,26,1854,105600
313240,7,401,14836
313310,32,3568,157466
313320,10,499,24222
315210,13,206,4855
315220,4,30,918
314110,6,639,31381
314120,29,930,35341
314910,22,487,17321
314999,53,1101,36555
315240,3,30,657
315280,4,128,8051
315990,8,78,2677
316998,8,30,971
321114,13,775,32952
321219,7,808,52342
321918,21,462,21655
322130,10,3265,308714
321113,36,2012,114423
321211,5,131,2522
321212,3,889,44565
321214,16,656,29014
321911,17,817,33434
321912,17,482,22005
321920,46,806,23217
321992,9,343,17342
321999,39,810,30489
322121,8,3058,250055
322212,4,257,14324
322219,10,702,41342
322220,13,1188,90495
323113,78,686,18277
325199,23,1590,136681
325212,3,372,17724
325220,17,4240,235907
325411,6,1257,66567
325412,23,3590,253892
325510,15,496,35850
322211,23,1899,99624
322291,3,638,29493
322299,9,312,13751
323111,204,4142,211938
323120,16,228,8714
324121,17,157,8321
325120,8,199,15109
325130,5,344,27511
325180,17,1921,162055
325211,27,3364,226672
325314,6,110,5007
325320,4,18,2250
325520,12,1159,86303
325612,5,363,23033
325613,12,748,60067
325611,11,567,32801
325620,5,113,6025
325910,6,354,24108
326111,5,810,34069
326112,9,1515,124375
326121,8,678,39577
326122,6,129,7078
326130,4,292,13170
326140,9,570,30197
326150,4,86,5112
326160,7,434,21942
326211,7,5989,371172
326212,5,96,7236
326299,11,1313,76653
327110,7,803,43045
327120,7,324,13472
327211,4,418,22904
327212,13,753,43986
327215,10,690,31572
327310,4,440,36542
327331,12,318,13340
331110,12,2053,222298
325991,8,485,26866
325992,3,627,41451
325998,18,675,80787
327991,25,383,16266
327999,3,79,3269
326113,9,1136,100641
326191,9,144,5599
326199,90,9757,474520
326220,12,760,26762
327320,139,1801,98918
327332,4,84,4170
327390,28,1323,68807
331318,3,267,13064
331221,4,247,11769
331222,13,685,32622
331420,6,755,45915
331491,4,391,28088
331492,3,82,4830
331511,5,32,1444
331523,3,193,7429
331524,3,26,1314
331529,3,250,11700
332114,4,158,8266
332119,10,303,16105
332216,13,949,34825
332321,9,289,6663
332322,51,1276,50948
332410,3,104,5347
332311,14,494,30963
332312,54,2052,120499
332313,22,722,36668
332323,25,381,23083
332420,10,386,20575
332431,5,469,33215
332439,7,172,8598
332510,7,344,20242
332618,10,168,6503
332811,11,174,8902
332812,35,848,44983
332813,21,458,19836
332919,5,468,25749
332710,269,2772,135200
332721,48,1217,58994
332722,5,222,12136
332911,6,1652,78836
332912,6,655,31498
332913,3,382,25213
333243,4,402,34198
332991,16,4909,272770
332994,4,673,35656
332996,12,616,34240
332999,47,1123,55618
333111,4,58,2434
333112,5,1768,42781
333120,12,748,43990
333241,4,197,10453
333249,40,2060,182568
333415,11,1058,44614
333314,3,27,1225
333318,14,1251,86971
333413,5,274,12706
333414,7,487,17882
333515,27,1538,85639
333517,16,315,15013
333519,8,769,43490
333912,4,963,57211
333914,7,170,13733
333924,5,536,29629
333511,13,269,15109
333514,20,184,10074
333611,10,3250,276286
333612,5,775,36036
333613,6,267,16293
333618,9,1299,89289
333921,3,606,42887
333922,7,192,9024
333923,6,203,10184
333995,5,490,28172
333992,6,97,7317
333993,10,744,48869
333994,4,51,1988
333996,3,824,61889
333999,18,977,48188
334111,5,277,17894
334220,3,154,14401
334290,5,260,12197
334310,3,172,6594
334416,4,661,56250
334419,9,232,16260
334510,8,903,63529
334512,4,88,4828
334513,6,174,10720
334515,6,884,55718
334519,5,54,2397
335122,5,61,4062
335129,4,16,593
335220,5,2392,99378
335313,11,2762,129143
335911,3,670,36520
335311,3,116,8138
335312,9,120,4908
335314,6,526,31856
335921,3,1226,99708
335929,3,549,30592
335931,3,641,34783
335932,3,163,7127
335991,7,1190,101381
335999,7,125,6909
336111,3,155,29540
336112,3,10979,811517
336211,5,149,7411
336212,9,292,10513
336214,8,194,5432
336310,17,3162,175654
336320,12,2958,198885
336330,5,785,43636
336340,6,3062,237306
336350,10,4708,244338
336360,9,1998,96821
336370,9,2416,152600
336390,29,3769,184110
336411,3,6253,534989
336412,11,901,75570
336413,7,369,22158
336510,5,807,56370
336611,7,499,33110
336612,25,2808,125333
336992,6,241,16719
336991,3,90,3254
336999,10,1206,59959
337122,19,125,4385
337124,4,369,18809
337212,24,508,22800
337910,8,601,28465
339113,26,729,36332
337110,82,657,25022
337121,9,132,3709
337127,9,99,3877
337215,12,333,14422
337920,5,223,10826
339112,10,1267,66813
339116,48,295,11874
339910,10,40,1142
339920,16,140,6150
339930,3,42,1824
339940,5,113,5223
339950,102,1281,57906
339991,17,1117,97665
423120,135,2278,134961
423130,52,1079,58734
423140,22,260,8950
423210,67,681,35204
423220,75,1397,71291
339994,3,177,6996
339999,49,568,22601
423330,64,880,61106
423410,8,224,10486
423110,91,1656,70589
423440,53,523,25181
423510,117,1934,110036
423520,5,164,15682
423310,126,2548,124959
423610,243,3578,218683
423320,39,205,11529
