fips,Naics,Establishments,Employees,Payroll
46,1133,31,77,3131
46,1142,8,21,597
46,1151,78,207,9047
46,1152,23,131,4062
46,1153,6,7,226
46,2111,4,41,4425
46,2123,45,672,43912
46,2131,11,120,9843
46,2211,115,1697,150596
46,2213,29,237,13037
46,2212,14,778,98078
46,2361,855,2398,94648
46,2362,208,2429,141030
46,2371,115,1820,124954
46,2373,81,963,77942
46,2372,15,19,1218
46,2379,17,62,5250
46,2381,565,2886,151227
46,2382,710,6115,324113
46,2383,445,1677,71363
46,2389,358,2023,140420
46,3111,31,854,46953
46,3112,6,192,13161
46,3113,5,61,1284
46,3116,40,6894,327823
46,3115,10,1270,64996
46,3118,18,1152,43450
46,3119,12,386,14664
46,3121,29,359,9036
46,3149,17,605,25715
46,3152,5,14,254
46,3169,3,2,39
46,3211,15,497,24606
46,3212,10,437,23028
46,3219,38,884,36746
46,3222,10,727,41854
46,3231,81,1417,73803
46,3241,3,38,3219
46,3251,14,753,46884
46,3253,8,38,2741
46,3254,3,87,3821
46,3256,6,84,4331
46,3259,6,401,19502
46,3261,40,1729,82469
46,3262,5,103,3751
46,3273,65,1274,75489
46,3271,4,10,197
46,3279,14,308,15675
46,3315,3,135,5299
46,3321,5,115,5253
46,3322,3,49,1346
46,3323,65,2575,121268
46,3325,4,240,10119
46,3324,6,108,5362
46,3327,69,804,35752
46,3328,8,117,4627
46,3329,26,1201,57350
46,3331,46,2440,121162
46,3332,4,98,5930
46,3334,11,1025,51249
46,3335,15,400,19182
46,3336,6,828,42146
46,3339,27,2280,145946
46,3344,14,1142,50154
46,3345,6,645,34378
46,3351,3,34,2017
46,3353,7,850,29889
46,3359,3,48,2135
46,3362,24,1508,73203
46,3363,12,1138,46390
46,3369,3,17,605
46,3371,47,2256,78496
46,3372,8,259,9445
46,3391,28,1475,92369
46,3399,48,2715,143958
46,4231,104,1590,83564
46,4232,18,187,11391
46,4233,59,666,45449
46,4234,92,1138,78632
46,4235,12,156,11751
46,4236,69,1073,73079
46,4237,74,648,41273
46,4238,245,3049,192397
46,4239,68,651,27261
46,4242,24,215,12326
46,4241,23,152,7704
46,4244,87,1288,58829
46,4243,9,62,1680
46,4245,166,1923,94596
46,4246,25,249,16152
46,4247,43,668,35608
46,4248,17,747,38587
46,4249,302,2872,183342
46,4251,92,1012,32096
46,4411,212,5005,253448
46,4412,96,1015,47062
46,4413,226,1980,69826
46,4421,81,741,26506
46,4431,108,821,27778
46,4422,83,621,19744
46,4441,303,4218,142034
46,4442,110,932,36706
46,4451,212,9368,170163
46,4452,64,511,11226
46,4453,68,532,10004
46,4461,219,1971,72922
46,4471,609,6771,140016
46,4481,272,2288,34126
46,4482,60,417,7015
46,4483,41,251,8757
46,4511,146,2094,44126
46,4512,13,100,1477
46,4522,17,1362,18392
46,4523,177,7840,197390
46,4531,65,253,3300
46,4532,105,584,16559
46,4533,90,627,12540
46,4539,157,768,24926
46,4542,9,58,2158
46,4541,105,703,25936
46,4543,154,710,27249
46,4811,13,223,5249
46,4812,13,40,3088
46,4841,490,3744,174590
46,4842,443,1545,75184
46,4851,7,207,6624
46,4852,4,131,3902
46,4853,20,119,2002
46,4854,19,616,8908
46,4855,6,57,1387
46,4859,18,145,2574
