fips,Naics,Establishments,Employees,Payroll
48,1131,19,77,4068
48,1132,4,1,327
48,1133,184,1132,56766
48,1141,96,213,5143
48,1142,57,199,9285
48,1151,374,3631,151444
48,1152,311,1509,63461
48,1153,50,189,9069
48,2111,2441,51538,8322867
48,2121,19,1261,112601
48,2122,11,109,12272
48,2123,397,8899,559845
48,2131,4880,167726,15784699
48,2211,1052,36447,4139026
48,2212,272,13068,1467751
48,2213,721,5436,310422
48,2361,9366,49916,3802846
48,2362,3672,61435,4744633
48,2371,2416,149144,10896572
48,2372,596,3584,435900
48,2373,767,37531,2387967
48,2379,320,8346,556626
48,2381,6767,85387,4683873
48,2382,13836,193017,11771184
48,2383,5299,75578,3653229
48,2389,4943,77161,4485408
48,3111,110,3462,158024
48,3112,49,2647,141890
48,3113,80,3301,122299
48,3114,120,8120,325716
48,3115,77,8430,424129
48,3116,272,40710,1702167
48,3117,30,985,35656
48,3118,930,21126,755756
48,3119,282,12466,578208
48,3121,535,13848,716640
48,3122,7,104,2832
48,3131,5,127,2194
48,3132,36,2062,77905
48,3133,54,854,37812
48,3141,103,1876,66129
48,3149,322,3654,141650
48,3151,3,37,2648
48,3152,173,3730,93372
48,3159,28,931,34240
48,3162,30,2523,70230
48,3161,16,216,9712
48,3169,82,1352,43186
48,3211,120,3871,200893
48,3212,77,3942,207039
48,3219,578,19384,770917
48,3221,12,2709,238478
48,3222,213,11541,674694
48,3231,1712,21572,955350
48,3241,181,22701,2726606
48,3251,323,28819,3452159
48,3252,144,18371,2231373
48,3253,67,1928,144755
48,3254,140,7930,515465
48,3255,142,5219,341247
48,3256,155,5725,370716
48,3259,219,6484,458613
48,3261,686,44043,2178060
48,3262,116,3252,158662
48,3279,283,7760,393734
48,3271,61,3984,197815
48,3272,98,4023,238675
48,3273,781,19912,1077876
48,3274,32,1668,123481
48,3311,46,3650,280377
48,3312,68,5979,385360
48,3313,32,3018,153406
48,3314,58,5122,328714
48,3315,89,5504,285850
48,3321,131,6299,378727
48,3322,37,1465,86057
48,3323,1197,43661,2312730
48,3324,194,10354,683017
48,3325,25,927,40825
48,3326,86,2444,119378
48,3327,1741,25867,1520784
48,3328,406,10044,515994
48,3329,573,25728,1738779
48,3331,469,30367,2304232
48,3332,149,5100,439954
48,3333,114,3476,250089
48,3334,140,10563,542122
48,3335,242,3578,195413
48,3336,60,5169,383393
48,3339,415,20510,1434594
48,3341,58,3771,208568
48,3342,87,4487,409726
48,3343,26,599,52285
48,3344,253,25868,2748744
48,3345,371,29775,2674386
48,3346,14,142,10983
48,3351,53,1821,98554
48,3352,27,912,35666
48,3353,156,7125,470105
48,3359,130,5300,340108
48,3361,17,9653,832707
48,3362,167,9934,413431
48,3363,295,17515,869044
48,3366,78,5274,305193
48,3364,142,37224,3857998
48,3365,17,4729,220533
48,3369,37,226,12201
48,3371,547,12820,521249
48,3372,200,5424,265270
48,3379,55,2772,112422
48,3391,564,13760,783537
48,3399,1118,17567,836825
48,4231,1901,33586,2077317
48,4232,940,12793,838840
48,4233,1682,27125,1673080
48,4234,2619,40530,3873210
48,4235,1145,20119,1474108
48,4236,2385,50517,5323609
48,4237,1792,25665,1759195
48,4238,6276,94376,7214085
48,4239,2259,26190,1607937
48,4241,593,7207,432162
48,4242,587,15948,1266594
48,4243,679,8014,371391
48,4244,2360,61705,3482468
48,4245,350,3434,172705
48,4246,1385,22833,2313177
48,4247,774,21775,2633204
48,4248,270,18657,1148467
48,4249,1909,19813,1070440
48,4251,2920,26756,1548854
48,4411,4021,122064,7354461
48,4412,975,12483,602165
48,4413,5147,50905,1587441
48,4421,1946,18773,762621
48,4422,1832,22017,535562
48,4431,2153,26677,745712
48,4441,3880,91646,2773642
48,4442,1312,12509,385215
48,4451,6447,229887,5828555
48,4452,1169,9385,203783
48,4453,2002,10058,246802
48,4461,7339,79640,2874774
48,4471,11388,98455,2147995
48,4481,8102,123990,2032896
48,4482,1870,19854,347963
48,4483,1473,8601,320865
48,4511,2233,35055,787235
48,4512,436,4262,70276
48,4522,325,36517,813641
48,4523,4537,201356,5440344
48,4531,811,3735,82108
48,4532,1858,15291,298468
48,4533,1387,16159,334754
48,4539,3492,21875,646228
48,5182,1265,51684,5323925
48,4541,2703,37933,1854882
48,4542,305,2853,105842
48,4543,1735,10109,436426
48,4811,165,64437,6125523
48,4812,217,3731,436486
48,4831,106,2867,275162
48,4832,32,2213,204142
48,4841,7153,101698,5209989
48,4842,4202,58567,3380972
48,4851,46,5364,248206
48,4852,82,2055,55322
48,4853,273,2549,165559
48,4854,123,8519,229197
48,4855,60,1564,51096
48,4859,212,3914,113032
48,4861,181,3210,403335
48,4862,435,10071,1315723
48,4869,159,2161,336461
48,4871,32,221,4803
48,4872,63,221,6935
48,4879,8,29,812
48,4881,690,28551,1618381
48,4882,223,7314,402101
48,4883,271,10641,502243
48,4884,1054,10075,385034
48,4885,2637,34976,1936702
48,4889,146,2677,189083
48,4921,749,61339,2229084
48,4922,359,5797,180031
48,4931,1616,89819,4209036
48,5111,957,15156,896133
48,5112,866,42443,5634542
48,5121,1069,22525,506378
48,5122,158,564,30987
48,5151,515,13160,857207
48,5152,19,445,39574
48,5173,4815,101767,7955390
48,5174,35,580,52318
48,5179,517,7158,486843
48,5191,750,12474,1521292
48,5211,6,1361,147012
48,5221,8422,156192,11679366
48,5222,6198,77721,6634072
48,5223,2626,36705,2558435
48,5231,1950,20436,3851097
48,5239,6730,45186,7017328
48,5241,2225,120463,10644355
48,5242,12987,101327,7057079
48,5259,147,525,74126
48,5311,11125,54422,2909157
48,5312,8639,26584,1857973
48,5313,7674,62320,3668846
48,5321,1475,15742,706900
48,5322,1583,11571,468741
48,5323,243,1653,74780
48,5324,2158,35889,2827064
48,5331,389,3760,392190
48,5411,14753,86894,8700276
48,5412,10636,93221,5870888
48,5413,9647,165874,15770350
48,5414,2010,7558,413146
48,5415,11791,160987,16249560
48,5416,15373,128178,11374435
48,5417,1087,33176,4672658
48,5418,2495,28864,1824402
48,5419,5010,52338,2627181
48,5511,4571,326261,40428956
48,5611,4243,56902,3967393
48,5612,800,30058,1299851
48,5613,4745,545201,24795896
48,5614,2468,97459,3339686
48,5615,952,19490,1217216
48,5616,2229,90483,2656694
48,5617,11627,154365,4700835
48,5619,1147,18581,937029
48,5621,766,17336,1027254
48,5622,261,4955,330590
48,5629,865,13730,844682
48,6111,1520,82008,3256935
48,6112,39,1658,65876
48,6113,184,70079,3413440
48,6114,618,4489,262471
48,6115,693,8956,488024
48,6116,4031,34195,628807
48,6117,599,6246,305957
48,6211,22185,211879,19345314
48,6212,11716,79174,3901950
48,6213,10837,75762,3355794
48,6214,3362,66079,3976951
48,6215,1551,25600,1556894
48,6216,4007,216849,4701198
48,6219,1146,29264,1499667
48,6221,445,350287,22386916
48,6222,66,19756,839704
48,6223,122,44037,3534462
48,6231,1572,118896,3477047
48,6232,1732,27374,763862
48,6233,1268,52027,1465968
48,6239,220,5915,215154
48,6241,4621,149046,2766021
48,6242,915,19001,668118
48,6243,362,9393,223657
48,6244,5668,85768,1704308
48,7111,449,6594,223233
48,7112,215,8076,1766653
48,7113,512,13293,323115
48,7114,165,582,47661
48,7115,861,2102,132283
48,7121,461,10943,342732
48,7131,391,22890,345949
48,7132,188,3829,109222
48,7139,5071,93290,1837780
48,7211,5540,125537,3295161
48,7212,570,3943,115419
48,7213,129,1745,83307
48,7223,3436,61808,1596219
48,7224,2806,35866,669662
48,7225,47326,1039113,18213387
48,8111,12276,85617,3308412
48,8112,996,10954,718826
48,8113,2061,38340,2649966
48,8114,1367,5051,175107
48,8121,8536,52632,1333038
48,8122,1281,9763,350274
48,8123,2739,26801,696839
48,8129,3521,28891,857834
48,8131,14512,160573,3650978
48,8132,1300,9685,593685
48,8133,873,6998,298600
48,8134,1492,12937,378128
48,8139,3008,20422,1060894
