Naics,Establishments,Employees,Payroll
1152,12,50,1350
1131,3,8,331
1133,220,718,27241
2131,231,5065,357269
3114,7,44,1025
1153,13,72,4057
2111,147,2120,202417
2121,127,12057,1061488
2123,27,598,34993
2211,128,3727,373985
2212,55,799,71472
2213,50,534,33880
2361,897,3018,95659
2362,161,1994,93502
2371,118,3416,312894
2372,20,40,1965
2373,54,1359,116790
2379,10,175,12432
2381,371,2108,90927
2382,678,5659,296058
3113,3,34,705
2383,237,1322,58339
2389,482,5486,300368
3118,40,554,16862
3115,3,271,11225
3116,22,2019,67705
3119,8,129,3356
3121,29,228,7849
3141,5,11,318
3149,15,57,1544
3152,5,56,1312
3211,67,1708,58623
3212,10,916,45108
3219,71,3393,111901
3222,6,261,10840
3253,5,447,38960
3231,86,1902,91333
3241,13,509,43791
3251,30,2361,199843
3252,8,1109,111119
3254,4,3125,289009
3255,5,129,8349
3256,6,327,21893
3259,16,248,12707
3261,40,3248,153387
3262,11,542,33802
3271,7,1023,45505
3272,9,356,13313
3273,62,976,45664
3274,5,211,12888
3312,3,121,8531
3313,7,1522,116773
3314,5,1257,92023
3315,5,187,6334
3279,15,501,24086
3311,5,2128,149179
3321,4,271,14709
3322,5,39,1283
3323,68,1167,53023
3324,9,506,27123
3327,95,1432,73095
3328,23,658,42078
3329,24,735,27949
3333,9,396,16451
3331,37,1289,85537
3335,6,119,5729
3339,21,501,32961
3344,5,230,8956
3345,6,291,14378
3353,9,202,11864
3359,7,74,3575
3362,5,154,7733
3363,20,3283,204465
3365,3,103,7292
3364,6,2207,183929
3371,25,450,14916
3372,6,91,4098
3391,34,874,42506
3399,27,299,13071
4232,16,232,12804
4233,94,866,49657
4236,81,886,50049
4231,91,1745,72606
4234,113,1107,65852
4235,37,457,23370
4237,83,995,54472
4238,327,3997,229727
4239,111,898,37580
4242,35,683,60045
4243,12,75,2493
4244,107,2056,90213
4241,27,238,11490
4245,5,16,428
4246,64,631,37452
4248,40,868,44858
4247,47,803,44580
4249,56,762,27762
4251,54,605,22364
4411,315,6979,300980
4412,86,881,31281
4413,449,3773,106013
4421,123,926,29624
4422,108,668,18595
4431,105,928,18688
4452,50,408,7878
4441,350,6456,184606
4442,128,1043,30680
4451,412,11174,232885
4481,313,3780,50055
4453,72,380,7870
4461,604,6731,229254
4511,190,2309,42210
4471,937,10287,185346
4512,58,368,6912
4523,514,16509,407599
4531,114,456,6969
4482,100,777,12913
4532,126,695,11051
4483,85,439,11570
4522,32,2215,34332
4539,276,1528,38061
4533,112,674,9639
4851,3,25,654
4853,19,115,1997
4541,60,527,17314
4542,19,222,5543
4543,114,594,20589
4811,8,58,2120
4841,274,2397,119236
4842,485,3911,202593
4859,10,104,2035
4861,6,33,3269
4862,73,1064,116186
4871,3,42,1882
4881,22,388,26353
4883,12,173,13026
4882,15,233,10970
4884,103,503,16064
4885,22,202,13287
4889,3,22,824
4921,54,1901,86894
5112,15,112,10402
5151,51,819,37031
5173,407,4948,280377
5182,36,1226,65814
5191,19,71,1792
5179,11,152,6811
4922,10,48,1463
4931,51,3634,130962
5111,79,1382,38221
5121,40,483,6788
5221,809,9324,433773
5222,195,889,44054
5311,660,2359,80638
5223,21,137,8498
5231,54,239,37769
5239,171,679,75157
5241,115,2193,165409
5242,696,3370,180178
5313,227,1320,85443
5322,122,614,22657
5323,18,164,6017
5331,14,73,7472
5312,222,588,21277
5411,897,5383,324099
5412,519,3790,124133
5321,80,503,17678
5413,357,4120,297051
5324,71,772,46710
5417,48,1903,90087
5418,75,598,20114
5414,47,169,7276
5415,268,2829,209827
5416,308,3676,183689
5419,235,2540,98007
5611,103,1930,116561
5612,30,1213,34996
5511,245,5784,420448
5613,188,11713,376015
5614,100,7729,180506
5615,81,841,24592
5616,106,3172,77357
5619,70,710,18584
5622,28,419,18858
5617,609,5151,141908
5621,88,1610,84023
5629,67,564,27585
6111,67,1571,37243
6112,12,470,12011
6113,21,5076,184441
6114,10,70,3452
6115,43,240,7244
6116,106,695,15226
6117,24,139,5415
6211,1061,11979,1149542
6212,510,3965,168129
6213,685,5123,187443
6215,63,616,33751
6216,125,3950,157566
6221,56,51812,3034117
6214,398,11473,519517
6233,74,1887,42842
6219,82,1704,57733
6241,530,14856,260166
6222,3,859,34767
6231,152,11603,375758
6242,135,1433,35395
6232,441,6464,150873
6239,40,1038,30398
7112,25,150,5475
6243,101,2396,35522
6244,359,4322,75016
7111,24,164,4359
7113,24,720,10275
7115,19,37,442
7121,37,167,3673
7132,324,1877,35859
7139,302,3508,58737
7211,353,11748,288766
7213,13,60,807
7131,9,128,1710
7212,50,318,14635
7225,2737,53072,786579
7223,122,1872,33043
7224,318,1762,21823
8112,42,292,10580
8111,753,3392,108071
8122,303,1713,52686
8113,179,2029,121267
8114,38,121,3216
8121,363,1928,41100
8123,74,793,21766
8129,123,512,8791
8133,108,831,25591
8131,1560,7534,135181
8132,97,725,28339
8134,246,1309,17953
8139,368,2141,65544
