Fips,Naics,Establishments,Employees,Payroll
02013,1141,5,16,1196
02013,2211,3,11,606
02013,3117,6,1785,115703
02013,4451,4,38,1281
02013,4811,3,18,909
02013,5311,3,17,564
02013,5611,4,6,386
02013,6214,6,31,3200
02013,7211,3,10,126
02013,7224,3,14,172
02016,1141,6,174,24140
02016,2382,3,18,1821
02016,3117,8,2506,109012
02016,4247,3,37,3262
02016,4451,4,95,13881
02016,4811,3,31,1864
02016,4831,3,198,26909
02016,4883,6,292,28269
02016,4885,4,45,7713
02016,5413,3,3,186
02016,6214,6,53,4767
02016,7225,5,47,1814
02016,8114,3,7,648
02020,1133,3,69,5892
02020,1141,29,34,2952
02020,2111,12,476,100272
02020,2122,4,16,2788
02020,2123,5,32,2461
02020,2131,31,3126,358440
02020,2211,20,630,78346
02290,2122,3,1,527
02290,2211,5,18,515
02290,2361,3,15,563
02290,4247,3,9,900
02290,4451,9,54,1082
02290,4471,9,20,990
02290,4523,6,13,358
02290,4543,4,16,180
02290,4812,3,1,273
02290,5151,3,6,170
02290,7211,5,11,153
02020,2213,6,54,4978
02020,2212,3,197,22998
02020,2361,191,806,58830
02020,2362,123,2016,245137
02020,2371,32,1237,128425
02020,2373,24,640,125852
02020,2379,4,36,10648
02020,2381,92,558,53140
02020,2382,188,2001,179535
02050,2211,5,44,1145
02050,2361,6,13,636
02050,2389,3,11,744
02050,4247,3,24,2682
02050,4451,21,555,11281
02050,4471,10,150,4207
02050,4523,12,191,3234
02050,4811,6,206,14553
02050,4812,3,112,7556
02050,5173,7,54,2734
02050,5221,3,15,1382
02050,5311,9,30,2302
02050,5619,11,25,1274
02050,6111,5,33,1079
02050,6241,7,15,1015
02050,7132,4,25,342
02050,7139,3,47,1940
02050,7225,12,76,2671
02050,8111,4,9,417
02050,8113,15,33,1021
02020,2383,155,608,41768
02020,2389,101,841,103855
02020,3113,3,36,1112
02020,3114,3,24,580
02020,3118,17,280,10916
02020,3119,6,43,1563
02020,3121,20,209,8461
02020,3212,4,135,7363
02050,8131,3,8,163
02020,3149,3,6,393
02020,3219,7,29,1512
02020,3231,21,176,11475
02020,3241,7,14,1717
02020,3261,3,33,2071
02020,3273,6,60,5880
02020,3323,9,95,7583
02060,1141,6,4,259
02060,3117,8,100,44281
02060,4451,4,24,1518
02060,4471,3,3,116
02060,4811,4,41,3225
02060,4812,5,18,1305
02060,4831,3,7,636
02060,4841,3,15,2012
02060,4842,3,3,288
02060,4883,4,15,1438
02060,7139,6,10,963
02060,7211,6,11,2294
02060,7212,12,33,6533
02060,7225,4,2,209
02020,3327,3,10,480
02020,3329,3,25,2151
02020,3345,3,37,2961
02020,3364,4,37,2177
02020,3366,3,24,660
02020,3391,10,58,3516
02020,3399,11,90,4452
02020,4231,26,327,26067
02020,4232,10,88,6960
02020,4233,14,209,15713
02020,4235,6,40,3162
02020,4236,30,404,48625
02020,4237,22,220,20560
02020,4238,70,804,68434
02020,4239,14,120,5790
02063,1141,55,24,2067
02020,4234,29,242,18097
02063,2211,5,38,4396
02063,2382,8,11,792
02063,2361,4,8,626
02063,2383,3,21,579
02063,2389,5,26,1852
02063,3117,10,85,31578
02063,4247,3,23,2428
02063,4441,3,20,711
02063,4451,4,135,4651
02063,4471,3,26,1763
02063,4481,5,23,872
02063,4532,3,8,229
02063,4831,10,8,1191
02063,4842,3,6,187
02063,4841,4,16,1743
02020,4241,8,84,6402
02020,4242,9,44,2507
02020,4244,46,2285,104855
02020,4246,6,101,7464
02020,4247,14,197,19191
02020,4248,4,306,21233
02020,4249,14,310,15004
02020,4251,25,88,7904
02020,4411,44,1404,103967
02020,4412,20,236,13926
02020,4413,44,520,25896
02020,4421,18,115,6951
02020,4422,22,193,10403
02063,4872,7,13,1534
02063,4883,3,18,1754
02063,5151,3,10,309
02063,5173,9,59,6095
02063,5221,4,27,1512
02063,5311,6,8,177
02063,5412,3,5,553
02063,5419,7,36,1485
02063,5617,4,6,102
02063,5629,24,10,749
02063,6211,3,13,408
02063,6213,4,13,494
02063,6241,5,65,2048
02063,7139,15,121,2746
02063,7211,17,157,6302
02063,7212,7,3,604
02063,7223,5,11,131
02063,7225,23,78,3249
02063,8121,3,3,102
02063,8131,3,6,175
02063,8133,4,28,2456
02063,8134,3,13,184
02063,8139,7,22,1342
02020,4431,18,246,11155
02020,4441,52,1647,66734
02020,4442,6,48,3055
02020,4451,30,1222,49150
02020,4452,19,139,4382
02020,4453,38,360,14358
02020,4461,58,648,22640
02020,4481,81,939,23954
02020,4471,46,519,19529
02066,2211,3,26,3916
02066,2361,4,6,194
02066,4451,3,13,410
02066,4471,6,15,572
02066,6241,3,178,12976
02066,7139,8,16,1046
02066,7211,13,26,2780
02066,7212,3,1,143
02066,7224,4,1,75
02066,7225,5,28,791
02066,8131,4,29,954
02020,4482,18,154,3847
02020,4483,22,99,4301
02020,4511,56,838,24435
02020,4523,22,3911,150779
02020,4512,6,53,1561
02020,4532,38,294,12601
02020,4531,10,47,1667
02020,4533,28,386,9613
02020,4539,78,707,26224
02068,4532,5,3,692
02068,4879,4,11,1508
02068,5615,5,13,1034
02068,7139,11,24,3084
02068,7211,22,149,24022
02068,7225,10,28,4382
02020,4541,14,39,1648
02020,4812,29,659,68001
02020,4543,22,59,2875
02020,4811,23,3294,410356
02020,4831,19,644,67605
02020,4832,3,11,4966
02020,4841,37,910,73714
02020,4842,37,468,31398
02020,4853,10,215,8115
02020,4859,5,12,504
02020,4871,11,146,12712
02020,4872,4,14,1806
02070,1141,6,1,154
02070,3117,6,51,16482
02070,4451,8,132,3434
02070,4812,6,13,1455
02070,5311,3,14,1672
02070,5416,3,57,3720
02070,6241,4,154,8594
02070,7139,6,0,555
02070,7211,3,25,1048
02070,7212,4,3,1140
02070,7225,5,11,435
02020,4879,3,22,2701
02020,4881,43,1246,73929
02020,4883,14,204,19816
02020,4884,10,117,6868
02020,4885,29,537,31950
02020,4921,25,2449,380014
02020,4922,4,52,1629
02020,4931,20,842,43878
02020,5111,10,40,2457
02020,5112,7,41,4381
02020,5121,17,202,7414
02020,5122,3,2,36
02020,5151,14,234,17055
02020,5173,76,3200,312290
02090,2122,7,710,84904
02090,2123,5,23,1730
02090,2131,8,18,3170
02100,1141,4,0,52
02100,2383,3,4,227
02100,2381,3,1,51
02100,2389,3,4,189
02100,3117,3,4,1108
02100,4441,3,18,1120
02100,4451,4,108,3867
02100,4532,3,3,67
02100,5311,5,7,227
02100,5416,3,5,254
02100,5615,3,11,550
02100,5617,3,9,282
02100,7121,3,12,303
02100,6241,3,27,844
02100,7139,13,60,4230
02100,7211,4,19,447
02100,7225,9,27,1026
02020,5179,4,81,10565
02020,5182,15,824,54592
02020,5191,8,18,928
02020,5221,78,2494,200392
02020,5222,32,287,25224
02020,5223,18,91,5943
02020,5231,23,122,28166
02020,5239,92,304,40718
02020,5241,24,348,28545
02020,5242,91,820,71263
02090,2211,6,175,23410
02090,2213,7,155,17863
02090,2361,75,205,12621
02090,2362,33,386,34089
02090,2371,11,100,16549
02090,2373,12,120,39234
02090,2379,5,8,2388
02090,2381,40,174,21199
02090,2382,79,583,64977
02090,2389,40,161,15715
02090,3121,9,118,4099
02090,2383,46,136,10259
02020,5311,142,919,48908
02020,5312,160,599,34135
02020,5321,35,441,29669
02020,5313,95,378,22035
02020,5322,11,105,6643
02020,5324,26,165,25846
02020,5411,217,1140,125258
02020,5412,193,1002,71971
02090,3149,3,37,1192
02090,3231,5,34,1388
02090,3219,4,24,1224
02090,3241,5,51,5330
02090,3273,6,13,2123
02090,3323,4,25,1324
02090,3327,4,11,345
02090,3329,3,23,2129
02090,4231,6,139,11365
02090,4233,4,21,1802
02090,4234,5,17,1465
02090,4236,8,91,8226
02090,4237,5,70,5249
02090,4238,12,160,13620
02090,4241,3,10,701
02090,4244,7,118,8066
02090,4246,3,20,1673
02090,4247,6,110,8951
02090,4249,3,23,1282
02090,4411,9,400,29826
02090,4412,11,100,6341
02090,4413,23,287,15578
02090,4421,4,20,1156
02090,4422,4,48,3332
02090,4441,26,647,28203
02020,5413,216,4329,456857
02020,5414,18,46,2918
02020,5416,212,3332,298733
02020,5415,111,3067,289859
02020,5417,17,240,15966
02020,5418,46,322,19209
02090,4451,12,370,13710
02090,4452,11,55,1770
02090,4453,6,45,1473
02090,4461,16,154,5766
02090,4471,27,224,8408
02090,4481,17,169,5035
02090,4482,3,24,484
02090,4483,4,31,1467
02090,4511,24,331,6990
02090,4512,4,31,691
02090,4523,5,1088,45728
02090,4531,3,6,235
02090,4532,13,136,5777
02090,4533,4,65,1347
02090,4539,22,232,12219
02090,4541,7,9,248
02090,4543,11,91,6806
02020,5419,84,694,44277
02020,5511,129,4273,713026
02020,5613,41,787,45243
02090,4811,5,202,16355
02020,5611,48,462,37624
02020,5612,47,5197,358369
02020,5614,28,285,16089
02020,5615,37,402,28955
02090,4812,12,210,14157
02090,4831,3,30,920
02090,4841,42,504,39222
02090,4842,26,239,21331
02090,4871,4,15,618
02090,4872,3,38,3684
02090,4881,10,76,4604
02090,4884,5,7,303
02090,4885,4,54,3037
02090,4921,5,131,7061
02090,5121,3,27,873
02090,5151,4,55,3638
02090,5173,24,260,22625
02090,5182,3,1,80
02090,5221,30,392,28802
02090,5222,5,20,1175
02090,5231,3,5,256
02090,5239,10,24,1991
02020,5616,41,1417,65325
02020,5617,247,2835,143707
02020,5619,21,204,10980
02020,5621,11,182,11961
02020,5622,4,60,4147
02020,5629,44,852,79885
02020,6111,10,323,12047
02020,6113,7,392,15356
02020,6114,6,9,476
02020,6115,20,136,7913
02020,6116,65,571,11924
02090,5241,4,5,306
02090,5242,26,114,7108
02090,5312,69,69,4401
02090,5313,34,95,6440
02090,5311,55,253,20136
02090,5321,13,154,8203
02090,5322,7,22,994
02090,5324,10,86,8053
02090,5413,43,353,32964
02090,5411,28,146,10869
02090,5412,50,224,12325
02090,5415,20,127,12777
02020,6211,280,3027,362568
02090,5416,38,116,9241
02020,6117,8,79,3956
02020,6212,152,1190,84291
02020,6213,278,1423,93469
02020,6214,79,3710,299457
02020,6215,28,256,28515
02090,5417,8,57,4603
02090,5418,6,17,964
02090,5419,29,189,9411
02090,5511,16,184,21694
02090,5611,22,150,12674
02090,5612,15,423,31820
02090,5613,4,122,3986
02090,5614,7,23,989
02090,5615,10,98,5063
02090,5616,7,30,1548
02090,5617,75,268,11144
02090,5619,6,28,1960
02090,5621,4,63,4137
02090,5629,9,106,10546
02090,6111,5,105,3618
02090,6115,11,34,2999
02090,6116,20,98,2017
02020,6216,21,530,20764
02020,6219,21,352,28949
02020,6221,5,7377,712781
02020,6223,4,28,6360
02020,6231,6,313,19077
02020,6232,120,974,45334
02020,6233,166,926,33893
02020,6239,9,164,6220
02020,6241,132,3191,120819
02020,6242,27,407,20497
02020,6243,12,298,12716
02020,6244,66,963,33704
02090,6211,45,622,73249
02090,6212,44,375,24142
02090,6213,87,377,23566
02090,6214,22,317,30960
02090,6215,8,28,2827
02090,6219,7,61,6111
02090,6232,15,531,19597
02090,6233,9,91,4310
02090,6239,7,47,2177
02090,6241,43,403,17594
02090,6242,6,127,5205
02090,6243,3,30,1288
02090,6244,25,251,9264
02105,2211,3,12,576
02105,2361,4,12,425
02105,4451,6,42,1226
02105,4471,3,5,356
02105,4811,8,33,1136
02105,4872,11,18,2164
02105,6214,7,47,4191
02105,7139,7,54,10645
02105,7211,5,24,1131
02105,7212,6,1,2374
02105,7225,3,4,169
02020,7111,11,58,2686
02020,7112,3,16,305
02020,7113,8,265,7134
02020,7115,18,39,1683
02020,7121,11,214,12375
02020,7132,15,139,6929
02020,7139,108,1732,32798
02020,7211,78,2405,97439
02020,7212,17,36,5566
02020,7223,83,2197,97797
02020,7224,34,448,14674
02090,7111,4,18,322
02090,7112,4,11,389
02090,7113,5,12,704
02090,7115,5,16,580
02090,7121,9,39,1370
02090,7132,12,70,1820
02090,7139,46,291,6183
02090,7211,29,796,36068
02090,7212,4,73,1802
02090,7224,20,175,3454
02090,7225,168,2612,64160
02090,7223,31,203,5748
02090,8111,61,402,23043
02090,8112,3,6,215
02090,8113,16,104,8711
02090,8114,8,21,864
02090,8121,47,176,6367
02090,8122,4,11,596
02090,8123,6,31,1019
02090,8129,15,52,1811
02090,8131,41,259,7379
02090,8132,8,30,2265
02090,8134,16,103,2768
02090,8139,18,70,6043
02090,8133,14,116,7308
02020,7225,579,9806,296398
02020,8111,149,924,54929
02020,8112,8,56,6688
02020,8113,22,199,19454
02020,8114,22,82,3837
02020,8121,143,638,26057
02020,8122,10,61,3635
02020,8123,24,310,12983
02020,8129,41,254,8389
02020,8131,155,1203,35248
02020,8132,34,250,21667
02020,8133,62,381,26925
02020,8134,41,314,12262
02020,8139,90,516,35674
02110,1141,18,9,715
02110,2122,4,903,123011
02110,2123,4,7,560
02110,2211,8,86,9887
02110,2361,52,169,10303
02110,2373,6,57,13352
02110,2362,12,96,8214
02110,2381,3,12,1432
02110,2382,32,176,12341
02110,2383,12,47,2792
02110,2389,6,8,532
02110,3121,6,128,8208
02110,3117,3,83,3604
02110,3231,6,26,941
02110,3241,4,4,119
02110,4232,4,13,280
02110,4238,5,51,4092
02122,1133,5,5,454
02122,1141,105,81,8984
02122,1153,4,7,681
02122,2123,3,56,7032
02122,2131,11,444,48350
02122,2211,4,152,19821
02122,2361,84,263,12808
02122,2362,23,111,9519
02122,2371,10,95,12030
02122,2372,3,11,638
02122,2373,12,60,8887
02122,2381,33,97,5030
02122,2382,58,262,18880
02122,2383,41,121,6162
02110,4244,8,133,8915
02110,4249,4,37,1412
02110,4411,3,55,1289
02110,4413,3,40,2177
02110,4422,4,12,447
02110,4442,3,5,40
02110,4441,9,216,8434
02110,4451,10,452,14388
02110,4453,5,46,1681
02110,4461,5,23,1149
02110,4471,4,17,816
02110,4481,8,37,1100
02110,4483,13,23,1053
02110,4511,10,90,1487
02110,4512,3,15,241
02110,4523,5,329,15101
02110,4532,16,83,5022
02110,4533,6,44,1277
02110,4539,6,15,415
02110,4543,3,19,954
02110,4811,3,229,23002
02110,4831,8,22,2417
02110,4841,3,55,6007
02110,4842,8,63,3413
02110,4871,3,47,8000
02110,4872,17,72,10616
02110,4879,5,75,9334
02122,2389,42,123,9951
02122,3117,11,93,12117
02122,3118,3,11,330
02122,3121,11,58,1905
02122,3212,3,11,488
02122,3231,3,8,447
02122,3323,4,11,787
02122,3329,3,9,431
02122,3366,10,117,6796
02122,3371,4,7,285
02122,3399,5,14,508
02122,4236,4,23,1206
02122,4237,3,10,593
02122,4238,10,61,5176
02122,4239,3,13,589
02122,4244,11,41,2080
02122,4246,6,17,1693
02122,4247,5,63,5051
02122,4249,4,4,132
02122,4251,3,6,170
