Fips,Naics,Establishments,Employees,Payroll
01001,11,10,52,3477
01001,21,3,31,1760
01001,22,5,128,17275
01001,23,96,601,27567
01001,42,30,345,22845
01001,51,15,80,3951
01001,52,77,410,24811
01001,53,44,194,12999
01001,54,54,453,21614
01001,56,43,474,15709
01001,61,10,123,4635
01001,62,100,1770,69307
01001,71,15,362,5206
01001,72,107,2339,45191
01001,81,112,772,20299
01003,11,14,17,814
01003,21,7,40,1711
01003,22,12,333,27891
01003,23,744,5046,308683
01003,42,251,2964,194157
01003,51,92,562,28320
01003,52,369,1814,136812
01003,53,513,2702,129952
01003,54,549,2452,159538
01003,55,23,393,60166
01003,56,341,4013,140267
01003,61,52,1647,66595
01003,62,564,9146,460989
01003,71,113,1619,45208
01003,72,648,12986,333083
01003,81,571,3486,115546
01003,99,3,1,37
01005,11,9,106,5436
01005,22,4,108,11671
01005,23,25,158,5636
01005,42,8,27,1061
01005,51,7,32,1388
01005,52,40,128,5839
01005,53,16,46,1232
01005,54,23,76,3239
01005,56,11,332,9497
01005,61,4,63,1565
01005,62,35,611,24908
01005,71,6,32,727
01005,72,48,614,10131
01005,81,41,190,5290
01007,11,10,38,1592
01007,22,3,25,1559
01007,23,30,826,67848
01007,42,15,111,7385
01009,11,4,7,343
01009,21,4,27,915
01009,23,133,618,30581
01011,11,10,49,2636
01011,23,9,47,2198
01011,42,3,6,358
01011,51,4,30,1056
01011,52,5,35,1571
01011,53,3,3,70
01011,54,4,22,1633
01011,62,10,314,12663
01011,71,3,15,329
01011,72,6,72,995
01011,81,10,27,572
01013,11,23,134,7185
01013,23,34,292,18200
01015,11,15,86,5021
01015,22,5,166,17377
01015,23,130,947,50485
01017,11,22,193,9869
01017,22,3,83,6026
01017,23,43,166,7920
01019,11,6,47,1973
01019,23,25,92,7003
01021,11,14,89,4680
01021,21,3,14,706
01021,22,6,92,7727
01021,23,97,571,31473
01023,11,19,298,16461
01023,23,17,247,13112
01023,42,4,41,1397
01025,11,30,253,14953
01025,21,3,59,3119
01025,22,3,50,3250
01025,23,27,144,5954
01025,42,16,261,12573
01027,11,13,51,2345
01027,23,16,61,2340
01027,42,3,42,1840
01027,51,3,17,627
01027,52,10,89,5461
