Fips,Naics,Establishments,Employees,Payroll
25001,114111,27,35,2428
25001,114112,16,46,2477
25001,115210,6,19,792
25001,221310,5,21,1693
25001,236115,86,475,35994
25001,236116,3,6,365
25001,236117,11,95,14082
25001,236118,435,1410,89906
25001,236220,13,232,27641
25001,237110,13,219,22565
25001,237130,5,29,2214
25001,237210,4,6,507
25001,237310,8,141,17566
25001,237990,12,50,8002
25001,238110,15,91,6928
25001,238130,35,117,6572
25001,238140,39,93,6028
25001,238150,7,43,2180
25001,238160,15,78,4632
25001,238170,12,40,2285
25001,238190,7,16,929
25001,238210,147,598,42354
25001,238220,211,1446,105074
25001,238290,5,44,5988
25001,238310,32,235,13938
25001,238320,85,182,8460
25001,238330,29,62,3290
25001,238340,26,64,4385
25001,238350,77,185,10796
25001,238390,5,48,2649
25001,238910,76,456,38897
25001,238990,55,277,20496
25001,311340,3,10,182
25001,311352,3,30,968
25001,311710,3,7,283
25001,311811,10,26,759
25001,311812,6,125,6342
25001,312120,6,67,3212
25001,312130,3,31,1262
25001,314910,7,17,900
25001,314999,4,2,160
25001,321918,5,18,1373
25001,321999,7,20,1487
25001,323111,14,36,2050
25001,323113,3,29,1228
25001,324121,3,10,932
25001,327320,3,78,6333
25001,327390,3,47,3672
25001,332710,5,47,3453
25001,334512,3,183,15141
25001,334519,4,165,16056
25001,336611,3,10,522
25001,336612,6,28,1033
25001,337110,7,38,2493
25001,337122,3,3,114
25001,337212,5,16,915
25001,339116,4,27,1389
25001,339910,4,9,297
25001,339950,3,15,446
25001,339999,4,12,536
25001,423120,4,25,619
25001,423220,3,49,675
25001,423310,8,160,14695
25001,423320,3,97,5591
25001,423420,3,31,1703
25001,423450,5,40,3330
25001,423510,3,22,1849
25001,423610,5,19,1945
25001,423690,5,40,4096
25001,423720,7,79,5943
25001,423730,5,26,1545
25001,423820,3,8,362
25001,423830,10,37,2744
25001,423850,3,9,301
25001,423990,6,46,1575
25001,424210,6,57,5323
25001,424320,6,72,3691
25001,424330,6,48,1841
25001,424420,3,13,1505
25001,424450,4,68,3953
25001,424460,13,113,5790
25001,424480,6,87,4564
25001,424490,8,131,9115
25001,424690,4,14,577
25001,424930,5,60,4145
25001,424990,8,15,1976
25001,425120,22,60,7150
25001,441110,28,764,66123
25001,441120,14,40,1429
25001,441222,20,253,26235
25001,441228,5,22,1355
25001,441310,29,347,11228
25001,441320,11,103,5863
25001,442110,27,146,9599
25001,442210,18,110,5685
25001,442291,5,17,1002
25001,442299,38,697,12642
25001,443141,8,53,4338
25001,443142,12,74,2919
25001,444110,3,327,11241
25001,444120,9,47,2416
25001,444130,31,319,12794
25001,444190,54,764,60745
25001,444210,3,8,245
25001,444220,27,264,14850
25001,445110,70,4145,142628
25001,445120,73,266,8464
25001,445220,15,80,3623
25001,445230,5,81,4168
25001,445291,4,28,1123
25001,445292,5,11,742
25001,445299,10,28,1220
25001,445310,84,584,22189
25001,446110,31,611,28103
25001,446120,10,85,2205
25001,446130,12,91,4114
25001,446191,6,42,1318
25001,446199,14,54,2424
25001,447110,75,454,17044
25001,447190,28,181,8586
25001,448110,8,41,1209
25001,448120,54,199,9726
25001,448130,6,30,741
25001,448140,53,769,23270
25001,448150,8,15,498
25001,448190,20,86,2576
25001,448210,12,69,1903
25001,448310,43,158,7227
25001,451110,43,170,6977
25001,451120,17,109,3004
25001,451130,7,28,582
25001,451211,10,67,1403
25001,452311,3,559,14059
25001,452319,23,331,9556
25001,453110,13,37,792
25001,453210,4,86,2523
25001,453220,72,171,6087
25001,453310,30,85,1787
25001,453910,13,86,3333
25001,453920,33,45,2685
25001,453991,14,30,1065
25001,453998,11,59,2731
25001,454110,40,100,4822
25001,454310,17,241,17047
25001,454390,33,173,10425
25001,481111,4,429,23522
25001,483113,3,19,2340
25001,483114,3,170,11533
25001,483212,5,13,1368
25001,484110,20,120,7183
25001,484121,11,43,1899
25001,484122,4,8,162
25001,484210,10,101,4936
25001,484220,16,117,3747
25001,485310,8,121,6254
25001,485320,5,73,1411
25001,487210,16,30,3780
25001,488190,5,24,1410
25001,488410,9,55,2478
25001,488510,5,85,6388
25001,492110,7,436,18189
25001,511110,9,128,5875
25001,511120,7,45,2322
25001,511130,3,47,957
25001,511210,11,57,3621
25001,512110,5,16,688
25001,512131,10,80,2597
25001,515112,7,60,3554
25001,515210,4,25,1135
25001,517311,27,233,20278
25001,517312,20,84,5044
25001,518210,7,29,2880
25001,519120,17,107,2893
25001,522110,60,373,28017
25001,522120,41,483,48439
25001,522130,5,23,1217
25001,522292,10,37,4058
25001,522310,9,62,4013
25001,522320,3,2,89
25001,523120,19,105,30147
25001,523910,4,11,1848
25001,523920,26,84,13832
