Fips,Naics,Establishments,Employees,Payroll
38001,444220,3,17,1059
38001,524210,3,7,640
38001,722511,3,25,228
38001,813110,3,4,76
38003,236118,6,7,416
38003,238210,10,34,1902
38003,238220,3,20,1266
38003,238910,6,23,851
38003,423820,5,104,6405
38003,424510,3,15,1250
38003,424910,8,48,3110
38003,441310,4,30,816
38003,445310,3,23,361
38003,446110,3,24,993
38003,447110,4,130,3825
38003,484121,6,19,993
38003,484220,6,11,173
38003,484230,6,11,732
38003,485410,3,49,1093
38003,522110,4,52,3867
38003,523920,3,10,1995
38003,524210,16,37,2258
38003,531210,4,28,1191
38003,541211,3,18,670
38003,561720,3,30,739
38003,561730,3,5,81
38003,621310,3,6,166
38003,623210,13,212,6442
38003,624120,3,119,2706
38003,624410,3,63,979
38003,721110,3,50,938
38003,722410,9,43,470
38003,722511,7,65,940
38003,722513,7,124,2280
38003,811111,5,32,1248
38003,813110,17,87,2007
38005,238110,3,3,752
38005,424510,5,55,3396
38005,424910,5,31,1909
38005,484220,3,4,235
38005,522130,3,19,923
38005,722410,6,39,385
38007,213112,3,15,1114
38007,453220,5,3,318
38007,484220,3,39,4307
38007,722511,5,18,1473
38009,211120,4,11,725
38009,213112,7,127,10920
38009,236115,4,6,172
38009,238210,7,16,923
38009,238220,4,13,514
38009,424510,5,12,1131
38009,424910,10,67,5519
38009,444190,3,10,501
38009,446110,3,20,648
38009,447110,5,62,1710
38009,484121,3,47,3403
38009,484220,5,9,627
38009,522110,6,64,4163
38009,524210,12,20,1164
38009,531110,3,2,32
38009,541211,3,13,710
38009,541690,4,4,154
38009,561730,4,7,471
38009,621210,4,6,326
38009,621399,3,8,351
38009,624410,4,34,511
38009,721110,3,37,606
38009,722410,8,24,345
38009,722511,9,79,1681
38009,722513,3,29,206
38009,811111,3,2,133
38009,813110,15,55,1396
38011,238210,4,24,2321
38011,444220,3,17,1415
38011,522110,7,44,2984
38011,524210,5,24,1552
38011,621310,3,4,164
38011,721110,5,41,925
38011,811310,3,11,515
38011,812112,3,5,107
38011,813110,5,9,222
38011,722511,3,29,247
38011,722513,3,19,140
38013,213112,3,4,208
38013,221122,3,30,2675
38013,424510,4,23,1895
38013,445110,3,42,642
38013,484220,5,4,425
38013,488510,3,6,411
38013,524210,3,6,319
38013,722511,4,17,148
38013,813110,4,7,141
38015,211120,6,82,6988
38015,213112,7,37,2673
38015,221210,5,299,32874
38015,221122,7,171,28697
38015,221310,3,5,249
38015,236115,33,116,5791
38015,236117,16,61,4070
38015,236118,40,129,6048
38015,237110,6,32,2283
38015,237120,5,211,32188
38015,237130,9,65,7092
38015,237310,8,69,7427
38015,236220,16,336,23422
38019,236118,4,4,171
38019,424510,9,89,9286
38019,424910,3,16,1115
38019,445110,4,30,565
38019,447190,3,66,2327
38019,484230,3,2,75
38019,522110,6,47,3214
38019,524210,6,17,2838
38019,624410,3,25,464
38019,722410,4,50,701
38019,722511,4,5,100
38019,813110,6,40,640
38015,238110,13,47,4372
38015,238130,20,63,3193
38015,238140,5,31,1702
38015,238150,3,31,1692
38015,238160,11,28,1996
38015,238170,12,54,2705
38015,238290,6,552,47226
38015,238210,42,425,29774
38015,238220,40,488,32691
38015,238310,16,85,4200
38015,238320,21,122,6498
38015,238350,27,106,5489
38015,238330,13,33,1289
38015,238390,5,17,655
38015,238910,22,80,7849
38015,238990,9,41,3898
38015,323111,3,107,5752
38015,323113,3,6,456
38015,327320,3,12,1196
38015,332710,3,10,433
38015,337110,4,69,2294
38015,339116,4,17,1044
38015,339950,5,37,1941
38017,115112,4,5,259
38017,221122,6,167,19091
38017,236117,28,323,19575
38017,236115,52,186,12593
38017,236116,9,179,16837
38017,236118,80,270,13590
38017,237110,15,276,27942
38017,236220,43,613,55294
38017,237130,6,238,38419
38017,237210,3,6,327
38017,237310,12,384,61215
38017,237990,5,26,7351
38017,238140,15,84,4317
38017,238110,29,336,45052
38017,238130,25,141,7482
38017,238150,4,80,5147
38017,238160,20,235,15928
38015,423130,4,48,2307
38015,423110,8,99,7500
38015,423120,10,231,14490
38015,423310,3,28,1617
38015,423320,3,65,2642
38015,423330,5,39,3619
38015,423420,3,15,1350
38015,423430,4,60,3509
38015,423450,4,36,5083
38015,423510,4,48,3225
38015,423610,6,110,10385
38015,423720,4,51,4112
38015,423730,3,10,592
38015,423810,4,169,14269
38015,423830,6,37,2514
38015,423850,3,12,718
38015,423910,5,45,2687
38015,423930,4,45,2756
38015,424120,3,27,1288
38015,424210,4,15,429
38015,424490,6,330,27551
38015,424690,5,37,3331
38015,424910,3,11,1037
38015,424990,3,7,395
38015,425120,8,18,1073
38015,441110,5,542,36810
38015,441120,9,106,5778
38015,441222,4,46,4023
38015,441228,4,20,1025
38017,238210,75,872,59510
38017,238170,23,204,11354
38017,238190,3,76,6625
38017,238220,95,1339,93692
38017,238290,9,214,19018
38017,238320,31,144,6402
38017,238310,34,174,9554
38017,238350,33,173,8477
38017,238330,22,62,2797
38017,238390,7,85,6047
38017,238910,32,287,27553
38017,238990,27,343,33256
38017,311211,4,107,8024
38017,311811,9,76,1579
38017,311812,4,315,15845
38017,311911,3,196,7866
38017,312120,5,75,2459
38017,321214,3,15,1726
38017,321911,4,1154,71497
38017,323111,6,141,6369
38017,323113,4,176,5317
38017,326122,3,301,26060
38015,441310,12,131,5090
38015,441320,12,133,8313
38015,442110,12,118,6169
38015,442210,8,75,5187
38015,442299,6,35,734
38015,443141,5,41,1965
38015,443142,8,89,3482
38015,444130,9,126,5210
38015,444190,14,186,13568
38015,444220,5,49,1742
38015,445110,10,630,15104
38015,445210,5,18,626
38015,445310,6,104,2070
38015,446110,21,232,14000
38015,446120,4,70,1432
38015,446191,6,6,394
38015,446199,4,36,2071
38015,446130,8,69,2367
38015,447110,25,293,8144
38017,326199,4,619,39701
38017,327320,6,53,4651
38017,332312,8,367,24876
38017,332313,5,359,23988
38017,332321,3,257,17471
38017,332710,7,60,3187
38017,332812,3,26,1454
38017,332999,4,65,2375
38017,333111,5,1177,105434
38017,336320,3,215,8068
38017,337110,9,217,8170
38017,339113,3,40,2440
38017,339950,3,76,4264
38017,423120,17,181,12156
38017,423110,11,453,36953
38017,423220,4,9,561
38017,423130,5,80,5136
38017,423330,8,81,6095
38017,423310,8,173,13292
38017,423390,11,59,5059
38017,423420,8,131,10477
38017,423430,10,304,20155
38017,423440,4,56,3882
38015,448110,4,34,751
38015,448120,13,110,1534
38015,448130,4,19,245
38015,448140,14,206,4202
38015,448150,3,10,212
38015,448190,5,43,1202
38015,448210,7,54,1314
38015,448310,10,52,2194
38015,451110,10,380,11809
38015,451120,3,80,1944
38015,452311,5,1373,42153
38015,452319,8,151,2842
38015,453110,7,49,1419
38015,453220,5,44,862
38015,453310,9,120,2418
38015,453910,4,43,1747
38015,453930,3,43,2833
38015,453991,5,24,737
38015,453998,10,48,2502
38015,454110,5,45,1949
38015,454390,21,82,3294
38015,481211,3,42,2922
38017,423450,10,77,11767
38017,423510,8,335,21078
38017,423610,12,240,21132
38017,423620,3,41,4027
38017,423690,6,176,11296
38017,423720,10,94,6614
38017,423730,9,166,18180
38017,423740,4,92,6926
38017,423810,15,417,40058
38017,423820,23,469,40048
38017,423830,22,254,19184
38017,423840,8,46,3318
38017,423850,5,56,3573
38017,423860,3,42,4099
38017,423910,4,9,960
38017,423930,3,16,1077
38017,423990,7,31,3016
38017,424120,3,102,7415
38017,424130,4,156,13573
38017,424210,5,51,1386
38017,424510,22,411,39216
38015,484110,7,60,4241
38017,423710,6,19,1204
38017,424410,5,480,31950
38017,424490,15,472,14680
38017,424610,4,35,2843
38017,424690,6,65,6077
38017,424710,5,87,9051
38015,484121,20,108,6995
38015,484122,12,225,24977
38015,484210,5,48,2295
38015,484220,17,142,16236
38015,484230,13,104,6739
38015,486210,4,296,32385
38015,488410,4,20,1634
38015,488510,4,7,932
38015,488991,5,12,2514
38015,492210,3,26,1295
38015,492110,7,305,13961
38015,511120,4,14,664
38015,511210,3,56,6170
