Fips,Naics,Establishments,Employees,Payroll
31001,115112,3,7,611
31001,236115,5,13,494
31001,236117,4,15,729
31001,236118,17,42,1187
31001,236220,7,45,2175
31001,237310,4,256,25169
31001,238110,5,99,6088
31001,238170,8,16,468
31001,238210,15,125,6410
31001,238220,14,153,8364
31001,238910,3,5,287
31001,238990,5,8,260
31001,326122,4,144,7679
31001,326199,3,146,6001
31001,332710,3,12,305
31001,333111,3,193,12957
31001,423120,3,18,841
31001,423610,3,15,757
31001,423820,4,80,7432
31001,423930,3,19,776
31001,424510,9,160,9776
31001,424910,9,61,5082
31001,425120,3,6,221
31001,441110,6,152,8690
31001,441120,9,24,1083
31001,441310,9,80,2432
31001,442110,3,24,737
31001,443142,4,17,536
31001,444130,4,33,1313
31001,444190,10,87,4657
31001,444220,4,38,823
31001,445110,4,208,4605
31001,445291,3,3,257
31001,446110,7,100,4198
31001,446130,4,25,1105
31001,447110,16,101,2754
31001,447190,3,21,937
31001,452319,6,45,736
31001,453310,4,25,574
31001,453998,6,36,711
31001,454110,6,45,1466
31001,454390,5,9,382
31001,484110,12,18,780
31001,484121,6,37,1983
31001,484220,11,27,1380
31001,484230,9,17,953
31001,517311,4,57,3244
31001,522110,13,163,9548
31001,523120,3,7,1085
31001,523920,10,47,6188
31001,524210,23,95,6507
31001,531110,10,30,831
31001,531120,5,11,324
31001,531210,18,26,1266
31001,531311,3,3,75
31001,531320,3,3,139
31001,541110,14,94,11027
31001,541211,7,57,4698
31001,541213,3,4,237
31001,541219,6,36,1438
31001,541611,4,9,307
31001,541690,6,8,428
31001,541810,3,16,1081
31001,541940,3,61,1839
31001,541990,3,11,966
31001,561110,3,32,2421
31001,561320,3,68,2819
31001,561710,4,15,684
31001,561720,13,170,3278
31001,561730,17,18,836
31001,561990,3,14,732
31001,562111,3,43,2627
31001,611110,3,93,2463
31001,611610,3,12,79
31001,621111,22,292,27846
31001,621210,12,129,9303
31001,621310,8,29,935
31001,621320,3,19,633
31001,621330,4,27,1186
31001,621340,5,53,2595
31001,621420,8,39,1734
31001,621493,3,32,1103
31001,621610,3,36,2639
31001,623312,5,166,4976
31001,624120,3,54,1489
31001,624190,9,60,1615
31001,624310,3,89,2928
31001,624410,11,164,4484
31001,713940,7,174,1990
31001,721110,11,93,1716
31001,722310,4,61,839
31001,722410,7,37,316
31001,722511,24,377,7556
31001,722513,34,571,8643
31001,722515,11,144,2199
31001,811111,13,52,1710
31001,811121,4,17,806
31001,811192,5,14,567
31001,811310,5,22,1152
31001,812112,6,29,630
31001,812910,3,13,144
31001,813110,29,194,4518
31001,813410,6,23,320
31003,236118,7,8,303
31003,236220,3,3,129
31003,238110,3,1,209
31003,238210,4,29,1806
31003,238220,4,13,580
31003,423820,5,82,4541
31003,424510,6,87,5604
31003,424910,8,123,9188
31003,445110,5,54,1055
31003,447110,7,49,1090
31003,447190,3,30,592
31003,511110,3,15,289
31003,522110,6,44,2847
31003,524210,11,32,1215
31003,541211,3,12,445
31003,621111,4,47,2478
31003,624410,5,10,220
31003,713910,3,5,299
31003,722513,4,15,349
31003,811111,6,10,307
31003,811121,3,6,217
31003,813110,15,76,1881
31011,236115,3,5,96
31011,236118,3,6,132
31011,238110,3,11,519
31011,238220,3,5,223
31011,423820,3,74,5446
31011,424510,5,30,1321
31011,424910,5,81,3525
31011,425120,3,9,278
31011,445110,5,61,1237
31011,447110,4,37,944
31011,447190,3,9,320
31011,453110,3,3,44
31011,484121,5,19,621
31011,484220,3,15,916
31011,484230,4,5,75
31011,522110,7,59,4570
31011,524210,6,22,857
31011,531210,3,198,16239
31011,541110,3,16,853
31011,561730,3,4,298
31011,621310,3,10,324
31011,624410,3,24,459
31011,722511,4,46,615
31011,811121,3,3,250
31011,811310,4,12,642
31011,813110,3,14,226
31011,813410,3,5,53
31013,236118,3,9,260
31013,238210,3,18,545
31013,238220,3,11,437
31013,423820,6,66,3730
31013,424490,3,53,2096
31013,424510,6,71,5417
31013,424910,4,34,2529
31013,441310,4,19,695
31013,445110,4,143,3596
31013,447110,9,57,1409
31013,452319,4,58,1199
31013,484220,3,2,56
31013,484230,3,7,164
31013,511110,3,5,169
31013,517311,4,23,1302
31013,522110,10,54,2447
31013,522130,3,20,604
31013,524210,10,32,1293
31013,531110,3,7,159
31013,541110,3,8,206
31013,541211,5,24,925
31013,561730,5,12,334
31013,621111,3,19,1402
31013,621210,3,27,1604
31013,624410,4,26,611
31013,721110,6,63,1004
31013,722410,5,23,315
31013,722511,7,60,1448
31013,722513,7,111,1931
31013,811111,7,26,1069
31013,811310,3,12,386
31013,812112,3,4,83
31013,813110,12,103,1670
31013,813410,3,9,90
31013,813930,5,41,189
31015,444220,3,21,501
31015,484220,4,23,732
31015,522110,5,25,1117
31015,722511,3,18,271
31017,236118,3,8,194
31017,238210,3,6,229
31017,441310,4,42,1297
31017,444190,3,11,339
31017,444220,3,28,1353
31017,445110,3,66,951
31017,447110,4,35,983
31017,484220,5,6,341
31017,484230,4,10,491
31017,522110,4,34,1866
31017,524210,4,11,384
31017,624410,3,5,83
31017,722511,4,49,461
31017,811111,3,11,455
31017,811121,4,7,143
31017,813110,5,12,193
31019,115112,5,16,980
31019,115210,3,7,163
31019,212321,3,25,1444
31019,221210,3,33,2966
31019,236115,17,42,1480
31019,236117,9,24,878
31019,236118,25,60,2785
31019,236220,15,165,13240
31019,237110,6,64,5490
31019,237310,3,41,2761
31019,238110,8,104,3578
31019,238130,5,23,1061
31021,236118,5,10,457
31023,236115,3,14,477
31023,236118,8,14,593
31023,238210,7,33,2146
31023,238220,4,9,340
31023,238910,3,10,690
31023,423820,5,53,4000
31023,424510,9,58,3467
31023,447110,4,56,793
31023,484110,4,14,594
31023,484220,11,39,2104
31023,522110,8,52,3519
31023,524210,8,70,4404
31023,561730,7,9,430
31023,722410,5,38,317
31023,722511,5,16,246
31023,722513,3,41,375
31023,811111,5,21,838
31023,813110,12,32,316
31025,212312,3,250,22793
31025,236115,9,8,403
31025,236117,4,8,250
31025,236118,21,29,1363
31025,236220,3,11,1406
31025,237110,4,23,1238
31025,238110,6,47,3775
31025,238160,5,28,1388
31025,238170,6,11,292
31025,238210,10,53,1776
