Fips,Naics,Establishments,Employees,Payroll
32001,2211,5,139,15545
32001,2361,18,54,2627
32001,2362,4,21,1764
32001,2381,8,92,5527
32001,2382,14,74,4532
32001,2389,4,148,11665
32001,2383,8,28,1329
32001,3399,3,40,1439
32001,3323,4,224,28010
32001,4249,3,13,822
32001,4238,4,30,1582
32001,4239,6,21,577
32001,4411,3,51,3479
32001,4413,6,70,3337
32001,4441,5,208,6506
32001,4451,7,107,3291
32001,4461,4,47,2310
32001,4471,5,51,1348
32001,4511,3,24,389
32001,4532,3,10,176
32001,4523,3,342,10967
32001,4539,3,12,554
32001,4841,7,34,2058
32001,4543,3,26,1165
32001,4842,4,11,586
32001,4881,3,333,30108
32001,5222,7,24,1848
32001,5221,8,58,2612
32001,5223,3,6,243
32001,5242,7,29,1316
32001,5312,3,34,1473
32001,5311,5,13,879
32001,5411,5,22,811
32001,5412,7,39,952
32001,5415,12,115,10646
32001,5413,9,263,24038
32001,5416,5,6,449
32001,5419,5,52,2134
32001,5617,11,46,1833
32001,5621,3,37,1814
32001,6116,3,8,64
32001,6211,7,38,4372
32001,6212,9,61,2282
32001,6213,7,41,1572
32001,6214,3,92,4100
32001,6241,6,15,549
32001,6244,6,30,984
32001,7139,6,31,402
32001,7132,7,212,5925
32001,7211,10,151,3450
32001,7224,6,32,1156
32001,7225,41,565,12883
32001,8111,18,62,2493
32001,8113,3,6,208
32001,8121,5,10,352
32001,8129,5,13,201
32001,8134,3,7,109
32001,8131,14,100,1871
32001,8139,6,15,231
32003,1141,3,10,1116
32003,1151,5,91,4251
32003,1152,13,34,1131
32003,2111,4,26,2904
32003,2123,20,353,29763
32003,2131,14,457,67024
32003,2211,42,1814,258358
32003,2212,5,927,76269
32003,2213,3,9,313
32003,2361,654,5846,471661
32003,2362,294,5791,579398
32003,2371,58,3488,259617
32003,2373,22,1688,199936
32003,2372,21,108,10071
32003,2379,13,86,8095
32003,2381,387,13172,753961
32003,2382,1146,25028,2011255
32003,2383,643,15413,931646
32003,2389,350,6176,424653
32003,3111,6,26,997
32003,3112,3,27,1891
32003,3113,7,165,10180
32003,3114,8,122,3536
32003,3115,6,752,41656
32003,3116,8,211,14661
32003,3118,99,1950,79721
32003,3119,29,1622,68319
32003,3121,25,1053,77567
32003,3141,12,111,5302
32003,3149,28,274,10018
32003,3152,14,63,1567
32003,3159,3,76,1985
32003,3212,5,478,22660
32003,3219,31,542,27737
32003,3222,8,525,40246
32003,3241,11,228,14146
32003,3251,6,109,10054
32003,3231,129,2426,120777
32003,3254,18,507,32089
32003,3256,13,269,13013
32003,3255,6,29,1456
32003,3259,13,182,12470
32003,3261,39,2070,116501
32003,3262,6,139,8073
32003,3272,7,108,5114
32003,3273,51,1477,108511
32003,3274,8,598,59285
32003,3279,23,461,32408
32003,3311,3,14,1266
32003,3314,4,444,41792
32003,3323,84,1711,98404
32003,3326,3,12,1298
32003,3325,4,74,2943
32003,3327,24,514,28749
32003,3328,23,224,9604
32003,3329,20,229,14421
32003,3333,5,46,2647
32003,3334,6,228,9526
32003,3331,4,232,13080
32003,3332,3,7,608
32003,3335,10,125,7208
32003,3339,12,305,18002
32003,3343,4,28,1530
32003,3344,16,397,24765
32003,3345,27,587,63329
32003,3346,4,6,244
32003,3351,5,42,1804
32003,3353,6,59,2598
32003,3359,14,384,24542
32003,3361,3,100,5995
32003,3362,3,114,6810
32003,3363,17,86,4277
32003,3364,4,5,785
32003,3369,3,3,50
32003,3371,39,555,23932
32003,3372,30,416,26266
32003,3379,3,80,4064
32003,3391,64,485,22785
32003,3399,111,6304,677383
32003,4231,114,1429,95108
32003,4232,73,713,56320
32003,4236,158,1783,154470
32003,4233,109,1305,98699
32003,4234,190,2173,170243
32003,4235,37,417,32423
32003,4237,122,1872,147532
32003,4239,184,1451,107033
32003,4238,202,2550,222359
32003,4241,30,377,25259
32003,4242,92,863,47079
32003,4243,60,237,12917
32003,4244,226,4696,324270
32003,4245,5,12,947
32003,4246,45,369,29895
32003,4247,18,274,15979
32003,4248,35,1211,106355
32003,4249,155,1361,85974
32003,4251,211,772,62837
32003,4411,178,8156,748842
32003,4412,59,1154,70196
32003,4413,295,3352,120293
32003,4421,133,1371,70371
32003,4422,102,1746,53661
32003,4431,109,1452,60858
32003,4441,193,6155,257234
32003,4451,467,18810,618351
32003,4452,155,1227,37978
32003,4453,120,1147,38292
32003,4442,40,726,30327
32003,4461,671,8652,322374
32003,4471,481,5732,164204
32003,4481,853,14111,415732
32003,4483,233,1970,134145
32003,4482,179,2788,75873
32003,4512,26,209,4843
32003,4523,199,14655,498095
32003,4532,217,2516,74689
32003,4511,216,2568,68269
32003,4522,18,1586,54601
32003,4531,39,209,5992
32003,4533,97,1806,40700
32003,4539,486,4807,190334
32003,4543,236,880,52097
32003,4541,681,13010,537019
32003,4542,17,358,17066
32003,4812,23,761,96451
32003,4811,17,7601,739735
32003,4841,544,4382,258143
32003,4842,220,1813,111905
32003,4851,4,1508,60483
32003,4852,6,100,4335
32003,4853,81,4786,169270
32003,4854,3,159,6990
32003,4855,19,228,7800
32003,4859,37,1326,56856
32003,4871,21,311,14029
32003,4862,4,20,1964
32003,4872,5,31,1338
32003,4879,9,751,44130
32003,4881,45,2837,97565
32003,4884,71,1846,105154
32003,4885,111,1165,68391
32003,4889,11,61,2141
32003,4921,61,5550,279457
32003,4922,37,975,34094
32003,4931,159,18063,743525
32003,5111,85,651,45469
32003,5112,166,2113,243209
32003,5122,47,70,5932
32003,5121,186,1693,55957
32003,5151,37,1197,99682
32003,5173,241,3826,268975
32003,5174,3,129,8137
32003,5179,55,934,77072
32003,5191,142,965,92666
32003,5182,126,2634,269538
32003,5221,397,8581,627345
32003,5222,390,4259,322038
32003,5223,238,5217,460154
32003,5231,155,666,144177
32003,5239,688,2108,237003
32003,5241,203,4590,343848
32003,5242,1047,6998,532536
32003,5259,44,54,4184
32003,5312,1769,6124,422857
32003,5313,817,7074,411097
32003,5311,899,5606,341957
32003,5321,165,2465,111836
32003,5322,92,703,33164
32003,5323,8,62,6041
32003,5324,209,3655,285800
32003,5331,22,112,12663
32003,5411,1450,8428,813351
32003,5413,656,8367,734411
32003,5414,242,765,50660
32003,5412,1003,5847,334966
32003,5415,962,5780,664421
32003,5416,2512,10490,868308
32003,5417,93,2689,295918
32003,5419,619,5623,282130
32003,5511,375,24534,2494188
32003,5612,36,545,31087
32003,5613,292,10011,408981
32003,5614,424,9632,376205
32003,5418,339,2652,178955
32003,5611,385,3520,267588
32003,5615,243,2591,203504
32003,5617,1478,17241,643929
32003,5616,276,13559,422780
32003,5619,332,11222,422315
32003,5621,39,1686,124136
32003,5622,12,253,17558
32003,5629,69,1289,58591
32003,6112,8,326,17230
32003,6111,114,6325,320351
32003,6113,13,1503,96965
32003,6114,96,701,41193
32003,6115,89,1570,76700
32003,6116,362,2287,54603
32003,6212,964,6834,371888
32003,6117,60,969,46149
32003,6211,2154,16008,1554154
32003,6213,1560,7897,378871
32003,6214,361,5171,284358
