Fips,Naics,Establishments,Employees,Payroll
45001,2361,7,9,411
45001,2362,3,8,333
45001,2381,9,18,758
45001,2382,11,76,3872
45001,2383,4,5,190
45001,2389,8,20,890
45001,3219,5,109,4870
45001,3261,3,401,15427
45001,3327,3,71,3486
45001,3371,5,56,2941
45001,4411,4,9,250
45001,4413,6,41,1251
45001,4441,4,11,251
45001,4451,8,201,3081
45001,4461,3,30,1572
45001,4471,14,108,2610
45001,4481,3,6,62
45001,4523,9,59,1191
45001,4841,3,15,286
45001,5173,3,101,10637
45001,5222,5,18,647
45001,5221,6,37,2311
45001,5242,4,16,701
45001,5312,3,4,102
45001,5411,3,10,711
45001,5412,6,16,461
45001,5413,3,8,751
45001,5416,4,11,484
45001,5617,11,44,1740
45001,6116,3,2,67
45001,6211,5,37,3089
45001,6213,4,8,364
45001,6241,4,13,390
45001,6244,3,20,698
45001,7139,4,19,262
45001,7225,29,269,4200
45001,8111,6,23,511
45001,8122,5,30,551
45001,8139,3,6,156
45001,8131,27,199,2517
45003,1133,7,38,2244
45003,1152,16,49,1997
45003,1153,3,4,90
45003,2123,5,117,11716
45003,2211,12,350,28411
45003,2361,52,194,11607
45003,2362,17,283,21534
45003,2371,13,454,37012
45003,2373,6,168,13821
45003,2372,5,43,3476
45003,2381,23,135,7328
45003,2382,86,636,34604
45003,2383,32,87,4001
45003,2389,52,315,17209
45003,3231,6,43,1716
45003,3251,5,177,18513
45003,3252,3,916,54060
45003,3254,3,351,26432
45003,3272,4,20,932
45003,3273,6,51,2833
45003,3323,3,132,7157
45003,3327,9,98,5389
45003,3329,6,642,35086
45003,3363,3,410,21977
45003,3371,5,22,811
45003,3261,3,421,24364
45003,3399,4,14,612
45003,4231,11,125,6586
45003,4234,3,24,986
45003,4236,6,58,5597
45003,4237,4,19,1858
45003,4238,12,75,4359
45003,4239,4,59,1822
45003,4247,3,42,3041
45003,4249,3,19,1204
45003,4251,6,10,1460
45003,4411,19,534,40486
45003,4412,7,35,1887
45003,4413,36,290,11719
45003,4421,16,92,3890
45003,4422,12,45,1139
45003,4431,7,43,1179
45003,4441,27,783,22865
45003,4451,36,1303,33036
45003,4452,15,45,1094
45003,4453,16,51,1633
45003,4471,87,707,18420
45003,4442,12,113,3391
45003,4461,36,352,14840
45003,4481,32,369,6673
45003,4482,8,68,1086
45003,4483,5,41,1564
45003,4511,14,162,3760
45003,4512,3,10,325
45003,4523,63,1939,54928
45003,4531,4,18,217
45003,4532,13,79,1561
45003,4533,13,85,2268
45003,4539,24,148,5181
45003,4541,14,72,3760
45003,4543,11,46,2248
45003,4841,34,245,14476
45003,4842,11,64,4573
45003,4884,4,14,216
45003,4885,3,22,1564
45003,4921,5,273,13946
45003,4931,7,591,33271
45003,5111,5,64,2055
45003,5112,3,26,2957
45003,5151,4,105,5333
45003,5173,17,190,12257
45003,5179,3,34,2557
45003,5191,3,1,97
45003,5221,49,635,42235
45003,5222,41,102,6508
45003,5223,11,23,1540
45003,5231,10,20,3716
45003,5239,29,51,5421
45003,5242,52,222,11621
45003,5311,37,105,3506
45003,5312,45,116,7411
45003,5313,29,48,2868
45003,5322,9,86,3006
45003,5324,6,48,4745
45003,5411,46,184,12011
45003,5412,50,205,6472
45003,5413,47,996,118965
45003,5414,6,42,1680
45003,5415,22,67,4840
45003,5416,41,936,73955
45003,5418,7,20,702
45003,5417,6,28,3781
45003,5419,40,280,14663
45003,5511,7,95,7336
45003,5613,16,527,20243
45003,5611,12,33,5268
45003,5614,7,25,862
45003,5615,6,11,729
45003,5616,12,623,44201
45003,5617,94,645,28473
45003,5619,5,9,193
45003,5621,6,86,4231
45003,5622,4,6212,663501
45003,5629,11,3593,404655
45003,6115,5,20,709
45003,6111,9,467,17745
45003,6116,12,39,1586
45003,6117,3,8,229
45003,6212,46,432,26798
45003,6211,63,656,77531
45003,6213,68,280,12831
45003,6214,27,392,23274
45003,6215,7,45,2311
45003,6216,35,780,38120
45003,6219,6,79,3017
45003,6231,6,776,34181
45003,6232,39,441,12942
45003,6233,9,403,11838
45003,6241,28,786,19024
