Fips,Naics,Establishments,Employees,Payroll
50001,1133,4,15,596
50001,2123,3,15,1038
50001,2361,73,303,17040
50001,2362,5,72,4934
50001,2371,3,11,886
50001,2381,30,87,4278
50001,2382,40,211,12714
50001,2389,41,186,12289
50001,2383,27,107,5727
50001,3111,3,42,3263
50001,3115,4,146,9536
50001,3121,3,125,9368
50001,3231,3,14,386
50001,3219,4,68,3844
50001,3327,3,30,2114
50001,3371,4,42,2278
50001,4231,3,28,1530
50001,4238,5,59,3300
50001,4239,6,31,1999
50001,4249,8,83,7756
50001,4411,7,124,7678
50001,4412,4,23,1305
50001,4413,10,76,3630
50001,4421,3,15,717
50001,4422,7,19,543
50001,4441,7,93,5470
50001,4442,11,120,5754
50001,4451,12,495,14920
50001,4452,4,10,508
50001,4453,5,28,784
50001,4461,6,70,3041
50001,4471,16,173,4714
50001,4481,6,73,1192
50001,4511,8,28,771
50001,4523,5,20,609
50001,4531,3,7,168
50001,4532,3,13,400
50001,4533,8,17,483
50001,4539,7,21,822
50001,4541,5,284,32611
50001,4543,12,110,6999
50001,4841,5,23,1513
50001,4842,17,75,5236
50001,5173,3,9,402
50001,5191,4,5,156
50001,5221,16,132,8474
50001,5239,5,39,3279
50001,5242,10,45,3148
50001,5311,7,35,1679
50001,5312,13,15,1165
50001,5313,8,28,1162
50001,5411,20,83,7047
50001,5412,23,78,3478
50001,5413,19,68,6388
50001,5414,9,11,459
50001,5415,14,19,1609
50001,5416,19,35,1781
50001,5417,3,3,581
50001,5419,16,84,4429
50001,5614,3,5,157
50001,5615,3,5,201
50001,5617,64,125,7207
50001,5619,3,4,276
50001,5621,4,21,1272
50001,6111,8,98,4195
50001,6116,7,53,1210
50001,6117,5,21,3111
50001,6211,10,46,3175
50001,6212,15,114,9278
50001,6213,31,92,4498
50001,6214,10,264,12792
50001,6219,4,75,2202
50001,6232,7,50,3135
50001,6233,5,241,8457
50001,6241,14,278,11516
50001,6242,4,35,1463
50001,6244,14,147,4594
50001,7111,3,13,506
50001,7115,4,5,223
50001,7121,4,42,1680
50001,7139,7,61,642
50001,7211,10,158,9037
50001,7212,9,36,3883
50001,7223,12,17,860
50001,7225,57,776,20973
50001,8111,27,71,3188
50001,8113,4,8,358
50001,8114,5,13,405
50001,8121,11,47,1271
50001,8122,4,8,357
50001,8129,4,32,1025
50001,8131,21,60,1522
50001,8133,12,64,2712
50001,8132,3,74,6212
50001,8134,7,42,661
50001,8139,6,10,517
50003,1133,4,8,396
50003,2361,55,178,8221
50003,2362,3,6,295
50003,2381,17,92,5351
50003,2382,38,206,12344
50003,2383,23,57,2700
50003,2389,24,82,4456
50003,3115,3,68,2816
50003,3231,4,10,605
50003,3261,8,598,36780
50003,3323,3,14,626
50003,3327,3,23,540
50003,3335,3,289,19872
50003,3399,6,39,1587
50003,4236,4,16,1143
50003,4238,3,98,7487
50003,4244,4,5,396
50003,4413,11,90,3188
50003,4421,5,19,1028
50003,4411,12,177,12888
50003,4422,13,51,1768
50003,4431,3,29,1530
50003,4441,12,288,13985
50003,4442,4,46,1412
50003,4451,27,525,15384
50003,4452,5,16,476
50003,4453,7,47,1324
50003,4461,13,131,5578
50003,4471,26,190,6816
50003,4481,21,157,4713
50003,4482,3,26,935
50003,4483,4,14,397
50003,4511,9,30,854
50003,4523,12,342,11108
50003,4512,3,54,1340
50003,4533,8,37,958
50003,4539,8,41,1469
50003,4541,5,201,11040
50003,4543,12,94,5410
50003,4842,8,31,986
50003,5111,7,126,9991
50003,5173,8,40,3069
50003,5191,9,52,1968
50003,5221,20,143,10579
50003,5242,13,58,4890
50003,5312,15,28,1957
50003,5231,4,21,5158
50003,5239,14,45,5331
50003,5311,14,129,4997
50003,5313,13,85,4366
50003,5322,3,12,519
50003,5411,22,73,4162
50003,5412,15,54,3085
50003,5413,19,75,5572
50003,5415,6,10,1104
50003,5414,9,40,3411
50003,5416,15,21,1035
50003,5417,3,19,1638
50003,5418,5,5,199
50003,5419,8,74,3291
50003,5511,3,46,3344
50003,5611,4,30,1731
50003,5613,4,28,1230
50003,5614,5,25,819
50003,5615,3,7,176
50003,5617,57,193,9267
50003,5619,3,6,436
50003,5621,3,42,2382
50003,5629,5,28,1595
50003,6116,12,60,1499
50003,6212,13,88,5360
50003,6213,22,69,2792
50003,6214,8,178,10354
50003,6216,4,160,5391
50003,6111,11,459,22385
50003,6211,19,238,36699
50003,6219,4,68,2860
50003,6231,3,245,11059
50003,6232,7,229,9873
50003,6233,4,82,3069
50003,6239,4,60,2978
50003,6242,3,29,945
50003,6241,19,281,10512
50003,6244,18,241,9239
50003,7113,3,7,176
50003,7115,4,3,104
50003,7121,5,69,2877
50003,7139,20,499,13776
50003,7211,39,799,34450
50003,7225,75,1070,29759
50003,7223,7,51,1292
50003,8111,28,107,3788
50003,8121,19,62,1541
50003,8122,4,24,870
50003,8129,9,28,1004
50003,8132,7,17,1369
50003,8133,5,34,1406
50003,8134,10,57,466
50003,8139,6,46,1520
50005,1133,7,25,896
50005,2123,3,8,860
50005,2211,3,61,4810
50005,2213,3,15,762
50005,2361,36,88,3937
50005,2371,8,79,7748
50005,2381,23,91,5965
50005,2382,27,65,3796
50005,2383,11,48,2004
50003,8131,28,116,2734
50005,2389,19,76,5706
50027,1133,11,19,936
50027,1153,3,3,144
50027,2123,6,86,5457
50027,2211,6,117,14873
50027,2361,109,355,21188
50027,2362,4,36,2805
50027,2371,7,123,12069
50027,2381,27,65,2748
