Naics,Establishments,Employees,Payroll
113110,14,196,14860
113210,6,25,1887
114111,3,9,278
115111,16,191,15033
115115,7,41,1792
115116,12,30,1747
115210,38,441,14755
115310,59,1006,33973
212322,5,315,19534
212399,4,22,767
213111,28,333,24832
213112,88,579,29749
221111,3,9,1145
221112,25,698,81105
221210,36,964,55958
236115,465,1198,60375
236117,124,454,23865
113310,343,1953,91992
114210,5,12,766
115112,119,616,46668
115113,4,1,167
115114,23,206,10158
211120,51,444,44013
211130,23,229,20417
212312,22,295,17490
212319,14,256,15491
236116,32,156,11390
212321,28,519,25659
221121,6,722,88032
221122,153,3669,348261
221310,100,439,19848
221320,6,81,4286
236118,576,1716,69306
236210,42,840,47277
237110,134,1381,71884
237120,25,791,43361
237310,103,2566,166138
237990,35,296,14238
238110,174,1582,81580
238120,38,1898,162698
238130,46,162,5979
238140,117,972,39716
238190,44,341,15688
238220,1048,10225,524641
238290,91,1233,80357
238320,162,1219,50260
238330,103,380,16320
238350,186,833,33052
238390,45,322,17970
238990,217,1449,63988
311111,6,1045,54124
311119,28,689,40295
311211,3,35,2121
311340,3,16,646
311352,3,22,380
311412,5,3055,142879
311421,4,193,6320
311511,5,543,26477
311613,7,326,18179
311615,42,31003,1202459
311812,21,1401,81841
311813,3,235,19435
311824,4,293,16057
311830,3,746,30543
236220,351,4608,283781
238150,51,457,21022
237130,87,1501,92889
237210,38,82,3634
238160,184,1696,91460
238170,81,250,11443
238910,439,3737,186657
238210,711,7998,437297
238310,144,1214,61144
238340,46,252,10858
311212,29,1992,100161
311611,14,94,2867
311612,12,171,6485
311811,35,1933,69403
311911,4,479,21015
311919,5,1523,65050
311920,4,139,7582
311941,3,655,26644
311942,3,193,2396
311999,6,88,2889
312112,3,179,12440
312113,7,29,1392
312130,8,98,4875
312140,5,395,53030
313310,4,10,189
314120,8,24,670
314910,12,159,6542
314994,4,946,60463
314999,21,57,1663
315210,5,18,423
315990,5,109,2906
316210,3,429,11471
316998,6,822,17974
321113,104,3975,227058
321114,10,400,20253
321211,3,121,2850
321214,18,296,13407
321219,5,403,26930
321911,10,102,3680
321912,13,549,22887
321918,17,897,34509
321920,43,820,28906
321992,3,38,1396
321999,34,1245,48514
322130,4,1731,150763
312120,33,325,8192
322211,8,448,25088
322212,13,1708,98839
322219,4,448,30463
322220,12,1177,68669
322230,3,10,270
323111,125,2789,151794
323113,74,529,20015
324110,3,610,69619
324121,16,208,13802
324122,5,274,14900
324191,3,285,8982
325120,6,97,6282
325130,4,89,7699
325180,8,261,16207
325194,4,165,8665
325199,7,1502,126718
325211,7,282,20351
325314,7,111,4956
325320,4,143,4494
325411,3,35,1414
325412,8,174,9926
325414,3,8,358
325510,7,142,9275
325611,5,550,33324
325612,4,126,5891
325991,3,133,5832
325998,12,195,12587
326112,5,976,48557
326113,3,343,15806
326122,5,499,27241
326140,6,726,42089
326150,4,196,10049
326160,3,102,6065
326191,3,145,2854
326199,48,3480,160450
326211,5,2168,176075
326212,5,149,5075
326220,4,1031,50316
326299,4,801,41548
327110,4,185,16732
327120,5,255,12350
327212,5,145,13998
327215,3,34,1553
327320,99,920,42753
327331,13,170,8620
327332,6,104,5758
327390,24,312,12680
327910,5,90,4631
331110,10,3668,507806
331210,3,609,40300
331221,3,26,1442
331222,4,420,26398
331315,4,521,32181
331523,5,700,39317
331524,3,44,1560
332111,5,137,8055
332119,8,253,10092
332215,6,58,4820
332216,3,383,24144
332311,13,933,51145
332312,35,1725,122981
332313,10,282,16892
332321,11,771,45786
332322,39,825,47506
332420,4,110,7087
332439,3,236,11158
332510,4,210,9710
332618,6,266,14890
332721,20,329,16819
332722,9,253,11910
332811,5,107,5784
332812,15,332,18509
332813,13,147,6539
332992,6,968,40963
332994,6,139,6599
332996,10,1127,53213
332999,17,101,3638
333111,14,446,23032
333112,3,1838,85183
333120,7,659,39542
333241,6,234,20630
333243,7,316,18569
333249,12,639,28456
333318,9,611,39448
333413,8,632,39138
333415,13,3180,175213
333511,12,307,11221
333514,18,254,11506
333515,12,315,15282
333517,11,211,12659
333618,4,170,9767
333914,5,35,1153
333922,12,2210,137421
333924,5,365,19370
334412,3,5,431
334416,4,127,6166
334418,4,298,10725
334419,7,615,35967
334510,3,1091,94641
335122,5,143,6733
335311,4,540,38360
335312,9,2723,170220
335314,6,503,53398
335929,3,398,24920
335999,5,202,12411
327991,19,142,4839
327999,3,48,2322
332323,24,303,10438
332710,167,1594,75297
333992,4,12,319
333993,5,224,17349
333999,7,343,15451
335931,4,668,33062
336111,3,16,672
