Zip,Naics,Establishments,Employees,Payroll
85611,23611,3,1,0
85611,23611,3,210,0
85611,31213,4,1,0
85611,31213,3,210,0
85613,54133,8,1,0
85613,54133,5,210,0
85613,54151,33,1,0
85613,54151,15,210,0
85613,54151,4,220,0
85613,54151,4,230,0
85613,54151,4,242,0
85613,54151,3,251,0
85613,72251,5,1,0
85613,72251,3,210,0
85613,81211,3,1,0
85614,23611,4,1,0
85614,23822,4,1,0
85614,44131,4,1,0
85614,44314,4,1,0
85614,44413,3,1,0
85614,44413,3,241,0
85614,44611,4,1,0
85614,44611,3,241,0
85614,44711,3,1,0
85614,45231,3,1,0
85614,45331,5,1,0
85614,45331,3,210,0
85614,52211,9,1,0
85614,52211,4,220,0
85614,52211,3,230,0
85614,52392,3,1,0
85614,52392,3,210,0
85614,52421,8,1,0
85614,52421,6,210,0
85614,53113,3,1,0
85614,53113,3,210,0
85614,53121,11,1,0
85614,53121,11,210,0
85614,53131,4,1,0
85614,54121,8,1,0
85614,54121,5,210,0
85614,54161,5,1,0
85614,54161,5,210,0
85614,54194,4,1,0
85614,56171,3,1,0
85614,56173,3,1,0
85614,62111,12,1,0
85614,62111,4,220,0
85614,62111,5,230,0
85614,62121,10,1,0
85614,62121,3,210,0
85614,62121,3,220,0
85614,62121,3,230,0
85614,62132,3,1,0
85614,62134,9,1,0
85614,62134,6,210,0
85614,62139,3,1,0
85614,62139,3,210,0
85614,62149,6,1,0
85614,62331,7,1,0
85614,62331,3,241,0
85614,62412,5,1,0
85614,71391,4,1,0
85614,71394,13,1,0
85614,71394,11,210,0
85614,72111,4,1,0
85614,72251,34,1,0
85614,72251,6,210,0
85614,72251,11,230,0
85614,72251,14,241,0
85614,81111,6,1,0
85614,81111,3,210,0
85614,81111,3,220,0
85614,81211,11,1,0
85614,81211,6,210,0
85614,81211,5,220,0
85614,81311,11,1,0
85614,81311,3,210,0
85614,81311,4,220,0
85614,81399,4,1,0
85615,23611,4,1,0
85615,23611,3,210,0
85615,23622,3,1,0
85615,23822,5,1,0
85615,23822,3,210,0
85615,23831,3,1,0
85615,44711,3,1,0
85615,53121,6,1,0
85615,53121,6,210,0
85615,62111,3,1,0
85615,62111,3,210,0
85615,72251,5,1,0
85615,81311,5,1,0
85615,81311,5,210,0
86503,44711,6,1,0
86503,44711,4,230,0
86503,62134,3,1,0
86503,62134,3,210,0
86503,72251,3,1,0
86505,44711,5,1,0
86505,44711,4,220,0
86512,21232,3,1,0
86514,44711,3,1,0
86429,23611,3,1,0
86429,45231,3,1,0
86429,53111,3,1,0
86429,53121,4,1,0
86429,53121,4,210,0
86429,53211,3,1,0
86429,53228,5,1,0
86429,53228,4,210,0
86429,62111,3,1,0
86429,62111,3,210,0
86429,72121,3,1,0
86429,72251,11,1,0
86429,72251,4,210,0
85194,23891,3,1,0
85194,44612,3,1,0
85194,44814,4,1,0
85194,44821,3,1,0
85194,45221,3,1,0
85194,45221,3,242,0
85194,48841,3,1,0
85194,48841,3,210,0
85194,56173,3,1,0
85194,72251,9,1,0
85194,72251,5,242,0
85309,54151,7,1,0
85309,54151,5,210,0
85756,23816,3,1,0
85756,23821,3,1,0
85756,23822,4,1,0
85756,23822,3,210,0
85756,23899,3,1,0
85756,42372,3,1,0
85756,42372,3,241,0
85756,44711,5,1,0
85756,45231,4,1,0
85756,45231,3,220,0
85756,48111,3,1,0
85756,48412,5,1,0
85756,48412,3,210,0
85756,48422,4,1,0
85756,48819,3,1,0
85756,49311,3,1,0
85756,53211,4,1,0
85756,55111,3,1,0
85756,56172,3,1,0
85756,56173,6,1,0
85756,56173,3,210,0
85756,62111,4,1,0
85756,62111,3,210,0
85756,72111,12,1,0
85756,72111,6,241,0
85756,72251,6,1,0
85756,81111,6,1,0
85756,81111,3,220,0
85756,81293,4,1,0
85741,23611,24,1,0
85741,23611,15,210,0
