Zip,Naics,Establishments,Employees,Payroll
32824,611,3,1,0
32824,611,3,210,0
32824,621,17,1,0
32824,621,14,210,0
32824,623,5,1,0
32824,623,3,210,0
32824,624,14,1,0
32824,624,6,210,0
32824,624,3,230,0
32825,561,54,1,0
32825,561,48,210,0
32825,561,3,220,0
32827,551,7,1,0
32827,551,3,210,0
32827,561,45,1,0
32827,561,26,210,0
32827,561,8,220,0
32827,561,3,241,0
32827,561,3,251,0
32828,511,4,1,0
32828,511,3,210,0
32828,512,4,1,0
32828,517,12,1,0
32828,517,6,210,0
32828,517,4,230,0
32828,519,6,1,0
32828,519,6,210,0
32828,813,11,210,0
32828,813,4,220,0
32829,236,17,1,0
32829,236,14,210,0
32830,561,41,1,0
32830,561,30,210,0
32830,561,3,241,0
32830,561,3,251,0
32830,711,4,1,0
32830,713,10,1,0
32830,713,3,260,0
32832,484,15,1,0
32832,484,12,210,0
32832,488,3,1,0
32832,488,3,210,0
32832,517,5,1,0
32832,522,17,1,0
32832,522,8,210,0
32832,522,5,220,0
32832,522,3,230,0
32832,523,6,1,0
32832,523,6,210,0
32832,524,21,1,0
32832,524,18,210,0
32832,561,43,1,0
32832,561,36,210,0
32832,561,5,220,0
32832,722,47,1,0
32832,722,17,210,0
32832,722,3,220,0
32832,722,5,230,0
32832,722,17,241,0
32832,722,5,242,0
32833,541,17,1,0
32833,541,14,210,0
32833,561,11,1,0
32833,561,8,210,0
32833,621,5,1,0
32833,621,5,210,0
32835,454,15,1,0
32835,454,13,210,0
32835,484,29,1,0
32835,484,25,210,0
32751,523,4,220,0
32751,524,96,1,0
32751,524,42,210,0
32751,524,18,220,0
32751,524,14,230,0
32751,524,7,241,0
32751,524,5,242,0
32751,524,9,251,0
32751,722,7,241,0
32751,722,4,242,0
32757,517,3,1,0
32757,517,3,220,0
32757,522,19,1,0
32757,522,7,210,0
32757,522,6,220,0
32757,522,5,230,0
32757,523,12,1,0
32757,523,10,210,0
32763,339,4,210,0
32763,423,19,1,0
32763,423,13,210,0
32763,423,3,230,0
32763,424,4,1,0
32763,441,18,1,0
32763,441,8,210,0
32763,441,6,230,0
32763,812,23,1,0
32763,812,18,210,0
32763,812,3,230,0
32763,813,12,1,0
32763,813,8,210,0
32765,519,5,1,0
32765,519,4,210,0
32765,522,25,1,0
32765,522,7,210,0
32765,522,12,220,0
32765,522,4,230,0
32765,811,38,1,0
32765,811,25,210,0
32765,811,9,220,0
32771,511,3,1,0
32771,517,18,1,0
32771,517,9,210,0
32771,517,5,230,0
32771,518,3,1,0
32771,519,3,1,0
32771,519,3,210,0
32771,811,48,1,0
32773,532,16,1,0
32773,532,4,210,0
32773,532,8,220,0
32773,541,50,1,0
32773,541,39,210,0
32773,541,6,220,0
32779,423,24,1,0
32779,423,23,210,0
32779,811,12,1,0
32779,811,11,210,0
32779,812,17,1,0
32779,812,13,210,0
32780,621,47,1,0
32780,621,23,210,0
32780,621,13,220,0
32780,621,6,230,0
32780,621,4,241,0
32789,311,5,1,0
32789,323,5,1,0
32789,323,3,210,0
32789,334,3,1,0
32789,339,5,1,0
32789,339,4,210,0
32789,541,501,1,0
32789,541,352,210,0
32789,541,73,220,0
32789,541,32,230,0
32789,541,32,241,0
32789,541,9,242,0
32789,541,3,251,0
32789,811,37,1,0
32789,811,24,210,0
32789,811,7,220,0
32789,811,4,230,0
32792,522,26,1,0
32792,522,9,210,0
32792,522,12,220,0
32792,522,4,230,0
32792,523,16,1,0
32792,523,16,210,0
32792,722,101,1,0
32792,722,32,210,0
32792,722,16,220,0
32792,722,21,230,0
32792,722,23,241,0
32792,722,8,242,0
32798,238,5,1,0
32798,238,3,220,0
32798,325,4,1,0
32798,325,3,241,0
32798,424,3,1,0
32798,444,3,1,0
32798,484,5,1,0
32801,813,50,1,0
32801,813,25,210,0
32801,813,8,220,0
32801,813,11,230,0
32801,813,3,251,0
32803,524,38,1,0
32803,524,26,210,0
32803,524,7,220,0
32804,511,3,1,0
32804,512,7,1,0
32804,512,5,210,0
32804,515,4,1,0
32804,517,4,1,0
32804,522,22,1,0
32804,522,8,210,0
32804,522,14,220,0
32804,811,21,1,0
32804,811,11,210,0
32804,811,4,220,0
32804,811,4,241,0
32805,561,33,1,0
32805,561,16,210,0
32805,561,8,241,0
32805,561,3,242,0
32805,562,6,1,0
32805,562,3,210,0
32806,511,3,1,0
32806,511,3,210,0
32806,512,7,1,0
32806,512,7,210,0
32806,517,5,1,0
32806,517,3,220,0
32806,519,3,1,0
32806,519,3,210,0
32806,522,30,1,0
32806,522,8,210,0
32806,522,16,220,0
32806,522,4,230,0
32806,812,48,1,0
32806,812,34,210,0
32806,812,6,220,0
32806,812,4,230,0
32807,561,61,1,0
32808,441,37,1,0
32808,441,16,210,0
32808,441,5,220,0
32808,441,7,230,0
32808,441,4,242,0
32808,441,3,251,0
32808,711,5,1,0
32808,711,4,210,0
32808,722,63,1,0
32808,722,29,210,0
32808,722,12,220,0
32808,722,11,230,0
32808,722,9,241,0
32809,446,44,1,0
32809,446,13,210,0
32809,446,17,220,0
32809,446,5,230,0
32809,446,9,241,0
32810,623,18,1,0
32810,623,4,210,0
32810,623,5,220,0
32810,623,3,230,0
32810,623,4,241,0
32810,624,17,1,0
32810,624,11,210,0
32810,624,4,230,0
32811,522,14,1,0
32811,522,4,210,0
32811,522,5,230,0
32811,522,3,241,0
32811,523,3,1,0
32811,524,5,1,0
32811,524,3,220,0
32811,531,51,1,0
32811,531,33,210,0
32811,531,15,220,0
32811,531,3,230,0
32812,441,5,1,0
32812,445,7,1,0
32812,445,3,210,0
32812,446,6,1,0
32812,446,3,210,0
32812,447,9,1,0
32812,447,4,230,0
32812,451,4,1,0
32812,451,3,210,0
32812,452,4,1,0
32812,453,10,1,0
32812,453,6,210,0
32814,531,34,1,0
32814,531,30,210,0
32814,531,3,220,0
32817,523,6,210,0
32817,524,27,1,0
32817,524,13,210,0
32817,524,5,220,0
32817,524,6,230,0
32817,531,42,1,0
32817,531,32,210,0
32817,531,3,220,0
32817,531,5,230,0
32818,446,12,1,0
32818,446,3,220,0
32818,446,3,230,0
32818,446,4,241,0
32818,447,10,1,0
32818,447,4,220,0
32818,447,4,230,0
32819,311,6,1,0
32819,323,4,1,0
32819,323,3,210,0
32819,334,6,1,0
32819,334,3,210,0
32819,423,84,1,0
32819,423,60,210,0
32819,423,8,220,0
32819,423,9,230,0
32819,492,6,1,0
32819,493,9,1,0
32819,493,3,210,0
32819,511,7,1,0
32819,511,5,210,0
32819,512,15,1,0
32819,512,11,210,0
32819,561,214,1,0
32819,561,113,210,0
32819,561,21,220,0
32819,561,35,230,0
32819,561,16,241,0
