Zip,Naics,Establishments,Employees,Payroll
96701,44511,6,1,0
96701,44512,4,1,0
96701,44512,3,230,0
96701,44529,5,1,0
96701,44529,3,220,0
96701,44611,4,1,0
96701,44611,3,210,0
96701,44612,6,1,0
96701,44613,5,1,0
96701,44613,4,220,0
96701,44619,4,1,0
96701,44811,5,1,0
96701,44812,11,1,0
96701,44812,4,230,0
96701,44812,4,241,0
96701,44813,4,1,0
96701,44814,8,1,0
96701,44814,4,230,0
96701,44815,6,1,0
96701,44815,5,220,0
96701,44819,7,1,0
96701,44819,4,220,0
96701,44821,14,1,0
96701,44821,6,220,0
96701,44821,5,230,0
96701,44831,11,1,0
96701,44831,4,210,0
96701,44831,4,220,0
96701,44831,3,230,0
96701,45111,6,1,0
96701,45111,4,210,0
96701,45112,4,1,0
96701,45322,6,1,0
96701,45322,4,220,0
96701,45399,6,1,0
96701,45399,4,210,0
96701,45411,6,1,0
96701,45411,4,210,0
96701,45439,5,1,0
96701,45439,4,210,0
96701,48411,4,1,0
96701,48411,3,210,0
96701,51731,9,1,0
96701,51731,4,210,0
96701,51731,3,230,0
96701,52211,4,1,0
96701,52213,3,1,0
96701,52213,3,230,0
96701,52229,4,1,0
96701,52229,3,220,0
96701,52392,4,1,0
96701,52392,4,210,0
96701,52412,7,1,0
96701,52412,3,210,0
96701,52412,3,230,0
96701,52421,8,1,0
96701,52421,7,210,0
96701,53111,7,1,0
96701,53111,7,210,0
96701,53112,11,1,0
96701,53112,7,210,0
96701,53112,3,220,0
96701,53121,17,1,0
96701,53121,16,210,0
96701,53131,13,1,0
96701,53131,9,210,0
96701,53131,3,220,0
96701,53228,3,1,0
96701,53249,3,1,0
96701,54111,5,1,0
96701,54111,5,210,0
96701,54121,21,1,0
96701,54121,15,210,0
96701,54121,4,220,0
96701,54133,12,1,0
96701,54133,6,210,0
96701,54133,3,220,0
96701,54133,3,241,0
96701,54138,3,1,0
96701,54143,3,1,0
96701,54143,3,210,0
96701,54151,7,1,0
96701,54151,6,210,0
96701,54161,10,1,0
96701,54161,8,210,0
96701,54162,5,1,0
96701,55111,12,1,0
96701,55111,6,230,0
96701,55111,3,241,0
96701,56151,3,1,0
96701,56162,6,1,0
96701,56171,7,1,0
96701,56171,3,210,0
96701,56172,9,1,0
96701,56172,7,210,0
96701,56173,11,1,0
96701,56173,4,210,0
96701,56173,3,220,0
96701,56199,3,1,0
96701,56199,3,220,0
96701,61161,6,1,0
96701,61161,3,210,0
96701,61162,5,1,0
96701,61162,4,210,0
96701,61169,3,1,0
96701,62111,64,1,0
96701,62111,45,210,0
96701,62111,11,220,0
96701,62111,6,230,0
96701,62121,38,1,0
96701,62121,13,210,0
96701,62121,15,220,0
96701,62121,5,230,0
96701,62121,5,241,0
96701,62131,8,1,0
96701,62131,7,210,0
96701,62132,4,1,0
96701,62133,7,1,0
96701,62133,7,210,0
96701,62134,5,1,0
96701,62139,4,1,0
96701,62149,5,1,0
96701,62149,3,242,0
96701,23611,14,1,0
96701,23611,10,210,0
96701,23611,3,220,0
96701,23622,13,1,0
96701,23622,6,220,0
96701,62151,6,1,0
96701,62151,4,210,0
96701,62161,3,1,0
96701,62199,3,1,0
96701,62412,4,1,0
96701,62441,11,1,0
96701,62441,3,220,0
96701,62441,5,230,0
96701,71312,3,1,0
96701,71394,4,1,0
96701,71399,3,1,0
96701,23622,4,230,0
96701,23811,5,1,0
96701,23811,3,210,0
96701,23815,3,1,0
96701,23816,3,1,0
96701,23821,12,1,0
96701,23821,4,210,0
96701,23821,5,241,0
96701,23822,17,1,0
96701,23822,10,210,0
96701,23822,3,230,0
96701,72241,7,1,0
96701,72241,5,210,0
96701,72251,123,1,0
96701,72251,27,210,0
96701,72251,23,220,0
96701,72251,43,230,0
96701,72251,22,241,0
96701,72251,7,242,0
96701,23829,3,1,0
96701,23832,6,1,0
96701,23832,3,210,0
96701,23833,4,1,0
96701,23834,3,1,0
96701,23835,3,1,0
96701,31211,3,1,0
96701,32311,4,1,0
96701,81111,10,1,0
96701,81111,4,210,0
96701,81111,5,220,0
96701,81112,5,1,0
96701,81119,3,1,0
96701,81131,5,1,0
96701,81131,3,210,0
96701,81149,3,1,0
96701,81149,3,210,0
96701,42345,4,1,0
96701,42351,3,1,0
96701,42369,3,1,0
96701,42383,3,1,0
96701,42413,4,1,0
96701,42413,3,220,0
96701,42421,7,1,0
96701,42421,3,210,0
96701,42421,3,220,0
96701,42432,3,1,0
96701,81211,20,1,0
96701,81211,11,210,0
96701,81211,4,220,0
96701,81211,3,230,0
96701,81219,4,1,0
96701,81219,3,210,0
96701,81293,3,1,0
96701,81293,3,210,0
96701,81311,14,1,0
96701,81311,7,210,0
96701,81311,3,230,0
96701,42499,4,1,0
96701,42512,5,1,0
96701,42512,3,210,0
96701,44131,7,1,0
96701,44131,7,210,0
96701,44132,4,1,0
96701,44211,4,1,0
96701,44419,3,1,0
96701,81399,24,1,0
96701,81399,15,210,0
96701,81399,6,220,0
96703,23611,3,1,0
96703,23611,3,210,0
96703,72251,3,1,0
96704,23611,3,210,0
96704,23891,4,1,0
96704,44711,3,1,0
96704,44711,3,220,0
96704,72251,5,1,0
96704,81311,3,1,0
96704,81311,3,210,0
96704,23611,3,1,0
96705,48721,4,1,0
96705,48721,3,241,0
96705,72251,6,1,0
96705,72251,3,230,0
96706,23611,9,1,0
96706,23611,5,210,0
96706,23816,3,1,0
96706,23821,11,1,0
96706,23821,8,210,0
96706,23822,8,1,0
96706,23822,4,210,0
96706,23832,3,1,0
96706,23835,4,1,0
96706,23835,3,210,0
96706,44511,3,1,0
96706,44611,5,1,0
96706,44611,3,210,0
96706,44711,5,1,0
96706,44711,3,220,0
96706,51731,6,1,0
96706,51731,5,210,0
96706,52211,3,1,0
96706,52211,3,220,0
96706,52213,4,1,0
96706,52213,3,210,0
96706,52421,3,1,0
96706,53121,9,1,0
96706,53121,8,210,0
96706,53131,6,1,0
96706,53131,3,230,0
96706,54121,8,1,0
96706,54121,7,210,0
96706,54151,7,1,0
96706,54151,6,210,0
96706,56121,3,1,0
96706,56172,8,1,0
96706,56172,3,220,0
96706,56172,3,230,0
96706,56173,5,1,0
96706,56199,3,1,0
96706,62111,23,1,0
96706,62111,17,210,0
96706,62111,3,220,0
96706,62121,6,1,0
96706,62121,3,230,0
96706,62133,3,1,0
96706,62133,3,210,0
96706,62134,3,1,0
96706,62151,4,1,0
96706,62412,3,1,0
96706,62422,4,1,0
96706,62441,8,1,0
96706,62441,3,230,0
96706,62441,3,241,0
96706,72251,32,1,0
96706,72251,5,210,0
96706,72251,6,220,0
96706,72251,8,230,0
96706,72251,9,241,0
96706,72251,3,242,0
96706,81211,6,1,0
96706,81211,3,210,0
96706,81311,10,1,0
96706,81311,6,210,0
96706,81399,14,1,0
96706,81399,10,210,0
96706,81399,3,220,0
96707,44619,3,210,0
96707,44711,5,1,0
96707,44711,3,230,0
96707,44812,6,1,0
96707,44812,3,220,0
96707,44814,7,1,0
96707,44821,4,1,0
96707,45231,5,1,0
96707,45322,3,1,0
96707,45439,7,1,0
96707,45439,6,210,0
96707,48411,4,1,0
96707,48411,3,210,0
96707,48421,6,1,0
96707,48421,5,242,0
96707,48422,8,1,0
96707,48422,3,241,0
96707,48721,3,1,0
96707,49311,3,1,0
96707,49319,3,1,0
96707,49319,3,241,0
96707,51213,3,1,0
96707,51731,8,1,0
96707,51731,3,210,0
96707,51731,5,230,0
