Zip,Naics,Establishments,Employees,Payroll
83702,53111,13,1,0
83702,53111,11,210,0
83702,53112,9,1,0
83702,53112,7,210,0
83702,53121,80,1,0
83702,53121,70,210,0
83702,53121,5,220,0
83702,53121,4,241,0
83702,53131,32,1,0
83702,72241,28,1,0
83702,72241,6,220,0
83702,72241,12,230,0
83702,72241,7,241,0
83702,72251,137,1,0
83702,72251,18,210,0
83702,72251,23,220,0
83702,72251,32,230,0
83702,72251,45,241,0
83702,72251,18,242,0
83703,81311,3,1,0
83703,81311,3,210,0
83703,81331,3,1,0
83703,81331,3,210,0
83703,81399,4,1,0
83703,81399,3,210,0
83704,52392,4,1,0
83704,52392,3,210,0
83704,52393,3,1,0
83704,52412,4,1,0
83704,52421,19,1,0
83704,52421,15,210,0
83704,53111,3,1,0
83704,53113,7,1,0
83705,23611,20,1,0
83705,23611,16,210,0
83705,23622,7,1,0
83705,23622,3,210,0
83705,55111,13,1,0
83705,56111,7,1,0
83705,56111,5,210,0
83705,56151,4,1,0
83705,56171,3,1,0
83706,45411,13,1,0
83706,45411,10,210,0
83706,45411,3,230,0
83706,45439,5,1,0
83706,45439,4,210,0
83706,48412,4,1,0
83706,48421,4,1,0
83706,81111,9,1,0
83706,81111,3,210,0
83706,81111,6,220,0
83706,81112,5,1,0
83709,23899,20,1,0
83709,23899,11,210,0
83709,23899,3,220,0
83709,32191,6,1,0
83709,32311,3,1,0
83709,32619,3,1,0
83709,33232,3,1,0
83709,33271,3,1,0
83709,33271,3,210,0
83709,33711,3,1,0
83709,33911,3,1,0
83709,42312,4,1,0
83709,42331,5,1,0
83709,44111,8,1,0
83709,44111,4,251,0
83709,44112,3,1,0
83709,44112,3,210,0
83709,44131,5,1,0
83709,44132,4,1,0
83709,44132,3,241,0
83709,44211,5,1,0
83709,44211,3,210,0
83709,45411,16,210,0
83709,45411,3,220,0
83709,45439,9,1,0
83709,45439,8,210,0
83709,48412,18,1,0
83709,48412,10,210,0
83709,48412,3,220,0
83709,48412,3,241,0
83709,53121,72,1,0
83709,53121,69,210,0
83709,53131,8,1,0
83709,53131,3,210,0
83709,53132,10,1,0
83709,53132,10,210,0
83709,53139,6,1,0
83709,53139,4,210,0
83709,53241,5,1,0
83709,53241,3,210,0
83709,53249,5,1,0
83709,56173,42,1,0
83709,56173,26,210,0
83709,56173,7,220,0
83709,56173,7,230,0
83709,56179,3,1,0
83709,56199,4,1,0
83709,61143,4,1,0
83709,61143,4,210,0
83709,61151,6,1,0
83709,61151,3,210,0
83201,53111,6,1,0
83201,53111,5,210,0
83201,53112,4,1,0
83201,53112,3,210,0
83201,53121,23,1,0
83201,53121,22,210,0
83201,53131,12,1,0
