Zip,Naics,Establishments,Employees,Payroll
58104,2381,20,1,0
58104,2381,11,210,0
58104,2381,5,220,0
58104,2381,3,230,0
58104,2382,33,1,0
58104,2382,18,210,0
58104,2382,5,220,0
58104,2382,3,230,0
58104,2382,6,241,0
58104,5613,6,210,0
58104,5613,3,251,0
58104,5614,7,1,0
58104,5614,5,210,0
58104,5617,38,1,0
58104,5617,32,210,0
58104,5617,4,220,0
58104,5619,4,1,0
58201,4411,12,1,0
58201,4411,4,210,0
58201,4413,11,1,0
58201,4413,5,220,0
58201,4413,5,230,0
58201,4421,4,1,0
58201,4422,6,1,0
58201,6213,44,1,0
58201,6213,28,210,0
58201,6213,8,220,0
58201,6213,6,230,0
58201,6214,8,1,0
58201,6214,3,230,0
58203,5242,5,210,0
58203,5311,6,1,0
58203,5311,4,210,0
58203,5313,4,1,0
58203,5321,4,1,0
58203,5324,3,1,0
58237,5617,3,210,0
58237,6213,4,1,0
58237,6232,4,1,0
58237,6232,4,230,0
58237,6244,6,1,0
58237,6244,5,210,0
58237,7139,3,1,0
58271,4885,9,1,0
58271,4885,5,210,0
58271,4885,3,220,0
58274,2361,4,1,0
58274,2361,4,210,0
58316,6213,3,1,0
58316,6213,3,210,0
58316,6244,4,1,0
58316,6244,4,210,0
58318,2381,7,1,0
58318,2381,6,210,0
58318,2382,9,1,0
58318,2382,8,210,0
58366,4471,3,1,0
58366,7225,3,1,0
58366,7225,3,210,0
58401,5411,6,1,0
58401,5411,5,210,0
58401,5412,7,1,0
58401,5412,3,210,0
58401,5412,3,220,0
58401,5413,3,1,0
58401,5419,5,1,0
58401,5617,9,1,0
58401,5617,6,210,0
58436,8131,5,1,0
58436,8131,5,210,0
58438,5242,3,1,0
58438,5242,3,210,0
58501,4233,4,1,0
58501,4234,3,1,0
58501,4238,6,1,0
58501,4238,3,230,0
58501,4244,7,1,0
58501,4244,4,210,0
58501,4246,3,1,0
58501,4249,5,1,0
58501,4249,3,210,0
58501,4411,3,1,0
58501,4412,3,1,0
58501,4413,7,1,0
58501,6233,6,1,0
58501,6241,15,1,0
58501,6241,6,210,0
58501,6241,4,220,0
58501,6241,3,241,0
58501,6242,5,1,0
58501,6244,16,1,0
58501,6244,7,210,0
58501,6244,3,220,0
58501,6244,3,230,0
58503,4842,10,1,0
58503,4842,9,210,0
58503,4862,4,1,0
58503,4885,3,1,0
58503,4885,3,210,0
58503,5173,5,1,0
58504,2371,5,1,0
58504,2373,4,1,0
58504,2381,24,1,0
58504,2381,16,210,0
58504,2381,3,220,0
58504,2381,5,230,0
58504,2382,35,1,0
58504,2382,12,210,0
58504,5418,5,1,0
58504,5418,3,210,0
58504,5419,5,1,0
58504,5419,4,210,0
58504,5511,6,1,0
58540,2361,4,1,0
58540,2361,4,210,0
58554,5239,9,1,0
58554,5239,8,210,0
58554,5242,18,1,0
58554,5242,15,210,0
58554,5242,3,220,0
58554,5311,11,1,0
58554,5311,10,210,0
58577,5242,3,1,0
58577,5242,3,210,0
58577,8131,3,1,0
58579,2211,3,1,0
58601,5242,18,1,0
58601,5242,14,210,0
58601,5242,3,220,0
58601,5311,14,1,0
58601,5311,7,210,0
58601,5311,6,220,0
58601,5312,8,1,0
58622,5617,5,1,0
58622,5617,3,210,0
58622,8131,4,1,0
58622,8131,3,210,0
58623,2381,3,1,0
58623,2381,3,210,0
58623,2382,4,1,0
58623,2389,3,1,0
58701,2361,28,1,0
58701,2361,19,210,0
58701,2361,6,220,0
58701,2362,6,1,0
58701,2362,3,220,0
58701,2371,4,1,0
58701,2371,3,210,0
58701,5312,26,1,0
58701,5312,26,210,0
58701,5313,16,1,0
58701,5313,12,210,0
58701,5324,5,1,0
58701,5324,3,210,0
58703,2131,3,220,0
58703,2131,5,241,0
58703,2361,9,1,0
58703,2361,6,210,0
58703,2371,4,1,0
58703,2371,3,210,0
58730,5242,7,1,0
58730,5242,6,210,0
58730,5411,3,1,0
58730,8131,3,1,0
58730,8131,3,210,0
58784,4441,3,1,0
58784,4471,5,1,0
58784,4841,3,1,0
58784,4842,20,1,0
58784,4842,14,210,0
58784,4842,4,220,0
58784,4861,3,1,0
58801,4441,6,210,0
58801,4442,5,1,0
58801,4451,4,1,0
58801,4452,3,1,0
58801,4461,4,1,0
58801,4471,17,1,0
58801,4471,9,230,0
58801,4471,5,241,0
58801,7223,5,1,0
58801,7223,5,210,0
58801,7224,13,1,0
58801,7224,8,220,0
58801,7224,3,230,0
58801,7225,71,1,0
58801,7225,12,210,0
58801,7225,17,220,0
58801,7225,16,230,0
58801,7225,23,241,0
58854,2389,4,210,0
58854,2389,3,230,0
58854,4238,14,1,0
58854,4238,3,210,0
58854,4238,7,220,0
58854,4246,3,1,0
58103,5617,20,210,0
58103,5617,4,220,0
58103,5617,3,230,0
58103,5617,4,241,0
58103,5619,4,1,0
58103,5629,3,1,0
58103,6115,5,1,0
58104,2383,29,1,0
58104,2383,22,210,0
58104,2383,3,220,0
58104,2389,6,1,0
58104,2389,4,210,0
58104,3371,3,1,0
58104,6111,4,1,0
58104,6116,8,1,0
58104,6116,4,220,0
58104,6116,3,230,0
58104,6211,22,1,0
58104,6211,10,210,0
58104,6211,6,220,0
58104,6211,5,241,0
58201,4431,6,1,0
58201,4431,3,220,0
58201,4431,3,241,0
58201,4441,9,1,0
58201,4441,3,210,0
58201,4451,9,1,0
58201,4451,5,242,0
58201,4452,5,1,0
58201,6232,10,1,0
58201,6232,8,230,0
58201,6233,6,1,0
58201,6239,5,1,0
58201,6239,4,210,0
58201,6241,13,1,0
58201,6241,3,230,0
58201,6241,5,241,0
58203,5411,4,1,0
58203,5413,5,1,0
58203,5415,3,1,0
58203,5415,3,210,0
58203,5419,5,1,0
58203,5419,3,241,0
58203,5511,5,1,0
58203,5613,4,1,0
58237,7224,4,1,0
58237,7225,6,1,0
58237,7225,3,210,0
58237,8111,7,1,0
58237,8111,4,210,0
58237,8111,3,220,0
58237,8121,3,1,0
58237,8121,3,210,0
58274,4245,3,1,0
58274,4842,3,1,0
58274,4842,3,210,0
58275,4842,3,1,0
58318,4249,3,1,0
58318,4441,4,1,0
58318,4441,3,210,0
58318,4461,3,1,0
