Zip,Naics,Establishments,Employees,Payroll
87114,5619,3,1,0
87114,5619,3,210,0
87114,5621,4,1,0
87114,5621,4,210,0
87120,5221,3,230,0
87120,5222,5,1,0
87120,5222,3,210,0
87120,5223,8,1,0
87120,5223,5,210,0
87120,5239,4,1,0
87120,5239,4,210,0
87121,2382,32,1,0
87121,2382,23,210,0
87121,2382,4,220,0
87121,2382,3,230,0
87121,2383,28,1,0
87121,2383,17,210,0
87121,2383,8,220,0
87122,4234,5,1,0
87122,4234,4,210,0
87122,4251,7,1,0
87122,4251,7,210,0
87122,4461,4,1,0
87122,4483,3,1,0
87123,4884,5,1,0
87123,4884,5,210,0
87123,5173,6,1,0
87123,5173,4,210,0
87123,5221,8,1,0
87123,5221,5,220,0
87124,4471,13,1,0
87124,4471,7,220,0
87124,4471,3,230,0
87124,4481,3,1,0
87124,4481,3,220,0
87124,4523,7,1,0
87124,8113,3,1,0
87124,8113,3,210,0
87124,8114,3,1,0
87124,8114,3,210,0
87124,8121,21,1,0
87124,8121,15,210,0
87124,8121,5,220,0
87301,4421,7,1,0
87301,4421,4,210,0
87301,4431,3,1,0
87301,4441,5,1,0
87301,4442,3,1,0
87301,4451,10,1,0
87301,8131,20,1,0
87301,8131,11,210,0
87301,8131,4,220,0
87401,4881,4,1,0
87401,4884,5,1,0
87401,4884,3,220,0
87401,5121,3,1,0
87401,5151,5,1,0
87401,5173,5,1,0
87401,5173,3,210,0
87401,8111,41,1,0
87401,8111,22,210,0
87401,8111,12,220,0
87401,8111,7,230,0
87401,8113,13,1,0
87402,8129,4,1,0
87402,8129,3,210,0
87402,8131,5,1,0
87402,8131,3,210,0
87410,2111,4,1,0
87410,2111,3,210,0
87410,2131,7,1,0
87415,4238,3,1,0
87415,5617,3,1,0
87416,2361,4,1,0
87416,2361,3,210,0
87501,5121,9,1,0
87501,5121,7,210,0
87501,5173,4,1,0
87501,5173,4,210,0
87501,5182,3,1,0
87501,5182,3,210,0
87501,8132,4,230,0
87501,8133,16,1,0
87501,8133,7,210,0
87501,8133,4,220,0
87501,8133,3,230,0
87501,8134,5,1,0
87501,8134,4,210,0
87501,8139,19,1,0
87501,8139,14,210,0
87505,5322,3,1,0
87505,5411,49,1,0
87505,5411,34,210,0
87505,5411,9,220,0
87505,5411,4,230,0
87505,5414,24,1,0
87505,5414,20,210,0
87505,5414,3,220,0
87505,5415,20,1,0
87505,5415,14,210,0
87505,5415,6,220,0
87505,5416,53,1,0
87505,5416,49,210,0
87505,5417,7,1,0
87505,5417,4,230,0
87505,5418,5,1,0
87505,5418,4,210,0
87505,5419,14,1,0
87505,5419,10,210,0
87505,5619,6,1,0
87505,5619,5,210,0
87505,6111,8,1,0
87505,6113,3,1,0
87505,6113,3,220,0
87505,6114,3,1,0
87505,6114,3,210,0
87505,6214,39,1,0
87505,6214,12,210,0
87505,6214,9,220,0
87505,6214,8,230,0
87505,6214,9,241,0
87505,6215,16,1,0
87505,6215,4,210,0
87505,6215,4,220,0
87505,6215,3,230,0
