Zip,Naics,Establishments,Employees,Payroll
99999,23712,61,1,0
99999,23712,18,210,0
99999,23712,3,220,0
99999,23712,8,230,0
99999,23712,5,241,0
99999,23712,6,242,0
99999,23712,9,251,0
99999,23712,3,252,0
99999,23712,4,254,0
99999,23712,5,260,0
99999,23713,43,1,0
99999,23713,14,210,0
99999,23713,4,220,0
99999,23713,12,230,0
99999,23713,7,241,0
99999,42413,60,1,0
99999,42413,23,210,0
99999,42413,12,220,0
99999,42413,7,230,0
99999,42413,12,241,0
99999,42413,5,242,0
99999,42421,705,1,0
99999,42421,262,210,0
99999,42421,98,220,0
99999,42421,109,230,0
99999,42421,119,241,0
99999,42421,63,242,0
99999,42421,40,251,0
99999,42421,11,252,0
99999,48531,6,252,0
99999,48541,9,1,0
99999,48541,4,242,0
99999,48611,22,1,0
99999,48611,17,210,0
99999,48611,3,220,0
99999,48621,5,1,0
99999,48621,5,210,0
99999,48691,19,1,0
99999,48691,15,210,0
99999,48699,3,1,0
99999,52413,74,1,0
99999,52413,60,210,0
99999,52413,9,220,0
99999,52413,4,230,0
99999,52421,647,1,0
99999,52421,464,210,0
99999,52421,67,220,0
99999,52421,35,230,0
99999,52421,28,241,0
99999,52421,22,242,0
99999,52421,12,251,0
99999,55111,61,230,0
99999,55111,34,241,0
99999,55111,18,242,0
99999,55111,12,251,0
99999,55111,8,252,0
99999,55111,5,254,0
99999,62139,13,1,0
99999,62139,10,210,0
99999,62141,3,1,0
99999,62142,9,1,0
99999,62142,3,210,0
99999,62149,23,1,0
99999,62149,7,210,0
99999,62149,5,230,0
99999,62149,5,251,0
99999,62151,52,1,0
99999,62151,7,210,0
99999,62151,13,220,0
99999,62151,15,241,0
99999,62151,7,242,0
99999,62151,6,251,0
99999,23731,24,1,0
99999,23731,4,230,0
99999,23731,3,241,0
99999,23731,3,242,0
99999,23731,4,251,0
99999,23731,6,252,0
99999,23799,3,1,0
99999,23811,4,1,0
99999,23814,4,1,0
99999,23814,3,210,0
99999,23815,7,1,0
99999,23816,6,1,0
99999,42431,82,1,0
99999,42431,73,210,0
99999,42431,8,220,0
99999,42432,25,1,0
99999,42432,22,210,0
99999,42433,8,1,0
99999,42433,7,210,0
99999,42441,23,1,0
99999,42441,11,210,0
99999,42441,5,220,0
99999,48819,3,1,0
99999,48841,3,1,0
99999,48849,5,1,0
99999,48849,3,230,0
99999,48851,49,1,0
99999,48851,41,210,0
99999,48851,3,220,0
99999,48851,3,241,0
99999,49211,23,1,0
99999,49211,11,210,0
99999,49211,6,220,0
99999,52421,11,252,0
99999,52421,5,254,0
99999,52421,3,260,0
99999,52429,250,1,0
99999,52429,149,210,0
99999,52429,39,220,0
99999,52429,24,230,0
99999,52429,11,241,0
99999,52429,6,242,0
99999,52429,5,252,0
99999,52429,3,254,0
99999,52429,11,260,0
99999,56111,64,1,0
99999,56111,44,210,0
99999,56111,6,220,0
99999,56111,4,254,0
99999,56111,3,260,0
99999,56121,202,1,0
99999,56121,47,210,0
99999,56121,17,220,0
99999,56121,19,230,0
99999,56121,31,241,0
99999,56121,26,242,0
99999,56121,17,251,0
99999,56121,13,252,0
99999,56121,12,254,0
99999,56121,20,260,0
99999,62161,187,1,0
99999,62161,39,210,0
99999,62161,22,220,0
99999,62161,14,230,0
99999,62161,26,241,0
99999,62161,25,242,0
99999,62161,24,251,0
99999,62161,15,252,0
99999,62161,9,254,0
99999,62161,13,260,0
99999,23816,3,210,0
99999,23817,4,1,0
99999,23821,32,1,0
99999,23821,13,210,0
99999,23821,5,220,0
99999,23821,7,230,0
99999,23822,35,1,0
99999,23822,17,210,0
99999,23822,7,220,0
99999,23822,6,230,0
99999,23822,3,242,0
99999,23829,26,1,0
99999,23829,7,210,0
99999,23829,13,220,0
99999,23829,4,230,0
99999,42442,18,1,0
99999,42442,11,210,0
99999,42442,3,230,0
99999,42444,11,1,0
99999,42444,11,210,0
99999,42445,102,1,0
99999,42445,69,210,0
99999,42445,5,220,0
99999,42445,12,230,0
99999,42445,11,241,0
99999,42447,47,1,0
99999,42447,23,210,0
99999,42447,15,220,0
99999,42447,4,230,0
99999,42449,311,1,0
99999,42449,208,210,0
99999,42449,36,220,0
99999,42449,24,230,0
99999,42449,21,241,0
99999,42449,3,242,0
99999,42449,6,251,0
99999,42449,12,252,0
99999,49221,5,1,0
99999,49311,111,1,0
99999,49311,85,210,0
99999,49311,10,220,0
99999,49311,9,230,0
99999,49311,5,241,0
99999,53111,42,1,0
99999,53111,23,210,0
99999,53111,7,220,0
99999,53111,7,230,0
99999,53111,3,241,0
99999,53112,8,1,0
99999,53112,6,210,0
99999,53113,4,1,0
99999,53113,4,210,0
99999,56131,108,1,0
99999,56131,15,210,0
99999,56131,5,241,0
99999,56131,10,251,0
99999,56131,31,252,0
99999,56131,27,254,0
99999,56131,16,260,0
99999,56132,3930,1,0
99999,56132,2178,210,0
99999,56132,212,220,0
99999,56132,132,230,0
99999,56132,117,241,0
99999,56132,85,242,0
99999,56132,136,251,0
99999,56132,254,252,0
99999,62191,4,1,0
99999,62199,66,1,0
99999,62199,41,210,0
99999,62199,10,220,0
99999,62199,9,230,0
99999,62199,4,241,0
99999,62311,6,1,0
99999,62321,15,1,0
99999,62321,4,210,0
99999,62321,4,220,0
99999,23831,3,1,0
99999,23832,6,1,0
99999,23832,3,210,0
99999,23833,3,1,0
99999,23833,3,210,0
99999,23835,5,1,0
99999,23835,4,210,0
99999,23891,16,1,0
99999,23891,8,210,0
99999,23891,4,230,0
99999,23891,3,241,0
99999,23899,7,1,0
99999,23899,3,210,0
99999,42451,4,1,0
99999,42451,3,210,0
99999,42461,54,1,0
99999,42461,23,210,0
99999,42461,7,220,0
99999,42461,12,230,0
99999,42461,11,241,0
99999,42469,352,1,0
99999,42469,153,210,0
99999,51111,7,1,0
99999,51111,3,230,0
99999,51112,11,1,0
99999,51112,7,210,0
99999,51112,3,242,0
99999,51113,48,1,0
99999,51113,27,210,0
99999,51113,8,220,0
99999,51113,8,230,0
99999,51114,61,1,0
99999,51114,12,210,0
99999,51114,18,220,0
99999,51114,10,230,0
99999,51114,16,241,0
99999,51114,5,242,0
99999,53119,4,1,0
99999,53119,3,210,0
99999,53121,57,1,0
99999,53121,43,210,0
99999,53121,9,220,0
99999,53121,4,230,0
99999,53131,83,1,0
99999,53131,50,210,0
99999,53131,22,220,0
99999,53131,7,230,0
99999,53132,32,1,0
99999,53132,24,210,0
99999,53132,5,220,0
99999,53139,17,1,0
99999,53139,16,210,0
99999,56132,422,254,0
99999,56132,394,260,0
99999,56133,913,1,0
99999,56133,37,210,0
99999,56133,12,220,0
99999,56133,15,230,0
99999,56133,17,241,0
99999,56133,30,242,0
99999,56133,73,251,0
99999,56133,119,252,0
99999,56133,188,254,0
99999,56133,422,260,0
99999,62322,9,1,0
99999,62331,8,1,0
99999,62399,3,1,0
99999,62411,10,1,0
99999,62411,6,210,0
99999,62412,55,1,0
99999,62412,13,210,0
99999,62412,7,220,0
99999,62412,7,230,0
99999,62412,9,241,0
99999,62412,3,251,0
99999,62412,8,254,0
99999,62412,5,260,0
99999,31161,3,1,0
99999,31181,3,1,0
99999,32199,3,1,0
99999,32311,10,1,0
99999,32311,3,220,0
99999,32619,4,1,0
99999,32732,8,1,0
99999,32732,5,210,0
99999,42469,59,220,0
99999,42469,51,230,0
99999,42469,34,241,0
99999,42469,24,242,0
99999,42469,21,251,0
99999,42469,5,252,0
99999,42469,4,254,0
99999,42471,4,1,0
99999,42472,161,1,0
99999,42472,120,210,0
99999,42472,20,220,0
99999,42472,11,230,0
99999,42472,5,241,0
99999,42472,3,251,0
99999,51121,704,1,0
99999,51121,304,210,0
99999,51121,110,220,0
99999,51121,88,230,0
99999,51121,102,241,0
99999,51121,53,242,0
99999,51121,29,251,0
99999,51121,8,252,0
99999,51121,4,254,0
99999,51121,6,260,0
99999,53211,3,1,0
99999,53212,17,1,0
99999,53212,12,210,0
99999,53212,4,220,0
99999,53228,3,1,0
99999,53241,56,1,0
99999,53241,41,210,0
99999,53241,10,220,0
99999,53242,20,1,0
99999,53242,10,210,0
99999,53242,5,220,0
99999,56141,107,1,0
99999,56141,12,210,0
99999,56141,8,220,0
99999,56141,11,230,0
99999,56141,31,241,0
99999,56141,23,242,0
99999,56141,20,251,0
99999,56142,103,1,0
99999,56142,17,210,0
99999,56142,6,220,0
99999,56142,9,230,0
99999,56142,21,241,0
99999,56142,13,242,0
99999,56142,19,251,0
99999,56142,8,252,0
99999,56142,5,254,0
99999,56142,5,260,0
99999,62419,21,1,0
99999,62419,9,210,0
99999,62419,5,230,0
99999,62419,5,241,0
99999,62422,4,1,0
99999,62431,13,1,0
99999,62431,6,210,0
99999,62431,3,251,0
99999,62441,17,1,0
99999,62441,3,210,0
99999,62441,5,220,0
99999,62441,6,230,0
99999,62441,3,241,0
99999,33299,4,1,0
99999,33451,7,1,0
99999,33451,3,210,0
99999,42482,65,1,0
99999,42482,53,210,0
99999,42482,3,220,0
99999,42482,5,230,0
99999,42491,70,1,0
99999,42491,27,210,0
99999,42491,9,220,0
99999,42491,9,230,0
99999,42491,15,241,0
99999,42491,7,242,0
99999,42492,27,1,0
99999,42492,26,210,0
99999,51211,61,1,0
99999,51211,34,210,0
99999,51211,11,220,0
99999,51211,8,230,0
99999,51211,3,241,0
99999,51211,5,242,0
99999,51512,42,1,0
99999,51512,12,210,0
99999,51512,9,241,0
99999,51512,12,242,0
99999,51512,7,251,0
99999,51521,9,1,0
99999,53242,4,230,0
99999,53249,8,1,0
99999,53249,3,230,0
99999,53311,9,1,0
99999,53311,8,210,0
99999,56143,48,1,0
99999,56143,34,210,0
99999,56143,6,220,0
99999,56143,3,230,0
99999,56143,3,241,0
99999,56144,6,1,0
99999,56144,4,210,0
99999,56145,8,1,0
99999,56149,84,1,0
99999,56149,48,210,0
99999,56149,15,220,0
99999,56149,6,230,0
99999,56149,5,241,0
99999,56149,7,242,0
99999,56151,176,1,0
99999,56151,106,210,0
99999,56151,26,220,0
99999,56151,12,230,0
99999,56151,16,241,0
99999,71132,3,1,0
99999,71132,3,210,0
99999,71141,4,1,0
99999,71141,3,210,0
99999,71329,3,1,0
99999,71394,24,1,0
99999,42311,5,1,0
99999,42312,40,1,0
99999,42312,24,210,0
99999,42312,7,220,0
99999,42312,3,241,0
99999,42312,4,251,0
99999,42321,95,1,0
99999,42321,56,210,0
99999,42321,22,220,0
99999,42321,13,230,0
99999,42321,4,241,0
99999,42322,92,1,0
99999,42322,46,210,0
99999,42322,10,220,0
99999,42322,11,230,0
99999,42322,21,241,0
99999,42495,7,1,0
99999,42495,6,210,0
99999,42499,37,1,0
99999,42499,28,210,0
99999,42499,8,220,0
99999,42511,3,1,0
99999,42511,3,210,0
99999,51521,5,210,0
99999,51521,3,230,0
99999,51731,635,1,0
99999,51731,323,210,0
99999,51731,107,220,0
99999,51731,100,230,0
99999,51731,75,241,0
99999,51731,22,242,0
99999,51731,7,251,0
99999,54111,33,1,0
99999,54111,17,210,0
99999,54111,8,220,0
99999,54111,5,230,0
99999,54119,10,1,0
99999,54119,5,210,0
99999,54119,3,220,0
99999,54121,444,1,0
99999,54121,187,210,0
99999,54121,59,220,0
99999,54121,40,230,0
99999,54121,38,241,0
99999,54121,21,242,0
99999,54121,18,251,0
99999,54121,22,252,0
99999,56151,7,242,0
99999,56151,7,251,0
99999,56152,36,1,0
99999,56152,27,210,0
99999,56152,3,220,0
99999,56152,3,242,0
99999,56159,11,1,0
99999,56159,7,210,0
99999,56159,3,220,0
99999,56161,189,1,0
99999,56161,55,210,0
99999,56161,29,220,0
99999,56161,20,230,0
99999,56161,31,241,0
99999,56161,21,242,0
99999,56161,20,251,0
99999,71394,9,210,0
99999,71394,3,220,0
99999,71394,5,230,0
99999,71394,5,241,0
99999,71399,9,1,0
99999,71399,5,210,0
99999,71399,3,241,0
99999,72111,31,1,0
99999,72111,18,210,0
99999,72111,4,220,0
99999,72111,3,230,0
99999,72111,5,241,0
99999,42331,11,1,0
99999,42331,6,210,0
99999,42331,4,220,0
99999,42333,82,1,0
99999,42333,39,210,0
99999,42333,19,220,0
99999,42333,17,230,0
99999,42333,5,241,0
99999,42341,35,1,0
99999,42512,224,1,0
99999,42512,101,210,0
99999,42512,37,220,0
99999,42512,28,230,0
99999,42512,11,241,0
99999,42512,11,242,0
99999,42512,13,251,0
99999,42512,11,252,0
99999,42512,8,254,0
99999,42512,4,260,0
99999,44111,10,1,0
99999,44111,4,241,0
99999,44111,4,242,0
99999,51741,8,1,0
99999,51741,8,210,0
99999,51791,120,1,0
99999,51791,66,210,0
99999,51791,26,220,0
99999,51791,16,230,0
99999,51791,10,241,0
99999,54121,31,254,0
99999,54121,28,260,0
99999,54131,4,1,0
99999,54131,3,210,0
99999,54132,5,1,0
99999,54132,3,210,0
99999,54133,582,1,0
99999,54133,322,210,0
99999,54133,76,220,0
99999,56161,6,252,0
99999,56161,6,254,0
