Zip,Naics,Establishments,Employees,Payroll
45805,62111,18,1,0
45805,62111,5,210,0
45805,62111,5,220,0
45805,62111,7,230,0
45805,62121,11,1,0
45805,62121,3,220,0
45805,62121,5,230,0
45810,52421,4,1,0
45810,54111,3,1,0
45810,54111,3,210,0
45810,62161,3,1,0
45822,54111,4,1,0
45822,54111,4,210,0
45822,54121,6,1,0
45822,54121,3,220,0
45822,54131,3,1,0
45822,54161,3,1,0
45822,54161,3,210,0
45822,54194,3,1,0
45833,23611,7,1,0
45833,23611,6,210,0
45833,23822,5,1,0
45833,23891,4,1,0
45840,44711,4,210,0
45840,44711,6,220,0
45840,44711,9,230,0
45840,44719,3,1,0
45840,44812,6,1,0
45840,44812,3,220,0
45840,44814,5,1,0
45840,44821,5,1,0
45840,62311,5,1,0
45840,62311,3,242,0
45840,62321,6,1,0
45840,62331,6,1,0
45840,62331,4,241,0
45840,62411,5,1,0
45840,62412,6,1,0
45840,62412,3,210,0
45846,72251,6,1,0
45846,81111,3,1,0
45846,81311,4,1,0
45846,81311,3,210,0
45872,72251,4,1,0
45872,72251,3,210,0
45879,72251,11,1,0
45879,72251,3,210,0
45879,72251,4,220,0
45879,81111,4,1,0
45879,81311,8,1,0
45887,81311,5,1,0
45887,81311,4,210,0
45889,81311,3,1,0
45889,81311,3,210,0
45895,52392,4,1,0
45895,52392,4,210,0
45895,52421,13,1,0
45895,52421,8,210,0
45895,52421,4,220,0
45895,53111,5,1,0
45895,53111,5,210,0
45805,62131,5,1,0
45805,62132,6,1,0
45805,62149,3,1,0
45805,62151,3,1,0
45805,62161,4,1,0
45805,62311,3,1,0
45805,62412,7,1,0
45805,62412,3,241,0
45805,62422,3,1,0
45805,62441,4,1,0
45810,72231,5,1,0
45810,72231,3,241,0
45810,72251,10,1,0
45810,72251,3,230,0
45810,72251,3,241,0
45810,81311,8,1,0
45810,81311,6,210,0
45822,56173,5,1,0
45822,56173,4,210,0
45822,62111,9,1,0
45822,62111,6,210,0
45833,33711,3,1,0
45833,44111,3,1,0
45833,44131,4,1,0
45840,45111,6,1,0
45840,45231,15,1,0
45840,45231,4,210,0
45840,45231,6,220,0
45840,45322,5,1,0
45840,45331,6,1,0
45840,45331,3,230,0
45840,62419,8,1,0
45840,62419,4,241,0
45840,62422,7,1,0
45840,62422,3,220,0
45840,62431,4,1,0
45840,62441,9,1,0
45840,62441,3,230,0
45840,62441,5,241,0
45850,23891,5,1,0
45850,23891,3,210,0
45850,72251,3,1,0
45872,81311,5,1,0
45872,81311,4,210,0
45873,81311,4,1,0
45873,81311,4,210,0
45879,81311,4,210,0
45880,81311,4,1,0
45880,81311,4,210,0
45891,23611,4,1,0
45891,23611,3,210,0
45891,23816,3,1,0
45891,23822,4,1,0
45895,53121,3,1,0
45895,53121,3,210,0
45895,54111,6,1,0
45895,54111,4,210,0
45895,54121,7,1,0
45895,54121,4,210,0
45895,54151,4,1,0
45895,54194,3,1,0
45805,71394,5,1,0
45805,71394,3,220,0
45805,72241,4,1,0
45805,72241,3,210,0
45813,23822,3,1,0
45813,23822,3,210,0
45813,44711,3,1,0
45822,62121,5,1,0
45822,62121,3,230,0
45822,62131,3,1,0
45822,62132,4,1,0
45822,62134,3,1,0
45822,62161,3,1,0
45822,62412,3,1,0
45822,62419,3,1,0
45833,44711,4,1,0
45833,44711,3,230,0
45833,45231,3,1,0
45833,45231,3,220,0
45833,45311,3,1,0
45833,48412,3,1,0
45840,45391,4,1,0
45840,45399,9,1,0
45840,45399,4,210,0
45840,45399,5,220,0
45840,45411,7,1,0
45840,45411,6,210,0
45840,45439,3,1,0
45840,71151,3,1,0
45840,71391,4,1,0
45840,71394,7,1,0
45840,71394,5,210,0
45840,71399,3,1,0
45840,72111,16,1,0
45850,81311,4,1,0
45850,81311,3,210,0
45874,81311,4,1,0
45874,81311,3,210,0
45875,23611,10,1,0
45875,23611,8,210,0
45882,48422,3,1,0
45891,44111,3,1,0
45891,44131,4,1,0
45891,44221,3,1,0
45891,44221,3,210,0
45895,56172,3,1,0
45895,56173,6,1,0
45895,56173,5,210,0
45895,56199,3,1,0
45895,62111,5,1,0
45895,62111,4,210,0
45805,72251,67,1,0
45805,72251,10,210,0
45805,72251,5,220,0
45805,72251,17,230,0
45805,72251,27,241,0
45805,72251,7,242,0
45813,72251,6,1,0
45813,72251,3,210,0
45813,72251,3,220,0
45814,56173,3,1,0
45814,56173,3,210,0
45822,71391,3,1,0
45822,72111,3,1,0
45822,72241,4,1,0
45822,72251,48,1,0
45822,72251,13,210,0
45822,72251,4,220,0
45822,72251,16,230,0
45822,72251,11,241,0
45822,72251,4,242,0
45833,52211,4,1,0
45833,52211,3,220,0
45833,52421,3,1,0
45833,54121,6,1,0
45833,54121,4,210,0
45833,54194,3,1,0
45840,48412,14,1,0
45840,48412,5,210,0
45840,48412,3,230,0
45840,48422,4,1,0
45840,48422,4,210,0
45840,48851,11,1,0
45840,48851,4,210,0
45840,48851,5,220,0
45840,49221,3,1,0
45840,72111,3,210,0
45840,72111,5,230,0
45840,72111,4,241,0
45840,72231,7,1,0
45840,72231,4,210,0
45840,72233,3,1,0
45840,72241,8,1,0
45840,72241,6,220,0
45853,52421,3,1,0
45853,52421,3,210,0
45853,54121,3,1,0
45853,72251,7,1,0
45853,72251,3,241,0
45875,23711,4,1,0
45875,23711,3,210,0
45875,23811,3,1,0
45875,23811,3,210,0
45875,23821,5,1,0
45875,23822,3,1,0
45882,54121,3,1,0
45882,54121,3,210,0
45882,72251,3,1,0
45882,81311,4,1,0
45882,81311,3,210,0
45891,44511,4,1,0
45891,44512,3,1,0
45891,44512,3,210,0
45891,44619,5,1,0
45891,44619,4,210,0
45891,44711,10,1,0
45891,44711,3,210,0
45891,44711,4,220,0
45891,44711,3,230,0
45895,62121,3,1,0
45895,62131,6,1,0
45895,62131,3,210,0
45895,62134,3,1,0
45895,62142,3,1,0
45895,62161,4,1,0
45895,62161,3,210,0
45895,71211,3,1,0
45805,81111,4,1,0
45805,81111,3,210,0
45805,81112,3,1,0
45805,81119,3,1,0
45805,81211,12,1,0
45805,81211,7,210,0
45805,81211,3,220,0
45805,81221,3,1,0
45805,81232,3,1,0
45805,81291,3,1,0
45814,81311,3,1,0
45817,23891,3,1,0
45822,81111,7,1,0
45822,81111,5,210,0
45822,81112,6,1,0
45822,81112,5,210,0
45822,81119,6,1,0
45822,81119,4,210,0
45833,56173,3,1,0
45833,56173,3,210,0
45833,56199,3,1,0
45833,62134,3,1,0
45833,62161,3,1,0
45840,49311,18,1,0
45840,49311,6,210,0
45840,49311,3,241,0
45840,49311,3,252,0
45840,51731,10,1,0
45840,51731,5,220,0
45840,72251,136,1,0
45840,72251,28,210,0
45840,72251,14,220,0
45840,72251,35,230,0
45840,72251,43,241,0
45840,72251,13,242,0
45840,72251,3,251,0
45856,44711,3,1,0
45856,45411,3,1,0
45856,48412,5,1,0
45875,23899,4,1,0
45875,23899,4,210,0
45875,33271,3,1,0
45883,23611,3,1,0
45883,23811,3,1,0
45883,23822,3,1,0
45883,44419,3,1,0
45891,45231,6,1,0
45891,45411,3,1,0
45891,45411,3,210,0
45891,48412,5,1,0
45891,48422,4,1,0
45895,71394,3,1,0
45895,72111,5,1,0
45895,72251,33,1,0
45895,72251,6,210,0
45895,72251,6,220,0
45895,72251,5,230,0
45895,72251,14,241,0
45805,81311,17,1,0
45805,81311,10,210,0
45805,81311,5,220,0
45806,23611,3,1,0
45806,23822,3,1,0
45817,52211,4,1,0
45817,52421,6,1,0
45817,52421,6,210,0
45817,54121,3,1,0
45822,81131,7,1,0
45822,81131,4,210,0
45822,81211,9,1,0
45822,81211,8,210,0
45822,81311,16,1,0
45822,81311,10,210,0
45822,81311,4,220,0
45833,71394,3,1,0
45833,72251,15,1,0
45833,72251,3,210,0
45833,72251,8,230,0
45833,72251,4,241,0
45833,81111,3,1,0
45840,51791,3,1,0
45840,51791,3,210,0
45840,52211,21,1,0
45840,52211,4,210,0
45840,52211,10,220,0
45840,52211,5,230,0
45840,52213,6,1,0
45840,52213,3,220,0
45840,81111,16,1,0
45840,81111,8,210,0
45840,81111,8,220,0
45840,81112,8,1,0
45840,81112,5,210,0
45840,81119,7,1,0
45840,81119,3,230,0
45840,81121,3,1,0
45840,81131,7,1,0
45840,81131,5,210,0
45856,56173,3,1,0
45856,72251,3,1,0
45856,81111,3,1,0
45856,81111,3,210,0
45875,44131,3,1,0
45875,44711,3,1,0
45875,45231,3,1,0
45875,48411,4,1,0
45875,48411,3,210,0
45875,48412,3,1,0
45883,72251,6,1,0
45883,72251,3,220,0
45891,52211,5,1,0
45891,52212,3,1,0
45891,52392,4,1,0
45891,52421,7,1,0
45891,52421,3,210,0
45895,81111,6,1,0
45895,81111,5,210,0
45895,81112,4,1,0
45895,81131,3,1,0
45895,81211,3,1,0
45806,44711,4,1,0
45806,44711,3,230,0
45806,45231,4,1,0
45817,62111,3,1,0
45817,62441,3,1,0
45822,81341,8,1,0
45822,81341,3,210,0
45822,81341,3,230,0
45827,23891,4,1,0
45827,23891,4,210,0
45833,81131,4,1,0
45833,81211,3,1,0
45833,81311,8,1,0
45833,81311,5,210,0
45833,81393,3,1,0
45840,52229,8,1,0
45840,52229,7,210,0
45840,52392,18,1,0
45840,52392,18,210,0
45840,52393,3,1,0
45840,52421,34,1,0
45840,52421,21,210,0
45840,52421,12,220,0
45840,81211,29,1,0
45840,81211,15,210,0
45840,81211,7,220,0
45840,81211,7,230,0
45840,81219,3,1,0
45840,81221,3,1,0
45840,81232,3,1,0
45840,81291,6,1,0
45840,81291,4,210,0
45856,81311,4,1,0
45856,81341,4,1,0
45856,81341,3,220,0
45858,23891,4,1,0
45858,81311,3,1,0
45858,81311,3,210,0
45875,48422,4,1,0
45875,48422,3,210,0
45875,48851,5,1,0
45875,48851,4,210,0
45875,52211,5,1,0
45875,52211,3,220,0
45875,52392,3,1,0
45883,81131,3,1,0
45885,23611,4,1,0
45885,23611,3,210,0
45891,53111,3,1,0
45891,53111,3,210,0
45891,54111,8,1,0
45891,54111,6,210,0
45891,54121,10,1,0
45891,54121,6,210,0
45895,81311,11,1,0
45895,81311,4,210,0
45895,81311,4,220,0
45895,81311,3,230,0
45895,81341,4,1,0
45895,81391,4,1,0
45895,81391,4,210,0
45806,52421,3,1,0
45806,52421,3,210,0
45806,53131,3,1,0
45806,53131,3,210,0
45806,56173,7,1,0
45806,56173,6,210,0
45817,72251,14,1,0
45817,72251,4,230,0
45817,72251,5,241,0
45817,81111,3,1,0
45817,81211,3,1,0
45828,23611,4,1,0
45828,23811,3,1,0
45828,23821,3,1,0
45828,23821,3,230,0
45828,23822,6,1,0
45828,23822,3,220,0
45836,72251,3,1,0
45840,22121,3,1,0
45840,53111,9,1,0
45840,53111,5,210,0
45840,53111,4,220,0
45840,53112,4,1,0
45840,53112,3,210,0
45840,53121,12,1,0
45840,53121,9,210,0
45840,53121,3,220,0
45840,53131,7,1,0
45840,53131,3,210,0
45840,53131,3,220,0
45840,81311,42,1,0
45840,81311,18,210,0
45840,81311,12,220,0
45840,81311,7,230,0
45840,81311,4,241,0
45840,81321,6,1,0
45840,81321,3,210,0
45840,81331,5,1,0
45860,23611,3,1,0
45860,23814,3,1,0
45860,23814,3,210,0
45860,48412,4,1,0
45860,48422,4,1,0
45875,52421,7,1,0
45875,52421,3,210,0
45875,52421,3,230,0
45875,53111,5,1,0
45875,53111,5,210,0
45875,54111,7,1,0
45885,33271,3,1,0
45885,33271,3,220,0
45885,33351,3,1,0
45885,42332,3,1,0
45891,56173,4,1,0
45891,56173,3,210,0
45891,56211,4,1,0
45891,62111,10,1,0
45891,62111,6,210,0
45891,62121,8,1,0
45891,62121,6,220,0
45898,72251,3,1,0
44721,23611,10,210,0
44721,23811,6,1,0
44721,23811,5,210,0
44721,23821,5,1,0
44721,23821,4,210,0
44721,23822,5,1,0
44721,23822,4,220,0
44721,23899,3,1,0
44805,45111,3,1,0
44805,45231,7,1,0
44805,45231,4,220,0
44805,45331,3,1,0
44805,45391,3,1,0
44805,45391,3,220,0
44805,45399,9,1,0
44805,45399,5,210,0
44805,45399,3,220,0
44240,53111,13,1,0
44240,53111,8,210,0
44240,53111,3,230,0
44240,53121,7,1,0
44240,53121,7,210,0
44240,53131,10,1,0
44240,53131,6,210,0
