Zip,Naics,Establishments,Employees,Payroll
97009,23611,24,1,0
97009,23611,19,210,0
97009,23622,5,1,0
97009,23622,4,210,0
97009,23811,4,1,0
97009,23811,3,210,0
97009,23821,7,1,0
97009,23821,3,210,0
97009,23821,4,220,0
97009,23822,9,1,0
97009,23822,6,210,0
97009,23822,3,220,0
97009,23832,5,1,0
97009,23833,3,1,0
97009,23891,15,1,0
97009,23891,9,210,0
97009,23891,4,230,0
97009,23899,4,1,0
97009,33271,6,1,0
97009,33271,6,210,0
97009,44422,7,1,0
97009,44422,4,210,0
97009,44711,3,1,0
97009,48422,5,1,0
97009,48422,5,210,0
97009,53112,3,1,0
97009,53112,3,210,0
97009,53121,6,1,0
97009,53121,6,210,0
97009,54133,3,1,0
97009,54151,4,1,0
97009,54151,4,210,0
97009,56172,3,1,0
97009,56172,3,210,0
97009,56173,10,1,0
97009,56173,7,210,0
97009,62441,3,1,0
97009,72251,12,1,0
97009,72251,4,210,0
97009,72251,5,230,0
97009,81111,5,1,0
97009,81111,3,210,0
97009,81311,9,1,0
97009,81311,4,210,0
97009,81311,3,220,0
97013,23611,27,1,0
97013,23611,21,210,0
97013,23611,4,220,0
97013,23811,4,1,0
97013,23816,4,1,0
97013,23817,3,1,0
97013,23821,6,1,0
97013,23821,5,210,0
97013,23822,6,1,0
97013,23822,3,220,0
97013,23831,3,1,0
97013,23832,8,1,0
97013,23832,7,210,0
97013,23835,9,1,0
97013,23835,5,210,0
97013,23891,6,1,0
97013,23891,4,210,0
97013,23899,4,1,0
97013,23899,4,210,0
97013,33271,5,1,0
97013,33711,4,1,0
97013,33711,3,210,0
97013,42331,4,1,0
97013,42331,3,210,0
97013,42351,3,1,0
97013,42383,3,1,0
97013,44131,4,1,0
97013,44131,3,220,0
97013,44132,3,1,0
97013,44211,5,1,0
97013,44211,4,210,0
97013,44419,3,1,0
97013,44511,3,1,0
97013,44611,3,1,0
97013,44711,5,1,0
97013,45399,3,1,0
97013,45399,3,210,0
