Zip,Naics,Establishments,Employees,Payroll
02816,236115,6,1,0
02816,236115,5,210,0
02816,236118,14,1,0
02816,236118,14,210,0
02816,236220,3,1,0
02816,238140,5,1,0
02816,238140,5,210,0
02816,238150,3,1,0
02816,238210,10,1,0
02816,238210,7,210,0
02816,238220,24,1,0
02816,238220,15,210,0
02816,238220,7,220,0
02816,238310,6,1,0
02816,238310,5,210,0
02816,238340,3,1,0
02816,238350,11,1,0
02816,238350,9,210,0
02816,238910,5,1,0
02816,238910,3,210,0
02816,238990,6,1,0
02816,238990,6,210,0
02816,423830,3,1,0
02816,425120,3,1,0
02816,425120,3,210,0
02816,441120,4,1,0
02816,441120,3,210,0
02816,441310,8,1,0
02816,441310,3,210,0
02816,441310,3,230,0
02816,444190,4,1,0
02816,444220,7,1,0
02816,444220,5,210,0
02816,445110,3,1,0
02816,445310,6,1,0
02816,446110,5,1,0
02816,446110,3,241,0
02816,447110,11,1,0
02816,447110,4,210,0
02816,447110,3,220,0
02816,447110,4,230,0
02816,452319,5,1,0
02816,452319,3,220,0
02816,453110,4,1,0
02816,453110,4,210,0
02816,453998,4,1,0
02816,454310,5,1,0
02816,517312,3,1,0
02816,522130,4,1,0
02816,522110,5,1,0
02816,522110,5,220,0
02816,524210,4,1,0
02816,524210,4,210,0
02816,531110,4,1,0
02816,531110,3,210,0
02816,531210,4,1,0
02816,531210,4,210,0
02816,541110,4,1,0
02816,541213,3,210,0
02816,541213,3,1,0
02816,541219,4,1,0
02816,541219,3,210,0
02816,541370,3,1,0
02816,541512,3,1,0
02816,541512,3,210,0
02816,561720,5,1,0
02816,561730,24,1,0
02816,561730,20,210,0
02816,611620,3,1,0
02816,621111,5,1,0
02816,621111,3,210,0
02816,621210,7,1,0
02816,621210,3,220,0
02816,621340,3,1,0
02816,623110,3,1,0
02816,623210,4,1,0
02816,624410,6,1,0
02816,713940,4,1,0
02816,722410,5,1,0
02816,722410,3,210,0
02816,722511,22,1,0
02816,722511,7,210,0
02816,722511,6,230,0
02816,722511,4,241,0
02816,722513,14,1,0
02816,722513,4,210,0
02816,722513,5,220,0
02816,722513,5,241,0
02816,722515,8,1,0
02816,722515,3,210,0
02816,722515,3,241,0
02816,811111,14,1,0
02816,811111,8,210,0
02816,811111,4,220,0
02816,811113,3,1,0
02816,811113,3,210,0
02816,811121,4,1,0
02816,811121,3,210,0
02816,812112,22,1,0
02816,812112,14,210,0
02816,812112,5,220,0
02816,812112,3,230,0
02816,812910,3,1,0
02816,813110,6,1,0
02816,813110,4,210,0
02816,813410,3,1,0
02816,813410,3,210,0
02817,236118,7,1,0
02817,236118,6,210,0
02817,238220,4,1,0
02817,238220,3,210,0
02817,238350,3,1,0
02817,238350,3,210,0
02817,238910,3,1,0
02817,445310,3,1,0
02817,524210,3,1,0
02817,524210,3,210,0
02817,541940,3,1,0
02817,561730,6,1,0
02817,561730,5,210,0
02817,713940,3,1,0
02817,721110,5,1,0
02817,722511,4,1,0
02817,722515,3,1,0
02818,236115,3,1,0
02818,236115,3,210,0
02818,236118,11,1,0
02818,236118,11,210,0
02818,238210,5,1,0
02818,238210,3,210,0
02818,238220,7,1,0
02818,238220,5,210,0
02822,236115,4,1,0
02822,236115,4,210,0
02822,236118,6,1,0
02822,236118,5,210,0
02822,238210,4,1,0
02822,238220,6,1,0
02822,238210,3,210,0
02822,238220,5,210,0
02822,238320,3,1,0
02822,238320,3,210,0
02822,238350,5,1,0
02822,238350,5,210,0
02822,444220,4,1,0
02822,444220,3,210,0
02822,445310,3,1,0
02822,524210,3,1,0
02822,524210,3,210,0
02822,541330,3,1,0
02822,561730,13,1,0
02822,561730,11,210,0
02822,562111,3,1,0
02822,624310,3,1,0
02822,722511,5,1,0
02822,722511,4,241,0
02822,722513,3,1,0
02822,722515,6,1,0
02822,722515,3,210,0
02822,812910,3,1,0
02818,423430,3,1,0
02818,424460,3,1,0
02818,424460,3,220,0
02818,425120,4,1,0
02818,425120,4,210,0
02818,444190,3,1,0
02818,445310,3,1,0
02818,445310,3,230,0
02818,446110,3,241,0
02818,446110,4,1,0
02818,447110,4,1,0
02818,447110,3,230,0
02818,454110,3,1,0
02818,454310,3,1,0
02818,454390,4,1,0
02818,454390,3,210,0
02818,511210,3,1,0
02818,522110,6,1,0
02818,522110,3,220,0
02818,522130,3,1,0
02818,522130,3,220,0
02818,523120,3,1,0
02818,523120,3,210,0
02818,523920,4,1,0
02818,523920,4,210,0
02818,523930,3,1,0
02818,523930,3,210,0
02818,524210,13,1,0
02818,524210,8,210,0
02818,531120,4,1,0
02818,531120,4,210,0
02818,531130,3,1,0
02818,531130,3,210,0
02818,531210,14,1,0
02818,531210,11,210,0
02818,531210,3,220,0
02818,531311,7,1,0
02818,531311,4,210,0
02818,541110,12,1,0
02818,541110,10,210,0
02818,541211,6,1,0
02818,541211,4,210,0
02818,541214,3,1,0
02818,541219,3,1,0
02818,541330,8,1,0
02818,541330,7,210,0
02818,541410,3,1,0
02818,541410,3,210,0
02818,541430,3,1,0
02818,541430,3,210,0
02818,541511,7,1,0
02818,541511,7,210,0
02818,541512,10,1,0
02818,541512,6,210,0
02818,541512,3,230,0
02818,541611,21,1,0
02818,541611,20,210,0
02818,541613,5,1,0
02818,541613,4,210,0
02818,541690,5,1,0
02818,541690,5,210,0
02818,541715,5,1,0
02818,541715,4,210,0
02818,541810,4,1,0
02818,541820,3,1,0
02818,541820,3,210,0
02818,541940,4,1,0
02818,541940,3,220,0
02818,551114,3,1,0
02818,561110,4,1,0
02818,561110,3,210,0
02818,561312,4,1,0
02818,561312,3,210,0
02818,561730,12,1,0
02818,561730,11,210,0
02818,611430,3,1,0
02818,611430,3,210,0
02818,611620,3,1,0
02818,621111,31,1,0
02818,621111,13,210,0
02818,621111,7,220,0
02818,621111,4,230,0
02818,621111,5,241,0
02818,621210,7,220,0
02818,621210,17,1,0
02818,621210,4,210,0
02818,621210,5,230,0
02818,621310,4,1,0
02818,621310,4,210,0
02818,621330,6,1,0
02818,621330,5,210,0
02818,621340,5,1,0
02818,621340,3,220,0
02818,621391,4,1,0
02818,621391,4,210,0
02818,621399,6,1,0
02818,621399,5,210,0
02818,621511,3,1,0
02818,623210,5,1,0
02818,623210,4,230,0
02818,623312,4,1,0
02818,623312,3,242,0
02818,624410,12,1,0
02818,624410,4,220,0
02818,624410,4,230,0
02818,624410,3,241,0
02818,713910,3,1,0
02818,713930,3,1,0
02818,713940,7,1,0
02818,713940,4,210,0
02818,722310,6,1,0
02818,722410,6,1,0
02818,722410,3,230,0
02818,722511,39,1,0
02818,722511,7,210,0
02818,722511,5,220,0
02818,722511,7,230,0
02818,722511,16,241,0
02818,722513,13,1,0
02818,722513,3,210,0
02818,722513,4,230,0
02818,722513,4,241,0
02818,722515,13,1,0
02818,722515,6,210,0
02818,722515,5,230,0
02818,811111,6,1,0
02818,811111,4,210,0
02818,812112,16,1,0
02818,812112,9,210,0
02818,812112,6,220,0
02818,812113,3,1,0
02818,812199,5,1,0
02818,812199,3,210,0
02818,812320,4,1,0
02818,812910,3,1,0
02818,812990,4,1,0
02818,812990,4,210,0
02818,813110,10,1,0
02818,813110,4,220,0
02818,813110,3,230,0
02825,236118,3,1,0
02825,236118,3,210,0
02825,238110,3,1,0
02825,238210,5,1,0
02825,238210,5,210,0
02825,238220,3,1,0
02825,447110,3,1,0
02825,561730,5,1,0
02825,561730,5,210,0
02825,722511,3,1,0
02825,813110,4,1,0
02825,813110,3,210,0
02857,236118,11,1,0
02857,236118,9,210,0
02857,238210,9,1,0
02857,238210,6,210,0
02857,238220,9,1,0
02857,238220,9,210,0
02857,238310,3,1,0
02857,238350,4,1,0
02857,238350,3,210,0
02857,238910,7,1,0
02857,238910,7,210,0
02857,447110,4,1,0
02857,484220,5,1,0
02857,484220,5,210,0
02857,524210,4,1,0
02857,524210,4,210,0
02857,561730,10,1,0
02857,561730,9,210,0
02857,624120,3,210,0
02857,624120,3,1,0
02857,722310,5,1,0
02857,722511,6,1,0
02857,722511,4,230,0
02857,722513,7,1,0
02857,722513,4,210,0
02857,813110,7,1,0
02857,813110,5,210,0
02859,236118,3,1,0
02859,238210,7,1,0
02859,238210,7,210,0
02859,238220,4,1,0
02859,238220,3,210,0
02859,238910,3,1,0
02859,561730,5,1,0
02859,561730,5,210,0
02859,623110,5,1,0
02859,722410,3,1,0
02859,722511,3,1,0
02859,722513,3,1,0
02859,811310,3,1,0
02860,236118,23,1,0
02860,236118,21,210,0
02860,237110,3,1,0
02860,237110,3,210,0
02860,238160,4,1,0
02860,238210,5,210,0
02860,238210,9,1,0
02860,238220,11,1,0
02860,238220,6,210,0
02860,238220,3,220,0
02860,238310,10,1,0
02860,238310,7,210,0
02860,238320,8,1,0
02860,238320,6,210,0
02860,238330,6,1,0
02860,238330,6,210,0
02860,238350,5,1,0
02860,238350,4,210,0
02860,311811,3,1,0
02860,312120,4,1,0
02860,313220,3,1,0
02860,323111,4,1,0
02860,323111,4,210,0
02860,323113,4,1,0
02860,327212,3,1,0
02860,332322,3,1,0
02860,332710,3,1,0
02860,339910,6,1,0
02860,339910,3,241,0
02860,423120,4,1,0
02860,423830,4,1,0
02860,423830,3,220,0
02860,423940,4,1,0
02860,424490,4,1,0
02860,441120,6,1,0
02860,441120,5,210,0
02860,441310,4,1,0
02860,442110,3,1,0
02860,442210,3,1,0
02860,444190,5,1,0
02860,444190,4,220,0
02860,445110,9,1,0
02860,445110,5,210,0
02860,445120,6,1,0
02860,445120,6,210,0
02860,445310,16,1,0
02860,445310,15,210,0
02860,446110,6,1,0
02860,446110,3,241,0
02860,447110,8,1,0
02860,447110,4,210,0
02860,447110,4,220,0
02860,448120,4,1,0
02860,452319,5,1,0
02860,453310,4,1,0
02860,454110,3,1,0
02860,454310,3,1,0
02860,454390,3,1,0
02860,484110,9,1,0
02860,484110,7,210,0
02860,484121,4,1,0
02860,484122,5,1,0
02860,484122,3,210,0
02860,484210,4,1,0
02860,484220,4,1,0
02860,484220,4,210,0
02860,485991,9,1,0
02860,485991,7,210,0
02860,488410,3,1,0
02860,492110,4,1,0
02860,517311,5,1,0
02860,517311,4,210,0
02860,522110,6,1,0
02860,522110,5,220,0
02860,522130,6,1,0
02860,522130,5,220,0
02860,524210,10,1,0
02860,524210,7,210,0
02860,531110,15,1,0
02860,531110,12,210,0
02860,531130,4,1,0
02860,531130,3,210,0
02860,531210,7,1,0
02860,531210,6,210,0
02860,531311,6,1,0
02860,531311,5,210,0
02860,531312,3,1,0
02860,531320,3,1,0
02860,531320,3,210,0
02860,532210,4,1,0
02860,532210,3,220,0
02860,541110,25,1,0
02860,541110,19,210,0
02860,541110,4,220,0
02860,541211,4,1,0
02860,541211,3,210,0
02860,541213,5,1,0
02860,541213,3,210,0
02860,541219,4,1,0
02860,541310,3,1,0
02860,541330,4,1,0
02860,541430,5,1,0
02860,541430,3,210,0
02860,541511,5,1,0
02860,541511,3,210,0
02860,541611,5,1,0
02860,541690,3,1,0
02860,541611,4,210,0
02860,541690,3,210,0
02860,541810,4,1,0
02860,551114,5,1,0
02860,561110,5,1,0
02860,561320,3,1,0
02860,561720,25,1,0
02860,561720,12,210,0
02860,561720,4,230,0
02860,561720,5,241,0
02860,561730,6,1,0
02860,561730,5,210,0
02860,561790,3,1,0
02860,611110,5,1,0
02860,611110,4,242,0
02860,611610,7,1,0
02860,611610,6,210,0
02860,611620,3,1,0
02860,621111,27,1,0
02860,621111,14,210,0
02860,621111,7,220,0
02860,621111,6,241,0
02860,621210,3,1,0
02860,621210,3,220,0
02860,621310,4,1,0
02860,621310,4,210,0
02860,621330,3,1,0
02860,621330,3,210,0
02860,621340,3,241,0
02860,621340,7,1,0
02860,621391,7,1,0
02860,621391,5,210,0
02860,621399,3,1,0
02860,621420,6,1,0
02860,621498,5,1,0
02860,621511,3,1,0
02860,621511,3,210,0
02860,621610,6,1,0
02860,623210,6,1,0
02860,623220,7,1,0
02860,623220,5,230,0
02860,624110,5,1,0
02860,624110,3,241,0
02860,624120,6,1,0
02860,624120,3,210,0
02860,624190,4,1,0
02860,624190,3,210,0
02860,624410,7,1,0
02860,624410,4,220,0
02860,711110,3,1,0
02860,711510,3,1,0
02860,711510,3,210,0
02860,713940,5,1,0
02860,722310,3,1,0
02860,722410,11,1,0
02860,722410,5,210,0
02860,722410,3,220,0
02860,722511,29,1,0
02860,722511,14,210,0
02860,722511,5,220,0
02860,722511,4,230,0
02860,722511,5,241,0
02860,722513,28,1,0
