Zip,Naics,Establishments,Employees,Payroll
57445,561,3,1,0
57445,561,3,210,0
57445,813,5,1,0
57445,813,3,210,0
57450,624,3,1,0
57501,524,26,1,0
57501,524,19,210,0
57501,524,4,220,0
57501,531,17,1,0
57501,531,16,210,0
57533,441,4,1,0
57533,441,3,210,0
57533,444,5,1,0
57533,444,3,220,0
57533,447,4,1,0
57533,452,3,1,0
57533,522,4,1,0
57533,541,7,1,0
57533,541,5,210,0
57533,621,5,1,0
57533,621,3,220,0
57533,713,5,1,0
57533,713,4,210,0
57601,238,13,1,0
57601,238,12,210,0
57601,424,3,1,0
57601,441,5,1,0
57601,444,4,1,0
57601,444,3,210,0
57701,522,13,210,0
57701,522,6,220,0
57701,522,13,230,0
57701,522,10,241,0
57701,721,59,1,0
57701,721,24,210,0
57701,721,4,220,0
57701,721,12,230,0
57701,721,13,241,0
57701,721,4,242,0
57702,446,5,1,0
57702,446,3,210,0
57702,447,12,1,0
57702,447,5,210,0
57702,447,3,220,0
57702,447,3,230,0
57702,451,10,1,0
57702,451,6,210,0
57702,721,19,1,0
57702,721,15,210,0
57702,722,53,1,0
57702,722,14,210,0
57702,722,9,220,0
57702,722,11,230,0
57702,722,13,241,0
57702,722,6,242,0
57703,813,10,1,0
57703,813,6,210,0
57706,541,8,1,0
57706,541,7,210,0
57706,561,3,1,0
57706,561,3,210,0
57706,611,3,1,0
57706,611,3,210,0
57718,488,4,1,0
57718,488,4,210,0
57718,531,7,1,0
57718,531,7,210,0
57718,532,3,1,0
57718,532,3,210,0
57718,541,11,1,0
57718,541,10,210,0
57732,522,4,1,0
57732,522,3,220,0
57732,524,4,1,0
57732,524,3,210,0
57732,531,13,1,0
57732,531,13,210,0
57751,447,3,1,0
57751,448,3,1,0
57751,448,3,210,0
57751,453,8,1,0
57751,453,6,210,0
57751,541,3,1,0
57751,541,3,210,0
57751,621,3,1,0
57751,712,3,1,0
57751,713,4,1,0
57783,811,32,1,0
57783,811,25,210,0
57783,811,5,220,0
57001,484,6,1,0
57001,484,6,210,0
57001,541,3,1,0
57001,541,3,210,0
57005,813,14,1,0
57005,813,9,210,0
57005,813,4,230,0
57006,236,25,1,0
57006,236,17,210,0
57006,236,6,220,0
57006,721,10,1,0
57006,721,4,210,0
57006,721,3,241,0
57022,524,3,1,0
57022,531,3,1,0
57022,531,3,210,0
57022,541,4,1,0
57022,561,6,1,0
57022,561,6,210,0
57022,621,7,1,0
57022,621,3,210,0
57022,624,3,1,0
57022,713,5,1,0
57032,541,13,1,0
57032,541,11,210,0
57032,561,20,1,0
57032,561,12,210,0
57032,561,3,220,0
57032,561,4,230,0
57042,447,5,1,0
57042,447,3,230,0
57042,453,3,1,0
57042,484,6,1,0
57042,484,5,210,0
57042,517,3,1,0
57042,522,8,1,0
57042,522,4,220,0
57042,523,5,1,0
57042,523,3,210,0
57049,621,47,1,0
57049,621,28,210,0
57049,621,5,220,0
57049,621,5,230,0
57049,621,7,241,0
57064,524,6,210,0
57064,531,14,1,0
57064,531,12,210,0
57064,532,4,1,0
57064,541,7,1,0
57064,541,4,210,0
57072,238,5,1,0
57072,238,4,210,0
57075,236,3,1,0
57075,484,3,1,0
57075,484,3,210,0
57075,541,3,1,0
57075,541,3,210,0
57075,722,3,1,0
57078,713,14,1,0
57078,713,6,210,0
57078,713,4,220,0
57078,713,3,230,0
57078,721,12,1,0
57078,721,4,210,0
57078,721,4,241,0
57078,722,59,1,0
57078,722,12,210,0
57078,722,11,220,0
57103,551,5,1,0
57103,551,3,220,0
57103,561,43,1,0
57103,561,32,210,0
57103,561,4,220,0
57104,424,39,1,0
57104,424,17,210,0
57104,424,7,220,0
57104,424,3,230,0
57104,424,7,242,0
57105,311,3,1,0
57105,323,4,1,0
57105,339,3,1,0
57105,423,22,1,0
57105,423,13,210,0
57105,423,3,220,0
57105,423,5,230,0
57105,622,5,1,0
57105,623,17,1,0
57106,722,16,242,0
57108,321,3,1,0
57108,332,3,1,0
57108,332,3,210,0
57108,621,148,1,0
57108,621,80,210,0
57108,621,24,220,0
57108,621,18,230,0
57108,621,16,241,0
57108,621,6,242,0
