Zip,Naics,Establishments,Employees,Payroll
37148,00,339,1,459868
37148,00,162,210,0
37148,00,61,220,0
37148,00,42,230,0
37148,00,38,241,0
37148,00,19,242,0
37148,00,9,251,0
37148,00,5,252,0
37148,23,47,1,0
37148,23,30,210,0
37148,23,7,220,0
37148,23,5,230,0
37148,23,3,241,0
37160,31,42,1,0
37160,31,15,210,0
37160,31,5,220,0
37160,31,6,230,0
37160,31,4,241,0
37160,31,4,242,0
37160,31,5,251,0
37166,31,12,1,0
37166,31,3,210,0
37166,31,3,252,0
37166,42,3,1,0
37166,44,53,1,0
37166,44,23,210,0
37166,44,15,220,0
37166,44,12,230,0
37167,48,56,1,0
37167,48,30,210,0
37167,48,8,220,0
37167,48,4,230,0
37167,48,8,241,0
37167,48,3,252,0
37172,71,6,1,0
37172,71,3,210,0
37172,72,54,1,0
37172,72,13,210,0
37172,72,9,220,0
37174,61,10,1,0
37174,61,6,210,0
37174,62,90,1,0
37174,62,42,210,0
37174,62,15,220,0
37174,62,15,230,0
37174,62,16,241,0
37184,48,4,1,0
37184,54,9,1,0
37184,54,6,210,0
37184,56,3,1,0
37184,72,5,1,0
37184,72,4,220,0
37184,81,15,1,0
37184,81,12,210,0
37184,81,3,220,0
37188,51,8,1,0
37188,51,6,210,0
37188,52,10,210,0
37188,52,24,1,0
37188,52,10,220,0
37188,52,3,230,0
37201,54,103,1,0
37201,54,59,210,0
37201,54,12,220,0
37201,54,11,230,0
37201,54,12,241,0
37201,54,4,242,0
37201,54,4,252,0
37010,00,45,1,8008
37010,00,32,210,0
37010,00,9,220,0
37010,00,3,230,0
37010,23,14,1,0
37010,23,8,210,0
37010,23,3,220,0
37015,81,29,1,0
37015,81,22,210,0
37015,81,7,220,0
37027,54,58,230,0
37027,54,27,241,0
37027,54,11,242,0
37027,54,4,251,0
37027,54,3,252,0
37030,72,15,1,0
37030,72,6,210,0
37030,72,4,220,0
37030,72,3,241,0
37030,81,16,1,0
37030,81,13,210,0
37040,00,1465,1,1148324
37040,00,664,210,0
37040,00,311,220,0
37040,00,225,230,0
37040,00,158,241,0
37040,00,72,242,0
37040,00,24,251,0
37040,00,5,252,0
37040,00,4,254,0
37040,21,3,1,0
37040,23,127,1,0
37040,23,67,210,0
37040,23,26,220,0
37040,23,16,230,0
37040,23,11,241,0
37040,23,6,242,0
37040,51,20,1,0
37040,51,10,210,0
37040,51,3,220,0
37040,51,5,230,0
37040,52,98,1,0
37040,52,58,210,0
37040,81,139,1,0
37040,81,92,210,0
37040,81,28,220,0
37040,81,13,230,0
37040,81,4,241,0
37042,71,8,1,0
37042,71,6,210,0
37042,72,119,1,0
37042,72,48,210,0
37042,72,15,220,0
37042,72,18,230,0
37042,72,35,241,0
37042,72,3,242,0
37047,00,13,220,0
37047,00,3,230,0
37047,23,6,1,0
37047,23,3,210,0
37047,23,3,220,0
37047,44,5,1,0
37047,72,5,1,0
37047,72,4,220,0
37047,81,4,1,0
37047,81,4,210,0
37048,00,54,1,9309
37048,00,41,210,0
37048,00,11,220,0
37048,23,18,1,0
37048,23,14,210,0
37055,54,47,1,0
37055,54,38,210,0
37055,54,3,220,0
37055,54,4,230,0
37062,31,5,1,0
