Zip,Naics,Establishments,Employees,Payroll
20105,713990,3,210,0
20105,722511,6,1,0
20105,722513,7,1,0
20105,722513,3,241,0
20105,813110,5,1,0
20105,813110,5,210,0
20105,236118,6,1,0
20105,236118,4,210,0
20105,238210,3,1,0
20105,238210,3,210,0
20105,238990,5,1,0
20105,238990,4,210,0
20105,425120,4,1,0
20105,425120,3,210,0
20105,447110,3,1,0
20105,531210,7,1,0
20105,531210,7,210,0
20105,541330,3,1,0
20105,541511,64,1,0
20105,541511,59,210,0
20105,541511,3,230,0
20105,541512,57,1,0
20105,541512,55,210,0
20105,541513,3,1,0
20105,541513,3,210,0
20105,541519,9,1,0
20105,541519,9,210,0
20105,541611,8,1,0
20105,541611,8,210,0
20105,541690,9,1,0
20105,541690,9,210,0
20105,541990,3,1,0
20105,541990,3,210,0
20105,561720,3,1,0
20105,561730,10,1,0
20105,561730,3,220,0
20105,561730,3,230,0
20105,561730,3,241,0
20105,611620,4,1,0
20105,611620,3,210,0
20105,621111,3,1,0
20105,621210,8,1,0
20105,621210,7,210,0
20105,621340,3,1,0
20105,621610,4,1,0
20105,624410,8,1,0
20105,624410,5,210,0
20105,713990,3,1,0
20106,236118,4,1,0
20106,236118,3,210,0
20106,238210,3,1,0
20106,238220,3,1,0
20106,238220,3,210,0
20106,561730,3,1,0
20106,561730,3,210,0
20106,813110,4,1,0
20106,813110,3,210,0
20109,237110,4,1,0
20109,237130,4,1,0
20109,237310,4,1,0
20109,812111,3,210,0
20109,812112,15,1,0
20109,812112,11,210,0
20109,812113,4,1,0
20109,812199,6,1,0
20109,812199,5,210,0
20109,812310,4,1,0
20109,812310,3,220,0
20109,812320,3,1,0
20109,813110,16,1,0
20109,813110,11,210,0
20109,452319,6,1,0
20109,453220,6,1,0
20109,453220,4,210,0
20109,453310,6,1,0
20109,453310,3,220,0
20109,453910,5,1,0
20109,453910,3,210,0
20109,453998,4,1,0
20109,453998,4,220,0
20109,454110,14,1,0
20109,454110,9,210,0
20109,454110,3,220,0
20109,454310,3,1,0
20109,454390,5,1,0
20109,484110,9,1,0
20109,484110,9,210,0
20109,484121,5,1,0
20109,484121,3,210,0
20109,484122,3,1,0
20109,484220,9,1,0
20109,484220,3,210,0
20109,484220,3,230,0
20109,493110,3,1,0
20109,511210,4,1,0
20109,517311,10,1,0
20109,517311,4,210,0
20109,517311,3,220,0
20109,517312,5,1,0
20109,518210,7,1,0
20109,518210,4,210,0
20109,522110,16,1,0
20109,522110,4,210,0
20109,522110,5,220,0
20109,522110,7,230,0
20109,522130,3,1,0
20109,522291,3,1,0
20109,522298,4,1,0
20109,522390,4,1,0
20109,522390,4,210,0
20109,523930,3,1,0
20109,523930,3,210,0
20109,238110,14,1,0
20109,238110,5,210,0
20109,238110,4,241,0
20109,238110,3,242,0
20109,238140,11,1,0
20109,238140,6,210,0
20109,238150,3,1,0
20109,238160,12,1,0
20109,238160,7,210,0
20109,238160,3,241,0
20109,238170,4,1,0
20109,238170,3,210,0
20109,524210,15,1,0
20109,524210,8,210,0
20109,524210,4,220,0
20109,531110,8,1,0
20109,531110,5,220,0
20109,531120,4,1,0
20109,531120,3,210,0
20109,531130,5,1,0
20109,531130,4,210,0
20109,238210,20,1,0
