Zip,Naics,Establishments,Employees,Payroll
53001,524210,3,1,0
53001,524210,3,210,0
53001,813110,3,1,0
53001,813110,3,210,0
53005,518210,4,1,0
53005,713940,11,1,0
53005,713940,3,220,0
53005,713940,4,230,0
53005,713990,6,1,0
53005,721110,6,1,0
53005,721110,3,241,0
53002,332710,4,1,0
53002,484220,3,1,0
53005,522110,27,1,0
53005,522110,6,210,0
53005,522110,6,220,0
53005,522110,5,230,0
53005,522110,4,241,0
53005,522110,3,251,0
53005,522110,3,252,0
53005,522120,5,1,0
53005,522130,4,1,0
53005,522292,7,1,0
53005,522292,3,210,0
53005,522320,5,1,0
53005,522320,3,210,0
53005,523120,13,1,0
53002,561730,6,1,0
53002,561730,4,210,0
53002,811111,3,1,0
53005,523120,10,210,0
53005,523920,24,1,0
53005,523920,18,210,0
53005,523920,5,220,0
53005,523930,15,1,0
53005,523930,14,210,0
53005,524113,6,1,0
53005,524113,3,210,0
53005,524114,3,1,0
53004,447110,3,1,0
53004,447110,3,210,0
53004,454110,3,1,0
53004,454110,3,210,0
53005,524126,11,1,0
53005,524126,3,230,0
53005,524210,55,1,0
53005,524210,30,210,0
53005,524210,13,220,0
53005,524210,6,230,0
53005,524210,3,242,0
53005,524298,3,1,0
53005,524298,3,210,0
53004,721110,3,1,0
53004,722511,3,1,0
53004,811121,3,1,0
53004,811121,3,210,0
53005,531110,6,1,0
53005,531120,6,1,0
53005,531120,4,210,0
53005,531210,19,1,0
53005,531210,15,210,0
53005,531311,9,1,0
53005,531311,3,210,0
53005,531311,3,220,0
53005,531312,4,1,0
53005,531320,4,1,0
53005,531320,3,210,0
53005,236115,5,1,0
53005,236115,4,210,0
53005,236118,9,1,0
53005,236118,7,210,0
53005,236220,3,1,0
53005,541110,33,1,0
53005,541110,22,210,0
53005,541110,6,220,0
54981,524210,7,210,0
54981,531210,7,1,0
54981,531210,5,210,0
54984,238110,3,1,0
54984,484220,3,1,0
54984,561720,3,1,0
54984,561730,3,1,0
53006,237120,3,1,0
53006,237120,3,252,0
53012,484121,3,210,0
53012,522110,8,1,0
53012,522110,3,210,0
53012,522110,4,230,0
53014,621111,9,1,0
53014,621111,4,210,0
53014,621111,3,220,0
53014,621210,3,1,0
53014,621310,4,1,0
53014,621310,3,210,0
53014,623210,7,1,0
