"GEO_ID","GEO_TTL","COUNTY","YEAR","NAICS2012","NAICS2012_TTL","ESTAB","EMP","PAYANN","state",
"0400000US13","Georgia",null,"2016","00","Total for all sectors","228330","3804433","182911144","13",
"0400000US13","Georgia",null,"2016","11","Agriculture, forestry, fishing and hunting","972","7729","311852","13",
"0400000US13","Georgia",null,"2016","113","Forestry and logging","560","4259","178692","13",
"0400000US13","Georgia",null,"2016","238190","Other foundation, structure, and building exterior contractors","146","1967","126635","13",
"0400000US13","Georgia",null,"2016","1131","Timber tract operations","48","204","8434","13",
"0400000US13","Georgia",null,"2016","11311","Timber tract operations","48","204","8434","13",
"0400000US13","Georgia",null,"2016","113110","Timber tract operations","48","204","8434","13",
"0400000US13","Georgia",null,"2016","1132","Forest nurseries and gathering of forest products","15","78","2356","13",
"0400000US13","Georgia",null,"2016","11321","Forest nurseries and gathering of forest products","15","78","2356","13",
"0400000US13","Georgia",null,"2016","113210","Forest nurseries and gathering of forest products","15","78","2356","13",
"0400000US13","Georgia",null,"2016","1133","Logging","497","3977","167902","13",
"0400000US13","Georgia",null,"2016","11331","Logging","497","3977","167902","13",
"0400000US13","Georgia",null,"2016","113310","Logging","497","3977","167902","13",
"0400000US13","Georgia",null,"2016","114","Fishing, hunting and trapping","32","168","3990","13",
"0400000US13","Georgia",null,"2016","1141","Fishing","7","7","222","13",
"0400000US13","Georgia",null,"2016","11411","Fishing","7","7","222","13",
"0400000US13","Georgia",null,"2016","114111","Finfish fishing","2","0","0","13",
"0400000US13","Georgia",null,"2016","114112","Shellfish fishing","4","6","181","13",
"0400000US13","Georgia",null,"2016","114119","Other marine fishing","1","0","0","13",
"0400000US13","Georgia",null,"2016","1142","Hunting and trapping","25","161","3768","13",
"0400000US13","Georgia",null,"2016","11421","Hunting and trapping","25","161","3768","13",
"0400000US13","Georgia",null,"2016","114210","Hunting and trapping","25","161","3768","13",
"0400000US13","Georgia",null,"2016","115","Support activities for agriculture and forestry","380","3302","129170","13",
"0400000US13","Georgia",null,"2016","1151","Support activities for crop production","157","2179","85739","13",
"0400000US13","Georgia",null,"2016","11511","Support activities for crop production","157","2179","85739","13",
"0400000US13","Georgia",null,"2016","115111","Cotton ginning","39","825","34243","13",
"0400000US13","Georgia",null,"2016","115112","Soil preparation, planting, and cultivating","46","181","7340","13",
"0400000US13","Georgia",null,"2016","115113","Crop harvesting, primarily by machine","1","0","0","13",
"0400000US13","Georgia",null,"2016","115114","Postharvest crop activities (except cotton ginning)","52","860","35626","13",
"0400000US13","Georgia",null,"2016","115115","Farm labor contractors and crew leaders","11","252","6915","13",
"0400000US13","Georgia",null,"2016","115116","Farm management services","8","59","1584","13",
"0400000US13","Georgia",null,"2016","1152","Support activities for animal production","98","249","6129","13",
"0400000US13","Georgia",null,"2016","11521","Support activities for animal production","98","249","6129","13",
"0400000US13","Georgia",null,"2016","115210","Support activities for animal production","98","249","6129","13",
"0400000US13","Georgia",null,"2016","1153","Support activities for forestry","125","874","37302","13",
"0400000US13","Georgia",null,"2016","11531","Support activities for forestry","125","874","37302","13",
"0400000US13","Georgia",null,"2016","115310","Support activities for forestry","125","874","37302","13",
"0400000US13","Georgia",null,"2016","21","Mining, quarrying, and oil and gas extraction","185","4501","274967","13",
"0400000US13","Georgia",null,"2016","211","Oil and gas extraction","4","35","1211","13",
"0400000US13","Georgia",null,"2016","2111","Oil and gas extraction","4","35","1211","13",
"0400000US13","Georgia",null,"2016","21111","Oil and gas extraction","4","35","1211","13",
"0400000US13","Georgia",null,"2016","211111","Crude petroleum and natural gas extraction","4","35","1211","13",
"0400000US13","Georgia",null,"2016","212","Mining (except oil and gas)","146","3832","236684","13",
"0400000US13","Georgia",null,"2016","2123","Nonmetallic mineral mining and quarrying","146","3832","236684","13",
"0400000US13","Georgia",null,"2016","21231","Stone mining and quarrying","95","1727","96512","13",
"0400000US13","Georgia",null,"2016","212311","Dimension stone mining and quarrying","20","210","8713","13",
"0400000US13","Georgia",null,"2016","212312","Crushed and broken limestone mining and quarrying","18","262","15459","13",
"0400000US13","Georgia",null,"2016","212313","Crushed and broken granite mining and quarrying","53","986","58536","13",
"0400000US13","Georgia",null,"2016","212319","Other crushed and broken stone mining and quarrying","4","0","0","13",
"0400000US13","Georgia",null,"2016","21232","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","44","1890","127603","13",
"0400000US13","Georgia",null,"2016","212321","Construction sand and gravel mining","21","164","7992","13",
"0400000US13","Georgia",null,"2016","212322","Industrial sand mining","3","0","0","13",
"0400000US13","Georgia",null,"2016","212324","Kaolin and ball clay mining","16","1323","95074","13",
"0400000US13","Georgia",null,"2016","212325","Clay and ceramic and refractory minerals mining","4","346","19727","13",
"0400000US13","Georgia",null,"2016","21239","Other nonmetallic mineral mining and quarrying","7","215","12569","13",
"0400000US13","Georgia",null,"2016","212393","Other chemical and fertilizer mineral mining","3","80","5558","13",
"0400000US13","Georgia",null,"2016","212399","All other nonmetallic mineral mining","4","0","0","13",
