"GEO_ID","GEO_TTL","COUNTY","YEAR","NAICS2012","NAICS2012_TTL","ESTAB","EMP","PAYANN","state",
"0400000US30","Montana",null,"2014","00","Total for all sectors","36791","363650","13367122","30",
"0400000US30","Montana",null,"2014","11","Agriculture, forestry, fishing and hunting","348","1016","41647","30",
"0400000US30","Montana",null,"2014","113","Forestry and logging","170","583","24397","30",
"0400000US30","Montana",null,"2014","23816","Roofing contractors","123","435","19144","30",
"0400000US30","Montana",null,"2014","1131","Timber tract operations","2","0","0","30",
"0400000US30","Montana",null,"2014","11311","Timber tract operations","2","0","0","30",
"0400000US30","Montana",null,"2014","113110","Timber tract operations","2","0","0","30",
"0400000US30","Montana",null,"2014","1132","Forest nurseries and gathering of forest products","1","0","0","30",
"0400000US30","Montana",null,"2014","11321","Forest nurseries and gathering of forest products","1","0","0","30",
"0400000US30","Montana",null,"2014","113210","Forest nurseries and gathering of forest products","1","0","0","30",
"0400000US30","Montana",null,"2014","1133","Logging","167","579","24241","30",
"0400000US30","Montana",null,"2014","11331","Logging","167","579","24241","30",
"0400000US30","Montana",null,"2014","113310","Logging","167","579","24241","30",
"0400000US30","Montana",null,"2014","114","Fishing, hunting and trapping","16","0","360","30",
"0400000US30","Montana",null,"2014","1141","Fishing","9","5","275","30",
"0400000US30","Montana",null,"2014","11411","Fishing","9","5","275","30",
"0400000US30","Montana",null,"2014","114111","Finfish fishing","6","4","141","30",
"0400000US30","Montana",null,"2014","114112","Shellfish fishing","3","1","134","30",
"0400000US30","Montana",null,"2014","1142","Hunting and trapping","7","0","85","30",
"0400000US30","Montana",null,"2014","11421","Hunting and trapping","7","0","85","30",
"0400000US30","Montana",null,"2014","114210","Hunting and trapping","7","0","85","30",
"0400000US30","Montana",null,"2014","115","Support activities for agriculture and forestry","162","424","16890","30",
"0400000US30","Montana",null,"2014","1151","Support activities for crop production","67","0","8110","30",
"0400000US30","Montana",null,"2014","11511","Support activities for crop production","67","0","8110","30",
"0400000US30","Montana",null,"2014","115112","Soil preparation, planting, and cultivating","40","63","3554","30",
