,relevant_naics,estab,emp,payann,fips
339917,1141,5,7,534,02016
339918,3117,5,2145,69693,02016
339919,4239,3,12,489,02016
339920,4244,4,25,4150,02016
339921,4247,3,43,2910,02016
339922,4543,3,6,472,02016
339923,4451,4,96,5789,02016
339924,4811,3,16,533,02016
339925,4831,4,167,17025,02016
339926,4883,6,148,9623,02016
339927,4885,3,18,313,02016
339928,5413,4,6,402,02016
339929,5611,3,3,219,02016
339930,6214,5,55,5514,02016
339931,7225,6,33,1209,02016
339932,3117,8,104,26767,02060
339933,4812,4,11,865,02060
339934,4811,4,45,1909,02060
339935,4842,3,4,123,02060
339936,7139,5,6,243,02060
339937,7211,6,15,1820,02060
339938,7212,9,22,3711,02060
339939,7225,3,9,213,02060
339940,1141,4,0,59,02070
339941,1141,86,60,6007,02150
339942,2361,11,26,1088,02150
339943,2373,3,41,4038,02150
339944,2382,6,33,1907,02150
339945,2381,3,7,122,02150
339946,2383,7,22,893,02150
339947,2389,4,18,1296,02150
339948,3117,15,2488,64791,02150
339949,3366,3,16,975,02150
339950,4244,11,11,1215,02150
339951,4247,3,43,1948,02150
339952,4412,4,24,902,02150
339953,4413,3,12,285,02150
339954,4421,3,15,271,02150
339955,4451,5,169,4886,02150
339956,4511,4,24,751,02150
339957,4811,3,71,2933,02150
339958,4812,5,31,1745,02150
339959,4831,8,64,3607,02150
339960,4842,4,27,870,02150
339961,2361,3,22,1086,02230
339962,4451,3,16,581,02230
339963,4481,3,8,455,02230
339964,4483,10,28,806,02230
339965,4511,3,4,609,02230
339966,4532,11,29,2061,02230
339967,4539,6,0,327,02230
339968,4871,7,39,2582,02230
339969,5615,8,24,4561,02230
339970,6244,4,3,121,02230
339971,7139,3,4,445,02230
339972,7211,6,11,1582,02230
339973,7225,12,51,4698,02230
339974,4872,4,2,117,02150
339975,4885,3,11,418,02150
339976,5173,4,21,1452,02150
339977,5221,7,48,2465,02150
339978,5239,3,7,994,02150
339979,5242,4,17,874,02150
339980,5311,9,30,1233,02150
339981,5312,3,8,465,02150
339982,5411,5,10,503,02150
339983,5412,7,18,809,02150
339984,5413,3,6,306,02150
339985,5416,3,15,502,02150
339986,5617,6,49,1100,02150
339987,6211,7,80,4693,02150
339988,6212,7,45,1806,02150
339989,6213,9,32,1334,02150
339990,6214,9,183,12334,02150
339991,6232,3,15,588,02150
339992,6241,5,70,1800,02150
339993,7121,3,20,727,02150
339994,7132,4,16,259,02150
339995,7139,13,6,776,02150
339996,2131,6,150,26691,02185
339997,2371,5,785,104319,02185
339998,4238,8,108,11306,02185
339999,4247,4,149,11059,02185
340000,4451,10,269,4640,02185
340001,4471,3,60,3679,02185
340002,4523,4,28,516,02185
340003,4811,4,153,7806,02185
340004,4861,4,106,17015,02185
340005,5173,10,61,4582,02185
340006,5311,3,14,2046,02185
340007,5324,5,33,1516,02185
340008,5413,3,14,2578,02185
340009,5511,4,328,50821,02185
340010,5612,3,247,15094,02185
340011,6213,3,7,427,02185
340012,7211,5,39,1723,02185
340013,7213,4,110,8218,02185
340014,7223,8,284,9270,02185
340015,7225,9,61,2087,02185
340016,8131,4,8,440,02185
340017,7211,6,88,2857,02150
340018,7212,9,9,1022,02150
340019,7225,26,276,5749,02150
340020,7224,8,61,962,02150
340021,8113,8,39,2327,02150
340022,8111,5,47,1680,02150
340023,8121,4,13,174,02150
340024,8131,12,99,2026,02150
340025,8134,3,7,192,02150
340026,4451,9,172,2509,02188
340027,8139,5,7,298,02150
340028,4811,4,117,6786,02188
340029,4812,3,4,404,02188
340030,5173,3,25,2338,02188
340031,7225,3,28,382,02188
340032,8134,5,22,379,02188
340033,1141,6,20,861,02050
340034,2211,5,41,888,02050
340035,2361,4,6,463,02050
340036,4451,24,582,10203,02050
340037,4471,8,60,1408,02050
340038,4523,13,162,2933,02050
340039,4811,8,286,15587,02050
340040,5173,3,43,3053,02050
340041,5221,3,20,1506,02050
340042,5311,5,42,1704,02050
340043,5411,4,15,1040,02050
340044,5617,3,19,204,02050
340045,5619,11,35,1872,02050
340046,6111,5,35,645,02050
340047,6214,31,196,12354,02050
340048,6232,4,27,1561,02050
340049,6242,3,43,1786,02050
340050,7139,3,49,738,02050
340051,7211,5,10,108,02050
340052,7225,12,47,535,02050
340053,8111,4,13,366,02050
340054,8113,17,58,1345,02050
340055,8131,4,7,204,02050
340056,8134,4,23,196,02050
340057,1141,29,22,855,02220
340058,2361,11,34,1364,02220
340059,2382,6,36,3824,02220
340060,2383,6,20,597,02220
340061,2389,6,24,2728,02220
340062,3117,7,325,14697,02220
340063,4244,3,8,272,02220
340064,4451,3,176,4759,02220
340065,4461,5,36,1591,02220
340066,4481,9,33,1229,02220
340067,4483,3,13,656,02220
340068,1133,3,4,349,02090
340069,2122,4,663,74744,02090
340070,2123,4,16,1191,02090
340071,2131,11,32,3603,02090
340072,2211,5,162,19577,02090
340073,2213,7,166,16458,02090
340074,2361,78,163,9801,02090
340075,4511,3,11,311,02220
340076,4532,6,27,845,02220
340077,4539,3,2,47,02220
340078,4811,3,103,3347,02220
340079,4831,5,19,1553,02220
340080,4872,16,36,7404,02220
340081,4883,3,6,348,02220
340082,5151,3,14,393,02220
340083,5173,4,15,907,02220
340084,5221,5,46,2174,02220
340085,5239,3,4,695,02220
340086,5242,3,8,775,02220
340087,5311,5,14,1077,02220
340088,5312,6,9,237,02220
340089,5313,3,16,438,02220
340090,5411,3,5,176,02220
340091,5412,5,14,428,02220
340092,5413,3,3,167,02220
340093,5419,4,13,477,02220
340094,5511,3,39,4106,02220
340095,5617,6,15,515,02220
340096,5619,3,5,239,02220
340097,6116,6,46,1457,02220
340098,6213,5,28,1211,02220
340099,6212,3,18,1222,02220
340100,6214,3,92,6492,02220
