fips,Naics,Establishments,Employees,Payroll
2,114111,348,208,20951
2,113310,17,130,11890
2,114119,6,3,533
2,114112,48,45,2493
2,115210,3,9,184
2,212321,13,88,7707
2,211120,12,1801,423088
2,213111,9,1083,62288
2,212221,28,1664,209731
2,211130,3,101,19205
2,213114,8,48,8653
2,213112,29,3343,267823
2,221122,31,539,57036
2,221112,16,581,72182
2,221111,9,56,5403
2,221310,9,87,8890
2,238990,63,339,33615
2,236220,229,3190,296248
2,238310,88,326,17111
2,238210,222,1577,135158
2,238350,74,363,21459
2,238330,47,170,10141
2,238130,61,188,8090
2,238150,11,65,4895
2,237310,74,1221,157716
2,236210,13,149,20727
2,238140,17,19,1752
2,236117,47,244,15968
2,236115,160,473,27126
2,237120,9,1250,108845
2,238290,13,116,11281
2,238390,7,38,739
2,238190,12,40,4176
2,237990,17,197,33520
2,238320,110,303,17419
2,238220,243,2003,158128
2,238110,48,112,13067
2,237130,21,429,46317
2,236118,349,952,52873
2,238160,54,312,37906
2,238170,24,67,5146
2,238910,210,1052,92493
2,238120,10,94,22043
2,238340,26,90,3164
2,237110,38,209,19986
2,312120,21,303,12638
2,311812,3,101,5887
2,312140,4,15,165
2,311811,8,129,2626
2,311710,91,7425,364769
2,321999,3,9,710
2,324121,18,53,2500
2,323111,31,231,11417
2,323113,3,9,855
2,327390,4,14,2044
2,327320,7,40,4291
2,321113,3,45,1966
2,321214,3,66,8622
2,321911,3,64,3438
2,332999,4,6,257
2,336612,3,44,2508
2,339116,11,51,2322
2,339910,3,16,443
2,332710,11,56,2556
2,332420,3,47,3514
2,336413,4,783,48836
2,332322,3,19,1514
2,339950,7,73,3575
2,423110,5,99,7019
2,423430,3,18,1666
2,423810,20,397,37213
2,424430,3,38,1835
2,424210,9,72,3397
2,423610,31,381,33693
2,424460,26,334,18835
2,424930,3,4,199
2,424480,3,263,11462
2,423210,6,135,8616
2,424410,4,64,3336
2,423220,7,34,1839
2,424130,4,70,4520
2,423830,55,495,43418
2,423840,18,183,10977
2,423310,6,128,8073
2,424470,7,64,4299
2,423450,8,98,7696
2,423510,9,64,3946
2,423120,20,165,8911
2,423420,17,111,4939
2,424690,22,90,6092
2,423440,7,81,3959
2,423390,3,8,805
2,423690,14,118,13725
2,424490,27,748,37200
2,423990,4,15,974
2,424990,7,126,3996
2,423490,4,41,1670
2,424420,4,584,35292
2,424720,6,74,8150
2,424710,24,368,28889
2,423720,21,259,15300
2,423930,3,12,614
2,423330,5,82,5460
2,423850,4,40,2645
2,423910,11,64,2802
2,424120,9,36,2309
2,423920,3,27,1271
2,423730,10,79,5820
2,425120,36,144,10243
2,446199,12,63,3752
2,442299,28,201,4669
2,445299,12,72,1277
2,441310,85,877,33506
2,445291,3,10,282
2,445310,74,438,22751
2,441222,19,130,6512
2,448150,10,50,801
2,445120,21,192,4747
2,446120,15,207,3495
2,443142,28,343,10592
2,448140,52,973,19326
2,445220,5,28,840
2,442210,23,178,7889
2,446191,14,72,1340
2,442110,35,190,9040
2,447110,129,1382,41197
2,444130,42,448,19061
2,444110,9,1236,43763
2,443141,7,54,2032
2,448310,65,210,7609
2,448110,6,93,2663
2,441228,36,344,16992
2,441110,29,1865,118738
2,444220,11,45,1022
2,446130,21,120,3039
2,444190,78,937,52603
2,448190,26,161,4047
2,447190,30,260,9176
2,444120,5,39,2362
2,446110,30,520,26303
2,441210,4,26,2442
2,448210,33,220,3908
2,445110,196,5705,173314
2,441320,24,306,18334
2,441120,31,205,13346
2,448120,24,165,2149
2,452319,46,457,10428
2,453998,94,598,22969
2,453920,31,71,1578
2,451211,16,123,1827
2,454110,23,84,3871
2,453110,14,60,1350
2,454310,39,244,13664
2,453220,142,557,13565
2,451120,21,202,3651
2,451140,5,67,1172
2,453210,4,59,1573
2,454390,30,71,2838
2,453910,16,231,7720
2,451130,24,253,3389
2,451110,69,959,23780
2,453991,23,80,2090
2,453310,51,580,11346
2,452311,20,5569,187154
2,483113,73,958,92455
2,488510,42,412,22789
2,484110,46,495,28729
2,484122,6,76,6997
2,484121,48,825,53209
2,483212,8,13,783
2,488410,14,80,3941
2,488330,30,173,18458
2,481212,6,272,29443
2,481211,89,730,49667
2,488119,12,471,11594
2,488190,59,787,33016
2,488490,7,28,1329
2,488390,9,30,932
2,486110,4,120,21864
2,487110,25,446,7765
2,487990,21,143,6587
2,487210,119,330,17654
2,481112,22,1156,113186
2,481111,68,3036,236613
2,485410,5,42,895
2,485991,4,23,360
2,484220,50,189,14712
2,484230,14,278,15935
2,485310,8,61,1498
2,484210,25,406,19244
2,492110,41,2553,357859
2,493110,14,467,21891
2,492210,7,54,2196
2,493190,5,30,1870
2,518210,13,621,45808
2,519120,3,5,17
2,512110,10,42,1962
2,512131,11,512,6507
2,519110,3,4,266
2,511110,5,88,5008
2,511120,5,34,2615
2,515111,3,2,290
2,515112,25,248,13387
2,517410,5,54,2884
2,511210,6,50,4560
2,515120,4,111,6280
2,517311,146,3295,322861
2,517312,60,419,22165
2,522298,16,86,4439
2,524291,3,48,2487
2,522110,109,1681,129553
2,522130,88,2026,136045
2,524114,9,69,4626
2,524113,7,45,3139
2,524126,14,233,25625
2,524127,9,99,8613
2,524210,176,1017,72648
2,523930,33,90,6647
2,523910,5,11,356
2,522310,8,47,4583
2,522390,6,25,837
2,525990,4,207,17882
2,523920,66,228,32908
2,522292,37,263,42660
2,522220,3,9,1168
2,522120,4,77,5492
2,523120,27,138,25305
2,524292,7,40,2373
2,523991,5,6,656
2,532411,7,4,401
2,532412,28,262,29568
2,532210,4,17,774
2,532310,8,29,1368
2,531130,43,177,6097
2,531120,113,458,31013
2,531190,29,378,16016
2,531110,150,750,27913
2,531312,34,121,9073
2,531210,276,609,31872
2,531320,32,74,5831
2,531390,34,99,5171
2,532490,17,128,7269
2,532111,45,490,16319
2,531311,45,206,9731
