Naics,Establishments,Employees,Payroll
113310,27,186,15116
114111,273,193,16723
114112,144,53,5125
114119,11,6,377
114210,3,1,81
115112,5,48,2340
115210,3,27,241
115310,8,10,952
211120,19,1667,359505
212221,36,1467,175298
212230,3,618,85474
212319,3,0,400
212321,17,110,8020
213111,14,793,79378
213112,46,3834,376326
213114,15,302,40177
237130,27,335,39911
221111,11,63,5988
221112,24,729,77532
221118,3,29,674
221122,41,714,73601
221210,7,237,28416
221310,14,131,9129
221330,3,102,10548
236115,161,418,23921
236116,9,29,775
236117,68,290,16927
236118,278,764,40745
236210,14,233,26469
236220,244,2898,273739
237110,47,161,18271
237120,18,2217,252455
237210,13,51,4115
237990,36,249,34189
238170,22,76,5119
238290,20,146,14205
238330,56,237,10589
238340,25,67,2663
237310,101,1260,199966
238350,89,278,16233
238390,12,25,1509
238990,71,394,34050
238110,57,155,12978
238120,10,101,9777
238130,68,158,7714
238140,22,31,2770
238150,12,53,3732
238160,57,296,32319
311352,6,49,1567
238190,15,59,4842
238210,216,1568,134855
238220,262,1871,141516
238310,93,290,15998
238320,116,295,17930
238910,226,1094,94809
311611,4,10,456
311710,100,7782,352136
311811,9,126,3071
311812,5,20,457
311920,4,68,1273
312111,3,35,1619
312112,5,20,1097
312120,27,368,15890
312130,3,18,702
312140,7,20,664
314910,8,54,2452
314999,3,13,379
315210,3,5,85
316110,3,7,63
321113,12,87,2510
321214,8,219,10879
321911,5,64,2971
321918,3,8,363
321920,3,34,1145
321992,3,11,553
321999,5,15,462
323111,36,284,13703
323113,7,35,1490
324110,4,342,49988
324121,20,66,3400
325998,3,6,687
326199,5,40,2714
327215,3,3,100
327320,17,125,11338
327390,6,22,2270
332312,6,59,4160
332313,3,13,777
332322,10,51,3199
332420,3,55,4597
332710,13,117,8108
332721,5,53,3670
332812,4,13,1008
332999,7,67,4335
336611,6,202,11842
336413,7,170,9606
336612,10,68,2923
337110,9,14,357
337212,3,12,741
339116,15,53,3038
339113,4,20,1042
339910,5,14,446
339950,8,85,3965
339999,4,4,316
423110,7,116,7876
423120,27,253,13524
423130,3,34,1906
423210,11,154,9248
423220,11,46,2340
423440,9,84,3866
423310,15,281,13234
423320,7,38,3648
423330,6,85,5113
423390,7,35,2337
423420,20,133,6447
423430,5,31,3025
423450,12,122,10998
423490,5,36,1835
423510,15,98,5860
423610,34,419,35555
423710,7,76,3062
423720,21,249,17121
423810,25,424,37755
423830,61,536,46489
423840,20,166,10436
423850,8,63,3917
423690,17,123,13522
423730,10,81,6054
423860,5,25,1642
423910,18,95,4244
423920,3,33,1233
423930,10,50,2018
423940,3,46,1970
423990,8,28,1279
424120,6,40,1597
424130,6,90,5618
424210,16,97,4701
424310,3,8,203
424410,7,88,4268
424420,12,423,27185
424430,3,42,1953
424450,5,71,4086
424460,39,248,24231
424480,4,226,10470
424710,57,946,71224
424720,9,158,10126
424470,7,63,4254
424490,34,795,47772
424610,4,9,614
424690,23,161,10017
424810,8,535,30042
424820,3,57,3238
424930,3,1,209
424940,5,246,8702
424990,16,119,5188
425120,45,225,14001
441110,32,2046,114801
441222,34,189,9300
441228,43,359,16211
441320,28,325,16778
443141,8,71,3063
443142,47,437,14652
444190,93,1030,57527
441120,35,219,12324
441210,7,35,2289
441310,102,896,34153
442110,42,257,10446
442210,31,161,7461
442299,38,221,5812
444110,19,2055,58342
444120,13,83,3484
444130,55,561,23030
444210,3,13,637
444220,24,125,3166
445120,34,262,6896
445210,5,47,1789
445220,15,55,1945
445230,3,1,84
445291,6,50,1079
445292,6,9,314
445299,12,83,1290
445310,94,625,16308
445110,214,6481,176939
446110,40,771,40455
446120,21,253,4911
446130,23,119,3925
446191,26,96,2571
446199,14,109,6143
451130,30,283,3283
447110,138,1291,37149
447190,44,288,10351
448110,8,96,3327
448120,33,216,3241
448130,4,34,444
448140,68,1213,24886
453210,15,106,3379
448150,10,48,1129
448190,33,218,4974
448210,35,246,5357
448310,77,248,15786
453991,39,107,2569
451110,77,976,24726
451120,26,276,4518
451140,10,59,1447
451211,27,175,3200
452210,4,308,4890
452311,26,6478,214962
452319,60,478,10744
453110,27,106,2369
453220,170,601,21931
453310,66,568,13058
453910,19,273,8454
453920,44,101,2778
453998,74,356,15224
454210,5,78,2485
454110,25,70,3094
454310,62,413,20082
454390,40,98,3462
481111,78,4643,262126
483111,4,28,8721
483113,89,1201,103960
483114,4,19,1120
484210,36,491,21008
485113,5,121,3923
485210,3,271,8035
485310,16,97,2674
485320,4,87,2724
485510,3,3,350
484230,21,329,22258
481112,27,1065,89497
481211,93,704,53231
481212,6,398,36582
481219,9,34,1790
483211,12,21,4871
483212,13,7,1511
484110,64,450,29357
484121,42,925,59331
484122,8,169,16953
484220,67,313,18578
485410,24,934,24072
485991,7,52,1467
485999,9,37,954
486110,12,1833,294731
487110,39,404,25257
487210,129,335,38811
487990,28,150,16207
488190,59,504,22339
488310,10,30,1898
488320,7,402,31676
488330,30,174,19971
488119,28,676,21203
488390,15,44,2331
488410,27,123,4659
488490,6,9,674
515120,8,180,6911
488510,55,472,24589
517911,3,6,743
517919,5,23,1549
492110,49,2056,294378
492210,11,65,2103
493110,17,255,13849
493190,11,56,3330
511110,20,331,12880
511120,9,45,4345
511130,6,18,861
511140,3,9,592
511210,8,57,4233
512110,16,70,2211
512131,17,682,12328
515111,4,4,358
515112,45,425,18883
517311,157,3744,340373
517312,67,523,25180
517410,7,58,3002
518210,19,313,21099
519110,4,6,434
519120,7,19,616
519130,5,22,273
522120,5,73,4821
522220,4,17,1461
522291,3,19,1506
522292,43,342,25753
522298,23,109,5868
522320,5,12,223
522390,9,25,714
523910,12,60,5197
523930,33,81,5772
523991,9,33,3413
524126,23,276,27351
524127,13,116,7338
524298,3,8,542
522110,135,1971,129437
522130,105,2131,124539
522310,8,26,1737
523120,34,167,29129
523920,76,289,36235
524113,12,86,9384
524114,18,107,6499
524210,194,1000,70014
524291,6,60,3128
524292,16,65,4169
525990,13,244,17575
531110,136,675,25026
531190,41,431,18324
531210,262,592,26333
531311,47,261,12260
531312,50,211,11663
531320,35,99,5212
531390,34,61,3080
532111,72,589,26032
532120,17,178,9999
532210,9,45,1564
532282,11,90,1194
532283,3,83,4236
532284,12,11,508
532289,5,22,797
532310,12,38,1707
532412,38,426,38105
532490,26,116,8061
541110,345,1353,125138
541211,120,678,49428
541350,17,41,2585
532411,9,9,1040
531120,117,442,26727
531130,47,177,6203
541191,9,91,4925
541199,4,37,1102
541213,92,356,5694
541214,6,35,952
541219,154,449,15797
541310,45,233,19618
541320,6,16,853
541330,251,5481,495404
541340,3,6,528
541360,4,7,1965
541713,11,111,4953
541860,4,9,331
541890,13,211,2916
541921,19,73,1910
541370,69,328,20417
541930,3,3,171
541380,30,808,95051
541410,9,24,954
541430,16,49,2006
541511,71,860,68877
541512,95,626,55351
541513,20,517,41051
541519,19,62,4065
541611,133,1689,122215
541612,22,76,3442
541613,23,31,2967
541614,12,194,6220
541618,4,51,5151
541620,71,590,47534
541690,60,785,57970
561110,89,588,32023
541715,20,313,18812
541720,3,20,1358
541810,25,181,11977
541820,18,46,3039
541922,13,17,709
541940,58,875,42702
541990,56,211,11344
551112,39,460,52209
551114,140,5495,711245
561210,62,7065,409372
561311,4,4,168
561312,5,219,2557
561410,12,117,9305
561422,3,9,290
561431,12,79,5743
561439,17,87,3130
561492,7,9,410
561320,58,1238,53719
561440,10,117,5544
561499,5,6,295
561510,36,190,9878
561520,68,496,35587
561591,15,128,6257
561611,4,8,570
561612,28,1472,53518
561622,8,48,2279
561613,5,89,3139
561621,13,203,10600
561730,157,660,32980
561710,10,48,2259
561720,218,4319,141153
561740,19,105,3892
561790,32,190,6790
561920,9,36,1256
562111,37,472,24027
562211,9,119,7902
561990,57,404,22946
562119,4,24,1886
562910,87,1087,90217
562998,5,11,1101
562991,27,124,6502
611110,52,723,17975
611310,15,547,15898
611430,5,12,547
611511,3,17,452
611512,9,34,1395
611513,17,83,5229
611519,11,241,9272
611610,38,210,3161
611620,54,453,8191
611630,5,25,272
611691,12,117,2421
611692,6,27,1005
611699,31,200,5176
611710,23,192,5533
621420,32,894,42065
711190,3,34,2696
621111,513,5028,533258
621112,18,65,6771
621991,4,122,5254
621210,332,2477,146757
621310,162,870,38293
621320,57,363,19946
621330,66,187,8911
621340,138,891,52397
621391,11,59,5876
621399,89,347,16565
623312,174,1148,34860
621410,16,78,3009
621492,7,131,4787
621493,19,349,26246
621498,175,5387,356779
621511,31,152,10558
621512,20,263,24466
624190,89,1766,78484
621610,43,1077,35547
621910,18,374,31248
624229,10,55,2934
624310,19,745,27632
621999,15,107,6210
622110,25,14610,1212808
623110,10,851,45546
623210,126,1626,46469
623220,40,910,34873
711110,16,78,2084
623311,20,148,3409
623990,37,686,16235
624110,22,84,3112
624120,130,5177,130510
624210,32,263,8099
624221,32,566,20068
624410,172,1949,47592
711130,9,22,609
711211,5,13,476
711219,7,24,791
711310,8,925,8311
711320,8,51,1615
711510,35,63,2297
712110,27,221,10129
712120,3,5,247
712130,8,59,2545
712190,9,61,4122
713120,3,278,3634
713910,15,55,3545
713920,10,225,1897
713930,9,40,1584
713940,79,2014,23944
713950,6,133,3361
721191,68,98,2737
721199,39,54,3342
721211,31,18,1649
721214,132,252,31024
721310,9,119,9508
812113,34,149,4327
812331,3,176,7498
713290,52,479,11055
713990,272,654,30246
721110,284,5304,196599
722310,63,2201,82660
722320,15,38,959
722330,79,148,3126
722410,146,1234,25363
722511,576,8623,236331
722513,453,5959,118293
812191,5,46,1548
812199,64,241,5396
722514,6,119,2855
722515,286,2037,37437
812220,7,22,1071
812310,17,70,1453
812320,25,148,4404
811111,198,881,40664
811113,12,51,2499
811118,4,27,1311
811121,58,528,27284
811122,26,143,5856
811191,11,76,3241
811192,32,158,4106
811212,11,22,663
811219,6,47,5093
811310,93,403,24730
811411,4,4,154
811412,12,54,2528
811420,7,11,586
811490,49,247,12049
812111,10,59,1593
812112,131,723,20272
812210,15,71,3167
812910,57,301,5576
812990,20,31,1236
813110,412,2416,57819
813219,11,74,3673
813312,78,392,20759
812930,9,125,4204
813211,32,200,11533
813212,23,89,5041
813311,15,57,2497
813410,147,701,16270
813910,76,254,13201
813319,26,155,8499
813920,23,112,6915
813930,54,328,22572
813940,15,19,1282
813990,20,93,3475
