,relevant_naics,estab,emp,payann,fips
86766,11,9,58,2824,05099
86767,23,8,11,412,05099
86768,42,4,5,169,05099
86769,52,9,72,3213,05099
86770,53,4,18,193,05099
86771,54,7,22,432,05099
86772,62,13,387,10279,05099
86773,72,9,81,1100,05099
86774,81,17,47,1103,05099
86776,11,6,33,2551,05021
86777,22,4,56,3135,05021
86778,23,31,112,4792,05021
86779,42,13,217,8109,05021
86780,51,9,81,2492,05021
86781,52,13,82,3450,05021
86782,53,8,21,269,05021
86783,54,14,45,1316,05021
86784,56,7,47,2486,05021
86785,62,31,693,21025,05021
86786,72,20,237,2656,05021
86787,81,43,109,2476,05021
86788,23,21,73,2519,05037
86790,11,8,29,1774,05037
86791,42,21,277,14198,05037
86792,23,7,8,171,05129
86794,22,4,12,663,05129
86795,52,7,34,1378,05129
86796,53,6,27,715,05129
86797,54,5,11,380,05129
86798,62,14,392,8027,05129
86799,72,13,133,1491,05129
86800,81,9,26,430,05129
86801,51,6,49,1521,05037
86802,52,25,214,9094,05037
86803,53,18,72,1931,05037
86804,54,23,104,3048,05037
86805,55,6,109,5378,05037
86806,56,9,82,3533,05037
86807,62,45,929,27648,05037
86808,71,6,19,224,05037
86809,72,22,292,4231,05037
86810,81,49,214,4753,05037
86812,11,21,133,4761,05039
86813,23,11,65,2315,05039
86814,42,5,30,549,05039
86816,11,35,247,12043,05043
86817,51,5,24,629,05039
86818,22,7,33,1704,05043
86819,23,23,158,7105,05043
86820,42,10,125,9687,05043
86821,52,9,56,2671,05039
86822,53,5,11,340,05039
86823,54,7,17,309,05039
86824,62,17,770,18767,05039
86825,72,10,126,1656,05039
86826,81,24,84,1496,05039
86827,51,11,64,2867,05043
86828,52,28,155,9089,05043
86829,53,19,58,2062,05043
86830,54,16,72,2802,05043
86831,56,12,205,8147,05043
86832,62,44,1299,33067,05043
86833,72,39,643,8702,05043
86834,81,33,162,4207,05043
86836,11,10,47,1812,05027
86838,23,27,108,2772,05121
86839,42,11,246,8884,05121
86840,21,19,178,15334,05027
86841,22,6,38,2715,05027
86842,23,31,163,6075,05027
86843,42,25,341,18600,05027
86844,51,7,27,1086,05121
86845,52,21,129,5410,05121
86846,53,13,41,896,05121
86847,54,22,68,2799,05121
86848,56,10,377,9879,05121
86849,62,44,899,26436,05121
86850,71,3,10,238,05121
86851,72,23,364,4746,05121
86852,51,10,53,1815,05027
86853,52,37,279,15037,05027
86854,53,26,83,4353,05027
86855,54,34,216,9136,05027
86856,81,24,70,1383,05121
86857,55,3,5,6644,05027
86858,56,14,165,3928,05027
86859,62,66,1088,33649,05027
86860,61,4,75,1412,05027
86861,71,5,46,645,05027
86862,72,47,714,11650,05027
86863,81,60,271,5637,05027
86864,22,3,48,3324,05125
86866,11,8,33,1300,05125
86867,23,299,2185,99581,05125
86868,99,3,8,107,05027
86870,22,9,69,5085,05009
86871,23,57,559,23060,05009
86872,42,37,331,12705,05009
86873,42,87,924,42498,05125
86874,51,14,242,10573,05009
86875,52,61,298,18214,05009
86876,53,40,80,2618,05009
86877,54,50,209,7757,05009
86878,55,22,790,42734,05009
86879,61,3,11,88,05009
86880,62,130,2629,93180,05009
86881,56,29,811,26357,05009
86882,51,22,223,10454,05125
86883,52,122,507,24518,05125
86884,53,85,267,9544,05125
86885,71,8,27,585,05009
86886,72,69,1145,17152,05009
86887,81,93,420,11104,05009
86888,54,172,804,39322,05125
86889,55,8,199,5462,05125
86890,56,91,1060,30741,05125
86891,22,4,61,3798,05141
86893,21,6,381,32467,05141
86894,23,34,161,4502,05141
86895,61,17,138,1888,05125
86896,62,260,4652,160349,05125
86898,11,8,101,3027,05127
86899,21,3,16,801,05127
86900,23,9,51,1970,05127
86901,42,9,91,4242,05127
86902,52,9,34,1105,05127
86903,53,4,17,489,05127
86904,54,9,12,252,05127
86905,62,20,397,13301,05127
86906,72,15,152,2503,05127
86907,81,20,48,1074,05127
86908,42,13,76,3138,05141
86909,51,6,34,1316,05141
86910,52,24,115,5332,05141
86911,53,7,10,813,05141
86912,54,19,67,2790,05141
86913,55,3,11,608,05141
86914,56,12,47,1426,05141
86915,71,25,108,2354,05125
86916,72,155,3379,51305,05125
86917,81,196,1748,46638,05125
86918,62,29,776,24075,05141
86919,71,4,17,276,05141
86920,72,19,307,4790,05141
86921,81,33,206,4377,05141
86923,21,4,149,8736,05065
86924,23,17,76,2077,05065
86925,42,8,46,1112,05065
86926,22,5,17,848,05053
86928,11,14,57,2966,05053
86929,23,30,173,7952,05053
86930,42,11,106,5465,05053
86931,51,4,9,412,05065
86932,52,23,85,4285,05065
86933,53,5,29,717,05065
86934,54,6,30,861,05065
86935,56,7,20,550,05065
86936,62,32,539,12951,05065
86937,71,6,55,914,05065
86938,72,12,142,1667,05065
86939,81,23,66,1442,05065
86940,51,3,20,903,05053
86941,52,12,74,4602,05053
86942,54,18,141,7215,05053
86943,56,8,214,4324,05053
86944,62,25,307,8175,05053
86945,72,17,345,3965,05053
86946,81,33,111,2586,05053
86948,11,3,7,174,05063
86949,21,7,110,5985,05063
86950,22,4,144,17038,05063
86951,23,62,644,33291,05063
86953,11,6,44,1802,05079
86954,23,18,103,4020,05079
86955,42,5,46,2714,05079
86956,52,8,44,2103,05079
86957,42,29,222,9976,05063
86958,53,7,18,228,05079
86959,54,8,19,627,05079
86960,56,8,19,859,05079
86961,62,19,365,10489,05079
86962,72,14,157,1711,05079
86963,81,21,63,1709,05079
86964,51,15,133,4671,05063
86965,52,52,442,21637,05063
86966,53,25,90,3618,05063
86967,54,62,172,7677,05063
86969,21,9,67,3016,05083
86970,23,43,212,8263,05083
86971,55,3,104,9784,05063
86972,56,25,372,11658,05063
86973,61,7,461,10125,05063
86974,62,102,3471,155519,05063
