,fips,relevant_naics,YEAR,estab,emp,payann
0,6,115111,2017,10,65,3783
2,6,115113,2017,59,1637,55609
4,6,115115,2017,171,4007,127337
6,6,115116,2017,113,1309,71872
8,6,114111,2017,82,222,13177
10,6,114210,2017,6,26,563
12,6,113310,2017,196,1062,76357
14,6,115114,2017,232,7102,339409
16,6,114112,2017,30,43,2074
18,6,115112,2017,296,2363,113204
20,6,115210,2017,532,1782,58537
22,6,115310,2017,62,450,25803
24,6,212399,2017,3,0,0
26,6,212321,2017,113,1581,117169
28,6,211120,2017,128,4473,597196
30,6,212312,2017,9,120,6634
31,6,213111,2017,44,1458,110207
33,6,211130,2017,14,0,0
35,6,212319,2017,7,137,13706
37,6,213112,2017,153,3750,219250
39,6,221117,2017,3,25,4306
40,6,221122,2017,255,0,0
42,6,221112,2017,70,666,71200
44,6,221116,2017,6,0,0
46,6,221111,2017,13,21,1761
48,6,221210,2017,176,29,2831
51,6,221320,2017,14,12,660
53,6,221114,2017,40,493,58771
55,6,221330,2017,12,0,0
57,6,221310,2017,414,4493,379121
59,6,221115,2017,45,554,51459
61,6,238990,2017,3178,30402,1746741
63,6,236220,2017,4318,71268,6370619
65,6,238310,2017,2136,43758,2541850
67,6,238210,2017,8554,94052,6611554
69,6,238350,2017,2538,18104,938726
71,6,238330,2017,1888,11798,600050
73,6,238130,2017,879,21443,951753
75,6,238150,2017,794,7223,486335
77,6,237310,2017,774,22379,2078357
79,6,236210,2017,331,3788,304576
81,6,237210,2017,601,2308,199271
83,6,238140,2017,1235,13396,592694
85,6,236117,2017,1142,12848,1241047
87,6,236116,2017,355,4850,429206
89,6,236115,2017,5560,22787,1232961
91,6,237120,2017,99,5512,296392
93,6,238290,2017,649,10929,983734
95,6,238390,2017,765,9420,467160
97,6,238190,2017,601,5339,315478
99,6,237990,2017,304,5152,495867
101,6,238320,2017,4384,29319,1322604
103,6,238220,2017,10189,105125,7028545
105,6,238110,2017,1841,32936,2088389
107,6,237130,2017,441,16355,1465815
109,6,236118,2017,13017,53726,2665881
111,6,238160,2017,2205,19740,1055885
113,6,238170,2017,205,1330,63307
115,6,238910,2017,2416,31510,2251980
117,6,238120,2017,438,10704,704107
119,6,238340,2017,1599,12117,597811
121,6,237110,2017,847,15917,1282163
123,6,316998,2017,68,1007,37210
125,6,311999,2017,81,1701,77302
127,6,314999,2017,272,2706,102102
129,6,311611,2017,24,2684,115269
131,6,315990,2017,85,715,27203
133,6,312112,2017,25,542,32860
135,6,311230,2017,3,9,291
137,6,312120,2017,387,7795,372214
139,6,313210,2017,31,258,9446
142,6,314110,2017,15,1131,90974
144,6,311513,2017,38,2691,139905
146,6,311351,2017,9,394,23081
148,6,311920,2017,75,1549,91129
150,6,311812,2017,477,16399,647082
152,6,311352,2017,85,3854,154540
154,6,311821,2017,30,805,26709
156,6,311512,2017,6,58,1915
158,6,314120,2017,142,1888,82402
160,6,315210,2017,1706,16559,386409
162,6,312140,2017,39,207,10636
164,6,311111,2017,32,389,15053
166,6,311423,2017,46,2717,121167
168,6,311824,2017,42,1594,95797
170,6,311514,2017,10,472,27716
172,6,313320,2017,7,106,6667
174,6,311225,2017,3,0,0
175,6,313110,2017,11,259,4636
177,6,311930,2017,20,358,18487
179,6,311211,2017,9,221,15630
181,6,311511,2017,35,3492,248434
183,6,316210,2017,40,439,15353
185,6,311813,2017,8,1130,43047
187,6,311411,2017,28,907,52396
189,6,311412,2017,45,3563,124273
191,6,311421,2017,113,8520,452483
193,6,315110,2017,3,30,650
195,6,311520,2017,54,639,22902
197,6,312113,2017,10,87,4925
199,6,313240,2017,29,804,30587
201,6,316110,2017,6,9,430
203,6,311941,2017,37,1915,147839
205,6,311612,2017,87,4651,204505
207,6,315220,2017,71,1291,49217
209,6,313220,2017,7,75,2423
211,6,311340,2017,38,1090,48926
213,6,313230,2017,5,58,1596
215,6,311119,2017,67,1587,100403
217,6,315190,2017,19,240,9111
219,6,315280,2017,95,1121,40296
221,6,311919,2017,36,1698,82960
223,6,311991,2017,131,10908,497472
225,6,311615,2017,28,682,29683
227,6,311613,2017,7,150,8405
229,6,311811,2017,1059,12083,271185
231,6,311212,2017,13,1528,85896
233,6,311911,2017,67,5403,272381
235,6,311710,2017,28,897,32339
237,6,312111,2017,54,3814,230428
239,6,311422,2017,15,242,12419
241,6,311942,2017,43,1077,77369
243,6,313310,2017,118,3432,127826
245,6,314910,2017,138,1435,58260
247,6,312230,2017,17,227,10055
249,6,311830,2017,64,3969,136813
251,6,312130,2017,1488,27705,1650332
253,6,316992,2017,11,0,0
255,6,315240,2017,479,10862,380257
257,6,327910,2017,15,70,2494
259,6,325520,2017,45,1082,80852
261,6,325199,2017,39,865,64842
263,6,322299,2017,36,535,24251
265,6,325998,2017,135,1935,113391
267,6,327999,2017,28,808,34486
269,6,321999,2017,300,1926,74674
271,6,326199,2017,621,26756,1335966
273,6,326299,2017,63,1243,57630
275,6,325220,2017,3,32,2189
277,6,324121,2017,73,1224,106762
279,6,324122,2017,21,763,59375
281,6,325414,2017,49,6298,533273
283,6,323117,2017,54,679,34172
285,6,327310,2017,11,944,64533
287,6,327120,2017,24,427,17897
289,6,323111,2017,2230,29504,1498492
291,6,323113,2017,592,6709,219265
293,6,327331,2017,33,867,49732
295,6,327332,2017,4,158,7956
297,6,322211,2017,124,9428,579068
299,6,325991,2017,28,543,31225
301,6,321912,2017,21,321,11275
303,6,327991,2017,108,1561,65076
305,6,325314,2017,23,275,11961
307,6,327211,2017,6,603,37210
309,6,322212,2017,50,2575,135799
311,6,327215,2017,129,3513,169857
313,6,327992,2017,3,44,3295
315,6,327420,2017,11,162,11142
317,6,321211,2017,10,174,7107
319,6,325413,2017,55,4780,456668
321,6,325120,2017,39,1023,78997
323,6,326130,2017,8,140,7023
325,6,321991,2017,12,590,22724
327,6,325411,2017,70,5631,541085
329,6,327993,2017,11,219,11623
331,6,325180,2017,29,741,65960
333,6,327390,2017,98,3395,193131
335,6,321918,2017,81,779,30218
337,6,322219,2017,14,442,20401
339,6,327212,2017,37,475,22144
341,6,325510,2017,121,2113,119663
344,6,322220,2017,50,1219,64359
347,6,325320,2017,11,124,6247
349,6,324191,2017,12,454,28904
351,6,324110,2017,16,7820,1035546
353,6,325412,2017,191,11727,822290
355,6,325992,2017,20,171,8957
357,6,326111,2017,34,1305,67731
359,6,326160,2017,40,2212,107246
361,6,325211,2017,91,2350,133120
363,6,326112,2017,33,1387,68962
365,6,326122,2017,28,1065,54498
367,6,326191,2017,23,2104,98742
369,6,325612,2017,43,815,44777
371,6,326140,2017,38,551,24179
373,6,327110,2017,62,582,24098
375,6,321992,2017,16,201,11429
377,6,325910,2017,15,631,28693
379,6,327320,2017,344,7540,433096
381,6,326220,2017,11,353,12501
383,6,326291,2017,46,1319,58515
385,6,322291,2017,3,168,11581
387,6,321113,2017,42,1414,65570
389,6,325611,2017,38,906,49928
391,6,322230,2017,35,1170,55242
393,6,323120,2017,160,1572,72233
395,6,325613,2017,4,68,3500
397,6,325130,2017,6,113,5140
399,6,325212,2017,12,191,6385
401,6,326211,2017,3,0,0
403,6,326212,2017,11,114,5073
405,6,325620,2017,228,7164,398241
