,fips,relevant_naics,estab,emp,payann
41335,06,213111,71,2452,208575
41336,06,113110,17,263,19837
41337,06,113210,9,46,1682
41338,06,113310,235,1396,106730
41339,06,114111,87,303,17475
41340,06,114112,44,54,2754
41341,06,114210,23,94,3493
41342,06,115111,16,229,8009
41343,06,115112,311,2670,124075
41344,06,115113,73,1573,68610
41345,06,115114,243,10980,492843
41346,06,115115,192,7230,212770
41347,06,115116,131,1487,77382
41348,06,212391,4,1043,86140
41349,06,115210,540,1909,67883
41350,06,115310,97,797,42619
41351,06,211120,138,4196,614637
41352,06,211130,22,310,40935
41353,06,221114,56,764,87416
41354,06,221115,56,746,74407
41355,06,221116,12,760,89810
41356,06,212221,11,554,44714
41357,06,221121,8,845,128476
41358,06,212311,5,14,876
41359,06,212312,17,314,21035
41360,06,212313,12,173,16402
41361,06,212319,29,435,47468
41362,06,212321,122,1948,162002
41363,06,212322,6,49,3926
41364,06,212325,6,158,9840
41365,06,212399,14,411,22351
41366,06,221310,442,4723,414427
41367,06,213112,181,4239,314288
41368,06,221330,21,155,17617
41369,06,213114,8,48,3027
41370,06,213115,7,62,5117
41371,06,221111,36,275,31689
41372,06,221112,89,1703,249234
41373,06,221113,5,265,34712
41374,06,236115,6227,24989,1414250
41375,06,221117,18,281,30470
41376,06,221118,6,15,733
41377,06,221122,302,37231,5237324
41378,06,236118,13773,58204,2954777
41379,06,221210,196,9968,988533
41380,06,221320,38,217,17543
41381,06,236220,4378,76060,6888304
41382,06,236116,382,4963,440558
41383,06,236117,1014,13488,1336066
41384,06,236210,345,5732,515073
41385,06,237110,849,17699,1508449
41386,06,237120,115,6533,452379
41387,06,237130,465,17677,1657956
41388,06,237210,639,2564,229590
41389,06,237310,778,22555,2235656
41390,06,238910,2602,33861,2548088
41391,06,237990,326,6926,671420
41392,06,238190,659,5798,347582
41393,06,238110,1840,35603,2295993
41394,06,238210,8824,99754,7397785
41395,06,238120,450,12407,808852
41396,06,238130,909,25300,1218605
41397,06,238140,1309,14788,686553
41398,06,238150,846,7996,550323
41399,06,238160,2323,21850,1188430
41400,06,238310,2213,46249,2791308
41401,06,238170,226,2046,106207
41402,06,238220,10492,113588,8000169
41403,06,238290,703,11618,1035342
41404,06,238320,4632,32586,1497763
41405,06,238330,1986,12827,654078
41406,06,311111,41,1111,57946
41407,06,238340,1682,12779,640475
41408,06,311119,100,2198,140617
41409,06,238350,2582,19334,1021887
41410,06,238390,818,9694,510540
41411,06,238990,3161,30663,1852251
41412,06,311211,24,721,41043
41413,06,311212,16,1605,88180
41414,06,311213,3,26,2158
41415,06,311221,4,46,1926
41416,06,311224,17,963,26931
41417,06,311225,19,1115,66811
41418,06,311230,7,162,8531
41419,06,311514,25,1095,70436
41420,06,311520,84,2975,134716
41421,06,311313,3,284,13138
41422,06,311314,6,1168,107749
41423,06,311340,59,2215,119981
41424,06,311351,42,1562,78174
41425,06,311352,97,6030,209739
41426,06,311611,42,7573,277406
41427,06,311612,106,6111,291906
41428,06,311411,40,3263,154817
41429,06,311412,65,7352,334228
41430,06,311421,137,11064,636784
41431,06,311422,25,424,23908
41432,06,311423,76,4617,236066
41433,06,311511,52,6143,431374
41434,06,311512,10,946,78150
41435,06,311513,56,6544,408343
41436,06,311613,17,782,49637
41437,06,311615,40,10418,294549
41438,06,311710,40,1729,71039
41439,06,311813,22,2909,128671
41440,06,311821,45,1433,51675
41441,06,311824,55,1939,111686
41442,06,311920,117,2355,129814
41443,06,312111,77,8707,496227
41444,06,312112,46,2289,125576
41445,06,312130,1552,32763,2108720
41446,06,313230,15,224,10859
41447,06,327310,20,1669,115500
41448,06,311941,53,3369,233823
41449,06,311811,1112,13303,307376
41450,06,311991,151,14722,688713
41451,06,311812,462,16414,695990
41452,06,311830,75,6033,210668
41453,06,312113,23,399,20955
41454,06,311911,85,7261,384710
41455,06,312120,469,11278,515217
41456,06,311919,57,3713,195334
41457,06,311930,30,1906,124925
41458,06,312140,68,462,22949
41459,06,311942,53,1521,105693
41460,06,311999,109,2206,100198
41461,06,313240,25,606,27431
41462,06,312230,18,310,23555
41463,06,313110,14,75,2566
41464,06,313210,37,481,21122
41465,06,313220,13,292,8775
41466,06,313310,132,3250,127430
41467,06,325414,67,9645,1207117
41468,06,313320,17,242,11909
41469,06,315240,370,7720,341495
41470,06,314110,15,1034,60958
41471,06,314120,168,2097,77394
41472,06,315990,113,1018,48847
41473,06,314910,155,1372,60892
41474,06,316210,42,401,14384
41475,06,314994,6,74,2992
